Date,Actual Closing Price,Forecast Closing Price
2021-08-10,407000,443230
2021-08-11,406000,397543
2021-08-12,437000,396570
2021-08-13,451500,426721
2021-08-17,469000,440804
2021-08-18,492500,457777
2021-08-19,491500,480522
2021-08-20,484500,479555
2021-08-23,460000,472786
2021-08-24,451000,449051
2021-08-25,469500,440318
2021-08-26,497000,458261
2021-08-27,497000,484870
2021-08-30,491500,484870
2021-08-31,507000,479555
2021-09-01,491500,494523
2021-09-02,509000,479555
2021-09-03,482500,496453
2021-09-06,464500,470850
2021-09-07,483500,453415
2021-09-08,475000,471818
2021-09-09,447000,463590
2021-09-10,451500,436435
2021-09-13,478000,440804
2021-09-14,493500,466495
2021-09-15,492000,481488
2021-09-16,493500,480038
2021-09-17,500000,481488
2021-09-23,493000,487767
2021-09-24,498000,481005
2021-09-27,500000,485836
2021-09-28,500000,487767
2021-09-29,502000,487767
2021-09-30,498000,489698
2021-10-01,463000,485836
2021-10-05,454000,451961
2021-10-06,474000,443230
2021-10-07,470000,462621
2021-10-08,484000,458746
2021-10-12,488000,472302
2021-10-13,478500,476171
2021-10-14,472500,466979
2021-10-15,486000,461168
2021-10-18,493500,474237
2021-10-19,487000,481488
2021-10-20,493000,475204
2021-10-21,488000,481005
2021-10-22,488000,476171
2021-10-25,498000,476171
2021-10-26,489500,485836
2021-10-27,475000,477621
2021-10-28,469500,463590
2021-10-29,478000,458261
2021-11-01,483500,466495
2021-11-02,472000,471818
2021-11-03,468000,460684
2021-11-04,451000,456808
2021-11-05,441500,440318
2021-11-08,465500,431093
2021-11-09,484500,454384
2021-11-10,540000,472786
2021-11-11,547000,526281
2021-11-12,548000,532996
2021-11-15,547000,533955
2021-11-16,567000,532996
2021-11-17,543000,552135
2021-11-18,542000,529160
2021-11-19,516000,528201
2021-11-22,505000,503200
2021-11-23,509000,492594
2021-11-24,504000,496453
2021-11-25,506000,491629
2021-11-26,510000,493559
2021-11-29,503000,497417
2021-11-30,489000,490663
2021-12-01,502000,477138
2021-12-02,500000,489698
2021-12-03,472500,487767
2021-12-06,465000,461168
2021-12-07,464500,453900
2021-12-08,479000,453415
2021-12-09,489500,467463
2021-12-10,489500,477621
2021-12-13,493000,477621
2021-12-14,485000,481005
2021-12-15,484000,473269
2021-12-16,494500,472302
2021-12-17,471000,482454
2021-12-20,466500,459715
2021-12-21,470500,455354
2021-12-22,464000,459230
2021-12-23,463000,452930
2021-12-24,450500,451961
2021-12-27,462000,439833
2021-12-28,467000,450991
2021-12-29,460000,455838
2021-12-30,460000,449051
2022-01-03,444000,449051
2022-01-04,417000,433522
2022-01-05,402000,407274
2022-01-06,394500,392676
2022-01-07,381500,385374
2022-01-10,365000,372714
2022-01-11,367500,356643
2022-01-12,346500,359078
2022-01-13,343500,338626
2022-01-14,341000,335705
2022-01-17,340500,333270
2022-01-18,324500,332784
2022-01-19,325000,317210
2022-01-20,310000,317697
2022-01-21,302000,303106
2022-01-24,291000,295330
2022-01-25,276500,284645
2022-01-26,264000,270574
2022-01-27,274500,258460
2022-01-28,275500,268635
2022-02-03,288500,269605
2022-02-04,305000,282218
2022-02-07,299500,298246
2022-02-08,297000,292901
2022-02-09,297000,290472
2022-02-10,259000,290472
2022-02-11,267500,253619
2022-02-14,281000,261850
2022-02-15,277500,274939
2022-02-16,273000,271544
2022-02-17,274000,267181
2022-02-18,273500,268150
2022-02-21,273500,267665
2022-02-22,286000,267665
2022-02-23,285500,279791
2022-02-24,284000,279306
2022-02-25,295000,277850
2022-02-28,298000,288529
2022-03-02,298500,291444
2022-03-03,282500,291929
2022-03-04,271000,276394
2022-03-07,273500,265242
2022-03-08,295000,267665
2022-03-10,285000,288529
2022-03-11,281000,278820
2022-03-14,277500,274939
2022-03-15,281500,271544
2022-03-16,284000,275424
2022-03-17,286000,277850
2022-03-18,276000,279791
2022-03-21,279000,270089
2022-03-22,283000,272999
2022-03-23,280500,276880
2022-03-24,278500,274454
2022-03-25,271500,272514
2022-03-28,273000,265727
2022-03-29,272500,267181
2022-03-30,275500,266696
2022-03-31,278000,269605
2022-04-01,298500,272029
2022-04-04,293500,291929
2022-04-05,287000,287073
2022-04-06,284000,280762
2022-04-07,280000,277850
2022-04-08,281500,273969
2022-04-11,267000,275424
2022-04-12,267500,261366
2022-04-13,266500,261850
2022-04-14,264500,260882
2022-04-15,261000,258944
2022-04-18,261500,255555
2022-04-19,258000,256039
2022-04-20,258000,252651
2022-04-21,250000,252651
2022-04-22,242500,244911
2022-04-25,248500,237662
2022-04-26,238500,243461
2022-04-27,240500,233799
2022-04-28,252000,235731
2022-04-29,251500,246845
2022-05-02,256500,246362
2022-05-03,258000,251199
2022-05-04,256500,252651
2022-05-06,251500,251199
2022-05-09,245000,246362
2022-05-10,257000,240078
2022-05-11,252000,251683
2022-05-12,253500,246845
2022-05-13,241000,248296
2022-05-16,240000,236213
2022-05-17,247500,235248
2022-05-18,237000,242494
2022-05-19,256000,232351
2022-05-20,256500,250715
2022-05-23,247500,251199
2022-05-24,257000,242494
2022-05-25,255000,251683
2022-05-26,249000,249748
2022-05-27,259000,243944
2022-05-30,259500,253619
2022-05-31,250000,254103
2022-06-02,253000,244911
2022-06-03,268500,247813
2022-06-07,271500,262819
2022-06-08,276500,265727
2022-06-09,274000,270574
2022-06-10,260000,268150
2022-06-13,261000,254587
2022-06-14,259500,255555
2022-06-15,252000,254103
2022-06-16,262500,246845
2022-06-17,259000,257007
2022-06-20,268500,253619
2022-06-21,259500,262819
2022-06-22,264500,254103
2022-06-23,273500,258944
2022-06-24,266000,267665
2022-06-27,260000,260397
2022-06-28,238000,254587
2022-06-29,219000,233316
2022-06-30,215500,214996
2022-07-01,222500,211627
2022-07-04,226000,218367
2022-07-05,234000,221740
2022-07-06,240500,229455
2022-07-07,237000,235731
2022-07-08,239500,232351
2022-07-11,237000,234765
2022-07-12,242500,232351
2022-07-13,245000,237662
2022-07-14,235500,240078
2022-07-15,238500,230903
2022-07-18,235000,233799
2022-07-19,247500,230420
