Date,Actual Closing Price,Forecast Closing Price
2000-11-28,2533,2852
2000-11-29,2231,2532
2000-11-30,1964,2252
2000-12-01,2008,2006
2000-12-04,1885,2046
2000-12-05,1662,1933
2000-12-06,1679,1728
2000-12-07,1618,1744
2000-12-08,1577,1688
2000-12-11,1618,1650
2000-12-12,1538,1688
2000-12-13,1502,1615
2000-12-14,1502,1582
2000-12-15,1538,1582
2000-12-18,1360,1615
2000-12-19,1200,1452
2000-12-20,1174,1306
2000-12-21,1156,1283
2000-12-22,1169,1266
2000-12-26,1191,1278
2001-01-02,1160,1298
2001-01-03,1218,1270
2001-01-04,1231,1323
2001-01-05,1334,1335
2001-01-08,1462,1428
2001-01-09,1289,1545
2001-01-10,1369,1387
2001-01-11,1422,1460
2001-01-12,1591,1509
2001-01-15,1502,1663
2001-01-16,1614,1582
2001-01-17,1520,1684
2001-01-18,1556,1598
2001-01-19,1568,1631
2001-01-22,1573,1642
2001-01-26,1760,1647
2001-01-29,1964,1818
2001-01-30,1964,2006
2001-01-31,1822,2006
2001-02-01,1822,1875
2001-02-02,1733,1875
2001-02-05,1725,1793
2001-02-06,1778,1786
2001-02-07,1787,1835
2001-02-08,1822,1843
2001-02-09,2000,1875
2001-02-12,1955,2039
2001-02-13,1978,1997
2001-02-14,1964,2019
2001-02-15,2200,2006
2001-02-16,2218,2224
2001-02-19,2204,2240
2001-02-20,2186,2227
2001-02-21,2000,2211
2001-02-22,2008,2039
2001-02-23,2075,2046
2001-02-26,1987,2108
2001-02-27,1867,2027
2001-02-28,1671,1916
2001-03-02,1778,1736
2001-03-05,1733,1835
2001-03-06,1729,1793
2001-03-07,1813,1790
2001-03-08,1827,1867
2001-03-09,1609,1880
2001-03-12,1515,1680
2001-03-13,1591,1594
2001-03-14,1618,1663
2001-03-15,1582,1688
2001-03-16,1586,1655
2001-03-19,1573,1658
2001-03-20,1582,1647
2001-03-21,1577,1655
2001-03-22,1582,1650
2001-03-23,1586,1655
2001-03-26,1667,1658
2001-03-27,1618,1733
2001-03-28,1582,1688
2001-03-29,1542,1655
2001-03-30,1538,1618
2001-04-02,1475,1615
2001-04-03,1445,1557
2001-04-04,1475,1530
2001-04-06,1422,1557
2001-04-09,1445,1509
2001-04-10,1573,1530
2001-04-11,1568,1647
2001-04-12,1623,1642
2001-04-13,1609,1692
2001-04-16,1653,1680
2001-04-17,1689,1720
2001-04-18,1644,1753
2001-04-19,1658,1712
2001-04-20,1733,1724
2001-04-23,1698,1793
2001-04-24,1716,1761
2001-04-25,1635,1778
2001-04-26,1596,1703
2001-04-27,1679,1668
2001-04-30,1778,1744
2001-05-02,1760,1835
2001-05-03,1764,1818
2001-05-04,1876,1822
2001-05-07,1911,1925
2001-05-08,1840,1957
2001-05-09,1836,1892
2001-05-10,1848,1888
2001-05-11,1911,1899
2001-05-14,1933,1957
2001-05-15,1947,1977
2001-05-16,2005,1990
2001-05-17,1942,2044
2001-05-18,2054,1985
2001-05-21,1964,2089
2001-05-22,1906,2006
2001-05-23,1889,1952
2001-05-24,1973,1937
