Date,Actual Closing Price,Forecast Closing Price
2001-03-23,2739,1440
2001-03-26,2328,903
2001-03-27,1983,446
2001-03-28,1738,62
2001-03-29,1482,-210
2001-03-30,1374,-495
2001-04-02,1228,-614
2001-04-03,1209,-776
2001-04-04,1303,-797
2001-04-06,1492,-693
2001-04-09,1388,-484
2001-04-10,1350,-599
2001-04-11,1548,-641
2001-04-12,1780,-421
2001-04-13,1837,-164
2001-04-16,1563,-100
2001-04-17,1520,-405
2001-04-18,1464,-452
2001-04-19,1383,-515
2001-04-20,1540,-604
2001-04-23,1474,-430
2001-04-24,1487,-504
2001-04-25,1487,-489
2001-04-26,1596,-489
2001-04-27,1573,-368
2001-04-30,1553,-394
2001-05-02,1586,-416
2001-05-03,1573,-379
2001-05-04,1644,-394
2001-05-07,1672,-315
2001-05-08,1614,-284
2001-05-09,1856,-348
2001-05-10,1785,-79
2001-05-11,1851,-158
2001-05-14,1941,-85
2001-05-15,1804,15
2001-05-16,1771,-137
2001-05-17,1756,-174
2001-05-18,1842,-190
2001-05-21,1814,-95
2001-05-22,1842,-126
2001-05-23,1851,-95
2001-05-24,1903,-85
2001-05-25,1903,-27
2001-05-28,1880,-27
2001-05-29,1856,-53
2001-05-30,1756,-79
2001-05-31,1710,-190
2001-06-01,1705,-242
2001-06-04,1766,-247
2001-06-05,1898,-179
2001-06-07,1983,-33
2001-06-08,2012,62
2001-06-11,2030,94
2001-06-12,2049,114
2001-06-13,2356,135
2001-06-14,2404,477
2001-06-15,2762,530
2001-06-18,3174,929
2001-06-19,2701,1388
2001-06-20,2786,861
2001-06-21,2928,956
2001-06-22,2781,1114
2001-06-25,2417,950
2001-06-26,2389,545
2001-06-27,2744,513
2001-06-28,2767,909
2001-06-29,2956,934
2001-07-02,2833,1145
2001-07-03,2946,1008
2001-07-04,2942,1134
2001-07-05,2777,1130
2001-07-06,2361,946
2001-07-09,2470,482
2001-07-10,2366,604
2001-07-11,2531,488
2001-07-12,2389,672
2001-07-13,2342,513
2001-07-16,2247,461
2001-07-18,2267,355
2001-07-19,2177,378
2001-07-20,2049,278
2001-07-23,2115,135
2001-07-24,1974,209
2001-07-25,1941,52
2001-07-26,1993,15
2001-07-27,1889,73
2001-07-30,2172,-43
2001-07-31,2191,272
2001-08-01,2148,293
2001-08-02,2134,245
2001-08-03,2125,230
2001-08-06,2201,220
2001-08-07,2224,304
2001-08-08,2214,330
2001-08-09,2191,319
2001-08-10,2313,293
2001-08-13,2313,429
2001-08-14,2333,429
2001-08-16,2257,451
2001-08-17,2111,367
2001-08-20,2078,204
2001-08-21,2049,167
2001-08-22,2111,135
2001-08-23,2016,204
2001-08-24,2040,98
2001-08-27,2016,125
2001-08-28,1926,98
2001-08-29,1842,-2
2001-08-30,1766,-95
2001-08-31,1710,-179
2001-09-03,1917,-242
2001-09-04,1822,-12
2001-09-05,1870,-117
2001-09-06,1917,-64
2001-09-07,1917,-12
2001-09-10,1851,-12
2001-09-11,1578,-85
2001-09-12,1586,-388
2001-09-13,1360,-379
2001-09-14,1157,-630
2001-09-17,1327,-855
2001-09-18,1407,-667
2001-09-19,1327,-578
2001-09-20,1256,-667
2001-09-21,1266,-745
2001-09-24,1228,-734
2001-09-25,1237,-776
2001-09-26,1251,-766
2001-09-27,1294,-751
2001-09-28,1436,-703
2001-10-04,1370,-546
2001-10-05,1346,-619
2001-10-08,1412,-645
2001-10-09,1370,-572
2001-10-10,1464,-619
2001-10-11,1478,-515
2001-10-12,1652,-499
2001-10-15,1596,-306
2001-10-16,1568,-368
2001-10-17,1520,-399
2001-10-18,1558,-452
2001-10-19,1634,-410
2001-10-22,1558,-326
2001-10-23,1520,-410
2001-10-24,1530,-452
2001-10-25,1558,-441
2001-10-26,1544,-410
2001-10-29,1497,-426
2001-10-30,1502,-478
2001-10-31,1520,-472
2001-11-01,1530,-452
2001-11-02,1530,-441
2001-11-05,1548,-441
2001-11-06,1548,-421
2001-11-07,1525,-421
2001-11-08,1497,-447
2001-11-09,1530,-478
2001-11-12,1581,-441
2001-11-13,1662,-385
2001-11-14,1789,-295
2001-11-15,1685,-154
2001-11-16,1705,-269
2001-11-19,1700,-247
2001-11-20,1681,-253
2001-11-21,1657,-274
2001-11-22,1657,-300
2001-11-23,1766,-300
2001-11-26,1822,-179
2001-11-27,1771,-117
2001-11-28,1747,-174
2001-11-29,1747,-200
2001-11-30,1804,-200
2001-12-03,1766,-137
2001-12-04,1761,-179
2001-12-05,1718,-185
2001-12-06,1705,-233
2001-12-07,1644,-247
2001-12-10,1662,-315
2001-12-11,1614,-295
2001-12-12,1611,-348
2001-12-13,1639,-351
2001-12-14,1606,-320
2001-12-17,1553,-357
2001-12-18,1487,-416
2001-12-19,1535,-489
2001-12-20,1497,-436
2001-12-21,1492,-478
2001-12-24,1502,-484
2001-12-26,1520,-472
2001-12-27,1573,-452
2001-12-28,1629,-394
2002-01-02,1634,-331
2002-01-03,1624,-326
2002-01-04,1652,-337
2002-01-07,1733,-306
2002-01-08,1690,-216
2002-01-09,1747,-264
2002-01-10,1710,-200
2002-01-11,1652,-242
2002-01-14,1606,-306
2002-01-15,1568,-357
2002-01-16,1591,-399
2002-01-17,1578,-374
2002-01-18,1563,-388
2002-01-21,1578,-405
2002-01-22,1629,-388
2002-01-23,1870,-331
2002-01-24,2148,-64
2002-01-25,2470,245
2002-01-28,2838,604
2002-01-29,3263,1014
2002-01-30,3749,1488
2002-01-31,3494,2030
2002-02-01,4018,1746
2002-02-04,4618,2331
2002-02-05,4708,3003
2002-02-06,4183,3104
2002-02-07,3560,2516
2002-02-08,3494,1819
2002-02-14,3608,1746
2002-02-15,3476,1873
2002-02-18,3560,1725
2002-02-19,3456,1819
2002-02-20,3598,1703
2002-02-21,3480,1862
2002-02-22,3443,1730
2002-02-25,3210,1689
2002-02-26,2899,1428
2002-02-27,2658,1082
2002-02-28,2928,813
2002-03-04,2871,1114
2002-03-05,2847,1050
2002-03-06,3070,1024
2002-03-07,2871,1272
2002-03-08,2739,1050
2002-03-11,2786,903
2002-03-12,2715,956
2002-03-13,2720,876
2002-03-14,2711,882
2002-03-15,2729,872
2002-03-18,2781,892
2002-03-19,3197,950
2002-03-20,3674,1414
2002-03-21,3631,1947
2002-03-22,3466,1899
2002-03-25,3390,1714
2002-03-26,3182,1629
2002-03-27,3174,1397
2002-03-28,3174,1388
2002-03-29,3645,1388
2002-04-01,3433,1914
2002-04-02,3589,1677
2002-04-03,4127,1852
2002-04-04,4741,2453
2002-04-08,4033,3141
2002-04-09,3626,2348
2002-04-10,3754,1893
2002-04-11,3418,2036
2002-04-12,3476,1661
2002-04-15,3763,1725
2002-04-16,3636,2046
2002-04-17,4179,1904
2002-04-18,3876,2511
2002-04-19,4013,2172
2002-04-22,3825,2326
2002-04-23,3688,2115
2002-04-24,3466,1962
2002-04-25,3518,1714
2002-04-26,3560,1772
2002-04-29,3504,1819
2002-04-30,3518,1757
2002-05-02,3372,1772
2002-05-03,3230,1609
2002-05-06,3012,1451
2002-05-07,3461,1208
2002-05-08,3410,1709
2002-05-09,3456,1652
2002-05-10,3626,1703
2002-05-13,3551,1893
2002-05-14,3476,1809
2002-05-15,3451,1725
2002-05-16,3418,1698
2002-05-17,3518,1661
2002-05-20,3480,1772
2002-05-21,3433,1730
2002-05-22,3258,1677
2002-05-23,3202,1482
2002-05-24,3121,1420
2002-05-27,3060,1329
2002-05-28,3003,1261
2002-05-29,3003,1198
2002-05-30,3027,1198
2002-05-31,3012,1224
2002-06-03,2904,1208
2002-06-04,2824,1087
2002-06-05,2757,998
2002-06-07,2795,923
2002-06-10,2838,966
2002-06-11,2885,1014
2002-06-12,3098,1066
2002-06-14,3055,1304
2002-06-17,2975,1256
2002-06-18,2744,1166
2002-06-19,2673,909
2002-06-20,2701,830
2002-06-21,2559,861
2002-06-24,2384,703
2002-06-25,2030,508
2002-06-26,2097,114
2002-06-27,2323,189
2002-06-28,2371,440
2002-07-02,2399,493
2002-07-03,2437,525
2002-07-04,2470,567
2002-07-05,2455,604
2002-07-08,2531,587
2002-07-09,2607,672
2002-07-10,2739,756
2002-07-11,2715,903
2002-07-12,2620,876
2002-07-15,2498,771
2002-07-16,2569,635
2002-07-18,2412,714
2002-07-19,2205,539
2002-07-22,2351,309
2002-07-23,2252,471
2002-07-24,2313,361
2002-07-25,2333,429
2002-07-26,2351,451
2002-07-29,2569,471
2002-07-30,2691,714
2002-07-31,2541,850
2002-08-01,2445,683
2002-08-02,2313,576
2002-08-05,2313,429
2002-08-06,2356,429
2002-08-07,2445,477
2002-08-08,2376,576
2002-08-09,2384,499
2002-08-12,2432,508
2002-08-13,2442,561
2002-08-14,2437,572
2002-08-16,2437,567
2002-08-19,2508,567
2002-08-20,2531,646
2002-08-21,2503,672
2002-08-22,2546,640
2002-08-23,2653,688
2002-08-26,2616,807
2002-08-27,2640,766
2002-08-28,2607,793
2002-08-29,2678,756
2002-08-30,2706,835
2002-09-02,2739,866
2002-09-03,2663,903
2002-09-04,2663,819
2002-09-05,2592,819
2002-09-06,2361,739
2002-09-09,2409,482
2002-09-10,2417,536
2002-09-11,2503,545
2002-09-12,2437,640
2002-09-13,2409,567
2002-09-16,2541,536
2002-09-17,2437,683
2002-09-18,2455,567
2002-09-19,2351,587
2002-09-23,2295,471
2002-09-24,2163,409
2002-09-25,2115,262
2002-09-26,2120,209
2002-09-27,2007,214
2002-09-30,2054,88
2002-10-01,2030,141
2002-10-02,2030,114
2002-10-04,2007,114
2002-10-07,2040,88
2002-10-08,2016,125
2002-10-09,1936,98
2002-10-10,1908,10
2002-10-11,2106,-22
2002-10-14,2417,199
2002-10-15,2243,545
2002-10-16,2290,351
2002-10-17,2318,403
2002-10-18,2333,434
2002-10-21,2234,451
2002-10-22,2356,341
2002-10-23,2262,477
2002-10-24,2252,372
2002-10-25,2305,361
2002-10-28,2290,420
2002-10-29,2257,403
2002-10-30,2238,367
2002-10-31,2267,345
2002-11-01,2342,378
2002-11-04,2333,461
2002-11-05,2366,451
2002-11-06,2333,488
2002-11-07,2333,451
2002-11-08,2366,451
2002-11-11,2361,488
2002-11-12,2323,482
2002-11-13,2309,440
2002-11-14,2465,424
2002-11-15,2569,598
2002-11-18,2625,714
2002-11-19,2564,776
2002-11-20,2569,708
2002-11-21,2465,714
2002-11-22,2574,598
2002-11-25,2597,719
2002-11-26,2574,745
2002-11-27,2521,719
2002-11-28,2531,660
2002-11-29,2536,672
2002-12-02,2640,677
2002-12-03,2521,793
2002-12-04,2546,660
2002-12-05,2549,688
2002-12-06,2559,692
2002-12-09,2541,703
2002-12-10,2579,683
2002-12-11,2592,725
2002-12-12,2503,739
2002-12-13,2417,640
2002-12-16,2455,545
2002-12-17,2409,587
2002-12-18,2361,536
2002-12-20,2313,482
2002-12-23,2243,429
2002-12-24,2243,351
2002-12-26,2229,351
2002-12-27,2163,335
2002-12-30,2238,262
2003-01-02,2305,345
2003-01-03,2351,420
2003-01-06,2323,471
2003-01-07,2323,440
2003-01-08,2290,440
2003-01-09,2276,403
2003-01-10,2309,388
2003-01-13,2379,424
