Date,Actual Closing Price,Forecast Closing Price
2001-11-01,1028,5229
2001-11-02,906,5105
2001-11-05,897,4995
2001-11-06,840,4987
2001-11-07,840,4935
2001-11-08,759,4935
2001-11-09,749,4862
2001-11-12,775,4853
2001-11-13,791,4876
2001-11-14,767,4891
2001-11-15,798,4869
2001-11-16,791,4897
2001-11-19,764,4891
2001-11-20,764,4866
2001-11-21,779,4866
2001-11-22,764,4880
2001-11-23,743,4866
2001-11-26,735,4847
2001-11-27,748,4840
2001-11-28,775,4852
2001-11-29,812,4876
2001-11-30,798,4910
2001-12-03,850,4897
2001-12-04,840,4944
2001-12-05,817,4935
2001-12-06,818,4914
2001-12-07,808,4915
2001-12-10,840,4906
2001-12-11,855,4935
2001-12-12,845,4949
2001-12-13,883,4940
2001-12-14,892,4974
2001-12-17,822,4982
2001-12-18,756,4919
2001-12-19,779,4859
2001-12-20,817,4880
2001-12-21,784,4914
2001-12-24,794,4884
2001-12-26,758,4894
2001-12-27,770,4861
2001-12-28,770,4872
2002-01-02,779,4872
2002-01-03,764,4880
2002-01-04,761,4866
2002-01-07,749,4864
2002-01-08,764,4853
2002-01-09,758,4866
2002-01-10,764,4861
2002-01-11,756,4866
2002-01-14,751,4859
2002-01-15,752,4855
2002-01-16,742,4856
2002-01-17,742,4846
2002-01-18,740,4846
2002-01-21,740,4845
2002-01-22,728,4845
2002-01-23,718,4834
2002-01-24,701,4825
2002-01-25,716,4809
2002-01-28,747,4823
2002-01-29,772,4851
2002-01-30,786,4874
2002-01-31,761,4886
2002-02-01,723,4864
2002-02-04,726,4829
2002-02-05,729,4832
2002-02-06,719,4835
2002-02-07,728,4826
2002-02-08,760,4834
2002-02-14,751,4863
2002-02-15,742,4855
2002-02-18,723,4846
2002-02-19,728,4829
2002-02-20,720,4834
2002-02-21,725,4827
2002-02-22,740,4831
2002-02-25,736,4845
2002-02-26,763,4841
2002-02-27,753,4865
2002-02-28,779,4856
2002-03-04,789,4880
2002-03-05,776,4889
