Date,Actual Closing Price,Forecast Closing Price
2005-12-12,49506,46224
2005-12-13,47326,46182
2005-12-14,46582,44307
2005-12-15,45145,43654
2005-12-16,46334,42374
2005-12-19,46582,43435
2005-12-20,46087,43654
2005-12-21,45195,43216
2005-12-22,45492,42419
2005-12-23,44600,42686
2005-12-26,44650,41883
2005-12-27,46450,41928
2005-12-28,46200,43537
2005-12-29,46550,43316
2006-01-02,45600,43626
2006-01-03,46000,42782
2006-01-04,46000,43139
2006-01-05,47400,43139
2006-01-06,46900,44372
2006-01-09,48000,43934
2006-01-10,47400,44893
2006-01-11,48500,44372
2006-01-12,48350,45324
2006-01-13,47500,45195
2006-01-16,46400,44459
2006-01-17,46400,43493
2006-01-18,46700,43493
2006-01-19,47000,43758
2006-01-20,44950,44022
2006-01-23,46000,42199
2006-01-24,47250,43139
2006-01-25,46000,44241
2006-01-26,47750,43139
2006-01-27,47300,44676
2006-01-31,45750,44284
2006-02-01,45650,42916
2006-02-02,45000,42827
2006-02-03,45050,42244
2006-02-06,45150,42289
2006-02-07,44250,42379
2006-02-08,45350,41566
2006-02-09,45050,42558
2006-02-10,43650,42289
2006-02-13,43000,41019
2006-02-14,41100,40422
2006-02-15,41800,38653
2006-02-16,43650,39309
2006-02-17,42950,41019
2006-02-20,42250,40376
2006-02-21,41250,39728
2006-02-22,42300,38794
2006-02-23,42000,39774
2006-02-24,42100,39495
2006-02-27,41500,39589
2006-02-28,42800,39029
2006-03-02,42800,40237
2006-03-03,44900,40237
2006-03-06,44350,42154
2006-03-07,44150,41657
2006-03-08,43700,41475
2006-03-09,44000,41065
2006-03-10,45600,41338
2006-03-13,46200,42782
2006-03-14,48350,43316
2006-03-15,46750,45195
2006-03-16,44750,43802
2006-03-17,44250,42019
2006-03-20,44800,41566
2006-03-21,45000,42064
2006-03-22,45000,42244
2006-03-23,45750,42244
2006-03-24,46100,42916
2006-03-27,45000,43227
2006-03-28,44850,42244
2006-03-29,44500,42109
2006-03-30,46000,41793
2006-03-31,45800,43139
2006-04-03,45200,42961
2006-04-04,44500,42424
2006-04-05,44750,41793
2006-04-06,44750,42019
2006-04-07,44400,42019
2006-04-10,44150,41702
2006-04-11,43050,41475
2006-04-12,43400,40468
2006-04-13,44950,40790
2006-04-14,44750,42199
2006-04-17,44650,42019
2006-04-18,44100,41928
2006-04-19,43850,41429
2006-04-20,44900,41202
2006-04-21,43750,42154
2006-04-24,44600,41110
2006-04-25,46000,41883
2006-04-26,46800,43139
2006-04-27,46300,43846
2006-04-28,49000,43405
2006-05-02,51500,45752
2006-05-03,50500,47843
2006-05-04,50200,47016
2006-05-08,50700,46766
2006-05-09,50500,47183
2006-05-10,50500,47016
2006-05-11,50500,47016
2006-05-12,48500,47016
2006-05-15,46850,45324
2006-05-16,47300,43890
2006-05-17,47800,44284
2006-05-18,47350,44720
2006-05-19,46550,44328
2006-05-22,45350,43626
2006-05-23,45400,42558
2006-05-24,43100,42603
2006-05-25,44150,40514
2006-05-26,44300,41475
2006-05-29,42900,41611
2006-05-30,43250,40330
2006-06-01,44500,40652
2006-06-02,44500,41793
2006-06-05,43450,41793
2006-06-07,42200,40836
2006-06-08,42100,39682
2006-06-09,42350,39589
2006-06-12,41400,39821
2006-06-13,42050,38935
2006-06-14,42550,39542
2006-06-15,44350,40006
2006-06-16,43750,41657
2006-06-19,42750,41110
2006-06-20,42500,40191
2006-06-21,43500,39960
2006-06-22,42700,40881
2006-06-23,41900,40145
2006-06-26,42500,39402
2006-06-27,41950,39960
2006-06-28,43300,39449
2006-06-29,44600,40698
2006-06-30,43950,41883
2006-07-03,43300,41293
2006-07-04,43600,40698
2006-07-05,42750,40973
2006-07-06,43500,40191
2006-07-07,44200,40881
2006-07-10,44600,41520
2006-07-11,44850,41883
2006-07-12,44050,42109
2006-07-13,43100,41384
2006-07-14,41800,40514
2006-07-18,41800,39309
2006-07-19,44000,39309
2006-07-20,43150,41338
2006-07-21,43100,40560
2006-07-24,44150,40514
2006-07-25,44000,41475
2006-07-26,44700,41338
2006-07-27,43200,41973
2006-07-28,42700,40606
2006-07-31,41450,40145
2006-08-01,41450,38982
2006-08-02,42000,38982
2006-08-03,42750,39495
2006-08-04,42100,40191
2006-08-07,43300,39589
2006-08-08,43300,40698
2006-08-09,43300,40698
2006-08-10,42900,40698
2006-08-11,43900,40330
2006-08-14,44300,41247
2006-08-16,43450,41611
2006-08-17,43300,40836
2006-08-18,42900,40698
2006-08-21,43300,40330
2006-08-22,42500,40698
2006-08-23,42150,39960
2006-08-24,42000,39635
2006-08-25,41850,39495
2006-08-28,41550,39356
2006-08-29,41650,39075
2006-08-30,41450,39169
2006-08-31,40700,38982
2006-09-01,41150,38276
2006-09-04,41600,38700
2006-09-05,41850,39122
2006-09-06,41400,39356
2006-09-07,41300,38935
2006-09-08,41100,38841
2006-09-11,41500,38653
2006-09-12,41900,39029
2006-09-13,41800,39402
2006-09-14,42200,39309
2006-09-15,43000,39682
2006-09-18,43000,40422
2006-09-19,42500,40422
2006-09-20,41750,39960
2006-09-21,41550,39262
2006-09-22,41400,39075
2006-09-25,41200,38935
2006-09-26,42500,38747
2006-09-27,43150,39960
2006-09-28,43300,40560
2006-09-29,43000,40698
2006-10-02,42600,40422
2006-10-04,41800,40053
2006-10-09,42200,39309
2006-10-10,43000,39682
2006-10-11,43050,40422
2006-10-12,43800,40468
2006-10-13,44700,41156
2006-10-16,44850,41973
2006-10-17,45100,42109
2006-10-18,45550,42334
2006-10-19,45100,42737
2006-10-20,44800,42334
2006-10-23,45500,42064
2006-10-24,44400,42693
2006-10-25,44600,41702
2006-10-26,44450,41883
2006-10-27,44250,41747
2006-10-30,43450,41566
2006-10-31,43650,40836
2006-11-01,44300,41019
2006-11-02,44450,41611
2006-11-03,44150,41747
2006-11-06,45900,41475
2006-11-07,46200,43050
2006-11-08,47800,43316
