Date,Actual Closing Price,Forecast Closing Price
2020-10-15,198495,256624
2020-10-16,187110,200034
2020-10-19,180675,188701
2020-10-20,177210,182297
2020-10-21,178200,178851
2020-10-22,170775,179835
2020-10-23,154440,172452
2020-10-26,160875,156230
2020-10-27,156915,162616
2020-10-28,155430,158685
2020-10-29,140580,157212
2020-10-30,142065,142496
2020-11-02,150480,143966
2020-11-03,147510,152303
2020-11-04,162360,149359
2020-11-05,160380,164091
2020-11-06,161370,162125
2020-11-09,166320,163108
2020-11-10,162360,168024
2020-11-11,155925,164091
2020-11-12,158400,157703
2020-11-13,169785,160159
2020-11-16,177705,171468
2020-11-17,179685,179343
2020-11-18,178200,181312
2020-11-19,182655,179835
2020-11-20,178200,184267
2020-11-23,179190,179835
2020-11-24,172260,180820
2020-11-25,174240,173928
2020-11-26,176220,175897
2020-11-27,177705,177866
2020-11-30,179190,179343
2020-12-01,180180,180820
2020-12-02,187605,181805
2020-12-03,185625,189193
2020-12-04,178695,187223
2020-12-07,180180,180328
2020-12-08,178200,181805
2020-12-09,179685,179835
2020-12-10,178695,181312
2020-12-11,173745,180328
2020-12-14,170280,175405
2020-12-15,171270,171960
2020-12-16,159885,172944
2020-12-17,160380,161633
2020-12-18,156915,162125
2020-12-21,152955,158685
2020-12-22,151470,154757
2020-12-23,156420,153284
2020-12-24,154935,158194
2020-12-28,156915,156721
2020-12-29,158400,158685
2020-12-30,156420,160159
2021-01-04,156915,158194
2021-01-05,156915,158685
2021-01-06,155430,158685
2021-01-07,158895,157212
2021-01-08,152955,160650
2021-01-11,151965,154757
2021-01-12,166815,153775
2021-01-13,164340,168516
2021-01-14,155430,166057
2021-01-15,163845,157212
2021-01-18,171765,165566
2021-01-19,174240,173436
2021-01-20,171270,175897
2021-01-21,190575,172944
2021-01-22,201465,192150
2021-01-25,208395,202991
2021-01-26,205425,209891
2021-01-27,217800,206934
2021-01-28,202455,219252
2021-01-29,215325,203977
2021-02-01,230175,216789
2021-02-02,230175,231562
2021-02-03,239085,231562
2021-02-04,240570,240417
2021-02-05,243045,241892
2021-02-08,228690,244350
2021-02-09,229185,230086
2021-02-10,224235,230578
2021-02-15,245520,225655
2021-02-16,246510,246806
2021-02-17,239085,247789
2021-02-18,232155,240417
2021-02-19,224730,233531
2021-02-22,226215,226147
2021-02-23,208890,227624
2021-02-24,209880,210383
2021-02-25,204435,211369
2021-02-26,204930,205948
2021-03-02,210375,206441
2021-03-03,210870,211862
2021-03-04,205425,212354
2021-03-05,205920,206934
2021-03-08,198000,207427
2021-03-09,191070,199541
2021-03-10,209385,192642
2021-03-11,225720,210876
2021-03-12,215820,227132
2021-03-15,216810,217282
2021-03-16,228690,218267
2021-03-17,231660,230086
2021-03-18,223740,233039
2021-03-19,227700,225163
2021-03-22,219780,229101
2021-03-23,216810,221223
2021-03-24,233145,218267
2021-03-25,239580,234515
2021-03-26,234135,240909
2021-03-29,240075,235499
2021-03-30,240570,241401
2021-03-31,236610,241892
2021-04-01,240570,237958
2021-04-02,245520,241892
2021-04-05,256410,246806
2021-04-06,273240,257605
2021-04-07,264330,274249
2021-04-08,255420,265445
2021-04-09,249975,256624
2021-04-12,249975,251226
2021-04-13,233145,251226
2021-04-14,247500,234515
2021-04-15,249000,248771
2021-04-16,241500,250259
2021-04-19,242000,242816
2021-04-20,242000,243312
2021-04-21,255000,243312
2021-04-22,258500,256208
2021-04-23,259000,259675
2021-04-26,256000,260170
2021-04-27,244000,257198
2021-04-28,243500,245298
2021-04-29,243000,244801
2021-04-30,236500,244305
2021-05-03,239500,237849
2021-05-04,251000,240829
2021-05-06,252500,252243
2021-05-07,258500,253730
2021-05-10,259000,259675
2021-05-11,246000,260170
2021-05-12,240500,247283
2021-05-13,242500,241823
2021-05-14,248500,243809
2021-05-17,260500,249763
2021-05-18,266000,261655
2021-05-20,261500,267096
2021-05-21,263500,262645
2021-05-24,260500,264624
2021-05-25,259000,261655
2021-05-26,253000,260170
2021-05-27,261000,254225
2021-05-28,265000,262150
2021-05-31,261000,266107
2021-06-01,263500,262150
2021-06-02,269500,264624
2021-06-03,266000,270555
2021-06-04,265500,267096
2021-06-07,265000,266602
2021-06-08,262000,266107
2021-06-09,272500,263139
2021-06-10,275500,273518
2021-06-11,282000,276479
2021-06-14,289000,282887
2021-06-15,292000,289775
2021-06-16,297000,292722
2021-06-17,313000,297629
2021-06-18,308000,313277
2021-06-21,324500,308397
2021-06-22,321500,324468
2021-06-23,322000,321553
2021-06-24,314000,322039
2021-06-25,312000,314252
2021-06-28,289000,312302
2021-06-29,292500,289775
2021-06-30,302000,293213
2021-07-01,303000,302528
2021-07-02,306500,303507
2021-07-05,302000,306931
2021-07-06,297500,302528
2021-07-07,294000,298120
2021-07-08,308000,294686
2021-07-09,307000,308397
2021-07-12,309000,307419
2021-07-13,319000,309373
2021-07-14,319500,319122
2021-07-15,317500,319608
2021-07-16,315000,317662
2021-07-19,306000,315227
2021-07-20,298500,306442
2021-07-21,301500,299100
2021-07-22,303000,302039
2021-07-23,299000,303507
2021-07-26,298500,299590
2021-07-27,299000,299100
2021-07-28,297000,299590
2021-07-29,289500,297629
2021-07-30,294500,290266
2021-08-02,291500,295177
2021-08-03,295500,292231
2021-08-04,298500,296158
2021-08-05,310000,299100
2021-08-06,308000,310350
2021-08-09,313500,308397
2021-08-10,301000,313765
2021-08-11,303500,301549
2021-08-12,299000,303997
2021-08-13,291500,299590
2021-08-17,293000,292231
2021-08-18,285000,293704
2021-08-19,274000,285840
2021-08-20,283500,274999
2021-08-23,288500,284364
2021-08-24,285500,289283
2021-08-25,287000,286332
2021-08-26,284500,287808
2021-08-27,286000,285348
2021-08-30,289500,286824
2021-08-31,286000,290266
2021-09-01,280500,286824
2021-09-02,281000,281409
2021-09-03,286500,281902
2021-09-06,286000,287316
2021-09-07,280000,286824
2021-09-08,278000,280916
2021-09-09,269500,278945
2021-09-10,264000,270555
2021-09-13,283500,265118
2021-09-14,279500,284364
2021-09-15,276500,280424
2021-09-16,276500,277466
2021-09-17,270500,277466
2021-09-23,268000,271543
2021-09-24,278000,269073
2021-09-27,283500,278945
2021-09-28,287000,284364
2021-09-29,298500,287808
2021-09-30,291500,299100
2021-10-01,293000,292231
2021-10-05,283000,293704
2021-10-06,291500,283872
2021-10-07,281000,292231
2021-10-08,275500,281902
2021-10-12,274500,276479
2021-10-13,288500,275492
2021-10-14,306500,289283
2021-10-15,305000,306931
2021-10-18,322000,305464
2021-10-19,319500,322039
2021-10-20,330500,319608
2021-10-21,325000,330286
2021-10-22,326000,324953
2021-10-25,342000,325924
2021-10-26,348500,341396
2021-10-27,333500,347649
2021-10-28,335000,333190
2021-10-29,348500,334640
2021-11-01,348000,347649
2021-11-02,346500,347169
2021-11-03,356500,345727
2021-11-04,383500,355319
2021-11-05,392500,380969
2021-11-08,389000,389432
2021-11-09,385000,386147
2021-11-10,389000,382383
2021-11-11,396500,386147
2021-11-12,407000,393179
