Date,Actual Closing Price,Forecast Closing Price
1999-12-15,31707,36068
1999-12-16,29290,36305
1999-12-17,29290,34346
1999-12-20,28710,34346
1999-12-21,28710,33880
1999-12-22,28227,33880
1999-12-23,28227,33494
1999-12-24,28227,33494
1999-12-27,28710,33494
1999-12-28,28227,33880
2000-01-04,27985,33494
2000-01-05,27743,33301
2000-01-06,27743,33109
2000-01-07,31803,33109
2000-01-10,27840,36383
2000-01-11,31803,33186
2000-01-12,27163,36383
2000-01-13,23103,32648
2000-01-14,23828,29482
2000-01-17,23200,30040
2000-01-18,21557,29556
2000-01-19,21267,28303
2000-01-20,21943,28084
2000-01-21,23490,28596
2000-01-24,23877,29779
2000-01-25,24070,30078
2000-01-26,23973,30227
2000-01-27,24118,30152
2000-01-28,23538,30264
2000-01-31,24070,29816
2000-02-01,25423,30227
2000-02-02,25858,31279
2000-02-03,26293,31619
2000-02-07,25617,31961
2000-02-08,26342,31431
2000-02-09,26438,32000
2000-02-10,26438,32075
2000-02-11,25472,32075
2000-02-14,26052,31317
2000-02-15,25133,31772
2000-02-16,26003,31052
2000-02-17,26487,31733
2000-02-18,25907,32114
2000-02-21,25617,31658
2000-02-22,27453,31431
2000-02-23,27357,32878
2000-02-24,28178,32802
2000-02-25,27115,33455
2000-02-28,27598,32610
2000-02-29,27888,32993
2000-03-02,26970,33224
2000-03-03,27115,32495
2000-03-06,27308,32610
2000-03-07,27840,32763
2000-03-08,27937,33186
2000-03-09,27115,33263
2000-03-10,26583,32610
2000-03-13,27018,32190
2000-03-14,26970,32533
2000-03-15,26390,32495
2000-03-16,26438,32038
2000-03-17,26583,32075
2000-03-20,26873,32190
2000-03-21,27067,32419
2000-03-22,27067,32572
2000-03-23,27453,32572
2000-03-24,27937,32878
2000-03-27,30837,33263
2000-03-28,27067,35596
2000-03-29,27357,32572
2000-03-30,29387,32802
2000-03-31,27067,34424
2000-04-03,26680,32572
2000-04-04,26197,32266
2000-04-06,26390,31886
2000-04-07,26293,32038
2000-04-10,26583,31961
2000-04-11,27067,32190
2000-04-12,26052,32572
2000-04-14,23490,31772
2000-04-17,25085,29779
2000-04-18,24843,31015
2000-04-19,24553,30826
2000-04-20,25037,30601
2000-04-21,24408,30977
2000-04-24,24022,30488
2000-04-25,23683,30190
2000-04-26,23587,29928
2000-04-27,24457,29854
2000-04-28,24360,30526
2000-05-02,24022,30451
2000-05-03,24263,30190
2000-05-04,24553,30376
2000-05-08,24167,30601
2000-05-09,23828,30302
2000-05-10,23780,30040
2000-05-12,23297,30003
2000-05-15,22813,29631
2000-05-16,23248,29259
2000-05-17,22620,29593
2000-05-18,22717,29112
2000-05-19,22233,29186
2000-05-22,22040,28817
2000-05-23,22040,28670
2000-05-24,22668,28670
2000-05-25,22040,29149
2000-05-26,21943,28670
2000-05-29,22137,28596
2000-05-30,22910,28743
2000-05-31,22620,29334
2000-06-01,23007,29112
2000-06-02,23297,29408
2000-06-05,23007,29631
2000-06-07,23152,29408
2000-06-08,24360,29519
2000-06-09,24553,30451
2000-06-12,23248,30601
2000-06-13,23490,29593
2000-06-14,22378,29779
2000-06-15,22330,28927
2000-06-16,22233,28890
2000-06-19,22378,28817
2000-06-20,22717,28927
2000-06-21,23200,29186
2000-06-22,23200,29556
2000-06-23,22620,29556
2000-06-26,23007,29112
2000-06-27,22910,29408
2000-06-28,22910,29334
2000-06-29,23490,29334
2000-06-30,24457,29779
2000-07-03,23780,30526
2000-07-04,23152,30003
2000-07-05,23780,29519
2000-07-06,23490,30003
2000-07-07,23248,29779
2000-07-10,23297,29593
2000-07-11,23103,29631
2000-07-12,23007,29482
2000-07-13,22717,29408
2000-07-14,22233,29186
2000-07-18,21750,28817
2000-07-19,21750,28449
2000-07-20,22137,28449
2000-07-21,22040,28743
2000-07-24,22330,28670
2000-07-25,22233,28890
2000-07-26,22040,28817
2000-07-27,22620,28670
2000-07-28,22910,29112
2000-07-31,22813,29334
2000-08-01,22620,29259
2000-08-02,22717,29112
2000-08-03,22813,29186
2000-08-04,22330,29259
2000-08-07,21847,28890
2000-08-08,22233,28523
2000-08-09,22427,28817
2000-08-10,21992,28964
2000-08-11,22185,28633
2000-08-14,22233,28780
2000-08-16,22233,28817
2000-08-17,21702,28817
2000-08-18,21267,28413
2000-08-21,21363,28084
2000-08-22,21218,28156
2000-08-23,21170,28047
2000-08-24,21267,28011
2000-08-25,20977,28084
2000-08-28,21073,27865
