Date,Actual Closing Price,Forecast Closing Price
2003-07-21,6400,7009
2003-07-22,6190,7028
2003-07-23,6240,6830
2003-07-24,7030,6877
2003-07-25,7050,7623
2003-07-28,7150,7641
2003-07-29,7170,7736
2003-07-30,7090,7755
2003-07-31,7080,7679
2003-08-01,6950,7670
2003-08-04,6840,7547
2003-08-05,6620,7443
2003-08-06,6530,7235
2003-08-07,6560,7150
2003-08-08,6610,7179
2003-08-11,6590,7226
2003-08-12,6660,7207
2003-08-13,6780,7273
2003-08-14,6850,7386
2003-08-18,6790,7453
2003-08-19,6600,7396
2003-08-20,7050,7217
2003-08-21,6900,7641
2003-08-22,6890,7500
2003-08-25,6670,7490
2003-08-26,6700,7283
2003-08-27,6750,7311
2003-08-28,6760,7358
2003-08-29,6740,7368
2003-09-01,6830,7349
2003-09-02,6810,7434
2003-09-03,7000,7415
2003-09-04,6790,7594
2003-09-05,6530,7396
2003-09-08,6560,7150
2003-09-09,6540,7179
2003-09-15,6620,7160
2003-09-16,6520,7235
2003-09-17,6450,7141
2003-09-18,6300,7075
2003-09-19,5860,6934
2003-09-22,5710,6520
2003-09-23,5850,6379
2003-09-24,5690,6510
2003-09-25,5560,6360
2003-09-26,5530,6238
2003-09-29,5500,6210
2003-09-30,5280,6181
2003-10-01,5100,5975
2003-10-02,5170,5806
2003-10-06,5070,5872
2003-10-07,5000,5778
2003-10-08,4990,5713
2003-10-09,5400,5703
2003-10-10,5500,6088
2003-10-13,5530,6181
2003-10-14,5520,6210
2003-10-15,5500,6200
2003-10-16,5300,6181
2003-10-17,5300,5994
2003-10-20,5280,5994
2003-10-21,5110,5975
2003-10-22,5000,5816
2003-10-23,5060,5713
2003-10-24,5260,5769
2003-10-27,5260,5956
2003-10-28,5130,5956
2003-10-29,5210,5834
2003-10-30,5130,5909
2003-10-31,5130,5834
2003-11-03,5300,5834
2003-11-04,5470,5994
2003-11-05,5510,6153
2003-11-06,5740,6191
2003-11-07,5650,6407
2003-11-10,5400,6322
2003-11-11,5400,6088
2003-11-12,5480,6088
2003-11-13,5610,6163
2003-11-14,5800,6285
2003-11-17,5870,6463
2003-11-18,5770,6529
2003-11-19,5800,6435
2003-11-20,5580,6463
2003-11-21,5160,6257
2003-11-24,5320,5863
2003-11-25,5360,6013
2003-11-26,5300,6050
2003-11-27,5380,5994
2003-11-28,5660,6069
2003-12-01,5670,6332
2003-12-02,5630,6341
2003-12-03,5700,6303
2003-12-04,5720,6369
2003-12-05,5590,6388
2003-12-08,5630,6266
2003-12-09,5750,6303
2003-12-10,5770,6416
2003-12-11,5830,6435
2003-12-12,5960,6491
2003-12-15,5830,6614
2003-12-16,5680,6491
2003-12-17,5760,6350
2003-12-18,5810,6426
2003-12-19,5620,6473
2003-12-22,5660,6294
2003-12-23,5500,6332
2003-12-24,5500,6181
2003-12-26,5610,6181
2003-12-29,5690,6285
2003-12-30,5880,6360
2004-01-02,5920,6538
2004-01-05,5900,6576
2004-01-06,5720,6557
2004-01-07,5540,6388
2004-01-08,5870,6219
2004-01-09,6110,6529
2004-01-12,6030,6755
2004-01-13,5930,6679
2004-01-14,5960,6585
2004-01-15,5880,6614
2004-01-16,5900,6538
2004-01-19,6050,6557
2004-01-20,6050,6698
2004-01-26,5840,6698
2004-01-27,5700,6501
2004-01-28,5530,6369
2004-01-29,5320,6210
2004-01-30,5350,6013
2004-02-02,5250,6041
2004-02-03,5130,5947
2004-02-04,5180,5834
2004-02-05,5200,5881
2004-02-06,5160,5900
2004-02-09,5170,5863
2004-02-10,5450,5872
2004-02-11,6260,6135
2004-02-12,6900,6896
2004-02-13,6910,7500
2004-02-16,6590,7509
2004-02-17,6610,7207
2004-02-18,6550,7226
2004-02-19,6850,7169
2004-02-20,7200,7453
2004-02-23,7010,7783
2004-02-24,6900,7604
2004-02-25,6600,7500
2004-02-26,6590,7217
2004-02-27,6850,7207
2004-03-02,6670,7453
2004-03-03,6870,7283
2004-03-04,6740,7471
2004-03-05,6640,7349
2004-03-08,6580,7254
2004-03-09,6470,7198
2004-03-10,6290,7094
2004-03-11,5810,6924
2004-03-12,6040,6473
2004-03-15,5900,6689
2004-03-16,6180,6557
2004-03-17,6130,6821
2004-03-18,6160,6774
2004-03-19,6000,6802
2004-03-22,6100,6651
2004-03-23,6000,6745
2004-03-24,5800,6651
2004-03-25,5830,6463
2004-03-26,5950,6491
2004-03-29,5850,6604
2004-03-30,5880,6510
2004-03-31,5850,6538
2004-04-01,5940,6510
2004-04-02,6100,6595
2004-04-06,6630,6745
2004-04-07,6500,7245
2004-04-08,6280,7122
2004-04-09,6390,6915
2004-04-12,6310,7018
2004-04-13,6170,6943
2004-04-14,6110,6811
2004-04-16,6090,6755
2004-04-19,6200,6736
2004-04-20,6150,6840
2004-04-21,6470,6792
2004-04-22,7000,7094
2004-04-23,6900,7594
2004-04-26,6670,7500
2004-04-27,6570,7283
