Date,Actual Closing Price,Forecast Closing Price
1990-01-03,21200,28193
1990-01-04,20400,28351
1990-01-05,20300,27719
1990-01-06,20700,27641
1990-01-08,20800,27956
1990-01-09,20500,28035
1990-01-10,20300,27798
1990-01-11,20300,27641
1990-01-12,20200,27641
1990-01-13,20100,27562
1990-01-15,20000,27484
1990-01-16,19800,27406
1990-01-17,19800,27250
1990-01-18,20200,27250
1990-01-19,20100,27562
1990-01-20,20500,27484
1990-01-22,20100,27798
1990-01-23,20300,27484
1990-01-24,20700,27641
1990-01-25,20400,27956
1990-01-29,20200,27719
1990-01-30,20300,27562
1990-01-31,20100,27641
1990-02-01,20200,27484
1990-02-02,19900,27562
1990-02-03,20100,27328
1990-02-05,20000,27484
1990-02-06,19900,27406
1990-02-07,19800,27328
1990-02-08,19800,27250
1990-02-09,19800,27250
1990-02-10,19700,27250
1990-02-12,19600,27172
1990-02-13,20000,27094
1990-02-14,19700,27406
1990-02-15,19700,27172
1990-02-16,19500,27172
1990-02-17,19300,27016
1990-02-19,19200,26861
1990-02-20,19000,26784
1990-02-21,18900,26630
1990-02-22,18900,26552
1990-02-23,18900,26552
1990-02-24,18600,26552
1990-02-26,19100,26322
1990-02-27,19000,26707
1990-02-28,18808,26630
1990-03-02,18614,26482
1990-03-03,18226,26333
1990-03-05,18032,26036
1990-03-06,17838,25888
1990-03-07,17838,25741
1990-03-08,17741,25741
1990-03-09,17644,25668
1990-03-12,17450,25594
1990-03-13,17547,25448
1990-03-14,17450,25521
1990-03-15,17547,25448
1990-03-16,17547,25521
1990-03-17,17450,25521
1990-03-19,17644,25448
1990-03-20,17450,25594
1990-03-21,17257,25448
1990-03-22,17450,25303
1990-03-23,17257,25448
1990-03-24,16966,25303
1990-03-26,16772,25085
1990-03-27,16481,24940
1990-03-28,16481,24723
1990-03-29,17257,24723
1990-03-30,16966,25303
1990-03-31,16869,25085
1990-04-02,16772,25012
1990-04-03,16675,24940
1990-04-04,16481,24867
1990-04-06,16384,24723
1990-04-07,16287,24651
1990-04-09,16093,24579
1990-04-10,15996,24436
1990-04-11,15802,24365
1990-04-12,15705,24222
1990-04-13,15608,24151
1990-04-14,15221,24080
1990-04-16,15608,23798
1990-04-17,15318,24080
1990-04-18,15221,23868
1990-04-19,15318,23798
1990-04-20,15608,23868
1990-04-21,15511,24080
1990-04-23,15318,24009
1990-04-24,15124,23868
1990-04-25,14639,23727
1990-04-26,15414,23377
1990-04-27,14736,23938
1990-04-28,13960,23447
1990-04-30,14542,22892
1990-05-01,15318,23307
1990-05-03,16093,23868
1990-05-04,16869,24436
1990-05-07,17644,25012
1990-05-08,18226,25594
1990-05-09,17838,26036
1990-05-10,17644,25741
1990-05-11,17063,25594
1990-05-12,16772,25157
1990-05-14,16481,24940
1990-05-15,17257,24723
1990-05-16,18032,25303
1990-05-17,17838,25888
1990-05-18,17547,25741
1990-05-19,17644,25521
1990-05-21,18032,25594
1990-05-22,17935,25888
1990-05-23,18032,25815
1990-05-24,18226,25888
1990-05-25,18032,26036
1990-05-26,18226,25888
1990-05-28,18226,26036
1990-05-29,18032,26036
1990-05-30,18032,25888
1990-05-31,18226,25888
1990-06-01,18226,26036
1990-06-02,18129,26036
1990-06-04,18032,25962
1990-06-05,18129,25888
1990-06-07,18323,25962
1990-06-08,18129,26110
1990-06-09,17935,25962
1990-06-11,17935,25815
1990-06-12,18032,25815
1990-06-13,18129,25888
1990-06-14,18129,25962
1990-06-15,18323,25962
1990-06-16,17935,26110
1990-06-18,17741,25815
1990-06-19,17450,25668
1990-06-20,17547,25448
1990-06-21,17741,25521
1990-06-22,17547,25668
1990-06-23,17547,25521
1990-06-25,17450,25521
1990-06-26,17644,25448
1990-06-27,17644,25594
1990-06-28,17450,25594
1990-06-29,16966,25448
1990-06-30,16869,25085
1990-07-02,17644,25012
1990-07-03,17257,25594
1990-07-04,16966,25303
1990-07-05,16675,25085
1990-07-06,16481,24867
1990-07-07,16481,24723
1990-07-09,16675,24723
1990-07-10,16384,24867
1990-07-11,16287,24651
1990-07-12,15899,24579
1990-07-13,15802,24293
1990-07-14,15511,24222
1990-07-16,15996,24009
1990-07-18,15899,24365
1990-07-19,15996,24293
1990-07-20,15802,24365
1990-07-21,15802,24222
1990-07-23,15802,24222
1990-07-24,15899,24222
1990-07-25,15899,24293
1990-07-26,15899,24293
1990-07-27,15996,24293
1990-07-28,15996,24365
1990-07-30,15996,24365
1990-07-31,16190,24365
1990-08-01,16190,24508
1990-08-02,15996,24508
1990-08-03,15899,24365
1990-08-04,15705,24293
1990-08-06,15705,24151
1990-08-07,15511,24151
1990-08-08,15608,24009
1990-08-09,15899,24080
1990-08-10,15705,24293
1990-08-11,15414,24151
1990-08-13,15221,23938
1990-08-14,15124,23798
1990-08-16,15124,23727
1990-08-17,15318,23727
1990-08-18,15318,23868
1990-08-20,15027,23868
1990-08-21,15027,23657
1990-08-22,15124,23657
1990-08-23,15027,23727
1990-08-24,14833,23657
1990-08-25,15608,23517
1990-08-27,16384,24080
1990-08-28,16287,24651
1990-08-29,15608,24579
1990-08-30,14833,24080
1990-08-31,14930,23517
1990-09-01,15705,23587
1990-09-03,15608,24151
1990-09-04,15414,24080
1990-09-05,15124,23938
1990-09-06,14930,23727
1990-09-07,15027,23587
1990-09-08,14930,23657
1990-09-10,14930,23587
1990-09-11,14833,23587
1990-09-12,14736,23517
1990-09-13,14736,23447
1990-09-14,14639,23447
1990-09-15,14057,23377
1990-09-17,14639,22961
1990-09-18,14736,23377
1990-09-19,14542,23447
1990-09-20,14542,23307
1990-09-21,14542,23307
1990-09-22,14542,23307
1990-09-24,14736,23307
1990-09-25,14736,23447
1990-09-26,14736,23447
1990-09-27,14736,23447
1990-09-28,14930,23447
1990-09-29,15414,23587
1990-10-05,15027,23938
1990-10-06,15027,23657
1990-10-08,14930,23657
1990-10-10,14930,23587
1990-10-11,15318,23587
1990-10-12,15027,23868
1990-10-13,15511,23657
1990-10-15,15221,24009
1990-10-16,15511,23798
1990-10-17,15608,24009
1990-10-18,16384,24080
1990-10-19,16772,24651
1990-10-20,17160,24940
1990-10-22,17935,25230
1990-10-23,18711,25815
1990-10-24,17935,26407
1990-10-25,17160,25815
1990-10-26,16675,25230
1990-10-27,16384,24867
1990-10-29,16481,24651
1990-10-30,15899,24723
1990-10-31,16675,24293
1990-11-01,16287,24867
1990-11-02,16093,24579
1990-11-03,15996,24436
1990-11-05,16093,24365
1990-11-06,16384,24436
1990-11-07,15996,24651
1990-11-08,15996,24365
1990-11-09,15899,24365
1990-11-10,15899,24293
1990-11-12,16093,24293
1990-11-13,16093,24436
1990-11-14,16093,24436
1990-11-15,15996,24436
1990-11-16,15899,24365
1990-11-17,15802,24293
1990-11-19,15511,24222
1990-11-20,15414,24009
1990-11-21,15608,23938
1990-11-22,15705,24080
1990-11-23,15705,24151
1990-11-24,15608,24151
1990-11-26,15802,24080
1990-11-27,15899,24222
1990-11-28,15705,24293
1990-11-29,15802,24151
1990-11-30,16093,24222
1990-12-01,16190,24436
1990-12-03,15899,24508
1990-12-04,16093,24293
1990-12-05,16093,24436
1990-12-06,16384,24436
1990-12-07,16384,24651
1990-12-08,16772,24651
1990-12-10,16481,24940
1990-12-11,16287,24723
1990-12-12,16093,24579
1990-12-13,16093,24436
1990-12-14,15996,24436
1990-12-15,15802,24365
1990-12-17,15899,24222
1990-12-18,15899,24293
1990-12-19,15899,24293
1990-12-20,15996,24293
1990-12-21,15996,24365
1990-12-22,15608,24365
1990-12-24,15705,24080
1990-12-26,15221,24151
1991-01-03,15608,23798
1991-01-04,15414,24080
1991-01-05,14930,23938
1991-01-07,14639,23587
1991-01-08,14833,23377
1991-01-09,14445,23517
1991-01-10,14445,23238
1991-01-11,14930,23238
1991-01-12,14930,23587
1991-01-14,14348,23587
1991-01-15,14251,23168
1991-01-16,14833,23099
1991-01-17,15511,23517
1991-01-18,15221,24009
1991-01-19,14639,23798
1991-01-21,14542,23377
1991-01-22,14542,23307
1991-01-23,14833,23307
1991-01-24,14639,23517
1991-01-25,14639,23377
1991-01-26,14542,23377
1991-01-28,14542,23307
1991-01-29,14542,23307
1991-01-30,14542,23307
1991-01-31,14542,23307
1991-02-01,14542,23307
1991-02-02,14542,23307
1991-02-04,14542,23307
1991-02-05,14542,23307
1991-02-06,14542,23307
1991-02-07,14542,23307
1991-02-08,14542,23307
1991-02-09,14348,23307
1991-02-11,14736,23168
1991-02-12,14639,23447
1991-02-13,15414,23377
1991-02-18,15221,23938
1991-02-19,15027,23798
1991-02-20,14930,23657
1991-02-21,14930,23587
1991-02-22,15124,23587
1991-02-23,15318,23727
1991-02-25,15124,23868
1991-02-26,14736,23727
1991-02-27,14833,23447
1991-02-28,14736,23517
1991-03-02,14639,23447
1991-03-04,14542,23377
1991-03-05,14833,23307
1991-03-06,14736,23517
1991-03-07,14639,23447
1991-03-08,14639,23377
1991-03-09,14639,23377
1991-03-11,14736,23377
1991-03-12,14542,23447
1991-03-13,14445,23307
1991-03-14,14542,23238
1991-03-15,14542,23307
1991-03-16,15221,23307
1991-03-18,14833,23798
1991-03-19,14736,23517
1991-03-20,14542,23447
1991-03-21,14445,23307
1991-03-22,14445,23238
1991-03-23,14445,23238
1991-03-25,14348,23238
1991-03-27,14251,23168
1991-03-28,14154,23099
1991-03-29,14348,23030
1991-03-30,14154,23168
1991-04-01,14057,23030
1991-04-02,14154,22961
1991-04-03,14154,23030
1991-04-04,14251,23030
1991-04-06,14057,23099
