Date,Actual Closing Price,Forecast Closing Price
2012-10-04,47800,49388
2012-10-05,49750,48572
2012-10-08,49950,50554
2012-10-09,49750,50755
2012-10-10,50400,50554
2012-10-11,49600,51208
2012-10-12,47950,50402
2012-10-15,47900,48726
2012-10-16,46800,48674
2012-10-17,48300,47546
2012-10-18,48500,49083
2012-10-19,48050,49287
2012-10-22,47600,48828
2012-10-23,46600,48367
2012-10-24,48300,47340
2012-10-25,46700,49083
2012-10-26,43900,47443
2012-10-29,45000,44538
2012-10-30,46000,45684
2012-10-31,44150,46721
2012-11-01,44950,44799
2012-11-02,43350,45632
2012-11-05,45100,43963
2012-11-06,44350,45788
2012-11-07,44850,45008
2012-11-08,43400,45528
2012-11-09,42350,44015
2012-11-12,41150,42914
2012-11-13,40100,41651
2012-11-14,41950,40542
2012-11-15,42700,42494
2012-11-16,41600,43282
2012-11-19,42000,42125
2012-11-20,41450,42546
2012-11-21,41100,41967
2012-11-22,43400,41598
2012-11-23,43650,44015
2012-11-26,44650,44277
2012-11-27,44550,45320
2012-11-28,46400,45216
2012-11-29,45850,47134
2012-11-30,45700,46566
2012-12-03,45600,46410
2012-12-04,48000,46307
2012-12-05,47000,48777
2012-12-06,46950,47752
2012-12-07,46450,47700
2012-12-10,48000,47186
2012-12-11,47950,48777
2012-12-12,47100,48726
2012-12-13,47050,47855
2012-12-14,45200,47803
2012-12-17,46700,45892
2012-12-18,47300,47443
2012-12-20,45500,48060
2012-12-21,46950,46203
2012-12-24,46500,47700
2012-12-26,47100,47237
2012-12-27,47000,47855
2012-12-28,47300,47752
2013-01-02,44400,48060
2013-01-03,44500,45060
2013-01-04,45700,45164
2013-01-07,46650,46410
2013-01-08,46050,47392
2013-01-09,46600,46773
2013-01-10,46550,47340
2013-01-11,44750,47289
2013-01-14,45950,45424
2013-01-15,46450,46669
2013-01-16,46200,47186
2013-01-17,46550,46928
2013-01-18,46050,47289
2013-01-21,46200,46773
2013-01-22,45650,46928
2013-01-23,45900,46359
2013-01-24,45600,46617
2013-01-25,44750,46307
2013-01-28,45250,45424
2013-01-29,44600,45944
2013-01-30,44700,45268
2013-01-31,44600,45372
2013-02-01,43550,45268
2013-02-04,43900,44172
2013-02-05,43250,44538
2013-02-06,43200,43858
2013-02-07,44150,43806
2013-02-08,44450,44799
2013-02-12,44500,45112
2013-02-13,44500,45164
2013-02-14,44350,45164
2013-02-15,44400,45008
2013-02-18,44850,45060
2013-02-19,46550,45528
2013-02-20,46800,47289
2013-02-21,47850,47546
2013-02-22,46700,48623
2013-02-25,47650,47443
2013-02-26,48550,48419
2013-02-27,49300,49337
2013-02-28,49400,50099
2013-03-04,48500,50200
2013-03-05,47700,49287
2013-03-06,47600,48470
