Date,Actual Closing Price,Forecast Closing Price
2011-06-30,22750,24990
2011-07-01,22850,25413
2011-07-04,24550,25484
2011-07-05,25650,26693
2011-07-06,25400,27483
2011-07-07,26100,27303
2011-07-08,28500,27807
2011-07-11,29300,29556
2011-07-12,25250,30145
2011-07-13,25600,27195
2011-07-14,28600,27447
2011-07-15,29250,29630
2011-07-18,29300,30108
2011-07-19,27750,30145
2011-07-20,27050,29007
2011-07-21,27600,28496
2011-07-22,25600,28897
2011-07-25,26000,27447
2011-07-26,28000,27735
2011-07-27,27200,29190
2011-07-28,27700,28606
2011-07-29,28650,28970
2011-08-01,28200,29667
2011-08-02,28750,29336
2011-08-03,27700,29740
2011-08-04,26100,28970
2011-08-05,23400,27807
2011-08-08,24800,25873
2011-08-09,26100,26872
2011-08-10,28200,27807
2011-08-11,27050,29336
2011-08-12,27800,28496
2011-08-16,30150,29043
2011-08-17,30600,30774
2011-08-18,29200,31109
2011-08-19,29000,30072
2011-08-22,28200,29924
2011-08-23,27300,29336
2011-08-24,26200,28678
2011-08-25,27850,27880
2011-08-26,29000,29080
2011-08-29,29400,29924
2011-08-30,29500,30219
2011-08-31,28700,30293
2011-09-01,31950,29703
2011-09-02,31550,32117
2011-09-05,32650,31818
2011-09-06,33000,32644
2011-09-07,33400,32908
2011-09-08,33450,33210
2011-09-09,30950,33248
2011-09-14,33800,31370
2011-09-15,34350,33513
2011-09-16,33500,33930
2011-09-19,34200,33286
2011-09-20,34000,33816
2011-09-21,34000,33665
2011-09-22,32000,33665
2011-09-23,30150,32155
2011-09-26,32900,30774
2011-09-27,32100,32832
2011-09-28,33600,32230
2011-09-29,35450,33361
2011-09-30,36500,34770
2011-10-04,35850,35575
2011-10-05,31600,35076
2011-10-06,32300,31855
2011-10-07,32250,32380
2011-10-10,33700,32343
2011-10-11,33350,33437
2011-10-12,33500,33172
2011-10-13,33750,33286
2011-10-14,38250,33475
2011-10-17,38350,36928
2011-10-18,39000,37006
2011-10-19,37400,37512
2011-10-20,39900,36270
2011-10-21,39750,38215
2011-10-24,38600,38097
2011-10-25,39200,37200
2011-10-26,39550,37668
2011-10-27,39000,37941
2011-10-28,37400,37512
2011-10-31,37150,36270
2011-11-01,38150,36077
2011-11-02,37500,36851
2011-11-03,38650,36347
2011-11-04,38450,37239
2011-11-07,37350,37084
2011-11-08,38400,36231
2011-11-09,37600,37045
2011-11-10,39600,36424
2011-11-11,39700,37980
2011-11-14,38600,38058
2011-11-15,37700,37200
2011-11-16,38600,36502
2011-11-17,38650,37200
2011-11-18,38950,37239
2011-11-21,38650,37473
2011-11-22,38550,37239
2011-11-23,39250,37161
2011-11-24,39200,37707
2011-11-25,39400,37668
2011-11-28,40500,37824
2011-11-29,41100,38685
2011-11-30,40150,39157
2011-12-01,39400,38411
2011-12-02,39200,37824
2011-12-05,38250,37668
2011-12-06,37450,36928
2011-12-07,39000,36308
2011-12-08,38950,37512
2011-12-09,38850,37473
2011-12-12,38250,37395
2011-12-13,38000,36928
2011-12-14,39400,36734
2011-12-15,39550,37824
2011-12-16,38450,37941
2011-12-19,38200,37084
2011-12-20,38500,36889
2011-12-21,38650,37123
2011-12-22,38300,37239
2011-12-23,38450,36967
2011-12-26,39000,37084
2011-12-27,39200,37512
2011-12-28,39550,37668
2011-12-29,39350,37941
2012-01-02,39300,37785
2012-01-03,38900,37746
2012-01-04,38600,37434
2012-01-05,38350,37200
2012-01-06,37250,37006
2012-01-09,37750,36154
2012-01-10,38600,36541
2012-01-11,38100,37200
2012-01-12,37400,36812
2012-01-13,36450,36270
2012-01-16,35600,35537
2012-01-17,33800,34885
2012-01-18,33000,33513
2012-01-19,33900,32908
2012-01-20,32100,33589
2012-01-25,33050,32230
2012-01-26,32250,32945
2012-01-27,32650,32343
2012-01-30,32000,32644
2012-01-31,33200,32155
2012-02-01,32900,33059
2012-02-02,32350,32832
2012-02-03,31150,32418
2012-02-06,31300,31519
2012-02-07,30700,31631
2012-02-08,31250,31183
2012-02-09,31550,31593
2012-02-10,33950,31818
2012-02-13,33550,33627
2012-02-14,33600,33323
2012-02-15,33600,33361
2012-02-16,31650,33361
2012-02-17,31550,31893
2012-02-20,32150,31818
2012-02-21,32300,32268
2012-02-22,31700,32380
2012-02-23,31700,31930
2012-02-24,30800,31930
2012-02-27,29750,31258
2012-02-28,30100,30478
2012-02-29,31000,30737
2012-03-02,31050,31407
2012-03-05,30500,31444
