Date,Actual Closing Price,Forecast Closing Price
1990-01-03,376,21234
1990-01-04,380,21238
1990-01-05,371,21239
1990-01-06,383,21237
1990-01-08,392,21240
1990-01-09,387,21243
1990-01-10,378,21241
1990-01-11,383,21239
1990-01-12,378,21240
1990-01-13,376,21239
1990-01-15,374,21238
1990-01-16,372,21238
1990-01-17,372,21237
1990-01-18,363,21237
1990-01-19,369,21235
1990-01-20,383,21236
1990-01-22,374,21240
1990-01-23,381,21238
1990-01-24,383,21240
1990-01-25,383,21240
1990-01-29,378,21240
1990-01-30,381,21239
1990-01-31,378,21240
1990-02-01,387,21239
1990-02-02,383,21241
1990-02-03,383,21240
1990-02-05,388,21240
1990-02-06,388,21242
1990-02-07,408,21242
1990-02-08,414,21247
1990-02-09,412,21249
1990-02-10,410,21248
1990-02-12,410,21248
1990-02-13,410,21248
1990-02-14,416,21248
1990-02-15,405,21249
1990-02-16,412,21246
1990-02-17,416,21248
1990-02-19,412,21249
1990-02-20,410,21248
1990-02-21,414,21248
1990-02-22,418,21249
1990-02-23,416,21250
1990-02-24,414,21249
1990-02-26,418,21249
1990-02-27,421,21250
1990-02-28,420,21251
1990-03-02,408,21250
1990-03-03,409,21247
1990-03-05,406,21247
1990-03-06,406,21247
1990-03-07,400,21247
1990-03-08,393,21245
1990-03-09,387,21243
1990-03-12,381,21241
1990-03-13,387,21240
1990-03-14,390,21241
1990-03-15,396,21242
1990-03-16,396,21244
1990-03-17,396,21244
1990-03-19,397,21244
1990-03-20,393,21244
1990-03-21,396,21243
1990-03-22,396,21244
1990-03-23,387,21244
1990-03-24,387,21241
1990-03-26,379,21241
1990-03-27,379,21239
1990-03-28,381,21239
1990-03-29,381,21240
1990-03-30,381,21240
1990-03-31,381,21240
1990-04-02,381,21240
1990-04-03,387,21240
1990-04-04,393,21241
1990-04-06,387,21243
1990-04-07,382,21241
1990-04-09,382,21240
1990-04-10,382,21240
1990-04-11,382,21240
1990-04-12,382,21240
1990-04-13,382,21240
1990-04-14,382,21240
1990-04-16,379,21240
1990-04-17,379,21239
1990-04-18,364,21239
1990-04-19,364,21235
1990-04-20,364,21235
1990-04-21,364,21235
1990-04-23,347,21235
1990-04-24,362,21231
1990-04-25,359,21235
1990-04-26,359,21234
1990-04-27,359,21234
1990-04-28,343,21234
1990-04-30,349,21229
1990-05-01,365,21231
1990-05-03,368,21235
1990-05-04,367,21236
1990-05-07,364,21236
1990-05-08,357,21235
1990-05-09,341,21233
1990-05-10,341,21229
1990-05-11,341,21229
1990-05-12,337,21229
1990-05-14,352,21228
1990-05-15,368,21232
1990-05-16,352,21236
1990-05-17,347,21232
1990-05-18,359,21231
1990-05-19,350,21234
1990-05-21,352,21231
1990-05-22,341,21232
1990-05-23,343,21229
1990-05-24,343,21229
1990-05-25,343,21229
1990-05-26,343,21229
1990-05-28,343,21229
1990-05-29,343,21229
1990-05-30,350,21229
1990-05-31,359,21231
1990-06-01,359,21234
1990-06-02,359,21234
1990-06-04,359,21234
1990-06-05,357,21234
1990-06-07,347,21233
1990-06-08,347,21231
1990-06-09,350,21231
1990-06-11,347,21231
1990-06-12,347,21231
1990-06-13,347,21231
1990-06-14,349,21231
1990-06-15,349,21231
1990-06-16,349,21231
1990-06-18,347,21231
1990-06-19,347,21231
1990-06-20,335,21231
1990-06-21,326,21227
1990-06-22,328,21225
1990-06-23,328,21225
1990-06-25,322,21225
1990-06-26,322,21224
1990-06-27,322,21224
1990-06-28,318,21224
1990-06-29,318,21223
1990-06-30,318,21223
1990-07-02,331,21223
1990-07-03,331,21226
1990-07-04,330,21226
1990-07-05,324,21226
1990-07-06,316,21224
1990-07-07,316,21222
1990-07-09,328,21222
1990-07-10,324,21225
1990-07-11,322,21224
1990-07-12,319,21224
1990-07-13,319,21223
1990-07-14,314,21223
1990-07-16,316,21222
1990-07-18,314,21222
1990-07-19,311,21222
1990-07-20,311,21221
1990-07-21,308,21221
1990-07-23,299,21220
1990-07-24,296,21217
1990-07-25,295,21217
1990-07-26,287,21216
1990-07-27,274,21214
1990-07-28,250,21211
1990-07-30,245,21204
1990-07-31,257,21203
1990-08-01,266,21206
1990-08-02,266,21209
1990-08-03,263,21209
1990-08-04,257,21208
1990-08-06,263,21206
1990-08-07,255,21208
1990-08-08,263,21206
1990-08-09,274,21208
1990-08-10,281,21211
1990-08-11,274,21213
1990-08-13,274,21211
1990-08-14,269,21211
1990-08-16,280,21209
1990-08-17,279,21212
1990-08-18,279,21212
1990-08-20,271,21212
1990-08-21,266,21210
1990-08-22,263,21209
1990-08-23,260,21208
1990-08-24,252,21207
1990-08-25,266,21205
1990-08-27,277,21209
1990-08-28,271,21212
1990-08-29,267,21210
1990-08-30,269,21209
1990-08-31,271,21209
1990-09-01,281,21210
1990-09-03,279,21213
1990-09-04,279,21212
1990-09-05,280,21212
1990-09-06,274,21212
1990-09-07,272,21211
1990-09-08,271,21210
1990-09-10,271,21210
1990-09-11,271,21210
1990-09-12,266,21210
1990-09-13,266,21209
1990-09-14,266,21209
1990-09-15,252,21209
1990-09-17,266,21205
1990-09-18,262,21209
1990-09-19,266,21208
1990-09-20,266,21209
1990-09-21,269,21209
1990-09-22,271,21209
1990-09-24,277,21210
1990-09-25,279,21212
1990-09-26,282,21212
1990-09-27,287,21213
1990-09-28,296,21214
1990-09-29,306,21217
1990-10-05,306,21219
1990-10-06,308,21219
1990-10-08,306,21220
1990-10-10,316,21219
1990-10-11,318,21222
1990-10-12,322,21223
1990-10-13,330,21224
1990-10-15,326,21226
1990-10-16,330,21225
1990-10-17,331,21226
1990-10-18,339,21226
1990-10-19,339,21228
1990-10-20,339,21228
1990-10-22,354,21228
1990-10-23,368,21232
1990-10-24,352,21236
1990-10-25,337,21232
1990-10-26,324,21228
1990-10-27,314,21224
1990-10-29,314,21222
1990-10-30,306,21222
1990-10-31,311,21219
1990-11-01,314,21221
1990-11-02,301,21222
1990-11-03,301,21218
1990-11-05,314,21218
1990-11-06,314,21222
1990-11-07,301,21222
1990-11-08,296,21218
1990-11-09,290,21217
1990-11-10,296,21215
1990-11-12,301,21217
1990-11-13,299,21218
1990-11-14,303,21217
1990-11-15,303,21219
1990-11-16,301,21219
1990-11-17,296,21218
1990-11-19,292,21217
1990-11-20,296,21216
1990-11-21,296,21217
1990-11-22,301,21217
1990-11-23,301,21218
1990-11-24,301,21218
1990-11-26,301,21218
1990-11-27,301,21218
1990-11-28,301,21218
1990-11-29,301,21218
1990-11-30,303,21218
1990-12-01,308,21219
1990-12-03,303,21220
1990-12-04,308,21219
1990-12-05,308,21220
1990-12-06,314,21220
1990-12-07,314,21222
1990-12-08,308,21222
1990-12-10,314,21220
1990-12-11,314,21222
1990-12-12,314,21222
1990-12-13,315,21222
1990-12-14,315,21222
1990-12-15,315,21222
1990-12-17,315,21222
1990-12-18,314,21222
1990-12-19,311,21222
1990-12-20,311,21221
1990-12-21,311,21221
1990-12-22,311,21221
1990-12-24,315,21221
1990-12-26,295,21222
1991-01-03,295,21216
1991-01-04,301,21216
1991-01-05,301,21218
1991-01-07,306,21218
1991-01-08,292,21219
1991-01-09,286,21216
1991-01-10,282,21214
1991-01-11,282,21213
1991-01-12,269,21213
1991-01-14,257,21209
1991-01-15,247,21206
1991-01-16,260,21203
1991-01-17,255,21207
1991-01-18,260,21206
1991-01-19,255,21207
1991-01-21,247,21206
1991-01-22,247,21203
1991-01-23,255,21203
1991-01-24,266,21206
1991-01-25,255,21209
1991-01-26,266,21206
1991-01-28,266,21209
1991-01-29,266,21209
1991-01-30,266,21209
1991-01-31,266,21209
1991-02-01,271,21209
1991-02-02,271,21210
1991-02-04,266,21210
1991-02-05,266,21209
1991-02-06,266,21209
1991-02-07,266,21209
1991-02-08,274,21209
1991-02-09,274,21211
1991-02-11,277,21211
1991-02-12,280,21212
1991-02-13,281,21212
1991-02-18,281,21213
1991-02-19,274,21213
1991-02-20,279,21211
1991-02-21,282,21212
1991-02-22,282,21213
1991-02-23,290,21213
1991-02-25,282,21215
1991-02-26,282,21213
1991-02-27,282,21213
1991-02-28,290,21213
1991-03-02,282,21215
1991-03-04,282,21213
1991-03-05,281,21213
1991-03-06,279,21213
1991-03-07,280,21212
1991-03-08,282,21212
1991-03-09,282,21213
1991-03-11,287,21213
1991-03-12,287,21214
1991-03-13,284,21214
1991-03-14,284,21213
1991-03-15,284,21213
1991-03-16,287,21213
1991-03-18,282,21214
1991-03-19,281,21213
1991-03-20,279,21213
1991-03-21,279,21212
1991-03-22,280,21212
1991-03-23,280,21212
1991-03-25,280,21212
1991-03-27,282,21212
1991-03-28,284,21213
1991-03-29,284,21213
1991-03-30,284,21213
1991-04-01,281,21213
1991-04-02,282,21213
1991-04-03,284,21213
1991-04-04,286,21213
1991-04-06,286,21214
1991-04-08,295,21214
1991-04-09,292,21216
1991-04-10,290,21216
1991-04-11,287,21215
1991-04-12,286,21214
1991-04-13,282,21214
1991-04-15,282,21213
1991-04-16,282,21213
1991-04-17,282,21213
1991-04-18,281,21213
1991-04-19,281,21213
1991-04-20,280,21213
1991-04-22,284,21212
1991-04-23,280,21213
1991-04-24,280,21212
1991-04-25,280,21212
1991-04-26,280,21212
1991-04-27,280,21212
1991-04-29,274,21212
1991-04-30,274,21211
1991-05-01,274,21211
1991-05-02,274,21211
1991-05-03,274,21211
1991-05-04,267,21211
1991-05-06,269,21209
1991-05-07,266,21209
1991-05-08,266,21209
1991-05-09,266,21209
1991-05-10,266,21209
1991-05-11,262,21209
1991-05-13,266,21208
1991-05-14,266,21209
1991-05-15,266,21209
1991-05-16,266,21209
1991-05-17,266,21209
1991-05-18,263,21209
1991-05-20,255,21208
1991-05-22,255,21206
1991-05-23,255,21206
1991-05-24,255,21206
1991-05-25,266,21206
1991-05-27,260,21209
1991-05-28,252,21207
1991-05-29,247,21205
1991-05-30,247,21203
1991-05-31,247,21203
1991-06-01,241,21203
1991-06-03,239,21202
1991-06-04,250,21201
1991-06-05,250,21204
1991-06-07,250,21204
1991-06-08,250,21204
1991-06-10,247,21204
1991-06-11,247,21203
1991-06-12,250,21203
1991-06-13,250,21204
1991-06-14,250,21204
1991-06-15,250,21204
1991-06-17,247,21204
1991-06-18,255,21203
1991-06-19,255,21206
1991-06-21,255,21206
1991-06-22,243,21206
1991-06-24,239,21202
1991-06-25,239,21201
1991-06-26,250,21201
1991-06-27,250,21204
1991-06-28,250,21204
1991-06-29,239,21204
1991-07-01,250,21201
1991-07-02,247,21204
1991-07-03,247,21203
1991-07-04,252,21203
1991-07-05,252,21205
1991-07-06,252,21205
1991-07-08,247,21205
1991-07-09,245,21203
1991-07-10,245,21203
1991-07-11,245,21203
1991-07-12,245,21203
1991-07-13,243,21203
1991-07-15,241,21202
1991-07-16,252,21202
1991-07-18,255,21205
1991-07-19,257,21206
1991-07-20,255,21206
1991-07-22,247,21206
1991-07-23,250,21203
1991-07-24,257,21204
1991-07-25,262,21206
1991-07-26,271,21208
1991-07-27,279,21210
1991-07-29,279,21212
1991-07-30,279,21212
1991-07-31,272,21212
1991-08-01,266,21210
1991-08-02,263,21209
1991-08-03,266,21208
1991-08-05,271,21209
1991-08-06,266,21210
1991-08-07,255,21209
1991-08-08,260,21206
1991-08-09,260,21207
1991-08-10,266,21207
1991-08-12,260,21209
1991-08-13,260,21207
1991-08-14,260,21207
1991-08-16,260,21207
1991-08-17,257,21207
1991-08-19,257,21206
1991-08-20,255,21206
1991-08-21,250,21206
1991-08-22,247,21204
1991-08-23,247,21203
1991-08-24,245,21203
1991-08-26,247,21203
1991-08-27,247,21203
1991-08-28,245,21203
1991-08-29,245,21203
1991-08-30,245,21203
1991-08-31,234,21203
1991-09-02,233,21200
1991-09-03,233,21200
1991-09-04,233,21200
1991-09-05,233,21200
1991-09-06,233,21200
1991-09-07,233,21200
1991-09-09,245,21200
1991-09-10,247,21203
1991-09-11,247,21203
1991-09-12,247,21203
1991-09-13,252,21203
1991-09-14,252,21205
1991-09-16,245,21205
1991-09-17,245,21203
1991-09-18,245,21203
1991-09-19,245,21203
1991-09-20,245,21203
1991-09-24,233,21203
1991-09-25,239,21200
1991-09-26,245,21201
1991-09-27,247,21203
1991-09-28,245,21203
1991-09-30,245,21203
1991-10-01,245,21203
1991-10-02,245,21203
1991-10-04,241,21203
1991-10-05,245,21202
1991-10-07,245,21203
1991-10-08,245,21203
1991-10-09,245,21203
1991-10-10,245,21203
1991-10-11,245,21203
1991-10-12,245,21203
1991-10-14,243,21203
1991-10-15,243,21202
1991-10-16,243,21202
1991-10-17,243,21202
1991-10-18,247,21202
1991-10-19,255,21203
1991-10-21,255,21206
1991-10-22,255,21206
1991-10-23,255,21206
1991-10-24,255,21206
1991-10-25,255,21206
1991-10-26,255,21206
1991-10-28,255,21206
1991-10-29,255,21206
1991-10-30,255,21206
1991-10-31,255,21206
1991-11-01,255,21206
1991-11-02,255,21206
1991-11-04,255,21206
1991-11-05,252,21206
1991-11-06,255,21205
1991-11-07,257,21206
1991-11-08,257,21206
1991-11-09,269,21206
1991-11-11,269,21209
1991-11-12,266,21209
1991-11-13,266,21209
1991-11-14,266,21209
1991-11-15,266,21209
1991-11-16,257,21209
1991-11-18,257,21206
1991-11-19,257,21206
1991-11-20,262,21206
1991-11-21,267,21208
1991-11-22,263,21209
1991-11-23,260,21208
1991-11-25,255,21207
1991-11-26,255,21206
1991-11-27,247,21206
1991-11-28,262,21203
1991-11-29,257,21208
1991-11-30,260,21206
1991-12-02,266,21207
1991-12-03,263,21209
1991-12-04,250,21208
1991-12-05,255,21204
1991-12-06,255,21206
1991-12-07,245,21206
1991-12-09,255,21203
1991-12-10,255,21206
1991-12-11,262,21206
1991-12-12,266,21208
1991-12-13,263,21209
1991-12-14,266,21208
1991-12-16,263,21209
1991-12-17,262,21208
1991-12-18,257,21208
1991-12-19,269,21206
1991-12-20,279,21209
1991-12-21,267,21212
1991-12-23,267,21209
1991-12-24,263,21209
1991-12-26,262,21208
1992-01-03,272,21208
1992-01-04,282,21210
1992-01-06,295,21213
1992-01-07,287,21216
1992-01-08,274,21214
1992-01-09,274,21211
1992-01-10,274,21211
1992-01-11,269,21211
1992-01-13,279,21209
1992-01-14,287,21212
1992-01-15,299,21214
1992-01-16,311,21217
1992-01-17,303,21221
1992-01-18,314,21219
1992-01-20,316,21222
1992-01-21,330,21222
1992-01-22,335,21226
1992-01-23,322,21227
1992-01-24,316,21224
1992-01-25,328,21222
1992-01-27,331,21225
1992-01-28,347,21226
1992-01-29,350,21231
1992-01-30,359,21231
1992-01-31,365,21234
1992-02-01,365,21235
1992-02-06,359,21235
1992-02-07,350,21234
1992-02-08,341,21231
1992-02-10,341,21229
1992-02-11,328,21229
1992-02-12,328,21225
1992-02-13,322,21225
1992-02-14,322,21224
1992-02-15,318,21224
1992-02-17,318,21223
1992-02-18,318,21223
1992-02-19,318,21223
1992-02-20,324,21223
1992-02-21,319,21224
1992-02-22,315,21223
1992-02-24,314,21222
1992-02-25,315,21222
1992-02-26,322,21222
1992-02-27,324,21224
1992-02-28,324,21224
1992-02-29,311,21224
1992-03-02,315,21221
1992-03-03,314,21222
1992-03-04,314,21222
1992-03-05,306,21222
1992-03-06,301,21219
1992-03-07,297,21218
1992-03-09,297,21217
1992-03-11,297,21217
1992-03-12,303,21217
1992-03-13,311,21219
1992-03-14,306,21221
1992-03-16,306,21219
1992-03-17,315,21219
1992-03-18,315,21222
1992-03-19,314,21222
1992-03-20,314,21222
1992-03-21,311,21222
1992-03-23,299,21221
1992-03-25,316,21217
1992-03-26,316,21222
1992-03-27,314,21222
1992-03-28,306,21222
1992-03-30,299,21219
1992-03-31,316,21217
1992-04-01,330,21222
1992-04-02,330,21226
1992-04-03,322,21226
1992-04-04,324,21224
1992-04-06,316,21224
1992-04-07,316,21222
1992-04-08,306,21222
1992-04-09,301,21219
1992-04-10,290,21218
1992-04-11,290,21215
1992-04-13,292,21215
1992-04-14,282,21216
1992-04-15,290,21213
1992-04-16,292,21215
1992-04-17,292,21216
1992-04-18,296,21216
1992-04-20,296,21217
1992-04-21,314,21217
1992-04-22,322,21222
1992-04-23,322,21224
1992-04-24,322,21224
1992-04-25,314,21224
1992-04-27,301,21222
1992-04-28,308,21218
1992-04-29,299,21220
1992-04-30,292,21217
1992-05-01,292,21216
1992-05-02,295,21216
1992-05-04,284,21216
1992-05-06,284,21213
1992-05-07,290,21213
1992-05-08,306,21215
1992-05-09,322,21219
1992-05-11,335,21224
1992-05-12,350,21227
1992-05-13,367,21231
1992-05-14,381,21236
1992-05-15,400,21240
1992-05-16,420,21245
1992-05-18,415,21250
1992-05-19,396,21249
1992-05-20,379,21244
1992-05-21,381,21239
1992-05-22,388,21240
1992-05-23,388,21242
1992-05-25,370,21242
1992-05-26,362,21237
1992-05-27,377,21235
1992-05-28,362,21239
1992-05-29,359,21235
1992-05-30,350,21234
1992-06-01,343,21231
1992-06-02,339,21229
1992-06-03,354,21228
1992-06-04,349,21232
1992-06-05,337,21231
1992-06-08,331,21228
1992-06-09,330,21226
1992-06-10,345,21226
1992-06-11,350,21230
1992-06-12,350,21231
1992-06-13,335,21231
1992-06-15,339,21227
1992-06-16,339,21228
1992-06-17,337,21228
1992-06-18,334,21228
1992-06-19,335,21227
1992-06-20,335,21227
1992-06-22,331,21227
1992-06-23,337,21226
1992-06-24,324,21228
1992-06-25,308,21224
1992-06-26,311,21220
1992-06-27,314,21221
1992-06-29,318,21222
1992-06-30,328,21223
1992-07-01,324,21225
1992-07-02,311,21224
1992-07-03,311,21221
1992-07-04,301,21221
1992-07-06,299,21218
1992-07-07,299,21217
1992-07-08,292,21217
1992-07-09,290,21216
1992-07-10,287,21215
1992-07-11,292,21214
1992-07-13,290,21216
1992-07-14,290,21215
1992-07-15,279,21215
1992-07-16,267,21212
1992-07-18,267,21209
1992-07-20,279,21209
1992-07-21,282,21212
1992-07-22,279,21213
1992-07-23,279,21212
1992-07-24,280,21212
1992-07-25,281,21212
1992-07-27,281,21213
1992-07-28,272,21213
1992-07-29,271,21210
1992-07-30,281,21210
1992-07-31,279,21213
1992-08-01,286,21212
1992-08-03,277,21214
1992-08-04,277,21212
1992-08-05,272,21212
1992-08-06,272,21210
1992-08-07,272,21210
1992-08-08,269,21210
1992-08-10,262,21209
1992-08-11,247,21208
1992-08-12,236,21203
1992-08-13,228,21200
1992-08-14,216,21198
1992-08-17,221,21195
1992-08-18,208,21196
1992-08-19,218,21193
1992-08-20,218,21196
1992-08-21,218,21196
1992-08-22,226,21196
1992-08-24,232,21198
1992-08-25,243,21199
1992-08-26,255,21202
1992-08-27,245,21206
1992-08-28,250,21203
1992-08-29,263,21204
1992-08-31,255,21208
1992-09-01,243,21206
1992-09-02,255,21202
1992-09-03,257,21206
1992-09-04,257,21206
1992-09-05,269,21206
1992-09-07,257,21209
1992-09-08,257,21206
1992-09-09,245,21206
1992-09-14,245,21203
1992-09-15,236,21203
1992-09-16,241,21200
1992-09-17,241,21202
1992-09-18,243,21202
1992-09-19,233,21202
1992-09-21,236,21200
1992-09-22,233,21200
1992-09-23,234,21200
1992-09-24,239,21200
1992-09-25,229,21201
1992-09-26,233,21199
1992-09-28,231,21200
1992-09-29,233,21199
1992-09-30,234,21200
1992-10-01,237,21200
1992-10-02,229,21201
1992-10-05,239,21199
1992-10-06,234,21201
1992-10-07,237,21200
1992-10-08,237,21201
1992-10-09,239,21201
1992-10-10,231,21201
1992-10-12,232,21199
1992-10-13,239,21199
1992-10-14,239,21201
1992-10-15,234,21201
1992-10-16,233,21200
1992-10-17,242,21200
