Date,Actual Closing Price,Forecast Closing Price
2010-07-30,73267,199626
2010-08-02,73427,195653
2010-08-03,73427,195741
2010-08-04,70849,195741
2010-08-05,77374,194313
2010-08-06,78097,197930
2010-08-09,77614,198331
2010-08-10,77614,198063
2010-08-11,75682,198063
2010-08-12,74314,196991
2010-08-13,78097,196233
2010-08-16,78902,198331
2010-08-17,82123,198777
2010-08-18,80513,200564
2010-08-19,78260,199670
2010-08-20,80513,198421
2010-08-23,86956,199670
2010-08-24,86150,203245
2010-08-25,85746,202798
2010-08-26,85746,202574
2010-08-27,86552,202574
2010-08-30,88565,203021
2010-08-31,92993,204138
2010-09-01,92993,206596
2010-09-02,92993,206596
2010-09-03,89774,206596
2010-09-06,89774,204809
2010-09-07,89774,204809
2010-09-08,90980,204809
2010-09-09,89774,205478
2010-09-10,87760,204809
2010-09-13,86150,203691
2010-09-14,83735,202798
2010-09-15,90579,201458
2010-09-16,95410,205256
2010-09-17,93395,207938
2010-09-20,92189,206819
2010-09-24,95812,206150
2010-09-27,94201,208161
2010-09-28,91785,207267
2010-09-29,92591,205925
2010-09-30,91785,206373
2010-10-01,88967,205925
2010-10-04,87760,204361
2010-10-05,89774,203691
2010-10-06,88565,204809
2010-10-07,87760,204138
2010-10-08,84942,203691
2010-10-11,88565,202127
2010-10-12,89774,204138
2010-10-13,87760,204809
2010-10-14,87357,203691
2010-10-15,88967,203468
2010-10-18,93395,204361
2010-10-19,91785,206819
2010-10-20,88565,205925
2010-10-21,86150,204138
2010-10-22,83735,202798
2010-10-25,83332,201458
2010-10-26,83735,201234
2010-10-27,79787,201458
2010-10-28,79709,199268
2010-10-29,79307,199225
2010-11-01,79307,199002
2010-11-02,79628,199002
2010-11-03,79144,199180
2010-11-04,78419,198911
2010-11-05,77293,198509
2010-11-08,77937,197885
2010-11-09,79709,198242
2010-11-10,77534,199225
2010-11-11,77293,198018
2010-11-12,76084,197885
2010-11-15,74877,197214
2010-11-16,73186,196545
2010-11-17,71335,195608
2010-11-18,72381,194582
2010-11-19,72300,195162
2010-11-22,71738,195117
2010-11-23,72864,194805
2010-11-24,74877,195429
2010-11-25,72944,196545
2010-11-26,73993,195474
2010-11-29,77051,196055
2010-11-30,77293,197751
2010-12-01,77534,197885
2010-12-02,75682,198018
2010-12-03,74877,196991
2010-12-06,73106,196545
2010-12-07,71013,195564
2010-12-08,70449,194404
2010-12-09,69724,194091
2010-12-10,70206,193689
2010-12-13,71816,193956
2010-12-14,71174,194849
2010-12-15,70849,194493
2010-12-16,70206,194313
2010-12-17,68678,193956
2010-12-20,69644,193110
2010-12-21,70691,193645
2010-12-22,70530,194225
2010-12-23,70128,194136
2010-12-24,71174,193913
2010-12-27,71979,194493
2010-12-28,70772,194939
2010-12-29,71496,194270
2010-12-30,71496,194671
2011-01-03,70530,194671
2011-01-04,68435,194136
2011-01-05,66906,192975
2011-01-06,66183,192128
2011-01-07,66664,191728
2011-01-10,66664,191994
2011-01-11,65537,191994
2011-01-12,64411,191370
2011-01-13,65134,190746
2011-01-14,66183,191147
2011-01-17,66342,191728
2011-01-18,65377,191816
2011-01-19,64411,191281
2011-01-20,64411,190746
2011-01-21,63443,190746
2011-01-24,62074,190210
2011-01-25,60303,189452
2011-01-26,61190,188472
2011-01-27,60947,188963
2011-01-28,59981,188829
2011-01-31,62800,188294
2011-02-01,65377,189854
2011-02-07,65377,191281
2011-02-08,65377,191281
2011-02-09,67390,191281
2011-02-10,66583,192396
2011-02-11,65779,191949
2011-02-14,64972,191504
2011-02-15,65215,191057
2011-02-16,65859,191192
2011-02-17,66504,191548
2011-02-18,66583,191905
2011-02-21,65779,191949
2011-02-22,66664,191504
2011-02-23,66424,191994
2011-02-24,65859,191861
2011-02-25,64411,191548
2011-02-28,63847,190746
2011-03-02,62718,190434
2011-03-03,64329,189809
2011-03-04,64006,190701
2011-03-07,64089,190522
2011-03-08,63604,190568
2011-03-09,62800,190299
2011-03-10,62236,189854
2011-03-11,61190,189542
2011-03-14,61108,188963
2011-03-15,61108,188918
2011-03-16,60062,188918
2011-03-17,60062,188339
2011-03-18,60626,188339
2011-03-21,61512,188651
2011-03-22,63685,189141
2011-03-23,63766,190344
2011-03-24,64812,190389
2011-03-25,64650,190968
2011-03-28,67147,190879
2011-03-29,69241,192262
2011-03-30,70449,193422
2011-03-31,69161,194091
2011-04-01,69885,193377
2011-04-04,70046,193778
2011-04-05,68034,193868
2011-04-06,67873,192753
2011-04-07,66664,192664
2011-04-08,66664,191994
2011-04-11,66583,191994
2011-04-12,65054,191949
2011-04-13,63685,191102
2011-04-14,63525,190344
2011-04-15,62236,190256
2011-04-18,61512,189542
2011-04-19,62156,189141
2011-04-20,63201,189498
2011-04-21,62156,190076
2011-04-22,60626,189498
2011-04-25,60466,188651
