Date,Actual Closing Price,Forecast Closing Price
1996-07-31,98,726
1996-08-01,98,729
1996-08-02,104,729
1996-08-03,110,733
1996-08-05,110,737
1996-08-06,110,737
1996-08-07,117,737
1996-08-08,123,742
1996-08-09,123,746
1996-08-10,123,746
1996-08-12,123,746
1996-08-13,123,746
1996-08-14,123,746
1996-08-16,123,746
1996-08-17,123,746
1996-08-19,123,746
1996-08-20,123,746
1996-08-21,123,746
1996-08-22,131,746
1996-08-23,139,752
1996-08-24,147,757
1996-08-26,156,763
1996-08-27,165,769
1996-08-28,175,775
1996-08-29,185,782
1996-08-30,196,789
1996-08-31,196,796
1996-09-02,207,796
1996-09-03,207,804
1996-09-04,207,804
1996-09-05,220,804
1996-09-06,233,813
1996-09-07,246,822
1996-09-09,261,831
1996-09-10,276,841
1996-09-11,292,851
1996-09-12,292,862
1996-09-13,292,862
1996-09-14,292,862
1996-09-16,292,862
1996-09-17,292,862
1996-09-18,308,862
1996-09-19,308,874
1996-09-20,308,874
1996-09-21,308,874
1996-09-23,308,874
1996-09-24,308,874
1996-09-25,308,874
1996-09-30,308,874
1996-10-01,308,874
1996-10-02,308,874
1996-10-04,308,874
1996-10-05,308,874
1996-10-07,308,874
1996-10-08,308,874
1996-10-09,308,874
1996-10-10,308,874
1996-10-11,308,874
1996-10-12,308,874
1996-10-14,308,874
1996-10-15,326,874
1996-10-16,326,886
1996-10-17,326,886
1996-10-18,326,886
1996-10-19,326,886
1996-10-21,326,886
1996-10-22,326,886
1996-10-23,326,886
1996-10-24,326,886
1996-10-25,326,886
1996-10-26,326,886
1996-10-28,326,886
1996-10-29,326,886
1996-10-30,326,886
1996-10-31,326,886
1996-11-01,326,886
1996-11-02,326,886
1996-11-04,326,886
1996-11-05,326,886
1996-11-06,326,886
1996-11-07,326,886
1996-11-08,326,886
1996-11-09,326,886
1996-11-11,326,886
1996-11-12,326,886
1996-11-13,326,886
1996-11-14,326,886
1996-11-15,326,886
1996-11-16,326,886
1996-11-18,326,886
1996-11-19,326,886
1996-11-20,326,886
1996-11-21,326,886
1996-11-22,326,886
1996-11-25,326,886
1996-11-26,326,886
1996-11-27,326,886
1996-11-28,326,886
1996-11-29,326,886
1996-11-30,326,886
1996-12-02,326,886
1996-12-03,338,886
1996-12-04,338,895
1996-12-05,338,895
1996-12-06,338,895
1996-12-07,338,895
1996-12-09,338,895
1996-12-10,338,895
1996-12-11,364,895
1996-12-12,364,913
1996-12-13,364,913
1996-12-14,364,913
1996-12-16,364,913
1996-12-17,364,913
1996-12-18,364,913
1996-12-19,364,913
1996-12-20,364,913
1996-12-21,364,913
1996-12-23,364,913
1996-12-24,364,913
1996-12-26,364,913
1996-12-27,373,913
1997-01-03,403,919
1997-01-04,434,940
1997-01-06,434,962
1997-01-07,425,962
1997-01-08,413,956
1997-01-09,413,947
1997-01-10,415,947
1997-01-11,429,949
1997-01-13,441,959
1997-01-14,455,967
1997-01-15,489,977
1997-01-16,522,1002
1997-01-17,548,1025
1997-01-18,592,1044
1997-01-20,555,1076
1997-01-21,547,1049
1997-01-22,566,1043
1997-01-23,564,1057
1997-01-24,555,1056
1997-01-25,521,1049
1997-01-27,507,1025
1997-01-28,505,1015
1997-01-29,512,1013
1997-01-30,552,1018
1997-01-31,522,1047
1997-02-01,529,1025
1997-02-03,517,1030
1997-02-04,519,1022
1997-02-05,519,1023
1997-02-06,528,1023
1997-02-10,535,1030
1997-02-11,535,1035
1997-02-12,528,1035
1997-02-13,510,1030
1997-02-14,512,1017
1997-02-15,512,1018
1997-02-17,502,1018
1997-02-18,502,1011
1997-02-19,509,1011
1997-02-20,489,1016
1997-02-21,460,1002
1997-02-22,463,981
1997-02-24,476,983
1997-02-25,482,992
1997-02-26,469,997
1997-02-27,486,987
1997-02-28,493,1000
1997-03-03,474,1005
1997-03-04,472,991
1997-03-05,470,989
1997-03-06,482,988
1997-03-07,489,997
1997-03-08,482,1002
1997-03-10,469,997
1997-03-11,472,987
1997-03-12,439,989
1997-03-13,441,966
1997-03-14,446,967
1997-03-15,465,971
1997-03-17,455,984
1997-03-18,444,977
1997-03-19,446,969
1997-03-20,436,971
1997-03-21,434,964
1997-03-22,434,962
1997-03-24,446,962
1997-03-25,460,971
1997-03-26,474,981
1997-03-27,463,991
1997-03-28,469,983
1997-03-29,463,987
1997-03-31,476,983
1997-04-01,463,992
1997-04-02,470,983
1997-04-03,463,988
1997-04-04,462,983
1997-04-07,476,982
1997-04-08,474,992
1997-04-09,467,991
1997-04-10,465,986
1997-04-11,474,984
1997-04-12,463,991
1997-04-14,465,983
1997-04-15,469,984
1997-04-16,498,987
1997-04-17,486,1008
1997-04-18,500,1000
1997-04-19,486,1010
1997-04-21,472,1000
1997-04-22,472,989
1997-04-23,477,989
1997-04-24,469,993
1997-04-25,465,987
1997-04-26,469,984
1997-04-28,467,987
1997-04-29,463,986
1997-04-30,465,983
1997-05-02,465,984
1997-05-03,467,984
1997-05-06,453,986
1997-05-07,444,976
1997-05-08,448,969
1997-05-09,443,972
1997-05-10,439,969
1997-05-12,446,966
1997-05-13,448,971
1997-05-15,444,972
1997-05-16,462,969
1997-05-17,489,982
1997-05-19,519,1002
1997-05-20,538,1023
1997-05-21,521,1037
1997-05-22,541,1025
1997-05-23,521,1039
1997-05-24,528,1025
1997-05-26,529,1030
1997-05-27,538,1030
1997-05-28,538,1037
1997-05-29,547,1037
1997-05-30,538,1043
1997-05-31,538,1037
1997-06-02,526,1037
1997-06-03,507,1028
1997-06-04,517,1015
1997-06-05,503,1022
1997-06-07,509,1012
1997-06-09,512,1016
1997-06-10,529,1018
1997-06-11,545,1030
1997-06-12,521,1042
1997-06-13,519,1025
1997-06-14,521,1023
1997-06-16,529,1025
1997-06-17,535,1030
1997-06-18,533,1035
1997-06-19,519,1033
1997-06-20,512,1023
1997-06-21,491,1018
1997-06-23,496,1003
1997-06-24,496,1007
1997-06-25,500,1007
1997-06-26,500,1010
1997-06-27,510,1010
1997-06-28,502,1017
1997-06-30,498,1011
1997-07-01,491,1008
1997-07-02,502,1003
1997-07-03,496,1011
1997-07-04,491,1007
1997-07-05,486,1003
1997-07-07,479,1000
1997-07-08,517,994
1997-07-09,548,1022
1997-07-10,528,1044
1997-07-11,536,1030
1997-07-12,521,1035
1997-07-14,528,1025
1997-07-15,521,1030
1997-07-16,505,1025
1997-07-18,498,1013
1997-07-19,500,1008
1997-07-21,477,1010
1997-07-22,477,993
1997-07-23,510,993
1997-07-24,489,1017
1997-07-25,502,1002
1997-07-26,495,1011
1997-07-28,486,1006
1997-07-29,482,1000
1997-07-30,486,997
1997-07-31,482,1000
1997-08-01,488,997
1997-08-02,488,1001
1997-08-04,486,1001
1997-08-05,482,1000
1997-08-06,491,997
1997-08-07,500,1003
1997-08-08,495,1010
1997-08-09,496,1006
1997-08-11,502,1007
1997-08-12,503,1011
1997-08-13,503,1012
1997-08-14,496,1012
1997-08-16,486,1007
1997-08-18,482,1000
1997-08-19,484,997
1997-08-20,479,998
1997-08-21,481,994
1997-08-22,491,996
1997-08-23,486,1003
1997-08-25,469,1000
1997-08-26,469,987
1997-08-27,460,987
1997-08-28,446,981
1997-08-29,437,971
1997-08-30,411,965
1997-09-01,430,946
1997-09-02,434,960
1997-09-03,427,962
1997-09-04,437,957
1997-09-05,448,965
1997-09-06,448,972
1997-09-08,451,972
1997-09-09,460,974
1997-09-10,469,981
1997-09-11,469,987
1997-09-12,469,987
1997-09-13,469,987
1997-09-18,463,987
1997-09-19,451,983
1997-09-20,448,974
1997-09-22,443,972
1997-09-23,450,969
1997-09-24,446,974
1997-09-25,434,971
1997-09-26,432,962
1997-09-27,434,961
1997-09-29,446,962
1997-09-30,430,971
1997-10-01,437,960
1997-10-02,437,965
1997-10-04,437,965
1997-10-06,422,965
1997-10-07,413,954
1997-10-08,396,947
1997-10-09,397,935
1997-10-10,397,936
1997-10-11,399,936
1997-10-13,399,938
1997-10-14,394,938
1997-10-15,387,934
1997-10-16,389,929
1997-10-17,389,930
1997-10-18,359,930
1997-10-20,337,909
1997-10-21,363,894
1997-10-22,390,912
1997-10-23,377,931
1997-10-24,359,922
1997-10-25,337,909
1997-10-27,335,894
1997-10-28,356,892
1997-10-29,347,907
1997-10-30,364,901
1997-10-31,377,913
1997-11-01,403,922
1997-11-03,410,940
1997-11-04,399,945
1997-11-05,390,938
1997-11-06,359,931
1997-11-07,352,909
1997-11-08,380,904
1997-11-10,410,924
1997-11-11,404,945
1997-11-12,396,941
1997-11-13,385,935
1997-11-14,387,928
1997-11-15,359,929
1997-11-17,358,909
1997-11-18,363,909
1997-11-19,349,912
1997-11-20,349,902
1997-11-21,321,902
1997-11-22,297,883
1997-11-24,274,866
1997-11-25,253,850
1997-11-26,257,835
1997-11-27,238,838
1997-11-28,220,825
1997-11-29,203,813
1997-12-01,187,801
1997-12-02,187,790
1997-12-03,201,790
1997-12-04,217,800
1997-12-05,217,811
1997-12-06,200,811
1997-12-08,184,799
1997-12-09,170,788
1997-12-10,157,778
1997-12-11,144,769
1997-12-12,139,761
1997-12-13,150,757
1997-12-15,162,765
1997-12-16,174,773
1997-12-17,184,781
1997-12-19,198,788
1997-12-20,213,797
1997-12-22,198,808
1997-12-23,213,797
1997-12-24,217,808
1997-12-26,210,811
1997-12-27,226,806
1998-01-03,244,817
1998-01-05,262,829
1998-01-06,282,842
1998-01-07,304,855
1998-01-08,328,871
1998-01-09,354,888
1998-01-10,382,906
1998-01-12,412,926
1998-01-13,380,947
1998-01-14,394,924
1998-01-15,364,934
1998-01-16,350,913
1998-01-17,378,903
1998-01-19,350,923
1998-01-20,346,903
1998-01-21,340,900
1998-01-22,366,896
1998-01-23,370,914
1998-01-24,388,917
1998-01-26,418,930
1998-01-30,450,951
1998-01-31,486,974
1998-02-02,494,1000
1998-02-03,506,1005
1998-02-04,546,1014
1998-02-05,588,1043
1998-02-06,590,1073
1998-02-07,590,1075
1998-02-09,544,1075
1998-02-10,502,1041
1998-02-11,462,1011
1998-02-12,470,982
1998-02-13,434,988
1998-02-14,400,962
1998-02-16,368,938
1998-02-17,396,916
1998-02-18,426,935
1998-02-19,460,957
1998-02-20,470,981
1998-02-21,506,988
1998-02-23,506,1014
1998-02-24,466,1014
1998-02-25,450,985
1998-02-26,452,974
1998-02-27,488,975
1998-02-28,520,1001
1998-03-02,483,1024
1998-03-03,486,997
1998-03-04,440,1000
1998-03-05,429,967
1998-03-06,430,959
1998-03-07,481,960
1998-03-09,530,996
1998-03-10,530,1031
1998-03-11,526,1031
1998-03-12,540,1028
1998-03-13,530,1038
1998-03-14,500,1031
1998-03-16,476,1010
1998-03-17,492,992
1998-03-18,482,1004
1998-03-19,494,997
1998-03-20,500,1005
1998-03-21,497,1010
1998-03-23,460,1007
1998-03-24,454,981
1998-03-25,450,977
1998-03-26,450,974
1998-03-27,444,974
1998-03-28,392,969
1998-03-30,439,933
1998-03-31,442,966
1998-04-01,426,968
1998-04-02,376,957
1998-04-03,421,921
1998-04-04,471,953
1998-04-06,496,989
1998-04-07,450,1007
1998-04-08,450,974
1998-04-09,448,974
1998-04-10,466,972
1998-04-11,458,985
1998-04-13,436,979
1998-04-14,434,964
1998-04-15,424,962
1998-04-16,420,955
1998-04-17,420,952
1998-04-18,420,952
1998-04-20,410,952
1998-04-21,400,945
1998-04-22,390,938
1998-04-23,376,931
1998-04-24,370,921
1998-04-25,350,917
1998-04-27,336,903
1998-04-28,360,893
1998-04-29,350,910
1998-04-30,350,903
1998-05-02,330,903
1998-05-04,300,889
1998-05-06,306,868
1998-05-07,304,872
1998-05-08,312,871
1998-05-09,310,876
1998-05-11,273,875
1998-05-12,242,849
1998-05-13,270,828
1998-05-14,257,847
1998-05-15,268,838
1998-05-16,280,846
1998-05-18,272,854
1998-05-19,280,849
1998-05-20,260,854
1998-05-21,264,840
1998-05-22,270,843
1998-05-23,270,847
1998-05-25,264,847
1998-05-26,268,843
1998-05-27,268,846
1998-05-28,260,846
1998-05-29,260,840
1998-05-30,277,840
1998-06-01,256,852
1998-06-02,252,837
1998-06-03,250,835
1998-06-05,258,833
1998-06-08,260,839
1998-06-09,263,840
1998-06-10,260,842
1998-06-11,232,840
1998-06-12,220,821
1998-06-13,196,813
1998-06-15,191,796
1998-06-16,214,793
1998-06-17,239,808
1998-06-18,260,826
1998-06-19,266,840
1998-06-20,260,844
1998-06-22,246,840
1998-06-23,243,831
1998-06-24,235,828
1998-06-25,234,823
1998-06-26,234,822
1998-06-27,232,822
1998-06-29,238,821
1998-06-30,255,825
1998-07-01,240,837
1998-07-02,236,826
1998-07-03,228,824
1998-07-04,228,818
1998-07-06,250,818
1998-07-07,236,833
1998-07-08,238,824
1998-07-09,232,825
1998-07-10,220,821
1998-07-11,240,813
1998-07-13,234,826
1998-07-14,238,822
1998-07-15,236,825
1998-07-16,240,824
1998-07-18,267,826
1998-07-20,264,845
1998-07-21,254,843
1998-07-22,241,836
1998-07-23,236,827
1998-07-24,228,824
1998-07-25,230,818
1998-07-27,233,819
1998-07-28,233,822
1998-07-29,236,822
1998-07-30,230,824
1998-07-31,230,819
1998-08-01,216,819
1998-08-03,224,810
1998-08-04,228,815
1998-08-05,228,818
1998-08-06,220,818
1998-08-07,214,813
1998-08-08,212,808
1998-08-10,204,807
1998-08-11,193,802
1998-08-12,193,794
1998-08-13,187,794
1998-08-14,181,790
1998-08-17,175,786
1998-08-18,180,782
1998-08-19,201,785
1998-08-20,220,800
1998-08-21,210,813
1998-08-22,228,806
1998-08-24,217,818
1998-08-25,220,811
1998-08-26,220,813
1998-08-27,208,813
1998-08-28,200,804
1998-08-29,214,799
1998-08-31,200,808
1998-09-01,199,799
1998-09-02,200,798
1998-09-03,208,799
1998-09-04,210,804
1998-09-05,214,806
1998-09-07,206,808
1998-09-08,221,803
1998-09-09,218,813
1998-09-10,214,811
1998-09-11,216,808
1998-09-12,214,810
1998-09-14,220,808
1998-09-15,246,813
1998-09-16,275,831
1998-09-17,302,851
1998-09-18,292,869
1998-09-19,280,862
1998-09-21,260,854
1998-09-22,291,840
1998-09-23,325,862
1998-09-24,300,885
1998-09-25,302,868
1998-09-26,281,869
1998-09-28,278,855
1998-09-29,280,853
1998-09-30,272,854
1998-10-01,276,849
1998-10-02,280,851
1998-10-07,277,854
1998-10-08,280,852
1998-10-09,294,854
1998-10-10,316,864
1998-10-12,317,879
1998-10-13,355,880
1998-10-14,397,907
1998-10-15,376,936
1998-10-16,390,921
1998-10-17,380,931
1998-10-19,383,924
