Date,Actual Closing Price,Forecast Closing Price
2013-09-16,12667,16805
2013-09-17,11933,17512
2013-09-23,12520,16848
2013-09-24,13890,17379
2013-09-25,15944,18624
2013-09-26,17216,20502
2013-09-27,16629,21672
2013-09-30,15748,21131
2013-10-01,15895,20322
2013-10-02,14232,20457
2013-10-04,14526,18935
2013-10-07,14770,19204
2013-10-08,14868,19427
2013-10-10,14623,19516
2013-10-11,14037,19292
2013-10-14,14085,18758
2013-10-15,13939,18801
2013-10-16,13352,18668
2013-10-17,14085,18134
2013-10-18,14330,18801
2013-10-21,14477,19025
2013-10-22,14770,19159
2013-10-23,15064,19427
2013-10-24,15161,19695
2013-10-25,15406,19784
2013-10-28,15699,20008
2013-10-29,15455,20277
2013-10-30,13743,20053
2013-10-31,13939,18490
2013-11-01,13841,18668
2013-11-04,13499,18579
2013-11-05,13009,18268
2013-11-06,12716,17823
2013-11-07,12471,17557
2013-11-08,11982,17335
2013-11-11,12129,16892
2013-11-12,12325,17025
2013-11-13,12423,17203
2013-11-14,12325,17291
2013-11-15,11933,17203
2013-11-18,11933,16848
2013-11-19,13058,16848
2013-11-20,13596,17867
2013-11-21,13841,18356
2013-11-22,14085,18579
2013-11-25,14232,18801
2013-11-26,13939,18935
2013-11-27,13743,18668
2013-11-28,14085,18490
2013-11-29,15993,18801
2013-12-02,16140,20547
2013-12-03,16140,20682
2013-12-04,15553,20682
2013-12-05,16433,20143
2013-12-06,16188,20951
2013-12-09,15797,20726
2013-12-10,16335,20367
2013-12-11,15846,20861
2013-12-12,14477,20412
2013-12-13,14037,19159
2013-12-16,13890,18758
2013-12-17,15259,18624
2013-12-18,15406,19874
2013-12-19,15210,20008
2013-12-20,15553,19829
2013-12-23,15455,20143
2013-12-24,14917,20053
2013-12-26,15650,19561
2013-12-27,16042,20232
2013-12-30,16091,20592
2014-01-02,16433,20637
2014-01-03,16433,20951
2014-01-06,16873,20951
2014-01-07,18878,21356
2014-01-08,19954,23210
2014-01-09,20737,24210
2014-01-10,20150,24940
2014-01-13,20248,24392
2014-01-14,21030,24483
2014-01-15,20835,25213
2014-01-16,20492,25031
2014-01-17,20688,24711
2014-01-20,20052,24894
2014-01-21,21666,24301
2014-01-22,21666,25808
2014-01-23,22449,25808
2014-01-24,22008,26542
2014-01-27,21862,26128
2014-01-28,22742,25992
2014-01-29,22987,26817
2014-02-03,22057,27047
2014-02-04,21960,26174
2014-02-05,21471,26083
2014-02-06,21715,25625
2014-02-07,21715,25854
2014-02-10,20199,25854
2014-02-11,20443,24438
2014-02-12,20346,24665
2014-02-13,20443,24575
2014-02-14,21911,24665
2014-02-17,21715,26037
2014-02-18,22400,25854
2014-02-19,21911,26496
2014-02-20,22204,26037
2014-02-21,21275,26312
2014-02-24,20884,25442
2014-02-25,20688,25077
2014-02-26,20199,24894
2014-02-27,20248,24438
2014-02-28,19612,24483
2014-03-03,20248,23891
2014-03-04,20492,24483
2014-03-05,20688,24711
2014-03-06,20835,24894
2014-03-07,20199,25031
2014-03-10,20101,24438
2014-03-11,21422,24346
2014-03-12,22498,25580
2014-03-13,22204,26588
2014-03-14,23036,26312
2014-03-17,23036,27093
2014-03-18,23720,27093
2014-03-19,23769,27737
2014-03-20,24552,27783
2014-03-21,23084,28522
2014-03-24,22742,27138
2014-03-25,23231,26817
2014-03-26,23036,27277
2014-03-27,23329,27093
2014-03-28,22987,27369
2014-03-31,22938,27047
2014-04-01,24698,27001
2014-04-02,24552,28660
2014-04-03,24943,28522
2014-04-04,24356,28891
2014-04-07,24454,28337
2014-04-08,24454,28429
2014-04-09,23720,28429
2014-04-10,23574,27737
2014-04-11,24307,27599
2014-04-14,24160,28290
2014-04-15,24454,28152
2014-04-16,24503,28429
2014-04-17,24503,28475
2014-04-18,24405,28475
2014-04-21,24160,28383
2014-04-22,23182,28152
2014-04-23,23133,27231
2014-04-24,22498,27184
2014-04-25,21862,26588
2014-04-28,21666,25992
2014-04-29,21617,25808
2014-04-30,21862,25762
2014-05-02,21960,25992
2014-05-07,21519,26083
2014-05-08,21617,25670
2014-05-09,21324,25762
2014-05-12,21324,25488
2014-05-13,21079,25488
2014-05-14,21666,25259
2014-05-15,21617,25808
2014-05-16,21079,25762
2014-05-19,23231,25259
2014-05-20,23378,27277
2014-05-21,23427,27415
2014-05-22,23622,27461
2014-05-23,23622,27645
2014-05-26,23671,27645
2014-05-27,24405,27691
2014-05-28,23965,28383
2014-05-29,24601,27968
2014-05-30,26117,28568
2014-06-02,26508,30003
2014-06-03,26704,30374
2014-06-05,26606,30560
2014-06-09,26117,30467
2014-06-10,26166,30003
2014-06-11,26263,30049
2014-06-12,26263,30141
2014-06-13,25334,30141
2014-06-16,25236,29261
2014-06-17,24747,29168
2014-06-18,25236,28706
2014-06-19,24894,29168
2014-06-20,23965,28845
2014-06-23,24258,27968
2014-06-24,23133,28244
2014-06-25,23280,27184
2014-06-26,23916,27323
2014-06-27,23622,27922
2014-06-30,23427,27645
2014-07-01,24503,27461
2014-07-02,25677,28475
2014-07-03,25823,29586
2014-07-04,26263,29724
2014-07-07,26263,30141
2014-07-08,25530,30141
2014-07-09,25285,29446
2014-07-10,25725,29215
2014-07-11,25530,29631
2014-07-14,25677,29446
2014-07-15,25725,29586
2014-07-16,25236,29631
2014-07-17,25432,29168
2014-07-18,25774,29354
2014-07-21,26704,29678
2014-07-22,26801,30560
2014-07-23,26166,30652
2014-07-24,26019,30049
2014-07-25,26019,29910
2014-07-28,26166,29910
2014-07-29,24845,30049
2014-07-30,25628,28798
2014-07-31,25383,29539
2014-08-01,25579,29307
2014-08-04,25188,29493
2014-08-05,24894,29123
2014-08-06,24258,28845
2014-08-07,23769,28244
2014-08-08,23329,27783
2014-08-11,23133,27369
2014-08-12,22987,27184
2014-08-13,23231,27047
2014-08-14,23622,27277
2014-08-18,23720,27645
2014-08-19,24503,27737
2014-08-20,24503,28475
2014-08-21,24552,28475
2014-08-22,24943,28522
2014-08-25,24405,28891
2014-08-26,24307,28383
2014-08-27,25285,28290
2014-08-28,25432,29215
2014-08-29,25188,29354
2014-09-01,25236,29123
2014-09-02,26215,29168
2014-09-03,26410,30096
2014-09-04,26263,30281
2014-09-05,26019,30141
2014-09-11,25432,29910
2014-09-12,25579,29354
2014-09-15,24992,29493
2014-09-16,25970,28937
2014-09-17,25774,29863
2014-09-18,28220,29678
2014-09-19,28024,32002
2014-09-22,27731,31816
2014-09-23,26508,31536
2014-09-24,25628,30374
2014-09-25,24405,29539
2014-09-26,24943,28383
2014-09-29,25334,28891
2014-09-30,24943,29261
2014-10-01,24552,28891
2014-10-02,23720,28522
2014-10-06,23769,27737
2014-10-07,23769,27783
2014-10-08,22889,27783
2014-10-10,23133,26955
2014-10-13,23084,27184
2014-10-14,24650,27138
2014-10-15,24747,28614
2014-10-16,24307,28706
2014-10-17,24258,28290
2014-10-20,24698,28244
2014-10-21,24650,28660
2014-10-22,24943,28614
2014-10-23,25139,28891
2014-10-24,25530,29076
2014-10-27,25677,29446
2014-10-28,25481,29586
2014-10-29,25432,29400
2014-10-30,25921,29354
2014-10-31,25677,29817
2014-11-03,24943,29586
2014-11-04,24894,28891
