Date,Actual Closing Price,Forecast Closing Price
1990-01-03,14735,17310
1990-01-04,14373,17367
1990-01-05,14373,17023
1990-01-06,14373,17023
1990-01-08,14494,17023
1990-01-09,14312,17138
1990-01-10,14191,16965
1990-01-11,14070,16850
1990-01-12,13949,16735
1990-01-13,13828,16620
1990-01-15,14070,16505
1990-01-16,13828,16735
1990-01-17,13769,16505
1990-01-18,13406,16449
1990-01-19,13527,16104
1990-01-20,13949,16219
1990-01-22,13949,16620
1990-01-23,14131,16620
1990-01-24,14131,16793
1990-01-25,14131,16793
1990-01-29,14010,16793
1990-01-30,14252,16678
1990-01-31,14010,16908
1990-02-01,13769,16678
1990-02-02,13648,16449
1990-02-03,13709,16334
1990-02-05,13889,16392
1990-02-06,13769,16563
1990-02-07,13889,16449
1990-02-08,13769,16563
1990-02-09,13709,16449
1990-02-10,13588,16392
1990-02-12,13648,16277
1990-02-13,13709,16334
1990-02-14,13769,16392
1990-02-15,13828,16449
1990-02-16,13648,16505
1990-02-17,13709,16334
1990-02-19,13828,16392
1990-02-20,13889,16505
1990-02-21,13769,16563
1990-02-22,13709,16449
1990-02-23,13648,16392
1990-02-24,13406,16334
1990-02-26,13709,16104
1990-02-27,13467,16392
1990-02-28,13709,16162
1990-03-02,13709,16392
1990-03-03,13648,16392
1990-03-05,13588,16334
1990-03-06,13527,16277
1990-03-07,13467,16219
1990-03-08,13406,16162
1990-03-09,13588,16104
1990-03-12,13286,16277
1990-03-13,13346,15990
1990-03-14,13346,16047
1990-03-15,13286,16047
1990-03-16,13286,15990
1990-03-17,13467,15990
1990-03-19,13648,16162
1990-03-20,13648,16334
1990-03-21,13588,16334
1990-03-22,13467,16277
1990-03-23,13406,16162
1990-03-24,13346,16104
1990-03-26,13467,16047
1990-03-27,13165,16162
1990-03-28,13104,15875
1990-03-29,13467,15817
1990-03-30,13346,16162
1990-03-31,13346,16047
1990-04-02,13406,16047
1990-04-03,13225,16104
1990-04-04,13286,15932
1990-04-06,13165,15990
1990-04-07,13165,15875
1990-04-09,13104,15875
1990-04-10,13045,15817
1990-04-11,12984,15761
1990-04-12,12803,15703
1990-04-13,12501,15531
1990-04-14,12198,15245
1990-04-16,12440,14958
1990-04-17,12079,15187
1990-04-18,11655,14845
1990-04-19,11534,14443
1990-04-20,11655,14329
1990-04-21,11474,14443
1990-04-23,11595,14272
1990-04-24,11413,14386
1990-04-25,10930,14214
1990-04-26,11173,13757
1990-04-27,10750,13987
1990-04-28,10267,13587
1990-04-30,10750,13131
1990-05-01,11233,13587
1990-05-03,11715,14044
1990-05-04,11715,14500
