Date,Actual Closing Price,Forecast Closing Price
1990-01-03,45500,48022
1990-01-04,44500,48022
1990-01-05,44500,47099
1990-01-06,43900,47099
1990-01-08,44000,46542
1990-01-09,44100,46635
1990-01-10,43800,46728
1990-01-11,43500,46449
1990-01-12,43400,46170
1990-01-13,42900,46076
1990-01-15,42200,45609
1990-01-16,41800,44953
1990-01-17,41700,44576
1990-01-18,41200,44482
1990-01-19,41600,44010
1990-01-20,42600,44388
1990-01-22,43000,45328
1990-01-23,44000,45703
1990-01-24,44500,46635
1990-01-25,43700,47099
1990-01-29,43000,46356
1990-01-30,43000,45703
1990-01-31,42200,45703
1990-02-01,41800,44953
1990-02-02,41600,44576
1990-02-03,42000,44388
1990-02-05,43600,44765
1990-02-06,43000,46263
1990-02-07,43600,45703
1990-02-08,43200,46263
1990-02-09,42700,45890
1990-02-10,42800,45422
1990-02-12,42800,45516
1990-02-13,43000,45516
1990-02-14,44600,45703
1990-02-15,44600,47191
1990-02-16,44100,47191
1990-02-17,44500,46728
1990-02-19,44300,47099
1990-02-20,44100,46913
1990-02-21,44300,46728
1990-02-22,44200,46913
1990-02-23,44000,46820
1990-02-24,43300,46635
1990-02-26,44000,45983
1990-02-27,43500,46635
1990-02-28,19906,46170
1990-03-02,19724,22747
1990-03-03,19724,22557
1990-03-05,19679,22557
1990-03-06,19498,22510
1990-03-07,19407,22322
1990-03-08,19407,22227
1990-03-09,19316,22227
1990-03-12,19135,22132
1990-03-13,19316,21942
1990-03-14,19271,22132
1990-03-15,19498,22085
1990-03-16,19407,22322
1990-03-17,19588,22227
1990-03-19,20042,22416
1990-03-20,20042,22889
1990-03-21,20223,22889
1990-03-22,20087,23077
1990-03-23,20042,22936
1990-03-24,20087,22889
1990-03-26,20132,22936
1990-03-27,20042,22983
1990-03-28,20132,22889
1990-03-29,20767,22983
1990-03-30,20767,23644
1990-03-31,20677,23644
1990-04-02,20677,23550
1990-04-03,20359,23550
1990-04-04,20087,23219
1990-04-06,20087,22936
1990-04-07,19996,22936
1990-04-09,19860,22841
1990-04-10,20042,22699
1990-04-11,19951,22889
1990-04-12,19951,22794
1990-04-13,19724,22794
1990-04-14,19271,22557
1990-04-16,19271,22085
1990-04-17,19271,22085
1990-04-18,18954,22085
1990-04-19,18319,21753
1990-04-20,19044,21089
1990-04-21,18908,21847
1990-04-23,18908,21705
1990-04-24,18545,21705
1990-04-25,17820,21325
1990-04-26,18137,20566
1990-04-27,17548,20898
1990-04-28,16958,20280
1990-04-30,17548,19660
1990-05-01,18137,20280
1990-05-03,18817,20898
1990-05-04,18591,21610
1990-05-07,18228,21374
1990-05-08,18319,20993
1990-05-09,18228,21089
1990-05-10,17684,20993
1990-05-11,17775,20423
1990-05-12,17276,20518
1990-05-14,17049,19995
1990-05-15,17639,19756
1990-05-16,18137,20376
1990-05-17,18591,20898
1990-05-18,19044,21374
1990-05-19,19044,21847
1990-05-21,18817,21847
1990-05-22,18863,21610
1990-05-23,18772,21658
1990-05-24,18817,21563
1990-05-25,18954,21610
1990-05-26,18636,21753
1990-05-28,18817,21421
1990-05-29,18954,21610
1990-05-30,18908,21753
1990-05-31,19634,21705
1990-06-01,20268,22464
1990-06-02,20087,23124
1990-06-04,19906,22936
1990-06-05,19634,22747
1990-06-07,19180,22464
1990-06-08,19044,21989
1990-06-09,18681,21847
1990-06-11,18636,21468
1990-06-12,18591,21421
1990-06-13,18591,21374
1990-06-14,18681,21374
1990-06-15,18681,21468
1990-06-16,18364,21468
1990-06-18,17911,21136
1990-06-19,17911,20661
1990-06-20,17956,20661
1990-06-21,18047,20708
1990-06-22,18273,20804
1990-06-23,18319,21041
1990-06-25,18092,21089
1990-06-26,18228,20851
1990-06-27,18092,20993
1990-06-28,18047,20851
1990-06-29,17684,20804
1990-06-30,17820,20423
1990-07-02,18409,20566
1990-07-03,18137,21183
1990-07-04,18137,20898
1990-07-05,18137,20898
1990-07-06,18137,20898
1990-07-07,17911,20898
1990-07-09,17911,20661
1990-07-10,17457,20661
1990-07-11,17503,20185
1990-07-12,17049,20233
1990-07-13,17230,19756
1990-07-14,16777,19946
1990-07-16,16777,19470
1990-07-18,16913,19470
1990-07-19,17049,19613
1990-07-20,17049,19756
1990-07-21,16822,19756
1990-07-23,16777,19517
1990-07-24,16777,19470
1990-07-25,16958,19470
1990-07-26,17094,19660
1990-07-27,17230,19803
1990-07-28,17276,19946
1990-07-30,17684,19995
1990-07-31,17865,20423
1990-08-01,17639,20613
1990-08-02,17593,20376
1990-08-03,17457,20327
1990-08-04,17230,20185
1990-08-06,17140,19946
1990-08-07,17049,19852
1990-08-08,17094,19756
1990-08-09,17230,19803
1990-08-10,17230,19946
1990-08-11,16868,19946
1990-08-13,16732,19566
1990-08-14,16686,19423
1990-08-16,16686,19374
1990-08-17,16686,19374
1990-08-18,16233,19374
1990-08-20,16233,18897
1990-08-21,15779,18897
1990-08-22,15190,18419
1990-08-23,15235,17797
1990-08-24,14646,17844
1990-08-25,15235,17222
1990-08-27,15825,17844
1990-08-28,15689,18467
1990-08-29,15190,18324
1990-08-30,14601,17797
1990-08-31,14601,17174
1990-09-01,15190,17174
1990-09-03,15190,17797
1990-09-04,15190,17797
1990-09-05,15190,17797
1990-09-06,14737,17797
1990-09-07,14737,17318
1990-09-08,15063,17318
1990-09-10,15063,17663
1990-09-11,15156,17663
1990-09-12,15156,17761
1990-09-13,15156,17761
1990-09-14,15156,17761
1990-09-15,14550,17761
1990-09-17,15110,17120
1990-09-18,15343,17712
1990-09-19,15343,17958
1990-09-20,15623,17958
1990-09-21,15716,18254
1990-09-22,15763,18352
1990-09-24,16089,18402
1990-09-25,16229,18745
1990-09-26,16322,18893
