Date,Actual Closing Price,Forecast Closing Price
2001-02-02,1776,2704
2001-02-05,1994,2694
2001-02-06,1807,2906
2001-02-07,1719,2724
2001-02-08,1696,2638
2001-02-09,1603,2616
2001-02-12,1457,2525
2001-02-13,1448,2383
2001-02-14,1399,2374
2001-02-15,1372,2327
2001-02-16,1361,2300
2001-02-19,1563,2290
2001-02-20,1425,2486
2001-02-21,1488,2352
2001-02-22,1461,2413
2001-02-23,1472,2387
2001-02-26,1421,2398
2001-02-27,1465,2348
2001-02-28,1430,2391
2001-03-02,1457,2357
2001-03-05,1514,2383
2001-03-06,1483,2438
2001-03-07,1492,2408
2001-03-08,1541,2417
2001-03-09,1483,2465
2001-03-12,1443,2408
2001-03-13,1470,2369
2001-03-14,1467,2396
2001-03-15,1472,2393
2001-03-16,1492,2398
2001-03-19,1532,2417
2001-03-20,1583,2456
2001-03-21,1818,2506
2001-03-22,1763,2734
2001-03-23,1879,2681
2001-03-26,2052,2794
2001-03-27,1969,2963
2001-03-28,2109,2882
2001-03-29,2185,3019
2001-03-30,2176,3093
2001-04-02,2127,3084
2001-04-03,2021,3036
2001-04-04,2323,2933
2001-04-06,2492,3228
2001-04-09,2447,3394
2001-04-10,2465,3349
2001-04-11,2585,3367
2001-04-12,2567,3485
2001-04-13,2531,3467
2001-04-16,2465,3432
2001-04-17,2465,3367
2001-04-18,2447,3367
2001-04-19,2389,3349
2001-04-20,2394,3293
2001-04-23,2420,3297
2001-04-24,2407,3323
2001-04-25,2416,3310
2001-04-26,2665,3319
2001-04-27,2665,3563
2001-04-30,2718,3563
2001-05-02,2798,3615
2001-05-03,2723,3694
2001-05-04,2767,3620
2001-05-07,2767,3663
2001-05-08,2598,3663
2001-05-09,2678,3498
2001-05-10,2718,3576
2001-05-11,2714,3615
2001-05-14,2714,3611
2001-05-15,2625,3611
2001-05-16,2598,3524
2001-05-17,2731,3498
2001-05-18,3140,3628
2001-05-21,3065,4031
2001-05-22,3029,3957
2001-05-23,2962,3921
2001-05-24,2931,3855
2001-05-25,2900,3825
2001-05-28,2976,3794
2001-05-29,3109,3869
2001-05-30,3158,4000
2001-05-31,3087,4048
2001-06-01,3029,3978
2001-06-04,3029,3921
2001-06-05,3287,3921
2001-06-07,3780,4176
2001-06-08,3686,4663
2001-06-11,3527,4570
2001-06-12,3686,4413
2001-06-13,3722,4570
2001-06-14,3846,4605
2001-06-15,3949,4728
2001-06-18,3855,4830
2001-06-19,3735,4737
2001-06-20,3620,4618
2001-06-21,3775,4505
2001-06-22,3997,4658
2001-06-25,3686,4878
2001-06-26,3375,4570
2001-06-27,3442,4262
2001-06-28,3540,4329
2001-06-29,3633,4425
2001-07-02,3584,4517
2001-07-03,3655,4469
2001-07-04,3566,4539
2001-07-05,3491,4451
2001-07-06,3287,4377
2001-07-09,3331,4176
2001-07-10,3415,4219
2001-07-11,3464,4302
2001-07-12,3451,4350
2001-07-13,3451,4337
2001-07-16,3442,4337
2001-07-18,3313,4329
2001-07-19,3198,4201
2001-07-20,2834,4088
2001-07-23,2989,3729
2001-07-24,2976,3882
2001-07-25,3109,3869
2001-07-26,3073,4000
2001-07-27,3038,3965
2001-07-30,3100,3930
2001-07-31,3238,3991
2001-08-01,3153,4127
2001-08-02,3113,4043
2001-08-03,3122,4004
2001-08-06,3153,4013
