Date,Actual Closing Price,Forecast Closing Price
1990-01-03,1221050,896449
1990-01-04,1244837,919903
1990-01-05,1228980,933677
1990-01-06,1252766,924520
1990-01-08,1240872,938217
1990-01-09,1232944,931396
1990-01-10,1232944,926818
1990-01-11,1236908,926818
1990-01-12,1228980,929111
1990-01-13,1205192,924520
1990-01-15,1205192,910595
1990-01-16,1189335,910595
1990-01-17,1185370,901189
1990-01-18,1173477,898822
1990-01-19,1201229,891684
1990-01-20,1232944,908254
1990-01-22,1232944,926818
1990-01-23,1248801,926818
1990-01-24,1232944,935950
1990-01-25,1217086,926818
1990-01-29,1205192,917586
1990-01-30,1197264,910595
1990-01-31,1185370,905905
1990-02-01,1177441,898822
1990-02-02,1185370,894069
1990-02-03,1185370,898822
1990-02-05,1217086,898822
1990-02-06,1201229,917586
1990-02-07,1205192,908254
1990-02-08,1189335,910595
1990-02-09,1189335,901189
1990-02-10,1185370,901189
1990-02-12,1177441,898822
1990-02-13,1189335,894069
1990-02-14,1197264,901189
1990-02-15,1193299,905905
1990-02-16,1185370,903550
1990-02-17,1177441,898822
1990-02-19,1177441,894069
1990-02-20,1177441,894069
1990-02-21,1189335,894069
1990-02-22,1177441,901189
1990-02-23,1177441,894069
1990-02-24,1149690,894069
1990-02-26,1189335,877242
1990-02-27,1177441,901189
1990-02-28,1201228,894069
1990-03-02,1205192,908253
1990-03-03,1185370,910595
1990-03-05,1181406,898822
1990-03-06,1165548,896449
1990-03-07,1169513,886894
1990-03-08,1173476,889292
1990-03-09,1173476,891683
1990-03-12,1177441,891683
1990-03-13,1165548,894069
1990-03-14,1161584,886894
1990-03-15,1169513,884491
1990-03-16,1173476,889292
1990-03-17,1177441,891683
1990-03-19,1181406,894069
1990-03-20,1173476,896449
1990-03-21,1169513,891683
1990-03-22,1161584,889292
1990-03-23,1161584,884491
1990-03-24,1161584,884491
1990-03-26,1153655,884491
1990-03-27,1141761,879665
1990-03-28,1145725,872380
1990-03-29,1185370,874814
