Date,Actual Closing Price,Forecast Closing Price
2005-12-26,56200,78580
2005-12-27,59800,83348
2005-12-28,60000,85631
2005-12-29,69000,85757
2006-01-02,79300,91277
2006-01-03,77500,97395
2006-01-04,82400,96335
2006-01-05,83100,99216
2006-01-06,75100,99627
2006-01-09,72500,94917
2006-01-10,72300,93373
2006-01-11,69800,93254
2006-01-12,70500,91758
2006-01-13,71400,92178
2006-01-16,69000,92717
2006-01-17,65500,91277
2006-01-18,65500,89156
2006-01-19,59600,89156
2006-01-20,56700,85506
2006-01-23,55700,83668
2006-01-24,57300,83027
2006-01-25,61000,84051
2006-01-26,66100,86382
2006-01-27,63500,89522
2006-01-31,61500,87931
2006-02-01,62500,86693
2006-02-02,58900,87314
2006-02-03,59800,85065
2006-02-06,58900,85631
2006-02-07,58000,85065
2006-02-08,56900,84496
2006-02-09,56900,83796
2006-02-10,56800,83796
2006-02-13,59000,83732
2006-02-14,58800,85128
2006-02-15,58000,85002
2006-02-16,56200,84496
2006-02-17,54900,83348
2006-02-20,55000,82511
2006-02-21,54500,82575
2006-02-22,56500,82252
2006-02-23,55700,83540
2006-02-24,58700,83027
2006-02-27,59600,84939
2006-02-28,58500,85506
2006-03-02,55400,84812
2006-03-03,56100,82834
2006-03-06,55000,83284
2006-03-07,54200,82575
2006-03-08,55000,82057
2006-03-09,54400,82575
2006-03-10,55100,82187
2006-03-13,57800,82640
2006-03-14,57300,84369
2006-03-15,57600,84051
2006-03-16,56900,84242
2006-03-17,55400,83796
2006-03-20,54600,82834
2006-03-21,54000,82317
2006-03-22,50200,81927
2006-03-23,47000,79420
2006-03-24,39950,77253
2006-03-27,39200,72267
2006-03-28,38000,71719
2006-03-29,38550,70832
2006-03-30,41650,71240
2006-03-31,41600,73498
2006-04-03,44000,73462
2006-04-04,43550,75168
2006-04-05,41950,74851
2006-04-06,40600,73713
2006-04-07,41000,72740
2006-04-10,40400,73030
2006-04-11,39850,72595
2006-04-12,41700,72195
2006-04-13,42400,73534
2006-04-14,41550,74035
2006-04-17,41750,73426
2006-04-18,35500,73570
2006-04-19,35550,68954
2006-04-20,34000,68992
2006-04-21,31850,67806
2006-04-24,33100,66131
2006-04-25,33900,67109
2006-04-26,33500,67729
2006-04-27,33800,67419
2006-04-28,31250,67651
2006-05-02,30700,65657
2006-05-03,35300,65220
2006-05-04,39950,68802
2006-05-08,37950,72267
2006-05-09,36800,70795
2006-05-10,39000,69936
2006-05-11,37900,71572
2006-05-12,36700,70758
2006-05-15,37000,69861
2006-05-16,36300,70086
2006-05-17,34100,69560
2006-05-18,34700,67883
2006-05-19,33000,68344
2006-05-22,32850,67031
2006-05-23,32400,66914
2006-05-24,31850,66562
2006-05-25,33000,66131
2006-05-26,34650,67031
2006-05-29,33900,68305
2006-05-30,33350,67729
2006-06-01,32950,67303
2006-06-02,32100,66992
2006-06-05,30700,66327
2006-06-07,30000,65220
2006-06-08,31700,64662
2006-06-09,31800,66013
2006-06-12,30550,66091
2006-06-13,31100,65101
2006-06-14,31450,65538
2006-06-15,33800,65815
2006-06-16,33150,67651
2006-06-19,31000,67148
2006-06-20,31550,65459
2006-06-21,31050,65894
