Date,Actual Closing Price,Forecast Closing Price
1990-01-03,33700,108221
1990-01-04,32800,107994
1990-01-05,32500,107584
1990-01-06,32600,107448
1990-01-08,32600,107494
1990-01-09,32100,107494
1990-01-10,32400,107267
1990-01-11,32500,107403
1990-01-12,32300,107448
1990-01-13,31700,107358
1990-01-15,31300,107086
1990-01-16,30800,106905
1990-01-17,30700,106680
1990-01-18,30500,106635
1990-01-19,30600,106545
1990-01-20,31900,106590
1990-01-22,33100,107177
1990-01-23,34200,107721
1990-01-24,33900,108221
1990-01-25,33700,108085
1990-01-29,33500,107994
1990-01-30,34000,107902
1990-01-31,33400,108130
1990-02-01,32800,107857
1990-02-02,32500,107584
1990-02-03,32100,107448
1990-02-05,33400,107267
1990-02-06,33300,107857
1990-02-07,33600,107812
1990-02-08,33100,107948
1990-02-09,33200,107721
1990-02-10,33000,107766
1990-02-12,33300,107675
1990-02-13,33800,107812
1990-02-14,33800,108039
1990-02-15,33800,108039
1990-02-16,34000,108039
1990-02-17,33900,108130
1990-02-19,33700,108085
1990-02-20,33300,107994
1990-02-21,33600,107812
1990-02-22,33700,107948
1990-02-23,33700,107994
1990-02-24,33300,107994
1990-02-26,34000,107812
1990-02-27,33300,108130
1990-02-28,14767,107812
1990-03-02,14680,99660
1990-03-03,14548,99623
1990-03-05,14417,99567
1990-03-06,14417,99511
1990-03-07,14373,99511
1990-03-08,14548,99492
1990-03-09,14548,99567
1990-03-12,14373,99567
1990-03-13,14329,99492
1990-03-14,14461,99474
1990-03-15,14680,99530
1990-03-16,14636,99623
1990-03-17,14767,99604
1990-03-19,15249,99660
1990-03-20,15425,99865
1990-03-21,15688,99940
1990-03-22,15556,100052
1990-03-23,15688,99996
1990-03-24,15731,100052
1990-03-26,15950,100071
1990-03-27,15863,100164
1990-03-28,16038,100127
1990-03-29,16520,100202
1990-03-30,16871,100408
1990-03-31,16608,100558
1990-04-02,16520,100446
1990-04-03,16301,100408
1990-04-04,15994,100314
1990-04-06,16126,100183
1990-04-07,16213,100240
1990-04-09,16170,100277
1990-04-10,16301,100258
1990-04-11,16345,100314
1990-04-12,16389,100333
1990-04-13,16170,100352
1990-04-14,15950,100258
1990-04-16,15863,100164
1990-04-17,15600,100127
1990-04-18,15337,100015
1990-04-19,14986,99903
1990-04-20,15381,99753
1990-04-21,15118,99921
1990-04-23,15556,99809
1990-04-24,15162,99996
1990-04-25,14636,99828
1990-04-26,15118,99604
1990-04-27,14548,99809
1990-04-28,13978,99567
1990-04-30,14548,99325
1990-05-01,15118,99567
1990-05-03,15644,99809
1990-05-04,15425,100034
1990-05-07,15381,99940
1990-05-08,15337,99921
1990-05-09,15249,99903
1990-05-10,14899,99865
1990-05-11,14680,99716
1990-05-12,14461,99623
1990-05-14,14110,99530
1990-05-15,14680,99381
1990-05-16,15030,99623
1990-05-17,15118,99772
1990-05-18,15118,99809
1990-05-19,14986,99809
1990-05-21,15030,99753
1990-05-22,15118,99772
1990-05-23,15118,99809
1990-05-24,15205,99809
1990-05-25,15030,99846
1990-05-26,15030,99772
1990-05-28,14986,99772
1990-05-29,15118,99753
1990-05-30,15205,99809
1990-05-31,15775,99846
1990-06-01,15863,100090
1990-06-02,15819,100127
1990-06-04,15600,100108
1990-06-05,15425,100015
1990-06-07,15468,99940
1990-06-08,15556,99959
1990-06-09,15381,99996
1990-06-11,15249,99921
1990-06-12,15249,99865
1990-06-13,15249,99865
1990-06-14,15337,99865
1990-06-15,15293,99903
1990-06-16,15118,99884
1990-06-18,14943,99809
1990-06-19,14943,99735
1990-06-20,15118,99735
1990-06-21,15249,99809
1990-06-22,15293,99865
1990-06-23,15118,99884
1990-06-25,14943,99809
1990-06-26,14855,99735
1990-06-27,14899,99697
1990-06-28,14767,99716
1990-06-29,14723,99660
1990-06-30,14855,99641
1990-07-02,15425,99697
1990-07-03,14899,99940
1990-07-04,14504,99716
1990-07-05,14548,99548
1990-07-06,14592,99567
1990-07-07,14680,99586
1990-07-09,14767,99623
1990-07-10,14548,99660
1990-07-11,14592,99567
1990-07-12,14417,99586
1990-07-13,14417,99511
1990-07-14,14241,99511
1990-07-16,14329,99436
1990-07-18,14110,99474
1990-07-19,14154,99381
1990-07-20,14022,99399
1990-07-21,13803,99343
1990-07-23,13847,99251
1990-07-24,13935,99269
1990-07-25,13628,99307
1990-07-26,13540,99176
1990-07-27,13496,99139
1990-07-28,13409,99121
1990-07-30,13496,99084
1990-07-31,13935,99121
1990-08-01,13935,99307
1990-08-02,13409,99307
1990-08-03,13146,99084
1990-08-04,13146,98972
1990-08-06,13102,98972
1990-08-07,13014,98954
1990-08-08,13014,98917
1990-08-09,12971,98917
1990-08-10,12971,98898
1990-08-11,12971,98898
1990-08-13,12971,98898
1990-08-14,12576,98898
1990-08-16,12620,98732
1990-08-17,12620,98750
1990-08-18,12620,98750
1990-08-20,12620,98750
1990-08-21,12620,98750
1990-08-22,12620,98750
1990-08-23,12620,98750
1990-08-24,12226,98750
1990-08-25,12664,98584
1990-08-27,13102,98769
1990-08-28,12795,98954
1990-08-29,12357,98824
1990-08-30,11919,98639
1990-08-31,11787,98455
1990-09-01,12226,98399
1990-09-03,11919,98584
1990-09-04,11700,98455
1990-09-05,11481,98362
1990-09-06,11481,98270
1990-09-07,11437,98270
1990-09-08,11262,98252
1990-09-10,11130,98178
1990-09-11,10999,98123
1990-09-12,10999,98068
1990-09-13,10911,98068
1990-09-14,10780,98031
1990-09-15,10341,97976
1990-09-17,10604,97792
1990-09-18,10604,97902
1990-09-19,10604,97902
1990-09-20,10604,97902
1990-09-21,10385,97902
1990-09-22,10429,97810
1990-09-24,10341,97829
1990-09-25,10166,97792
1990-09-26,10166,97719
1990-09-27,10341,97719
1990-09-28,10692,97792
1990-09-29,11130,97939
1990-10-05,11349,98123
1990-10-06,11568,98215
1990-10-08,11963,98307
1990-10-10,12094,98473
1990-10-11,11963,98528
1990-10-12,11963,98473
1990-10-13,12007,98473
1990-10-15,12007,98492
1990-10-16,11875,98492
1990-10-17,11744,98436
1990-10-18,12182,98381
1990-10-19,12050,98565
1990-10-20,12182,98510
1990-10-22,12620,98565
1990-10-23,13058,98750
1990-10-24,12620,98935
1990-10-25,12182,98750
1990-10-26,11744,98565
1990-10-27,11744,98381
1990-10-29,11744,98381
1990-10-30,11831,98381
1990-10-31,12050,98417
1990-11-01,11831,98510
1990-11-02,11831,98417
1990-11-03,11612,98417
1990-11-05,11656,98325
1990-11-06,11831,98344
1990-11-07,12182,98417
1990-11-08,12182,98565
1990-11-09,12050,98565
1990-11-10,12007,98510
1990-11-12,12007,98492
1990-11-13,12007,98492
1990-11-14,11826,98492
1990-11-15,11916,98415
1990-11-16,12142,98453
1990-11-17,11961,98548
1990-11-19,11871,98472
1990-11-20,11871,98434
1990-11-21,12097,98434
1990-11-22,12097,98530
1990-11-23,11826,98530
1990-11-24,11736,98415
1990-11-26,11736,98377
1990-11-27,11871,98377
1990-11-28,11826,98434
1990-11-29,11961,98415
1990-11-30,12007,98472
1990-12-01,11916,98492
1990-12-03,12007,98453
1990-12-04,12097,98492
1990-12-05,12187,98530
1990-12-06,12097,98567
1990-12-07,11916,98530
1990-12-08,11916,98453
1990-12-10,11781,98453
1990-12-11,11781,98396
1990-12-12,11736,98396
1990-12-13,11736,98377
1990-12-14,11691,98377
1990-12-15,11691,98359
1990-12-17,11691,98359
1990-12-18,11691,98359
1990-12-19,11736,98359
1990-12-20,11961,98377
1990-12-21,11691,98472
1990-12-22,11781,98359
1990-12-24,11871,98396
1990-12-26,11736,98434
1991-01-03,11691,98377
1991-01-04,11736,98359
1991-01-05,11510,98377
1991-01-07,11194,98282
1991-01-08,10833,98150
1991-01-09,10382,97998
1991-01-10,9975,97809
1991-01-11,10382,97639
1991-01-12,10156,97809
1991-01-14,9750,97714
1991-01-15,9930,97545
1991-01-16,10382,97620
1991-01-17,10607,97809
1991-01-18,10382,97903
1991-01-19,10020,97809
1991-01-21,9659,97657
1991-01-22,9388,97507
1991-01-23,9795,97393
1991-01-24,9840,97563
1991-01-25,9885,97582
1991-01-26,10246,97601
1991-01-28,10246,97752
1991-01-29,10111,97752
1991-01-30,9975,97696
1991-01-31,9975,97639
1991-02-01,10156,97639
1991-02-02,9975,97714
1991-02-04,10020,97639
1991-02-05,10020,97657
1991-02-06,9975,97657
1991-02-07,9930,97639
1991-02-08,9930,97620
1991-02-09,9930,97620
1991-02-11,10066,97620
1991-02-12,10246,97677
1991-02-13,10697,97752
1991-02-18,10472,97941
1991-02-19,10562,97847
1991-02-20,10562,97884
1991-02-21,10607,97884
1991-02-22,10878,97903
1991-02-23,11104,98017
1991-02-25,11013,98112
1991-02-26,11149,98074
1991-02-27,11149,98131
1991-02-28,11239,98131
1991-03-02,10833,98169
1991-03-04,11059,97998
1991-03-05,11375,98093
1991-03-06,11781,98226
1991-03-07,11961,98396
1991-03-08,11871,98472
1991-03-09,11916,98434
1991-03-11,11871,98453
1991-03-12,11781,98434
