Date,Actual Closing Price,Forecast Closing Price
1990-01-03,30100,44918
1990-01-04,29000,44732
1990-01-05,29000,44395
1990-01-06,29000,44395
1990-01-08,28500,44395
1990-01-09,29100,44243
1990-01-10,28300,44425
1990-01-11,28600,44183
1990-01-12,28700,44274
1990-01-13,28700,44304
1990-01-15,28200,44304
1990-01-16,27800,44153
1990-01-17,27900,44032
1990-01-18,28000,44062
1990-01-19,28300,44092
1990-01-20,28500,44183
1990-01-22,28700,44243
1990-01-23,29200,44304
1990-01-24,29400,44456
1990-01-25,29500,44517
1990-01-29,29500,44548
1990-01-30,28900,44548
1990-01-31,28900,44365
1990-02-01,28300,44365
1990-02-02,28100,44183
1990-02-03,28100,44123
1990-02-05,28400,44123
1990-02-06,28300,44213
1990-02-07,28400,44183
1990-02-08,28500,44213
1990-02-09,28500,44243
1990-02-10,28300,44243
1990-02-12,28300,44183
1990-02-13,28400,44183
1990-02-14,28200,44213
1990-02-15,28100,44153
1990-02-16,28100,44123
1990-02-17,28000,44123
1990-02-19,28000,44092
1990-02-20,28000,44092
1990-02-21,28300,44092
1990-02-22,28000,44183
1990-02-23,28000,44092
1990-02-24,27400,44092
1990-02-26,28000,43913
1990-02-27,28200,44092
1990-02-28,13164,44153
1990-03-02,12849,40074
1990-03-03,12894,39999
1990-03-05,12984,40010
1990-03-06,12984,40031
1990-03-07,12894,40031
1990-03-08,12849,40010
1990-03-09,12623,39999
1990-03-12,12398,39945
1990-03-13,12398,39892
1990-03-14,12398,39892
1990-03-15,12398,39892
1990-03-16,12308,39892
1990-03-17,12533,39871
1990-03-19,12759,39924
1990-03-20,12714,39978
1990-03-21,12533,39967
1990-03-22,12533,39924
1990-03-23,12398,39924
1990-03-24,12353,39892
1990-03-26,12353,39882
1990-03-27,12172,39882
1990-03-28,12082,39839
1990-03-29,12308,39818
1990-03-30,12172,39871
1990-03-31,12263,39839
1990-04-02,12623,39860
1990-04-03,12668,39945
1990-04-04,12533,39956
1990-04-06,12398,39924
1990-04-07,12398,39892
1990-04-09,12172,39892
1990-04-10,12172,39839
1990-04-11,12218,39839
1990-04-12,12037,39850
1990-04-13,11947,39807
1990-04-14,11812,39786
1990-04-16,11902,39755
1990-04-17,11947,39776
1990-04-18,11496,39786
1990-04-19,11181,39681
1990-04-20,11631,39608
1990-04-21,11541,39712
1990-04-23,11136,39691
1990-04-24,11045,39597
1990-04-25,10595,39576
1990-04-26,11045,39473
1990-04-27,11000,39576
