Date,Actual Closing Price,Forecast Closing Price
1990-01-03,29600,76854
1990-01-04,29000,77077
1990-01-05,28900,76742
1990-01-06,29300,76686
1990-01-08,29500,76910
1990-01-09,29200,77021
1990-01-10,28800,76854
1990-01-11,28900,76630
1990-01-12,28600,76686
1990-01-13,28400,76517
1990-01-15,28400,76405
1990-01-16,28200,76405
1990-01-17,28100,76291
1990-01-18,27900,76235
1990-01-19,28000,76121
1990-01-20,28700,76178
1990-01-22,28900,76574
1990-01-23,29900,76686
1990-01-24,29600,77244
1990-01-25,29300,77077
1990-01-29,29000,76910
1990-01-30,29000,76742
1990-01-31,28400,76742
1990-02-01,28000,76405
1990-02-02,27900,76178
1990-02-03,28100,76121
1990-02-05,28800,76235
1990-02-06,28700,76630
1990-02-07,29000,76574
1990-02-08,28800,76742
1990-02-09,28500,76630
1990-02-10,28200,76461
1990-02-12,28300,76291
1990-02-13,28600,76348
1990-02-14,29000,76517
1990-02-15,28900,76742
1990-02-16,28500,76686
1990-02-17,28600,76461
1990-02-19,28700,76517
1990-02-20,28800,76574
1990-02-21,28700,76630
1990-02-22,28300,76574
1990-02-23,28200,76348
1990-02-24,27900,76291
1990-02-26,28600,76121
1990-02-27,28200,76517
1990-02-28,16908,76291
1990-03-02,16849,69390
1990-03-03,16673,69351
1990-03-05,16614,69235
1990-03-06,16496,69195
1990-03-07,16378,69117
1990-03-08,16437,69038
1990-03-09,16437,69078
1990-03-12,16201,69078
1990-03-13,16201,68920
1990-03-14,16378,68920
1990-03-15,16496,69038
1990-03-16,16260,69117
1990-03-17,16496,68959
1990-03-19,16790,69117
1990-03-20,16790,69312
1990-03-21,16790,69312
1990-03-22,16673,69312
1990-03-23,16614,69235
1990-03-24,16555,69195
1990-03-26,16437,69156
1990-03-27,16201,69078
1990-03-28,16260,68920
1990-03-29,16790,68959
1990-03-30,16790,69312
1990-03-31,16614,69312
1990-04-02,16614,69195
1990-04-03,16319,69195
1990-04-04,16142,68999
1990-04-06,16142,68880
1990-04-07,16024,68880
1990-04-09,15789,68801
1990-04-10,15848,68643
1990-04-11,15612,68683
1990-04-12,15376,68524
1990-04-13,14964,68364
1990-04-14,14611,68084
1990-04-16,14964,67843
1990-04-17,14728,68084
1990-04-18,14375,67923
1990-04-19,14316,67681
1990-04-20,14611,67640
1990-04-21,14493,67843
1990-04-23,14198,67762
1990-04-24,13904,67559
1990-04-25,13314,67355
1990-04-26,13786,66944
1990-04-27,13197,67274
1990-04-28,12607,66863
1990-04-30,13197,66447
1990-05-01,13786,66863
1990-05-03,14375,67274
1990-05-04,14257,67681
1990-05-07,14316,67600
1990-05-08,14198,67640
1990-05-09,13609,67559
1990-05-10,13314,67150
1990-05-11,13138,66944
1990-05-12,12902,66821
1990-05-14,12607,66655
1990-05-15,13197,66447
1990-05-16,13491,66863
1990-05-17,13550,67068
1990-05-18,13373,67109
1990-05-19,13550,66986
1990-05-21,13962,67109
1990-05-22,14021,67396
1990-05-23,14021,67437
1990-05-24,14139,67437
1990-05-25,13904,67518
1990-05-26,13727,67355
1990-05-28,13962,67233
1990-05-29,14139,67396
1990-05-30,14434,67518
1990-05-31,14375,67721
1990-06-01,14375,67681
1990-06-02,14669,67681
1990-06-04,14669,67883
1990-06-05,14552,67883
1990-06-07,14611,67802
1990-06-08,14611,67843
1990-06-09,14257,67843
1990-06-11,14139,67600
1990-06-12,14021,67518
1990-06-13,13668,67437
1990-06-14,13786,67192
1990-06-15,13845,67274
