Date,Actual Closing Price,Forecast Closing Price
1991-03-12,10536,36944
1991-03-13,10981,37115
1991-03-14,11426,37288
1991-03-15,12020,37463
1991-03-16,12613,37699
1991-03-18,13207,37938
1991-03-19,13800,38181
1991-03-20,14394,38427
1991-03-21,14988,38676
1991-03-22,15730,38930
1991-03-23,16471,39251
1991-03-25,16471,39578
1991-03-27,16471,39578
1991-03-28,17213,39578
1991-03-29,17955,39912
1991-03-30,18697,40251
1991-04-01,19439,40596
1991-04-02,20181,40947
1991-04-03,20923,41305
1991-04-04,20923,41668
1991-04-06,21665,41668
1991-04-08,20923,42038
1991-04-09,20181,41668
1991-04-10,19439,41305
1991-04-11,19439,40947
1991-04-12,19439,40947
1991-04-13,19439,40947
1991-04-15,19439,40947
1991-04-16,19439,40947
1991-04-17,19439,40947
1991-04-18,19439,40947
1991-04-19,19439,40947
1991-04-20,19439,40947
1991-04-22,19439,40947
1991-04-23,19439,40947
1991-04-24,19439,40947
1991-04-25,18697,40947
1991-04-26,18697,40596
1991-04-27,18697,40596
1991-04-29,18697,40596
1991-04-30,18697,40596
1991-05-01,18697,40596
1991-05-02,18697,40596
1991-05-03,18697,40596
1991-05-04,18697,40596
1991-05-06,18697,40596
1991-05-07,18697,40596
1991-05-08,18697,40596
1991-05-09,18697,40596
1991-05-10,18697,40596
1991-05-11,18697,40596
1991-05-13,18697,40596
1991-05-14,18697,40596
1991-05-15,18697,40596
1991-05-16,18697,40596
1991-05-17,18697,40596
1991-05-18,18697,40596
1991-05-20,18697,40596
1991-05-22,18697,40596
1991-05-23,18697,40596
1991-05-24,18697,40596
1991-05-25,18697,40596
1991-05-27,18697,40596
1991-05-28,18697,40596
1991-05-29,18697,40596
1991-05-30,18697,40596
1991-05-31,18697,40596
1991-06-01,18697,40596
1991-06-03,18697,40596
1991-06-04,18697,40596
1991-06-05,18697,40596
1991-06-07,18697,40596
1991-06-08,18697,40596
1991-06-10,17955,40596
1991-06-11,17213,40251
1991-06-12,17213,39912
1991-06-13,17213,39912
1991-06-14,16471,39912
1991-06-15,16471,39578
1991-06-17,16471,39578
1991-06-18,15730,39578
1991-06-19,15730,39251
1991-06-21,15730,39251
1991-06-22,15730,39251
1991-06-24,15730,39251
1991-06-25,15730,39251
1991-06-26,15730,39251
1991-06-27,15730,39251
1991-06-28,15730,39251
1991-06-29,14988,39251
1991-07-01,14246,38930
1991-07-02,13652,38614
1991-07-03,13652,38365
1991-07-04,13652,38365
1991-07-05,13058,38365
1991-07-06,13058,38120
1991-07-08,13058,38120
1991-07-09,13058,38120
1991-07-10,13058,38120
1991-07-11,13355,38120
1991-07-12,13355,38242
1991-07-13,13355,38242
1991-07-15,13355,38242
1991-07-16,13355,38242
1991-07-18,13355,38242
1991-07-19,13504,38242
1991-07-20,13504,38303
1991-07-22,13504,38303
1991-07-23,13504,38303
1991-07-24,13504,38303
1991-07-25,13504,38303
1991-07-26,13504,38303
1991-07-27,13504,38303
1991-07-29,14097,38303
1991-07-30,14097,38551
1991-07-31,14097,38551
1991-08-01,14097,38551
1991-08-02,14320,38551
1991-08-03,14320,38645
1991-08-05,14320,38645
1991-08-06,14320,38645
1991-08-07,14320,38645
1991-08-08,14913,38645
1991-08-09,14913,38898
1991-08-10,14913,38898
1991-08-12,14913,38898
1991-08-13,14913,38898
1991-08-14,14839,38898
1991-08-16,14839,38866
1991-08-17,14839,38866
1991-08-19,14839,38866
1991-08-20,14839,38866
1991-08-21,15210,38866
1991-08-22,14839,39025
