Date,Actual Closing Price,Forecast Closing Price
2007-10-01,220000,244123
2007-10-02,245000,234790
2007-10-04,255000,258162
2007-10-05,252500,267539
2007-10-08,247000,265194
2007-10-09,239000,260036
2007-10-10,252000,252541
2007-10-11,256500,264725
2007-10-12,271000,268946
2007-10-15,273500,282556
2007-10-16,273000,284903
2007-10-17,268000,284433
2007-10-18,289500,279740
2007-10-19,289500,299912
2007-10-22,285000,299912
2007-10-23,297500,295693
2007-10-24,290500,307405
2007-10-25,291500,300849
2007-10-26,307500,301786
2007-10-29,302000,316754
2007-10-30,300000,311615
2007-10-31,298500,309744
2007-11-01,309500,308341
2007-11-02,299000,318621
2007-11-05,299500,308809
2007-11-06,290000,309276
2007-11-07,300000,300380
2007-11-08,275500,309744
2007-11-09,296500,286780
2007-11-12,287000,306469
2007-11-13,281000,297568
2007-11-14,281500,291941
2007-11-15,274000,292410
2007-11-16,276500,285372
2007-11-19,280000,287718
2007-11-20,268500,291003
2007-11-21,262500,280209
2007-11-22,267000,274577
2007-11-23,265000,278801
2007-11-26,265000,276924
2007-11-27,254000,276924
2007-11-28,265500,266601
2007-11-29,277000,277393
2007-11-30,282000,288188
2007-12-03,282500,292879
2007-12-04,282500,293348
2007-12-05,285000,293348
2007-12-06,282500,295693
2007-12-07,278000,293348
2007-12-10,285000,289126
2007-12-11,284500,295693
2007-12-12,283000,295224
2007-12-13,290000,293817
2007-12-14,288500,300380
2007-12-17,280000,298974
2007-12-18,288000,291003
2007-12-20,285000,298506
2007-12-21,285000,295693
2007-12-24,289000,295693
2007-12-26,294000,299443
2007-12-27,295000,304128
2007-12-28,296000,305064
2008-01-02,290500,306001
2008-01-03,297000,300849
2008-01-04,297000,306937
2008-01-07,285000,306937
2008-01-08,285000,295693
2008-01-09,284000,295693
2008-01-10,284500,294755
2008-01-11,272000,295224
2008-01-14,268500,283495
2008-01-15,270000,280209
2008-01-16,270500,281617
2008-01-17,270500,282087
2008-01-18,270500,282087
2008-01-21,269000,282087
2008-01-22,264000,280679
2008-01-23,276500,275985
2008-01-24,269000,287718
2008-01-25,259000,280679
2008-01-28,260500,271292
2008-01-29,269500,272700
2008-01-30,275500,281148
2008-01-31,288000,286780
2008-02-01,283500,298506
2008-02-04,295000,294286
2008-02-05,287000,305064
2008-02-11,286500,297568
2008-02-12,289500,297099
2008-02-13,289000,299912
2008-02-14,277000,299443
2008-02-15,273500,288188
2008-02-18,268500,284903
2008-02-19,275000,280209
2008-02-20,280000,286311
2008-02-21,283000,291003
2008-02-22,282000,293817
2008-02-25,275000,292879
2008-02-26,270500,286311
2008-02-27,272500,282087
2008-02-28,268000,283964
2008-02-29,268500,279740
2008-03-03,259000,280209
2008-03-04,259500,271292
2008-03-05,266500,271762
2008-03-06,260000,278332
2008-03-07,258000,272231
2008-03-10,264000,270354
2008-03-11,260000,275985
2008-03-12,252500,272231
2008-03-13,245000,265194
2008-03-14,232500,258162
2008-03-17,225500,246460
2008-03-18,222000,239920
2008-03-19,226500,236655
2008-03-20,224500,240854
2008-03-21,222000,238987
2008-03-24,229000,236655
2008-03-25,218500,243189
2008-03-26,221000,233393
2008-03-27,219500,235722
2008-03-28,215500,234324
2008-03-31,220000,230599
2008-04-01,223500,234790
2008-04-02,217500,238054
2008-04-03,213500,232461
2008-04-04,222000,228739
2008-04-07,225000,236655
2008-04-08,226000,239454
2008-04-10,232000,240387
2008-04-11,235000,245992
2008-04-14,236500,248798
2008-04-15,235000,250201
2008-04-16,236000,248798
2008-04-17,233000,249733
2008-04-18,236500,246927
2008-04-21,241000,250201
2008-04-22,245000,254414
2008-04-23,244000,258162
2008-04-24,242500,257224
2008-04-25,245500,255819
2008-04-28,248500,258630
2008-04-29,251000,261442
2008-04-30,255000,263787
2008-05-02,259000,267539
2008-05-06,246000,271292
2008-05-07,245000,259099
2008-05-08,244000,258162
2008-05-09,246000,257224
2008-05-13,249500,259099
2008-05-14,250500,262380
2008-05-15,269500,263318
2008-05-16,277000,281148
2008-05-19,274000,288188
2008-05-20,275500,285372
2008-05-21,266500,286780
2008-05-22,272500,278332
2008-05-23,265000,283964
2008-05-26,263000,276924
2008-05-27,266500,275047
2008-05-28,264500,278332
