Date,Actual Closing Price,Forecast Closing Price
2004-08-06,23400,24223
2004-08-09,22700,22747
2004-08-10,23150,22037
2004-08-11,23050,22493
2004-08-12,22900,22392
2004-08-13,22950,22239
2004-08-16,22000,22290
2004-08-17,22000,21328
2004-08-18,21350,21328
2004-08-19,22000,20672
2004-08-20,22200,21328
2004-08-23,22000,21530
2004-08-24,21700,21328
2004-08-25,21600,21025
2004-08-26,21700,20924
2004-08-27,22300,21025
2004-08-30,21750,21632
2004-08-31,21600,21075
2004-09-01,21950,20924
2004-09-02,22150,21278
2004-09-03,21500,21480
2004-09-06,21000,20823
2004-09-07,21550,20319
2004-09-08,22200,20874
2004-09-09,22100,21530
2004-09-10,22300,21429
2004-09-13,22600,21632
2004-09-14,22250,21935
2004-09-15,21700,21581
2004-09-16,21800,21025
2004-09-17,22300,21126
2004-09-20,22900,21632
2004-09-21,23500,22239
2004-09-22,23150,22848
2004-09-23,23250,22493
2004-09-24,23700,22595
2004-09-30,24650,23052
2004-10-01,24300,24019
2004-10-04,24500,23662
2004-10-05,23850,23866
2004-10-06,23300,23204
2004-10-07,24200,22645
2004-10-08,24400,23560
2004-10-11,25050,23764
2004-10-12,24850,24427
2004-10-13,24800,24223
2004-10-14,24950,24172
2004-10-15,24550,24325
2004-10-18,24300,23917
2004-10-19,24550,23662
2004-10-20,23850,23917
2004-10-21,23350,23204
2004-10-22,23350,22696
2004-10-25,22900,22696
2004-10-26,23200,22239
2004-10-27,23000,22544
2004-10-28,23600,22341
2004-10-29,23800,22950
2004-11-01,23450,23153
2004-11-02,23150,22798
2004-11-03,23700,22493
2004-11-04,23800,23052
2004-11-05,23250,23153
2004-11-08,22550,22595
2004-11-09,22250,21885
2004-11-10,22750,21581
2004-11-11,23200,22087
2004-11-12,23000,22544
2004-11-15,22750,22341
2004-11-16,22400,22087
2004-11-17,22350,21733
2004-11-18,21400,21682
2004-11-19,21800,20722
2004-11-22,21350,21126
2004-11-23,22250,20672
2004-11-24,22950,21581
2004-11-25,23000,22290
2004-11-26,22250,22341
2004-11-29,22100,21581
2004-11-30,22550,21429
2004-12-01,23000,21885
2004-12-02,23000,22341
2004-12-03,22950,22341
2004-12-06,22550,22290
2004-12-07,22700,21885
2004-12-08,22550,22037
2004-12-09,22300,21885
2004-12-10,22000,21632
2004-12-13,21500,21328
2004-12-14,21800,20823
2004-12-15,22750,21126
2004-12-16,22900,22087
2004-12-17,22900,22239
2004-12-20,22800,22239
2004-12-21,23100,22138
2004-12-22,22750,22442
2004-12-23,22450,22087
2004-12-24,22300,21783
2004-12-27,21900,21632
2004-12-28,22100,21227
2004-12-29,22050,21429
2004-12-30,22400,21379
2005-01-03,22250,21733
2005-01-04,21950,21581
2005-01-05,21600,21278
2005-01-06,21700,20924
2005-01-07,21350,21025
2005-01-10,21450,20672
2005-01-11,21450,20773
2005-01-12,21450,20773
2005-01-13,22350,20773
2005-01-14,22700,21682
2005-01-17,22450,22037
2005-01-18,22000,21783
2005-01-19,22600,21328
2005-01-20,22300,21935
2005-01-21,21950,21632
2005-01-24,22000,21278
2005-01-25,22000,21328
2005-01-26,23000,21328
2005-01-27,22800,22341
2005-01-28,22850,22138
2005-01-31,22800,22189
2005-02-01,22700,22138
2005-02-02,22450,22037
2005-02-03,22900,21783
2005-02-04,24300,22239
2005-02-07,24300,23662
2005-02-11,24300,23662
2005-02-14,24300,23662
