Date,Actual Closing Price,Forecast Closing Price
2011-12-26,23800,25061
2011-12-27,23900,26315
2011-12-28,22650,26405
2011-12-29,23150,25285
2012-01-02,23000,25733
2012-01-03,21700,25598
2012-01-04,21400,24435
2012-01-05,24000,24167
2012-01-06,23000,26494
2012-01-09,23450,25598
2012-01-10,22700,26002
2012-01-11,22500,25330
2012-01-12,23000,25151
2012-01-13,22900,25598
2012-01-16,22400,25509
2012-01-17,22300,25061
2012-01-18,21850,24972
2012-01-19,21400,24569
2012-01-20,21300,24167
2012-01-25,20400,24078
2012-01-26,21700,23275
2012-01-27,21650,24435
2012-01-30,22250,24391
2012-01-31,22900,24927
2012-02-01,23250,25509
2012-02-02,23500,25822
2012-02-03,23950,26046
2012-02-06,23400,26450
2012-02-07,23050,25957
2012-02-08,23350,25643
2012-02-09,23250,25912
2012-02-10,24150,25822
2012-02-13,24000,26629
2012-02-14,24100,26494
2012-02-15,24000,26584
2012-02-16,24700,26494
2012-02-17,25900,27122
2012-02-20,25500,28198
2012-02-21,24750,27840
2012-02-22,24450,27167
2012-02-23,24700,26898
2012-02-24,24900,27122
2012-02-27,23900,27301
2012-02-28,23900,26405
2012-02-29,24150,26405
2012-03-02,24000,26629
2012-03-05,23500,26494
2012-03-06,23000,26046
2012-03-07,23500,25598
2012-03-08,24050,26046
2012-03-09,23750,26539
2012-03-12,24050,26270
2012-03-13,24800,26539
2012-03-14,24400,27212
2012-03-15,24600,26853
2012-03-16,25100,27032
2012-03-19,24000,27481
2012-03-20,23450,26494
2012-03-21,24050,26002
2012-03-22,23150,26539
2012-03-23,23150,25733
2012-03-26,22500,25733
2012-03-27,22500,25151
2012-03-28,22600,25151
2012-03-29,22900,25240
2012-03-30,23550,25509
2012-04-02,23200,26091
2012-04-03,23250,25778
2012-04-04,23200,25822
2012-04-05,22150,25778
2012-04-06,24000,24838
2012-04-09,24100,26494
2012-04-10,24450,26584
2012-04-12,24000,26898
2012-04-13,24450,26494
2012-04-16,25900,26898
2012-04-17,25500,28198
2012-04-18,25650,27840
2012-04-19,24000,27974
2012-04-20,24550,26494
2012-04-23,24400,26988
2012-04-24,24100,26853
2012-04-25,23350,26584
2012-04-26,23900,25912
2012-04-27,23600,26405
2012-04-30,23850,26136
2012-05-02,23400,26360
2012-05-03,23100,25957
2012-05-04,24200,25688
2012-05-07,23850,26674
2012-05-08,24000,26360
2012-05-09,24900,26494
2012-05-10,24000,27301
2012-05-11,24300,26494
2012-05-14,24000,26763
2012-05-15,24450,26494
2012-05-16,23850,26898
2012-05-17,23950,26360
2012-05-18,24000,26450
2012-05-21,24250,26494
2012-05-22,23750,26719
2012-05-23,24050,26270
2012-05-24,24000,26539
2012-05-25,25900,26494
2012-05-29,23900,28198
2012-05-30,22900,26405
2012-05-31,23200,25509
2012-06-01,23050,25778
2012-06-04,22000,25643
2012-06-05,23050,24703
2012-06-07,24000,25643
2012-06-08,24000,26494
2012-06-11,24500,26494
2012-06-12,24650,26943
2012-06-13,24500,27077
2012-06-14,24000,26943
2012-06-15,25000,26494
2012-06-18,24900,27391
2012-06-19,24900,27301
2012-06-20,24400,27301
2012-06-21,23800,26853
2012-06-22,24800,26315
2012-06-25,24950,27212
2012-06-26,24500,27346
2012-06-27,23750,26943
2012-06-28,23750,26270
2012-06-29,23900,26270
2012-07-02,24150,26405
2012-07-03,24700,26629
2012-07-04,23900,27122
2012-07-05,24100,26405
2012-07-06,23950,26584
2012-07-09,24200,26450
2012-07-10,24400,26674
2012-07-11,24650,26853
2012-07-12,24900,27077
2012-07-13,24950,27301
2012-07-16,25250,27346
2012-07-17,25050,27615
2012-07-18,24900,27436
2012-07-19,24300,27301
2012-07-20,24900,26763
2012-07-23,25250,27301
2012-07-24,26900,27615
2012-07-25,26200,29095
2012-07-26,26050,28467
2012-07-27,25850,28333
2012-07-30,25950,28153
2012-07-31,25350,28243
2012-08-01,25400,27705
2012-08-02,24600,27750
2012-08-03,25200,27032
2012-08-06,25500,27570
2012-08-07,25700,27840
2012-08-08,25300,28019
2012-08-09,24950,27660
2012-08-10,24950,27346
2012-08-13,24900,27346
2012-08-14,25000,27301
2012-08-16,25600,27391
2012-08-17,26350,27929
2012-08-20,26350,28602
2012-08-21,26000,28602
2012-08-22,26350,28288
2012-08-23,26950,28602
2012-08-24,27850,29140
2012-08-27,29000,29946
2012-08-28,29000,30975
2012-08-29,29950,30975
2012-08-30,30850,31823
2012-08-31,30500,32624
2012-09-03,30450,32313
2012-09-04,29250,32268
2012-09-05,28200,31198
2012-09-06,28500,30259
2012-09-07,29450,30528
2012-09-10,28450,31376
2012-09-11,28400,30483
2012-09-12,29000,30438
2012-09-13,28800,30975
2012-09-14,29200,30796
2012-09-17,28250,31153
2012-09-18,28000,30304
2012-09-19,29000,30080
2012-09-20,29100,30975
2012-09-21,28700,31064
2012-09-24,27950,30706
2012-09-25,28550,30035
2012-09-26,29550,30572
2012-09-27,30700,31466
2012-09-28,30200,32491
2012-10-02,32400,32045
2012-10-04,32500,33999
2012-10-05,32250,34087
2012-10-08,33600,33866
2012-10-09,33550,35057
2012-10-10,32300,35013
2012-10-11,32650,33910
2012-10-12,33300,34220
2012-10-15,32900,34793
2012-10-16,33000,34440
2012-10-17,32900,34529
2012-10-18,31300,34440
2012-10-19,32900,33024
2012-10-22,33500,34440
2012-10-23,33750,34969
2012-10-24,34800,35189
2012-10-25,33950,36109
2012-10-26,34150,35365
2012-10-29,32750,35540
2012-10-30,32900,34308
2012-10-31,31900,34440
2012-11-01,32550,33556
2012-11-02,32050,34131
2012-11-05,33200,33689
2012-11-06,31950,34705
2012-11-07,32150,33600
2012-11-08,31400,33777
2012-11-09,32300,33113
2012-11-12,31900,33910
2012-11-13,31050,33556
2012-11-14,29400,32802
2012-11-15,30400,31332
2012-11-16,28800,32224
2012-11-19,30450,30796
2012-11-20,31600,32268
2012-11-21,31450,33290
2012-11-22,31750,33157
2012-11-23,32100,33423
2012-11-26,31750,33733
2012-11-27,29350,33423
2012-11-28,29650,31287
2012-11-29,29000,31555
2012-11-30,29550,30975
2012-12-03,30000,31466
2012-12-04,30000,31867
2012-12-05,29900,31867
2012-12-06,27900,31778
2012-12-07,27950,29991
2012-12-10,27700,30035
2012-12-11,27400,29812
2012-12-12,28950,29543
2012-12-13,30350,30930
2012-12-14,31000,32179
2012-12-17,30950,32757
2012-12-18,30000,32713
2012-12-20,30650,31867
2012-12-21,29400,32446
2012-12-24,29300,31332
2012-12-26,29800,31243
2012-12-27,29350,31689
2012-12-28,29950,31287
2013-01-02,29650,31823
2013-01-03,27850,31555
2013-01-04,28300,29946
2013-01-07,27950,30349
2013-01-08,28150,30035
2013-01-09,29000,30214
2013-01-10,27900,30975
2013-01-11,27950,29991
2013-01-14,28050,30035
2013-01-15,27750,30125
2013-01-16,28000,29856
2013-01-17,27600,30080
2013-01-18,27800,29722
2013-01-21,28050,29901
2013-01-22,28500,30125
2013-01-23,27750,30528
2013-01-24,27850,29856
2013-01-25,27050,29946
2013-01-28,26800,29229
2013-01-29,27050,29005
2013-01-30,27200,29229
2013-01-31,27400,29364
2013-02-01,28200,29543
2013-02-04,28700,30259
2013-02-05,28450,30706
2013-02-06,28600,30483
2013-02-07,29300,30617
2013-02-08,29650,31243
2013-02-12,29600,31555
2013-02-13,29000,31510
2013-02-14,28750,30975
2013-02-15,29150,30751
2013-02-18,29150,31109
2013-02-19,29000,31109
2013-02-20,29000,30975
2013-02-21,28950,30975
2013-02-22,28100,30930
2013-02-25,28100,30170
2013-02-26,28500,30170
2013-02-27,29500,30528
2013-02-28,29500,31421
2013-03-04,29800,31421
2013-03-05,30000,31689
2013-03-06,30500,31867
2013-03-07,29900,32313
2013-03-08,30850,31778
2013-03-11,32100,32624
2013-03-12,31400,33733
2013-03-13,31000,33113
2013-03-14,30950,32757
2013-03-15,31550,32713
2013-03-18,30600,33246
2013-03-19,29450,32402
2013-03-20,29300,31376
2013-03-21,28950,31243
2013-03-22,28700,30930
2013-03-25,28750,30706
2013-03-26,29450,30751
2013-03-27,29600,31376
2013-03-28,29300,31510
2013-03-29,29500,31243
2013-04-01,29100,31421
2013-04-02,29100,31064
2013-04-03,29150,31064
2013-04-04,28800,31109
2013-04-05,28250,30796
2013-04-08,27250,30304
2013-04-09,26550,29409
2013-04-10,27000,28781
2013-04-11,27450,29184
2013-04-12,27950,29588
2013-04-15,28550,30035
2013-04-16,28200,30572
2013-04-17,28600,30259
2013-04-18,28950,30617
2013-04-19,29450,30930
2013-04-22,29300,31376
2013-04-23,29300,31243
2013-04-24,29700,31243
2013-04-25,29400,31600
2013-04-26,28800,31332
2013-04-29,28800,30796
2013-04-30,29550,30796
2013-05-02,30000,31466
2013-05-03,30250,31867
2013-05-06,30100,32090
2013-05-07,30100,31956
2013-05-08,30250,31956
2013-05-09,30000,32090
2013-05-10,30050,31867
2013-05-13,30200,31912
2013-05-14,30050,32045
2013-05-15,29950,31912
2013-05-16,29350,31823
2013-05-20,29100,31287
2013-05-21,28650,31064
2013-05-22,28750,30662
2013-05-23,28850,30751
2013-05-24,28700,30841
2013-05-27,28050,30706
2013-05-28,28100,30125
2013-05-29,28600,30170
2013-05-30,28900,30617
2013-05-31,29250,30885
2013-06-03,28800,31198
2013-06-04,28050,30796
2013-06-05,27050,30125
2013-06-07,27100,29229
2013-06-10,28850,29274
2013-06-11,29050,30841
2013-06-12,29900,31019
2013-06-13,30750,31778
2013-06-14,30800,32535
2013-06-17,31000,32579
2013-06-18,31150,32757
2013-06-19,30800,32891
2013-06-20,29800,32579
2013-06-21,29250,31689
2013-06-24,28450,31198
2013-06-25,28400,30483
2013-06-26,28950,30438
2013-06-27,29250,30930
2013-06-28,29300,31198
2013-07-01,29050,31243
2013-07-02,29900,31019
2013-07-03,29300,31778
2013-07-04,29450,31243
2013-07-05,30700,31376
2013-07-08,30700,32491
2013-07-09,31000,32491
2013-07-10,30850,32757
2013-07-11,31450,32624
2013-07-12,31050,33157
2013-07-15,30700,32802
2013-07-16,31150,32491
2013-07-17,31850,32891
2013-07-18,32300,33512
2013-07-19,32700,33910
2013-07-22,33000,34264
2013-07-23,33000,34529
2013-07-24,33250,34529
2013-07-25,33000,34749
2013-07-26,32850,34529
2013-07-29,33700,34396
2013-07-30,33800,35145
2013-07-31,33750,35233
2013-08-01,32800,35189
2013-08-02,32200,34352
2013-08-05,32350,33822
2013-08-06,33000,33954
2013-08-07,32900,34529
2013-08-08,32500,34440
2013-08-09,33050,34087
2013-08-12,32800,34573
2013-08-13,33000,34352
2013-08-14,31400,34529
2013-08-16,31000,33113
2013-08-19,31650,32757
2013-08-20,31550,33334
2013-08-21,30550,33246
2013-08-22,30450,32357
2013-08-23,30600,32268
2013-08-26,31050,32402
2013-08-27,30550,32802
2013-08-28,30200,32357
2013-08-29,30800,32045
2013-08-30,31050,32579
2013-09-02,30900,32802
2013-09-03,30550,32668
2013-09-04,30950,32357
2013-09-05,30300,32713
2013-09-06,29400,32134
2013-09-09,29700,31332
2013-09-10,29900,31600
2013-09-11,30500,31778
2013-09-12,30150,32313
2013-09-13,30900,32001
2013-09-16,31500,32668
2013-09-17,31650,33201
2013-09-23,30950,33334
2013-09-24,31300,32713
2013-09-25,31050,33024
2013-09-26,31850,32802
2013-09-27,31550,33512
2013-09-30,31400,33246
2013-10-01,30600,33113
2013-10-02,30450,32402
2013-10-04,30550,32268
2013-10-07,30400,32357
2013-10-08,29450,32224
2013-10-10,29550,31376
2013-10-11,29350,31466
2013-10-14,28500,31287
2013-10-15,28500,30528
2013-10-16,27700,30528
2013-10-17,27900,29812
2013-10-18,27500,29991
2013-10-21,28900,29632
2013-10-22,29150,30885
2013-10-23,28800,31109
2013-10-24,29000,30796
2013-10-25,29000,30975
2013-10-28,28400,30975
2013-10-29,29050,30438
2013-10-30,29200,31019
2013-10-31,29300,31153
2013-11-01,29000,31243
2013-11-04,29100,30975
2013-11-05,28550,31064
2013-11-06,28850,30572
2013-11-07,28200,30841
2013-11-08,28150,30259
2013-11-11,28000,30214
2013-11-12,28100,30080
2013-11-13,28150,30170
2013-11-14,28150,30214
2013-11-15,28900,30214
2013-11-18,29000,30885
2013-11-19,29050,30975
2013-11-20,29400,31019
2013-11-21,29000,31332
2013-11-22,29650,30975
2013-11-25,28700,31555
2013-11-26,28650,30706
2013-11-27,28600,30662
2013-11-28,29150,30617
2013-11-29,28300,31109
2013-12-02,28400,30349
2013-12-03,27700,30438
2013-12-04,27500,29812
2013-12-05,27300,29632
2013-12-06,27600,29453
2013-12-09,27850,29722
2013-12-10,28100,29946
2013-12-11,28050,30170
2013-12-12,27400,30125
2013-12-13,27250,29543
2013-12-16,27150,29409
2013-12-17,26950,29319
2013-12-18,26800,29140
2013-12-19,26450,29005
2013-12-20,27450,28691
2013-12-23,27400,29588
2013-12-24,27700,29543
2013-12-26,27900,29812
2013-12-27,27900,29991
2013-12-30,28000,29991
2014-01-02,26600,30080
2014-01-03,27200,28826
2014-01-06,26800,29364
2014-01-07,27200,29005
2014-01-08,26700,29364
2014-01-09,26500,28916
2014-01-10,26300,28736
2014-01-13,26700,28557
2014-01-14,26350,28916
2014-01-15,26600,28602
2014-01-16,26600,28826
2014-01-17,26200,28826
2014-01-20,26250,28467
2014-01-21,25950,28512
2014-01-22,26650,28243
2014-01-23,26000,28871
2014-01-24,25400,28288
2014-01-27,25300,27750
2014-01-28,25050,27660
2014-01-29,25350,27436
2014-02-03,25050,27705
2014-02-04,25150,27436
2014-02-05,23950,27526
2014-02-06,23600,26450
2014-02-07,25600,26136
2014-02-10,26400,27929
2014-02-11,26550,28647
2014-02-12,26500,28781
2014-02-13,26100,28736
2014-02-14,25700,28378
2014-02-17,26550,28019
2014-02-18,26150,28781
2014-02-19,26100,28422
2014-02-20,26050,28378
2014-02-21,25950,28333
2014-02-24,25200,28243
2014-02-25,25650,27570
2014-02-26,25650,27974
2014-02-27,25500,27974
2014-02-28,27150,27840
2014-03-03,27400,29319
2014-03-04,27750,29543
2014-03-05,27500,29856
2014-03-06,27000,29632
2014-03-07,26700,29184
2014-03-10,27500,28916
2014-03-11,28250,29632
2014-03-12,28350,30304
2014-03-13,28400,30393
2014-03-14,28150,30438
2014-03-17,28000,30214
2014-03-18,28300,30080
2014-03-19,27350,30349
2014-03-20,27550,29498
2014-03-21,27250,29677
2014-03-24,26800,29409
2014-03-25,26600,29005
2014-03-26,27800,28826
2014-03-27,27400,29901
2014-03-28,27500,29543
2014-03-31,26950,29632
2014-04-01,27650,29140
2014-04-02,27700,29767
2014-04-03,27950,29812
2014-04-04,27350,30035
2014-04-07,27750,29498
