Date,Actual Closing Price,Forecast Closing Price
2017-05-11,77500,77033
2017-05-12,75900,76553
2017-05-15,72100,75014
2017-05-16,69500,71332
2017-05-17,70300,68795
2017-05-18,70000,69577
2017-05-19,72900,69284
2017-05-22,74900,72110
2017-05-23,79400,74049
2017-05-24,83000,78371
2017-05-25,83200,81785
2017-05-26,86400,81973
2017-05-29,84000,84968
2017-05-30,80800,82726
2017-05-31,81600,79704
2017-06-01,82700,80463
2017-06-02,82400,81502
2017-06-05,79500,81219
2017-06-07,80200,78467
2017-06-08,84000,79134
2017-06-09,84000,82726
2017-06-12,82400,82726
2017-06-13,78100,81219
2017-06-14,84700,77128
2017-06-15,84100,83382
2017-06-16,81000,82820
2017-06-19,80200,79894
2017-06-20,78800,79134
2017-06-21,78200,77798
2017-06-22,74100,77224
2017-06-23,75100,73275
2017-06-26,76400,74242
2017-06-27,76600,75496
2017-06-28,76200,75688
2017-06-29,76100,75303
2017-06-30,77300,75207
2017-07-03,79600,76361
2017-07-04,80000,78562
2017-07-05,80000,78943
2017-07-06,80600,78943
2017-07-07,82800,79514
2017-07-10,81500,81597
2017-07-11,79300,80368
2017-07-12,77600,78276
2017-07-13,78600,76649
2017-07-14,79800,77607
2017-07-17,80600,78753
2017-07-18,79900,79514
2017-07-19,80400,78848
2017-07-20,82600,79324
2017-07-21,84200,81408
2017-07-24,82200,82913
2017-07-25,82400,81030
2017-07-26,85100,81219
2017-07-27,85700,83756
2017-07-28,85300,84316
2017-07-31,88100,83943
2017-08-01,92700,86544
2017-08-02,95800,90748
2017-08-03,94800,93530
2017-08-04,97200,92637
2017-08-07,92100,94772
2017-08-08,94400,90204
2017-08-09,95000,92279
2017-08-10,95200,92816
2017-08-11,95500,92995
2017-08-14,96000,93263
2017-08-16,92900,93708
2017-08-17,90000,90929
2017-08-18,87800,88291
2017-08-21,89900,86266
2017-08-22,90100,88199
2017-08-23,87200,88382
2017-08-24,86800,85711
2017-08-25,88300,85340
2017-08-28,87900,86728
2017-08-29,88500,86359
2017-08-30,88200,86913
2017-08-31,88600,86636
2017-09-01,88100,87005
2017-09-04,87000,86544
2017-09-05,85800,85526
2017-09-06,82500,84410
2017-09-07,82700,81314
2017-09-08,80900,81502
2017-09-11,81500,79799
2017-09-12,85000,80368
2017-09-13,85400,83663
2017-09-14,87000,84036
2017-09-15,87100,85526
2017-09-18,86400,85618
2017-09-19,88100,84968
2017-09-20,88100,86544
2017-09-21,85700,86544
2017-09-22,83100,84316
2017-09-25,83400,81879
2017-09-26,84900,82162
2017-09-27,84900,83569
2017-09-28,84300,83569
2017-09-29,85200,83007
2017-10-10,86900,83850
2017-10-11,87500,85433
2017-10-12,88100,85989
2017-10-13,88000,86544
2017-10-16,91700,86451
2017-10-17,92700,89841
2017-10-18,92200,90748
2017-10-19,92100,90295
2017-10-20,90400,90204
2017-10-23,88900,88657
2017-10-24,87600,87281
2017-10-25,89200,86081
2017-10-26,86000,87557
2017-10-27,86100,84596
2017-10-30,87200,84689
2017-10-31,90300,85711
2017-11-01,88100,88565
2017-11-02,85700,86544
2017-11-03,86400,84316
2017-11-06,85900,84968
2017-11-07,86800,84503
2017-11-08,83800,85340
2017-11-09,82300,82538
2017-11-10,81200,81125
2017-11-13,78200,80083
2017-11-14,79200,77224
2017-11-15,75600,78180
2017-11-16,76200,74725
2017-11-17,78000,75303
2017-11-20,76900,77033
2017-11-21,77100,75977
2017-11-22,76700,76169
2017-11-23,76100,75784
2017-11-24,75800,75207
2017-11-27,76000,74918
2017-11-28,78900,75110
2017-11-29,80300,77894
2017-11-30,79800,79229
2017-12-01,80100,78753
2017-12-04,82200,79038
2017-12-05,83000,81030
2017-12-06,79000,81785
2017-12-07,76800,77989
2017-12-08,76500,75881
2017-12-11,77400,75592
2017-12-12,77600,76457
2017-12-13,79700,76649
2017-12-14,79800,78657
2017-12-15,78300,78753
2017-12-18,76700,77320
2017-12-19,76600,75784
2017-12-20,76500,75688
2017-12-21,75100,75592
2017-12-22,73800,74242
2017-12-26,74900,72984
2017-12-27,72100,74049
2017-12-28,76200,71332
2018-01-02,82900,75303
2018-01-03,83400,81691
2018-01-04,86900,82162
2018-01-05,88600,85433
2018-01-08,87500,87005
2018-01-09,88700,85989
2018-01-10,91000,87097
2018-01-11,90500,89204
2018-01-12,90000,88748
2018-01-15,88200,88291
2018-01-16,88300,86636
2018-01-17,87800,86728
2018-01-18,86600,86266
2018-01-19,85500,85154
2018-01-22,86400,84130
2018-01-23,90200,84968
2018-01-24,90100,88474
2018-01-25,92400,88382
2018-01-26,93400,90476
2018-01-29,97600,91380
2018-01-30,94300,95125
2018-01-31,91400,92189
2018-02-01,92600,89569
2018-02-02,91100,90657
2018-02-05,89100,89295
2018-02-06,88800,87465
2018-02-07,86900,87189
2018-02-08,90100,85433
2018-02-09,85300,88382
2018-02-12,85000,83943
2018-02-13,78500,83663
2018-02-14,79700,77511
2018-02-19,82400,78657
2018-02-20,81200,81219
2018-02-21,82100,80083
2018-02-22,82300,80936
2018-02-23,83700,81125
2018-02-26,86900,82444
2018-02-27,87900,85433
2018-02-28,88500,86359
2018-03-02,85200,86913
2018-03-05,84300,83850
2018-03-06,89000,83007
2018-03-07,86500,87373
2018-03-08,88600,85061
2018-03-09,89000,87005
2018-03-12,89300,87373
2018-03-13,85400,87649
2018-03-14,85100,84036
2018-03-15,85000,83756
2018-03-16,85000,83663
2018-03-19,84100,83663
2018-03-20,82900,82820
2018-03-21,83300,81691
2018-03-22,86300,82068
2018-03-23,83400,84875
2018-03-26,85400,82162
2018-03-27,85000,84036
2018-03-28,85500,83663
2018-03-29,85200,84130
2018-03-30,87300,83850
2018-04-02,85200,85804
2018-04-03,83400,83850
2018-04-04,81800,82162
2018-04-05,83400,80652
2018-04-06,83400,82162
2018-04-09,80800,82162
2018-04-10,81600,79704
2018-04-11,84300,80463
2018-04-12,85300,83007
2018-04-13,84300,83943
2018-04-16,85200,83007
2018-04-17,85500,83850
2018-04-18,85000,84130
2018-04-19,83400,83663
2018-04-20,82200,82162
2018-04-23,82600,81030
2018-04-24,82700,81408
2018-04-25,80500,81502
2018-04-26,84200,79419
2018-04-27,84200,82913
2018-04-30,84500,82913
2018-05-02,84000,83195
2018-05-03,82200,82726
2018-05-04,82800,81030
2018-05-08,82000,81597
2018-05-09,81700,80841
2018-05-10,86600,80557
2018-05-11,87400,85154
2018-05-14,88100,85896
2018-05-15,86200,86544
2018-05-16,86300,84782
2018-05-17,84200,84875
2018-05-18,85900,82913
2018-05-21,84700,84503
2018-05-23,81900,83382
2018-05-24,81700,80747
2018-05-25,81200,80557
2018-05-28,80700,80083
2018-05-29,79400,79609
2018-05-30,76000,78371
2018-05-31,77600,75110
2018-06-01,77100,76649
2018-06-04,78800,76169
2018-06-05,77300,77798
2018-06-07,78200,76361
2018-06-08,75400,77224
2018-06-11,76300,74532
2018-06-12,77100,75399
2018-06-14,73100,76169
2018-06-15,74800,72305
2018-06-18,73800,73952
2018-06-19,70600,72984
2018-06-20,73200,69870
2018-06-21,73500,72402
2018-06-22,73500,72693
2018-06-25,73800,72693
2018-06-26,70900,72984
2018-06-27,68400,70163
2018-06-28,68200,67717
2018-06-29,70700,67521
2018-07-02,67800,69968
2018-07-03,68100,67129
2018-07-04,66600,67423
