Date,Actual Closing Price,Forecast Closing Price
1995-10-06,67930,53563
1995-10-07,71727,56924
1995-10-09,75905,60293
1995-10-10,80451,64012
1995-10-11,85004,68071
1995-10-12,89938,72147
1995-10-13,95252,76577
1995-10-14,100942,81361
1995-10-16,106644,86496
1995-10-17,112714,91653
1995-10-18,119166,97153
1995-10-19,117635,103008
1995-10-20,110815,101618
1995-10-21,110054,95431
1995-10-23,105126,94741
1995-10-24,109298,90279
1995-10-25,107394,94056
1995-10-26,110441,92332
1995-10-27,108917,95092
1995-10-28,110054,93711
1995-10-30,107781,94741
1995-10-31,105126,92682
1995-11-01,106263,90279
1995-11-02,106263,91308
1995-11-03,105876,91308
1995-11-04,105126,90957
1995-11-06,103597,90279
1995-11-07,101698,88896
1995-11-08,102085,87179
1995-11-09,97907,87528
1995-11-10,99424,83755
1995-11-11,100567,85124
1995-11-13,98668,86157
1995-11-14,96389,84442
1995-11-15,90700,82386
1995-11-16,91081,77262
1995-11-17,96389,77605
1995-11-18,97532,82386
1995-11-20,93360,83417
1995-11-21,91455,79656
1995-11-22,94871,77941
1995-11-23,94497,81017
1995-11-24,96777,80680
1995-11-25,96009,82736
1995-11-27,95633,82043
1995-11-28,97532,81704
1995-11-29,97532,83417
1995-11-30,96389,83417
1995-12-01,94871,82386
1995-12-02,91455,81017
1995-12-04,94497,77941
1995-12-05,96389,80680
1995-12-06,100567,82386
1995-12-07,102459,86157
1995-12-08,98668,87867
1995-12-09,98668,84442
1995-12-11,96777,84442
1995-12-12,93735,82736
1995-12-13,93360,79994
1995-12-14,92599,79656
1995-12-15,94116,78971
1995-12-16,92599,80337
1995-12-18,88051,78971
1995-12-19,89563,74881
1995-12-20,88051,76240
1995-12-21,90325,74881
1995-12-22,90325,76925
1995-12-23,92980,76925
1995-12-26,89189,79314
1995-12-27,88802,75904
1996-01-03,93784,75556
1996-01-04,88414,80038
1996-01-05,83443,75208
1996-01-06,84211,70748
1996-01-08,81140,71437
1996-01-09,82676,68687
1996-01-10,81140,70062
1996-01-11,81908,68687
1996-01-12,86509,69374
1996-01-13,84592,73497
1996-01-15,82301,71778
1996-01-16,81908,69726
1996-01-17,79616,69374
1996-01-18,77317,67324
1996-01-19,77317,65272
1996-01-20,75794,65272
1996-01-22,75026,63913
1996-01-23,76556,63229
1996-01-24,77317,64593
1996-01-25,76937,65272
1996-01-26,77698,64933
1996-01-27,76937,65612
1996-01-29,78466,64933
1996-01-30,81527,66297
1996-01-31,78848,69033
1996-02-01,77698,66638
1996-02-02,75794,65612
1996-02-03,76556,63913
1996-02-05,75794,64593
1996-02-06,74258,63913
1996-02-07,73109,62545
1996-02-08,71199,61522
1996-02-09,70811,59824
1996-02-10,71960,59480
1996-02-12,70055,60501
1996-02-13,68895,58808
1996-02-14,72722,57779
1996-02-15,76937,61178
1996-02-16,77317,64933
1996-02-17,75401,65272
1996-02-21,73877,63563
1996-02-22,71579,62206
1996-02-23,70424,60162
1996-02-24,71960,59136
1996-02-26,68513,60501
1996-02-27,68895,57440
1996-02-28,67751,57779
1996-02-29,67364,56765
1996-03-02,66977,56422
1996-03-04,67364,56079
1996-03-05,66609,56422
1996-03-06,66609,55753
1996-03-07,64692,55753
1996-03-08,63549,54058
1996-03-09,65460,53048
1996-03-11,64311,54737
1996-03-12,63156,53721
1996-03-13,61239,52701
1996-03-14,62781,51010
1996-03-15,66228,52370
1996-03-16,66228,55416
1996-03-18,64311,55416
1996-03-19,68132,53721
1996-03-20,71199,57103
1996-03-21,71579,59824
1996-03-22,68895,60162
1996-03-23,70811,57779
1996-03-25,69281,59480
1996-03-26,68132,58121
1996-03-27,68132,57103
1996-03-28,69663,57103
1996-03-29,68895,58460
1996-03-30,70811,57779
1996-04-01,71579,59480
1996-04-02,70811,60162
1996-04-03,71579,59480
1996-04-04,72722,60162
1996-04-06,71579,61178
1996-04-08,72722,60162
1996-04-09,70811,61178
1996-04-10,72341,59480
1996-04-12,72722,60839
1996-04-13,75401,61178
1996-04-15,74639,63563
1996-04-16,73877,62884
1996-04-17,74258,62206
1996-04-18,76556,62545
1996-04-19,81140,64593
1996-04-20,78848,68687
1996-04-22,79991,66638
1996-04-23,78085,67660
1996-04-24,78085,65957
1996-04-25,76556,65957
1996-04-26,75026,64593
1996-04-27,76556,63229
1996-04-29,76937,64593
