Date,Actual Closing Price,Forecast Closing Price
1998-12-24,33050,28733
1998-12-28,38000,32421
1999-01-04,43700,36723
1999-01-05,43600,41745
1999-01-06,42500,41656
1999-01-07,45000,40682
1999-01-08,43900,42900
1999-01-11,42700,41922
1999-01-12,42500,40859
1999-01-13,40600,40682
1999-01-14,39800,39005
1999-01-15,40300,38301
1999-01-18,39600,38741
1999-01-19,38700,38126
1999-01-20,38700,37336
1999-01-21,39400,37336
1999-01-22,38200,37950
1999-01-25,37000,36898
1999-01-26,36000,35849
1999-01-27,37700,34978
1999-01-28,38900,36460
1999-01-29,38850,37511
1999-02-01,40000,37467
1999-02-02,39450,38477
1999-02-03,38900,37994
1999-02-04,38700,37511
1999-02-05,38750,37336
1999-02-08,38950,37380
1999-02-09,38700,37555
1999-02-10,38100,37336
1999-02-11,38100,36810
1999-02-12,38550,36810
1999-02-18,37600,37204
1999-02-19,36700,36373
1999-02-22,35100,35587
1999-02-23,34200,34195
1999-02-24,33550,33415
1999-02-25,34000,32852
1999-02-26,36000,33242
1999-03-02,36800,34978
1999-03-03,36600,35675
1999-03-04,37700,35500
1999-03-05,38700,36460
1999-03-08,40500,37336
1999-03-09,40000,38917
1999-03-10,39900,38477
1999-03-11,42000,38389
1999-03-12,41000,40240
1999-03-15,39600,39357
1999-03-16,40000,38126
1999-03-17,39200,38477
1999-03-18,39000,37774
1999-03-19,40400,37599
1999-03-22,40500,38829
1999-03-23,40500,38917
1999-03-24,40100,38917
1999-03-25,40500,38565
1999-03-26,40200,38917
1999-03-29,40000,38653
1999-03-30,40500,38477
1999-03-31,41600,38917
1999-04-01,44000,39887
1999-04-02,44000,42011
1999-04-06,44000,42011
1999-04-07,44000,42011
1999-04-08,44000,42011
1999-04-09,42800,42011
1999-04-12,41800,40948
1999-04-13,42000,40063
1999-04-14,42500,40240
1999-04-15,45000,40682
1999-04-16,46800,42900
1999-04-19,50900,44504
1999-04-20,50000,48179
1999-04-21,48300,47370
1999-04-22,48300,45845
1999-04-23,49800,45845
