Date,Actual Closing Price,Forecast Closing Price
1999-10-11,38400,54891
1999-10-12,36900,56166
1999-10-13,36400,54970
1999-10-14,36500,54580
1999-10-15,36050,54657
1999-10-18,35000,54310
1999-10-19,34900,53512
1999-10-20,35100,53437
1999-10-21,34650,53587
1999-10-22,33800,53251
1999-10-25,31850,52624
1999-10-26,31400,51235
1999-10-27,30750,50923
1999-10-28,32000,50479
1999-10-29,32700,51339
1999-11-01,32950,51833
1999-11-02,32200,52011
1999-11-03,31400,51479
1999-11-04,32000,50923
1999-11-05,31650,51339
1999-11-08,31350,51096
1999-11-09,31600,50889
1999-11-10,30750,51061
1999-11-11,29900,50479
1999-11-12,29000,49908
1999-11-15,31200,49316
1999-11-16,30400,50786
1999-11-17,29000,50242
1999-11-18,29150,49316
1999-11-19,29250,49414
1999-11-22,28900,49479
1999-11-23,29150,49251
1999-11-24,29200,49414
1999-11-25,28300,49447
1999-11-26,28000,48865
1999-11-29,27500,48673
1999-11-30,26700,48358
1999-12-01,25700,47860
1999-12-02,27900,47251
1999-12-03,28200,48610
1999-12-06,28500,48801
1999-12-07,28000,48993
1999-12-08,28700,48673
1999-12-09,30500,49122
1999-12-10,29050,50310
1999-12-13,27500,49349
1999-12-14,27600,48358
1999-12-15,26750,48421
1999-12-16,26100,47891
1999-12-17,26500,47493
1999-12-20,26700,47737
1999-12-21,26650,47860
1999-12-22,25500,47829
1999-12-23,24750,47131
1999-12-24,24400,46685
1999-12-27,23000,46480
1999-12-28,25100,45674
2000-01-04,22000,46892
2000-01-05,21600,45114
2000-01-06,20950,44893
2000-01-07,20400,44539
2000-01-10,20400,44242
2000-01-11,21350,44242
2000-01-12,21050,44756
2000-01-13,20500,44593
2000-01-14,20700,44296
2000-01-17,22500,44404
2000-01-18,22000,45392
2000-01-19,20500,45114
2000-01-20,20900,44296
2000-01-21,23000,44511
2000-01-24,24000,45674
2000-01-25,23900,46247
2000-01-26,23400,46189
2000-01-27,23400,45902
2000-01-28,24900,45902
2000-01-31,24950,46773
2000-02-01,24800,46803
2000-02-02,24800,46714
2000-02-03,25000,46714
2000-02-07,24950,46833
2000-02-08,25100,46803
2000-02-09,25000,46892
2000-02-10,23750,46833
2000-02-11,24800,46102
2000-02-14,23700,46714
2000-02-15,23500,46074
2000-02-16,24050,45959
2000-02-17,24300,46276
2000-02-18,23800,46421
2000-02-21,22100,46131
2000-02-22,25000,45169
2000-02-23,26500,46833
2000-02-24,27500,47737
2000-02-25,27200,48358
2000-02-28,27200,48170
2000-02-29,27700,48170
2000-03-02,26500,48484
2000-03-03,25200,47737
2000-03-06,26450,46951
2000-03-07,26750,47706
2000-03-08,26650,47891
2000-03-09,22900,47829
2000-03-10,24750,45617
2000-03-13,23500,46685
2000-03-14,25000,45959
2000-03-15,25000,46833
2000-03-16,25500,46833
2000-03-17,25800,47131
2000-03-20,26000,47311
2000-03-21,25950,47432
2000-03-22,24800,47402
2000-03-23,24100,46714
2000-03-24,24900,46305
2000-03-27,24200,46773
2000-03-28,26000,46363
2000-03-29,24200,47432
2000-03-30,24600,46363
2000-03-31,24150,46597
2000-04-03,23700,46334
2000-04-04,23700,46074
2000-04-06,23900,46074
2000-04-07,23750,46189
2000-04-10,23900,46102
2000-04-11,23750,46189
2000-04-12,22500,46102
2000-04-14,22300,45392
2000-04-17,22300,45281
2000-04-18,22300,45281
2000-04-19,22000,45281
2000-04-20,22000,45114
2000-04-21,22000,45114
2000-04-24,21900,45114
2000-04-25,22000,45058
2000-04-26,21600,45114
2000-04-27,21950,44893
2000-04-28,21300,45086
2000-05-02,20950,44729
2000-05-03,21000,44539
2000-05-04,20950,44566
2000-05-08,21500,44539
2000-05-09,22100,44838
2000-05-10,22700,45169
2000-05-12,21850,45505
2000-05-15,21300,45031
2000-05-16,21650,44729
2000-05-17,21050,44921
2000-05-18,20400,44593
2000-05-19,21000,44242
2000-05-22,20050,44566
2000-05-23,20900,44056
2000-05-24,20250,44511
2000-05-25,20400,44162
2000-05-26,20300,44242
2000-05-29,19950,44189
2000-05-30,20500,44003
2000-05-31,20500,44296
2000-06-01,20200,44296
2000-06-02,20000,44136
2000-06-05,20300,44029
2000-06-07,20000,44189
2000-06-08,19550,44029
2000-06-09,21500,43791
2000-06-12,21500,44838
2000-06-13,20550,44838
2000-06-14,20550,44323
2000-06-15,21000,44323
2000-06-16,21000,44566
2000-06-19,20300,44566
2000-06-20,20300,44189
2000-06-21,20300,44189
2000-06-22,20300,44189
2000-06-23,20500,44189
2000-06-26,20650,44296
2000-06-27,20550,44377
2000-06-28,20800,44323
2000-06-29,20400,44457
2000-06-30,20400,44242
2000-07-03,20600,44242
2000-07-04,20300,44350
2000-07-05,20200,44189
2000-07-06,20200,44136
2000-07-07,20400,44136
2000-07-10,20250,44242
2000-07-11,20000,44162
2000-07-12,20150,44029
2000-07-13,19900,44109
2000-07-14,20000,43976
2000-07-18,19150,44029
2000-07-19,19500,43582
2000-07-20,19800,43765
2000-07-21,19800,43923
2000-07-24,19700,43923
2000-07-25,19650,43870
2000-07-26,19100,43844
2000-07-27,19350,43556
2000-07-28,19650,43686
2000-07-31,20200,43844
2000-08-01,19950,44136
2000-08-02,20300,44003
2000-08-03,19800,44189
2000-08-04,19400,43923
2000-08-07,19950,43713
2000-08-08,19650,44003
2000-08-09,20300,43844
2000-08-10,20700,44189
2000-08-11,19950,44404
2000-08-14,20500,44003
2000-08-16,20900,44296
2000-08-17,20400,44511
2000-08-18,20050,44242
2000-08-21,20000,44056
2000-08-22,20350,44029
2000-08-23,20000,44216
2000-08-24,20300,44029
2000-08-25,20400,44189
2000-08-28,20350,44242
2000-08-29,20450,44216
2000-08-30,20050,44269
2000-08-31,19500,44056
2000-09-01,19850,43765
2000-09-04,19500,43950
2000-09-05,20400,43765
2000-09-06,20000,44242
2000-09-07,19550,44029
2000-09-08,19100,43791
2000-09-14,18000,43556
2000-09-15,18300,42989
2000-09-18,17550,43143
2000-09-19,17450,42761
2000-09-20,17900,42711
2000-09-21,17250,42938
2000-09-22,16700,42610
2000-09-25,17000,42336
2000-09-26,17450,42485
2000-09-27,18800,42711
2000-09-28,18300,43400
2000-09-29,18200,43143
2000-10-02,17950,43091
2000-10-04,18450,42964
2000-10-05,18100,43220
2000-10-06,18400,43040
2000-10-09,17700,43194
2000-10-10,17600,42837
2000-10-11,17500,42786
2000-10-12,16600,42736
2000-10-13,17500,42286
2000-10-16,18300,42736
2000-10-17,18400,43143
2000-10-18,18500,43194
2000-10-19,18500,43245
2000-10-20,18600,43245
2000-10-23,18050,43297
2000-10-24,18600,43015
2000-10-25,18700,43297
2000-10-26,18650,43348
2000-10-27,18000,43323
2000-10-30,17900,42989
2000-10-31,18050,42938
2000-11-01,19000,43015
2000-11-02,19300,43504
2000-11-03,19300,43660
2000-11-06,18500,43660
2000-11-07,18500,43245
2000-11-08,18500,43245
2000-11-09,18200,43245
2000-11-10,18900,43091
2000-11-13,18150,43452
2000-11-14,18100,43066
2000-11-15,18300,43040
2000-11-16,18550,43143
2000-11-17,18400,43271
2000-11-20,18500,43194
2000-11-21,18500,43245
2000-11-22,18250,43245
2000-11-23,18600,43117
2000-11-24,18800,43297
2000-11-27,18900,43400
2000-11-28,18500,43452
2000-11-29,18000,43245
2000-11-30,17800,42989
2000-12-01,19000,42888
2000-12-04,18250,43504
2000-12-05,18800,43117
2000-12-06,18450,43400
2000-12-07,18500,43220
2000-12-08,18800,43245
2000-12-11,18800,43400
2000-12-12,19000,43400
2000-12-13,19000,43504
2000-12-14,18900,43504
2000-12-15,18250,43452
2000-12-18,18350,43117
2000-12-19,18000,43168
2000-12-20,18000,42989
2000-12-21,18000,42989
2000-12-22,18000,42989
2000-12-26,19000,42989
2001-01-02,18200,43504
2001-01-03,18000,43091
2001-01-04,18050,42989
2001-01-05,17600,43015
2001-01-08,17750,42786
2001-01-09,17950,42862
2001-01-10,17550,42964
2001-01-11,16600,42761
2001-01-12,17450,42286
2001-01-15,17100,42711
2001-01-16,17000,42535
2001-01-17,17250,42485
2001-01-18,17150,42610
2001-01-19,17050,42560
2001-01-22,17250,42510
2001-01-26,16900,42610
2001-01-29,17000,42435
2001-01-30,16700,42485
2001-01-31,16850,42336
2001-02-01,16900,42410
2001-02-02,16700,42435
2001-02-05,16000,42336
2001-02-06,16250,41990
2001-02-07,15750,42113
2001-02-08,16000,41868
2001-02-09,15750,41990
2001-02-12,16200,41868
2001-02-13,16200,42088
2001-02-14,15800,42088
2001-02-15,15700,41893
2001-02-16,15300,41844
2001-02-19,15000,41650
2001-02-20,14950,41505
2001-02-21,15000,41481
2001-02-22,14950,41505
2001-02-23,15100,41481
2001-02-26,15250,41553
2001-02-27,14650,41626
2001-02-28,14650,41337
2001-03-02,14500,41337
2001-03-05,14500,41266
2001-03-06,14350,41266
2001-03-07,14200,41195
2001-03-08,14950,41123
2001-03-09,14450,41481
2001-03-12,14150,41242
2001-03-13,13850,41100
2001-03-14,14000,40958
2001-03-15,14400,41029
2001-03-16,14350,41218
2001-03-19,14650,41195
2001-03-20,15350,41337
2001-03-21,15600,41674
2001-03-22,15300,41795
2001-03-23,15300,41650
2001-03-26,14950,41650
2001-03-27,15000,41481
2001-03-28,15400,41505
2001-03-29,15400,41698
2001-03-30,14900,41698
2001-04-02,15450,41457
2001-04-03,15800,41722
2001-04-04,16000,41893
2001-04-06,15650,41990
2001-04-09,15300,41819
2001-04-10,15100,41650
2001-04-11,14700,41553
2001-04-12,14450,41361
2001-04-13,14400,41242
2001-04-16,14500,41218
2001-04-17,14600,41266
2001-04-18,15250,41314
2001-04-19,15200,41626
2001-04-20,15400,41601
2001-04-23,15400,41698
2001-04-24,15500,41698
2001-04-25,15800,41747
2001-04-26,15200,41893
