Date,Actual Closing Price,Forecast Closing Price
2001-04-26,15650,114401
2001-04-27,17950,116371
2001-04-30,18000,118638
2001-05-02,20700,118687
2001-05-03,20250,121349
2001-05-04,18850,120906
2001-05-07,18700,119525
2001-05-08,19000,119377
2001-05-09,18950,119673
2001-05-10,21750,119624
2001-05-11,24000,122385
2001-05-14,23200,124605
2001-05-15,23800,123816
2001-05-16,23700,124408
2001-05-17,24800,124309
2001-05-18,25950,125395
2001-05-21,26800,126530
2001-05-22,26400,127369
2001-05-23,25900,126974
2001-05-24,27150,126480
2001-05-25,27950,127714
2001-05-28,27500,128504
2001-05-29,28900,128060
2001-05-30,31600,129443
2001-05-31,31600,132110
2001-06-01,30000,132110
2001-06-04,28150,130529
2001-06-05,27300,128702
2001-06-07,28300,127863
2001-06-08,30000,128850
2001-06-11,30000,130529
2001-06-12,29600,130529
2001-06-13,29500,130134
2001-06-14,30750,130035
2001-06-15,30300,131270
2001-06-18,29500,130826
2001-06-19,29500,130035
2001-06-20,31000,130035
2001-06-21,29000,131517
2001-06-22,29250,129541
2001-06-25,30700,129788
2001-06-26,29500,131221
2001-06-27,29500,130035
2001-06-28,29500,130035
2001-06-29,29450,130035
2001-07-02,28200,129986
2001-07-03,28250,128751
2001-07-04,28400,128801
2001-07-05,28000,128949
2001-07-06,27300,128554
2001-07-09,27000,127863
2001-07-10,26650,127566
2001-07-11,26000,127221
2001-07-12,26300,126579
2001-07-13,26500,126875
2001-07-16,26550,127073
2001-07-18,26400,127122
2001-07-19,26000,126974
2001-07-20,26300,126579
2001-07-23,23800,126875
2001-07-24,23100,124408
2001-07-25,22900,123717
2001-07-26,23050,123520
2001-07-27,23400,123668
2001-07-30,23000,124013
2001-07-31,23100,123618
2001-08-01,24800,123717
2001-08-02,24800,125395
2001-08-03,25200,125395
2001-08-06,25500,125789
2001-08-07,25800,126085
2001-08-08,25900,126382
2001-08-09,26000,126480
2001-08-10,25700,126579
2001-08-13,25700,126283
2001-08-14,25800,126283
2001-08-16,25700,126382
2001-08-17,25600,126283
2001-08-20,25200,126184
2001-08-21,24650,125789
2001-08-22,24200,125246
2001-08-23,24300,124802
2001-08-24,24200,124901
2001-08-27,25200,124802
2001-08-28,25250,125789
2001-08-29,25250,125839
2001-08-30,25200,125839
2001-08-31,24600,125789
2001-09-03,25750,125197
2001-09-04,25300,126332
2001-09-05,25450,125888
2001-09-06,25800,126036
2001-09-07,25850,126382
2001-09-10,25800,126431
2001-09-11,25800,126382
2001-09-12,22900,126382
2001-09-13,25000,123520
2001-09-14,24950,125592
2001-09-17,25000,125543
