Date,Actual Closing Price,Forecast Closing Price
2008-07-25,41172,51352
2008-07-28,40978,49649
2008-07-29,40494,49449
2008-07-30,40542,48948
2008-07-31,40009,48998
2008-08-01,42238,48447
2008-08-04,42916,50752
2008-08-05,43206,51453
2008-08-06,44805,51753
2008-08-07,45289,53405
2008-08-08,46791,53905
2008-08-11,47081,55457
2008-08-12,46984,55756
2008-08-13,47663,55656
2008-08-14,48534,56357
2008-08-18,49309,57256
2008-08-19,49213,58056
2008-08-20,49697,57957
2008-08-21,48438,58456
2008-08-22,46984,57157
2008-08-25,46113,55656
2008-08-26,46209,54756
2008-08-27,46306,54856
2008-08-28,46500,54956
2008-08-29,48922,55156
2008-09-01,43448,57657
2008-09-02,43206,52003
2008-09-03,46113,51753
2008-09-04,46694,54756
2008-09-05,47275,55356
2008-09-08,47663,55956
2008-09-09,47033,56357
2008-09-10,47275,55707
2008-09-11,48050,55956
2008-09-12,48050,56757
2008-09-16,45483,56757
2008-09-17,45434,54106
2008-09-18,44563,54055
2008-09-19,46500,53155
2008-09-22,46403,55156
2008-09-23,47469,55056
2008-09-24,49406,56157
2008-09-25,50375,58156
2008-09-26,50278,59156
2008-09-29,50181,59056
2008-09-30,52603,58956
2008-10-01,51247,61453
2008-10-02,51828,60055
2008-10-06,49503,60654
2008-10-07,50181,58256
2008-10-08,49891,58956
2008-10-09,50569,58656
2008-10-10,52797,59356
2008-10-13,51538,61653
2008-10-14,50278,60355
2008-10-15,50375,59056
2008-10-16,44853,59156
2008-10-17,44853,53455
2008-10-20,46500,53455
2008-10-21,46936,55156
2008-10-22,43739,55606
2008-10-23,43303,52303
2008-10-24,43109,51853
2008-10-27,41172,51652
2008-10-28,39525,49649
2008-10-29,36813,47946
2008-10-30,42334,45139
2008-10-31,45434,50851
2008-11-03,43400,54055
2008-11-04,44466,51953
2008-11-05,43884,53055
2008-11-06,40591,52453
2008-11-07,39670,49049
2008-11-10,38750,48096
2008-11-11,37103,47144
2008-11-12,36038,45440
2008-11-13,34003,44337
2008-11-14,39089,42230
2008-11-17,39428,47495
2008-11-18,37491,47845
2008-11-19,38120,45841
2008-11-20,33906,46492
2008-11-21,37781,42130
2008-11-24,37588,46141
2008-11-25,36619,45942
2008-11-26,37297,44939
2008-11-27,37152,45640
2008-11-28,38120,45490
2008-12-01,36667,46492
2008-12-02,34730,44988
2008-12-03,33809,42983
2008-12-04,33131,42029
2008-12-05,33906,41327
2008-12-08,33616,42130
2008-12-09,34875,41830
2008-12-10,34584,43133
2008-12-11,35989,42832
2008-12-12,34778,44286
2008-12-15,38459,43033
2008-12-16,38944,46843
2008-12-17,39234,47345
2008-12-18,37781,47645
2008-12-19,37491,46141
2008-12-22,37588,45841
2008-12-23,37781,45942
2008-12-24,36038,46141
2008-12-26,35505,44337
2008-12-29,35553,43785
2008-12-30,36328,43835
2009-01-02,37781,44637
2009-01-05,37927,46141
2009-01-06,40688,46292
2009-01-07,42577,49149
2009-01-08,43594,51102
2009-01-09,42625,52154
2009-01-12,41172,51152
2009-01-13,40494,49649
2009-01-14,42528,48948
2009-01-15,42141,51052
2009-01-16,45531,50651
2009-01-19,47953,54155
2009-01-20,48922,56656
2009-01-21,48922,57657
2009-01-22,48341,57657
2009-01-23,49309,57057
2009-01-28,49988,58056
2009-01-29,49600,58756
2009-01-30,49697,58356
2009-02-02,49406,58456
2009-02-03,47759,58156
2009-02-04,47759,56456
2009-02-05,47081,56456
2009-02-06,46694,55756
2009-02-09,45531,55356
2009-02-10,46984,54155
2009-02-11,50763,55656
2009-02-12,53281,59556
2009-02-13,61225,62152
2009-02-16,62000,70322
2009-02-17,60644,71118
2009-02-18,66553,69726
2009-02-19,62969,75784
2009-02-20,56672,72112
2009-02-23,61903,65643
2009-02-24,59578,71018
2009-02-25,59578,68631
2009-02-26,60450,68631
2009-02-27,58900,69527
2009-03-02,56188,67934
2009-03-03,56769,65145
2009-03-04,61516,65743
2009-03-05,64616,70621
2009-03-06,67134,73801
