Date,Actual Closing Price,Forecast Closing Price
2001-04-26,17636,36115
2001-04-27,18062,35283
2001-04-30,18204,35698
2001-05-02,18489,35837
2001-05-03,21262,36115
2001-05-04,21191,38822
2001-05-07,21120,38753
2001-05-08,20978,38683
2001-05-09,20764,38545
2001-05-10,20836,38336
2001-05-11,21191,38406
2001-05-14,21120,38753
2001-05-15,21120,38683
2001-05-16,20622,38683
2001-05-17,22258,38197
2001-05-18,24960,39796
2001-05-21,25956,42442
2001-05-22,25316,43419
2001-05-23,26169,42791
2001-05-24,26453,43628
2001-05-25,27093,43906
2001-05-28,27022,44534
2001-05-29,26880,44465
2001-05-30,27520,44325
2001-05-31,26596,44954
2001-06-01,25173,44047
2001-06-04,24747,42651
2001-06-05,24747,42233
2001-06-07,24036,42233
2001-06-08,25956,41537
2001-06-11,26169,43419
2001-06-12,25813,43628
2001-06-13,25316,43278
2001-06-14,25884,42791
2001-06-15,25529,43348
2001-06-18,25316,43000
2001-06-19,24604,42791
2001-06-20,24036,42093
2001-06-21,23609,41537
2001-06-22,24178,41118
2001-06-25,24747,41676
2001-06-26,25316,42233
2001-06-27,25600,42791
2001-06-28,24818,43069
2001-06-29,24604,42303
2001-07-02,24533,42093
2001-07-03,24676,42023
2001-07-04,24604,42164
2001-07-05,24178,42093
2001-07-06,24036,41676
2001-07-09,23040,41537
2001-07-10,22542,40561
2001-07-11,22613,40074
2001-07-12,23609,40143
2001-07-13,23609,41118
2001-07-16,23111,41118
2001-07-18,22756,40631
2001-07-19,22044,40283
2001-07-20,22044,39587
2001-07-23,21618,39587
2001-07-24,20764,39170
2001-07-25,20764,38336
2001-07-26,20764,38336
2001-07-27,21476,38336
2001-07-30,20907,39031
2001-07-31,20622,38475
2001-08-01,21049,38197
2001-08-02,20409,38614
2001-08-03,21831,37989
2001-08-06,21831,39379
2001-08-07,21831,39379
2001-08-08,22258,39379
2001-08-09,21191,39796
2001-08-10,21049,38753
2001-08-13,21689,38614
2001-08-14,22471,39240
2001-08-16,22969,40005
2001-08-17,23751,40492
2001-08-20,22898,41257
2001-08-21,23040,40422
2001-08-22,22898,40561
2001-08-23,23182,40422
2001-08-24,23040,40700
2001-08-27,23751,40561
2001-08-28,23751,41257
2001-08-29,23467,41257
2001-08-30,23467,40979
2001-08-31,22756,40979
2001-09-03,22969,40283
2001-09-04,22969,40492
2001-09-05,23324,40492
2001-09-06,22613,40839
2001-09-07,23182,40143
2001-09-10,22471,40700
2001-09-11,22542,40005
2001-09-12,19200,40074
2001-09-13,20764,36808
2001-09-14,20622,38336
2001-09-17,21333,38197
2001-09-18,21333,38892
2001-09-19,21191,38892
2001-09-20,20622,38753
2001-09-21,20622,38197
2001-09-24,20409,38197
2001-09-25,19484,37989
2001-09-26,19556,37086
2001-09-27,19484,37156
2001-09-28,19911,37086
2001-10-04,20480,37502
2001-10-05,20409,38058
2001-10-08,20196,37989
2001-10-09,20764,37781
2001-10-10,20836,38336
2001-10-11,21262,38406
2001-10-12,21120,38822
2001-10-15,21120,38683
2001-10-16,21689,38683
2001-10-17,22613,39240
2001-10-18,23040,40143
2001-10-19,22969,40561
2001-10-22,23538,40492
2001-10-23,23040,41049
2001-10-24,24036,40561
2001-10-25,23253,41537
2001-10-26,22827,40770
2001-10-29,22542,40353
2001-10-30,22542,40074
2001-10-31,22756,40074
2001-11-01,23040,40283
2001-11-02,22684,40561
2001-11-05,22756,40213
2001-11-06,22400,40283
2001-11-07,22400,39935
2001-11-08,23111,39935
2001-11-09,23609,40631
2001-11-12,24462,41118
2001-11-13,25316,41954
2001-11-14,24889,42791
2001-11-15,25600,42372
2001-11-16,25102,43069
2001-11-19,24604,42581
2001-11-20,25600,42093
2001-11-21,25458,43069
2001-11-22,25884,42930
2001-11-23,27520,43348
2001-11-26,30009,44954
2001-11-27,29582,47400
2001-11-28,28444,46980
2001-11-29,28516,45862
2001-11-30,30862,45932
2001-12-03,31431,48240
2001-12-04,29867,48800
2001-12-05,30720,47261
2001-12-06,31289,48100
2001-12-07,32853,48660
2001-12-10,30507,50202
2001-12-11,30436,47891
2001-12-12,30364,47821
2001-12-13,32284,47750
2001-12-14,32142,49641
2001-12-17,30436,49501
2001-12-18,29440,47821
2001-12-19,28516,46841
2001-12-20,29298,45932
2001-12-21,28444,46701
2001-12-24,29369,45862
2001-12-26,29013,46771
2001-12-27,29867,46421
2001-12-28,30933,47261
2002-01-02,31289,48310
2002-01-03,33422,48660
2002-01-04,35556,50763
2002-01-07,35200,52869
2002-01-08,34987,52517
2002-01-09,34844,52307
2002-01-10,35698,52166
2002-01-11,35769,53009
2002-01-14,34916,53079
2002-01-15,33209,52237
2002-01-16,32142,50553
2002-01-17,33422,49501
2002-01-18,34133,50763
2002-01-21,34489,51464
2002-01-22,36836,51815
2002-01-23,40391,54134
2002-01-24,40747,57653
2002-01-25,40818,58005
2002-01-28,45013,58076
2002-01-29,43733,62240
2002-01-30,40676,60968
2002-01-31,42382,57935
2002-02-01,42027,59627
2002-02-04,40960,59275
2002-02-05,41031,58217
2002-02-06,42453,58287
2002-02-07,42667,59697
2002-02-08,42169,59910
2002-02-14,45156,59415
2002-02-15,47716,62382
2002-02-18,50489,64928
2002-02-19,47716,67691
