Date,Actual Closing Price,Forecast Closing Price
1990-01-04,31700,56906
1990-01-05,31400,57359
1990-01-06,31800,57087
1990-01-08,31900,57450
1990-01-09,32000,57540
1990-01-10,32900,57631
1990-01-11,32500,58448
1990-01-12,33400,58085
1990-01-13,32900,58901
1990-01-15,32600,58448
1990-01-16,32700,58175
1990-01-17,32800,58266
1990-01-18,32700,58357
1990-01-19,32200,58266
1990-01-20,32100,57813
1990-01-22,32600,57722
1990-01-23,32000,58175
1990-01-24,32300,57631
1990-01-25,32400,57903
1990-01-29,32000,57994
1990-01-30,31600,57631
1990-01-31,31700,57268
1990-02-01,31400,57359
1990-02-02,31200,57087
1990-02-03,31100,56906
1990-02-05,31300,56815
1990-02-06,31700,56996
1990-02-07,31300,57359
1990-02-08,31300,56996
1990-02-09,31400,56996
1990-02-10,31100,57087
1990-02-12,31400,56815
1990-02-13,31900,57087
1990-02-14,31800,57540
1990-02-15,31600,57450
1990-02-16,31500,57268
1990-02-17,31400,57178
1990-02-19,31200,57087
1990-02-20,31200,56906
1990-02-21,31200,56906
1990-02-22,31000,56906
1990-02-23,31100,56724
1990-02-24,30900,56815
1990-02-26,30400,56634
1990-02-27,31300,56180
1990-02-28,30800,56996
1990-03-02,28484,56543
1990-03-03,28393,54444
1990-03-05,28211,54361
1990-03-06,28030,54196
1990-03-07,27667,54032
1990-03-08,27576,53703
1990-03-09,27667,53621
1990-03-12,27576,53703
1990-03-13,27395,53621
1990-03-14,26851,53457
1990-03-15,26488,52964
1990-03-16,26760,52635
1990-03-17,26579,52882
1990-03-19,26669,52718
1990-03-20,27123,52799
1990-03-21,27032,53211
1990-03-22,26760,53128
1990-03-23,26579,52882
1990-03-24,26488,52718
1990-03-26,26579,52635
1990-03-27,26125,52718
1990-03-28,25399,52307
1990-03-29,25853,51649
1990-03-30,26669,52060
1990-03-31,26488,52799
1990-04-02,26216,52635
1990-04-03,26125,52389
1990-04-04,25853,52307
1990-04-06,25581,52060
1990-04-07,25490,51814
1990-04-09,25309,51732
1990-04-10,25127,51568
1990-04-11,24946,51403
1990-04-12,24674,51239
1990-04-13,24583,50993
1990-04-14,24492,50910
1990-04-16,23857,50828
1990-04-17,23948,50253
1990-04-18,23948,50336
1990-04-19,23404,50336
1990-04-20,23494,49843
1990-04-21,23767,49925
1990-04-23,23767,50172
1990-04-24,23948,50172
1990-04-25,23585,50336
1990-04-26,22678,50007
1990-04-27,22950,49186
1990-04-28,22043,49432
1990-04-30,21136,48612
1990-05-01,22043,47791
1990-05-03,22950,48612
1990-05-04,23857,49432
1990-05-07,24764,50253
1990-05-08,25490,51074
1990-05-09,25309,51732
1990-05-10,24583,51568
1990-05-11,24129,50910
1990-05-12,23767,50499
1990-05-14,23222,50172
1990-05-15,23222,49679
1990-05-16,24129,49679
1990-05-17,24311,50499
1990-05-18,24129,50664
1990-05-19,23857,50499
1990-05-21,23948,50253
1990-05-22,24492,50336
1990-05-23,24583,50828
1990-05-24,24583,50910
1990-05-25,24946,50910
1990-05-26,24674,51239
1990-05-28,24674,50993
1990-05-29,24674,50993
1990-05-30,24764,50993
1990-05-31,24674,51074
1990-06-01,24946,50993
1990-06-02,25127,51239
1990-06-04,25309,51403
1990-06-05,25399,51568
1990-06-07,25218,51649
1990-06-08,25399,51485
1990-06-09,25399,51649
1990-06-11,24946,51649
1990-06-12,24764,51239
1990-06-13,24855,51074
1990-06-14,24855,51157
1990-06-15,24674,51157
1990-06-16,24764,50993
1990-06-18,24220,51074
1990-06-19,23767,50582
1990-06-20,24039,50172
1990-06-21,24129,50418
1990-06-22,24039,50499
1990-06-23,24129,50418
1990-06-25,24039,50499
1990-06-26,23857,50418
1990-06-27,23857,50253
1990-06-28,23676,50253
1990-06-29,23313,50089
1990-06-30,22678,49761
1990-07-02,22859,49186
1990-07-03,23767,49350
1990-07-04,23404,50172
1990-07-05,23041,49843
1990-07-06,22859,49515
1990-07-07,22769,49350
1990-07-09,22769,49269
1990-07-10,22859,49269
1990-07-11,22859,49350
1990-07-12,22678,49350
1990-07-13,22134,49186
1990-07-14,21952,48694
1990-07-16,21771,48530
1990-07-18,22224,48366
1990-07-19,21952,48776
1990-07-20,22043,48530
1990-07-21,22043,48612
1990-07-23,21771,48612
1990-07-24,21771,48366
1990-07-25,21771,48366
1990-07-26,21499,48366
1990-07-27,21499,48120
1990-07-28,21680,48120
1990-07-30,21680,48283
1990-07-31,21771,48283
1990-08-01,21952,48366
1990-08-02,22043,48530
1990-08-03,21862,48612
1990-08-04,21408,48448
1990-08-06,21227,48037
1990-08-07,21045,47874
