Date,Actual Closing Price,Forecast Closing Price
1990-01-04,11950,26620
1990-01-05,11700,26935
1990-01-06,11700,26710
1990-01-08,11800,26710
1990-01-09,11850,26800
1990-01-10,11700,26845
1990-01-11,11550,26710
1990-01-12,11550,26575
1990-01-13,11250,26575
1990-01-15,11150,26305
1990-01-16,11300,26215
1990-01-17,11000,26350
1990-01-18,11050,26080
1990-01-19,10900,26125
1990-01-20,11150,25990
1990-01-22,11350,26215
1990-01-23,11350,26395
1990-01-24,11600,26395
1990-01-25,11650,26620
1990-01-29,11600,26665
1990-01-30,11550,26620
1990-01-31,11700,26575
1990-02-01,11450,26710
1990-02-02,11150,26485
1990-02-03,11100,26215
1990-02-05,11150,26170
1990-02-06,11250,26215
1990-02-07,11250,26305
1990-02-08,11350,26305
1990-02-09,11300,26395
1990-02-10,11250,26350
1990-02-12,11150,26305
1990-02-13,11250,26215
1990-02-14,11350,26305
1990-02-15,11400,26395
1990-02-16,11250,26440
1990-02-17,11200,26305
1990-02-19,11150,26260
1990-02-20,11150,26215
1990-02-21,11200,26215
1990-02-22,11200,26260
1990-02-23,11100,26260
1990-02-24,11000,26170
1990-02-26,10750,26080
1990-02-27,11200,25855
1990-02-28,10950,26260
1990-03-02,6270,26035
1990-03-03,6242,21830
1990-03-05,6131,21805
1990-03-06,6131,21705
1990-03-07,6159,21705
1990-03-08,6131,21730
1990-03-09,6131,21705
1990-03-12,6131,21705
1990-03-13,6047,21705
1990-03-14,6047,21630
1990-03-15,5991,21630
1990-03-16,6047,21579
1990-03-17,5991,21630
1990-03-19,6047,21579
1990-03-20,6131,21630
1990-03-21,6075,21705
1990-03-22,6019,21655
1990-03-23,5991,21604
1990-03-24,5991,21579
1990-03-26,6159,21579
1990-03-27,6047,21730
1990-03-28,5963,21630
1990-03-29,5963,21554
1990-03-30,6131,21554
1990-03-31,6131,21705
1990-04-02,6075,21705
1990-04-03,6047,21655
1990-04-04,6019,21630
1990-04-06,5991,21604
1990-04-07,5936,21579
1990-04-09,5936,21530
1990-04-10,5963,21530
1990-04-11,5936,21554
1990-04-12,5908,21530
1990-04-13,5880,21505
1990-04-14,5796,21480
1990-04-16,5601,21404
1990-04-17,5657,21229
1990-04-18,5629,21280
1990-04-19,5434,21254
1990-04-20,5350,21079
1990-04-21,5378,21004
1990-04-23,5350,21029
1990-04-24,5462,21004
1990-04-25,5350,21105
1990-04-26,5239,21004
1990-04-27,5350,20904
1990-04-28,5127,21004
1990-04-30,4904,20804
1990-05-01,5127,20604
1990-05-03,5350,20804
1990-05-04,5573,21004
1990-05-07,5434,21204
1990-05-08,5490,21079
1990-05-09,5462,21130
1990-05-10,5322,21105
