Date,Actual Closing Price,Forecast Closing Price
2009-11-12,37050,50972
2009-11-13,35750,52327
2009-11-16,37900,51069
2009-11-17,38400,53150
2009-11-18,38100,53634
2009-11-19,39850,53344
2009-11-20,41000,55038
2009-11-23,41650,56153
2009-11-24,41500,56783
2009-11-25,45000,56637
2009-11-26,47600,60031
2009-11-27,47200,62555
2009-11-30,47800,62166
2009-12-01,44300,62749
2009-12-02,45050,59352
2009-12-03,47650,60080
2009-12-04,47600,62603
2009-12-07,46050,62555
2009-12-08,44950,61050
2009-12-09,45350,59983
2009-12-10,46300,60371
2009-12-11,46700,61293
2009-12-14,49100,61681
2009-12-15,48700,64011
2009-12-16,49700,63623
2009-12-17,49400,64594
2009-12-18,48600,64303
2009-12-21,48550,63526
2009-12-22,48900,63477
2009-12-23,47100,63817
2009-12-24,46400,62069
2009-12-28,44850,61390
2009-12-29,43200,59886
2009-12-30,44800,58285
2010-01-04,47250,59837
2010-01-05,49050,62215
2010-01-06,50000,63963
2010-01-07,52100,64886
2010-01-08,55000,66927
2010-01-11,55000,69747
2010-01-12,55900,69747
2010-01-13,56000,70622
2010-01-14,55600,70719
2010-01-15,59500,70330
2010-01-18,60100,74126
2010-01-19,58500,74710
2010-01-20,58400,73152
2010-01-21,58900,73055
2010-01-22,57700,73542
2010-01-25,57700,72374
2010-01-26,57100,72374
2010-01-27,55100,71790
2010-01-28,56000,69844
2010-01-29,52400,70719
2010-02-01,52700,67218
2010-02-02,54800,67510
2010-02-03,55000,69552
2010-02-04,54600,69747
2010-02-05,50900,69357
2010-02-08,50300,65760
2010-02-09,51500,65177
2010-02-10,50100,66343
2010-02-11,51100,64983
2010-02-12,52800,65955
2010-02-16,53300,67607
2010-02-17,55200,68093
2010-02-18,54900,69941
2010-02-19,55800,69649
2010-02-22,57900,70525
2010-02-23,57600,72568
2010-02-24,57400,72276
2010-02-25,56200,72082
2010-02-26,58500,70914
2010-03-02,58900,73152
2010-03-03,59000,73542
2010-03-04,59900,73639
2010-03-05,63100,74516
2010-03-08,62600,77633
2010-03-09,64000,77145
2010-03-10,64100,78510
2010-03-11,63400,78607
2010-03-12,63300,77925
2010-03-15,64000,77828
2010-03-16,63500,78510
2010-03-17,64100,78022
2010-03-18,63600,78607
2010-03-19,65000,78120
2010-03-22,64000,79484
2010-03-23,64000,78510
2010-03-24,62700,78510
2010-03-25,62900,77243
2010-03-26,63500,77438
2010-03-29,61500,78022
2010-03-30,62300,76074
2010-03-31,62000,76853
2010-04-01,61700,76561
2010-04-02,59400,76269
2010-04-05,58200,74029
2010-04-06,58800,72860
2010-04-07,60000,73444
2010-04-08,58700,74613
2010-04-09,60900,73347
2010-04-12,60400,75489
2010-04-13,59300,75002
2010-04-14,60100,73931
2010-04-15,59100,74710
2010-04-16,60200,73737
2010-04-19,59700,74808
2010-04-20,62200,74321
2010-04-21,64000,76756
2010-04-22,63700,78510
2010-04-23,62500,78217
2010-04-26,61900,77048
2010-04-27,61700,76464
2010-04-28,60100,76269
2010-04-29,63900,74710
2010-04-30,66100,78412
2010-05-03,66000,80557
2010-05-04,69000,80459
2010-05-06,69500,83385
2010-05-07,66300,83872
2010-05-10,65500,80752
2010-05-11,70000,79972
2010-05-12,72700,84360
2010-05-13,72500,86995
2010-05-14,73700,86800
2010-05-17,74200,87971
2010-05-18,72200,88459
2010-05-19,72000,86507
2010-05-20,68800,86312
2010-05-24,69700,83190
2010-05-25,69000,84068
2010-05-26,72000,83385
2010-05-27,72600,86312
2010-05-28,71400,86897
2010-05-31,72000,85726
2010-06-01,68900,86312
2010-06-03,69300,83287
2010-06-04,69000,83677
2010-06-07,69300,83385
2010-06-08,68000,83677
2010-06-09,70900,82409
2010-06-10,70700,85238
2010-06-11,73200,85043
2010-06-14,73400,87483
2010-06-15,74500,87678
2010-06-16,77000,88752
2010-06-17,78400,91193
2010-06-18,79500,92560
2010-06-21,79600,93634
2010-06-22,79200,93732
2010-06-23,77800,93341
2010-06-24,77200,91974
2010-06-25,78300,91388
2010-06-28,82200,92462
2010-06-29,83000,96272
2010-06-30,84000,97054
2010-07-01,84900,98031
2010-07-02,77900,98910
2010-07-05,79100,92072
2010-07-06,80400,93244
2010-07-07,79300,94513
2010-07-08,82400,93439
2010-07-09,85800,96467
2010-07-12,87400,99790
2010-07-13,87400,101353
2010-07-14,84800,101353
2010-07-15,83000,98812
2010-07-16,86400,97054
2010-07-19,90200,100376
2010-07-20,90400,104090
2010-07-21,92300,104286
2010-07-22,91400,106143
2010-07-23,91800,105263
2010-07-26,93200,105655
2010-07-27,91400,107023
2010-07-28,90700,105263
2010-07-29,89800,104579
2010-07-30,90100,103699
2010-08-02,93000,103993
2010-08-03,93700,106828
2010-08-04,94400,107512
2010-08-05,91300,108196
2010-08-06,91000,105166
2010-08-09,92300,104872
2010-08-10,95100,106143
2010-08-11,95600,108881
2010-08-12,93000,109370
2010-08-13,94600,106828
2010-08-16,95000,108392
2010-08-17,94200,108783
2010-08-18,92600,108001
2010-08-19,92400,106437
2010-08-20,92900,106241
2010-08-23,92700,106730
2010-08-24,90300,106534
2010-08-25,86600,104188
2010-08-26,86500,100572
2010-08-27,85900,100474
2010-08-30,90000,99887
2010-08-31,91400,103895
2010-09-01,92000,105263
2010-09-02,91800,105850
2010-09-03,89800,105655
2010-09-06,88300,103699
2010-09-07,88100,102233
2010-09-08,88200,102038
2010-09-09,91800,102135
2010-09-10,90900,105655
2010-09-13,93500,104775
2010-09-14,90100,107317
2010-09-15,89500,103993
2010-09-16,90700,103406
2010-09-17,93600,104579
2010-09-20,93700,107414
2010-09-24,97600,107512
2010-09-27,99300,111325
2010-09-28,103500,112987
2010-09-29,102500,117094
2010-09-30,101500,116116
2010-10-01,99400,115138
2010-10-04,99500,113085
2010-10-05,98300,113183
2010-10-06,101500,112010
2010-10-07,98900,115138
2010-10-08,101000,112596
2010-10-11,98500,114649
2010-10-12,95400,112205
2010-10-13,94400,109174
2010-10-14,96300,108196
2010-10-15,95200,110054
2010-10-18,92900,108979
2010-10-19,91000,106730
2010-10-20,91900,104872
2010-10-21,93600,105752
2010-10-22,92800,107414
2010-10-25,91800,106632
2010-10-26,95900,105655
2010-10-27,97700,109663
2010-10-28,99000,111423
2010-10-29,96500,112694
2010-11-01,96200,110250
2010-11-02,95900,109956
2010-11-03,93700,109663
2010-11-04,92400,107512
2010-11-05,90600,106241
2010-11-08,92000,104481
2010-11-09,92900,105850
2010-11-10,92700,106730
2010-11-11,91500,106534
2010-11-12,92000,105361
2010-11-15,92400,105850
2010-11-16,93000,106241
2010-11-17,92600,106828
2010-11-18,92200,106437
2010-11-19,92600,106046
2010-11-22,92300,106437
2010-11-23,91900,106143
2010-11-24,90600,105752
2010-11-25,89200,104481
2010-11-26,89500,103113
2010-11-29,88500,103406
2010-11-30,89400,102429
2010-12-01,90500,103308
2010-12-02,91800,104384
2010-12-03,89400,105655
2010-12-06,91500,103308
2010-12-07,91700,105361
2010-12-08,92500,105557
2010-12-09,92500,106339
2010-12-10,93000,106339
2010-12-13,90000,106828
2010-12-14,87100,103895
2010-12-15,87400,101060
2010-12-16,86000,101353
2010-12-17,85400,99985
2010-12-20,82300,99399
2010-12-21,83900,96370
2010-12-22,87000,97933
2010-12-23,87400,100962
2010-12-24,88400,101353
2010-12-27,90700,102331
2010-12-28,88500,104579
2010-12-29,88700,102429
2010-12-30,87200,102624
2011-01-03,87900,101158
2011-01-04,89500,101842
2011-01-05,89000,103406
2011-01-06,86600,102917
2011-01-07,88400,100572
2011-01-10,89400,102331
2011-01-11,90700,103308
2011-01-12,97500,104579
2011-01-13,98200,111227
2011-01-14,97000,111912
2011-01-17,95500,110738
2011-01-18,97300,109272
2011-01-19,96700,111032
2011-01-20,95500,110445
2011-01-21,93000,109272
2011-01-24,96300,106828
2011-01-25,97000,110054
2011-01-26,97600,110738
2011-01-27,101500,111325
2011-01-28,103500,115138
2011-01-31,102000,117094
2011-02-01,102500,115627
2011-02-07,100500,116116
2011-02-08,103500,114161
2011-02-09,99600,117094
2011-02-10,97900,113281
2011-02-11,93800,111618
2011-02-14,97300,107610
2011-02-15,99500,111032
2011-02-16,94500,113183
2011-02-17,92300,108294
2011-02-18,94600,106143
2011-02-21,94500,108392
2011-02-22,92500,108294
2011-02-23,91100,106339
2011-02-24,93000,104970
2011-02-25,95500,106828
2011-02-28,94900,109272
2011-03-02,94900,108685
2011-03-03,97000,108685
2011-03-04,96600,110738
2011-03-07,96600,110347
2011-03-08,97300,110347
2011-03-09,97100,111032
2011-03-10,97400,110836
2011-03-11,97000,111130
2011-03-14,96000,110738
2011-03-15,95000,109761
2011-03-16,93300,108783
2011-03-17,96100,107121
2011-03-18,100500,109859
2011-03-21,99300,114161
2011-03-22,98700,112987
2011-03-23,95500,112401
2011-03-24,98100,109272
2011-03-25,96100,111814
2011-03-28,96500,109859
2011-03-29,97000,110250
2011-03-30,95500,110738
2011-03-31,97200,109272
2011-04-01,95200,110934
2011-04-04,95400,108979
2011-04-05,95600,109174
2011-04-06,96000,109370
2011-04-07,95700,109761
2011-04-08,93500,109467
2011-04-11,93100,107317
2011-04-12,93000,106925
2011-04-13,93700,106828
2011-04-14,91500,107512
2011-04-15,89800,105361
2011-04-18,91800,103699
2011-04-19,93600,105655
2011-04-20,94800,107414
2011-04-21,98400,108588
2011-04-22,107500,112107
2011-04-25,109000,121004
2011-04-26,119000,122470
2011-04-27,118000,132240
2011-04-28,112500,131264
2011-04-29,110000,125891
2011-05-02,110000,123447
2011-05-03,109000,123447
2011-05-04,112500,122470
2011-05-06,105000,125891
2011-05-09,109500,118560
2011-05-11,113000,122959
2011-05-12,114500,126379
2011-05-13,118000,127845
2011-05-16,118000,131264
2011-05-17,113500,131264
2011-05-18,119500,126868
2011-05-19,119000,132729
2011-05-20,120000,132240
2011-05-23,116500,133217
2011-05-24,118500,129799
2011-05-25,114000,131752
2011-05-26,121000,127356
2011-05-27,126000,134193
