Date,Actual Closing Price,Forecast Closing Price
2020-07-03,165000,118186
2020-07-06,214500,152739
2020-07-07,216500,196318
2020-07-08,217000,198031
2020-07-09,205500,198459
2020-07-10,205500,188557
2020-07-13,199000,188557
2020-07-14,188500,182903
2020-07-15,177000,173687
2020-07-16,183500,163487
2020-07-17,191000,169265
2020-07-20,187000,175890
2020-07-21,185500,172362
2020-07-22,188000,171036
2020-07-23,186500,173246
2020-07-24,189000,171921
2020-07-27,191500,174128
2020-07-28,190000,176330
2020-07-29,186500,175009
2020-07-30,185000,171921
2020-07-31,182000,170594
2020-08-03,175000,167934
2020-08-04,175500,161702
2020-08-05,179500,162149
2020-08-06,179500,165713
2020-08-07,179000,165713
2020-08-10,192500,165268
2020-08-11,191500,177209
2020-08-12,191000,176330
2020-08-13,186000,175890
2020-08-14,178500,171478
2020-08-18,171000,164823
2020-08-19,172000,158125
2020-08-20,167000,159021
2020-08-21,162500,154537
2020-08-24,168000,150488
2020-08-25,172000,155435
2020-08-26,172000,159021
2020-08-27,167500,159021
2020-08-28,167000,154986
2020-08-31,163500,154537
2020-09-01,171000,151389
2020-09-02,181500,158125
2020-09-03,182000,167491
2020-09-04,190000,167934
2020-09-07,191500,175009
2020-09-08,188000,176330
2020-09-09,191000,173246
2020-09-10,184500,175890
2020-09-11,175000,170151
2020-09-14,170500,161702
2020-09-15,171500,157677
2020-09-16,170000,158573
2020-09-17,170500,157229
2020-09-18,171500,157677
2020-09-21,167500,158573
2020-09-22,164500,154986
2020-09-23,162000,152289
2020-09-24,159000,150037
2020-09-25,158500,147330
2020-09-28,155000,146878
2020-09-29,156500,143712
2020-10-05,140500,145070
2020-10-06,141000,130531
2020-10-07,143500,130987
2020-10-08,147500,133266
2020-10-12,150000,136906
2020-10-13,147500,139178
2020-10-14,153000,136906
2020-10-15,152000,141900
2020-10-16,153500,140993
2020-10-19,154500,142353
2020-10-20,155000,143259
2020-10-21,161500,143712
2020-10-22,162500,149586
2020-10-23,161000,150488
2020-10-26,156500,149135
2020-10-27,156500,145070
2020-10-28,157000,145070
2020-10-29,155500,145522
2020-10-30,159500,144165
2020-11-02,158500,147781
2020-11-03,159000,146878
2020-11-04,169000,147330
2020-11-05,169500,156332
2020-11-06,168500,156781
2020-11-09,169000,155884
2020-11-10,169500,156332
2020-11-11,167000,156781
2020-11-12,163500,154537
2020-11-13,166000,151389
2020-11-16,168000,153638
2020-11-17,166500,155435
2020-11-18,168000,154088
2020-11-19,170000,155435
2020-11-20,170000,157229
2020-11-23,170500,157229
2020-11-24,174000,157677
2020-11-25,174500,160809
2020-11-26,179500,161256
2020-11-27,188500,165713
2020-11-30,187500,173687
2020-12-01,177500,172804
2020-12-02,177500,163932
2020-12-03,175500,163932
2020-12-04,176500,162149
2020-12-07,174000,163041
2020-12-08,171500,160809
2020-12-09,172500,158573
2020-12-10,178500,159468
2020-12-11,174500,164823
2020-12-14,171000,161256
2020-12-15,171500,158125
2020-12-16,174500,158573
2020-12-17,176500,161256
2020-12-18,181500,163041
2020-12-21,177000,167491
2020-12-22,172500,163487
2020-12-23,171000,159468
2020-12-24,171000,158125
2020-12-28,167500,158125
2020-12-29,168000,154986
2020-12-30,169000,155435
2021-01-04,154500,156332
2021-01-05,160500,143259
2021-01-06,159500,148684
2021-01-07,158500,147781
2021-01-08,159500,146878
2021-01-11,156000,147781
2021-01-12,154500,144617
2021-01-13,153000,143259
2021-01-14,155000,141900
2021-01-15,153000,143712
2021-01-18,148000,141900
2021-01-19,148000,137361
2021-01-20,148000,137361
2021-01-21,151500,137361
2021-01-22,150500,140540
2021-01-25,152000,139632
2021-01-26,152000,140993
2021-01-27,149500,140993
2021-01-28,148000,138724
2021-01-29,145000,137361
2021-02-01,149000,134632
2021-02-02,149500,138270
2021-02-03,149500,138724
2021-02-04,149500,138724
2021-02-05,149000,138724
2021-02-08,149500,138270
2021-02-09,149500,138724
2021-02-10,152500,138724
2021-02-15,152000,141447
2021-02-16,151500,140993
2021-02-17,150500,140540
2021-02-18,149000,139632
2021-02-19,150000,138270
2021-02-22,148000,139178
2021-02-23,147500,137361
2021-02-24,122000,136906
2021-02-25,126000,113600
2021-02-26,118000,117269
2021-03-02,112000,109929
2021-03-03,115000,104417
2021-03-04,110500,107173
2021-03-05,109500,103038
2021-03-08,106500,102119
2021-03-09,108000,99361
2021-03-10,104000,100740
2021-03-11,106000,97063
2021-03-12,108500,98902
2021-03-15,109000,101200
2021-03-16,110000,101660
2021-03-17,111500,102579
2021-03-18,110500,103957
2021-03-19,107000,103038
2021-03-22,105000,99821
2021-03-23,105000,97982
2021-03-24,106500,97982
2021-03-25,104500,99361
2021-03-26,104000,97523
2021-03-29,101000,97063
2021-03-30,104000,94305
2021-03-31,103000,97063
2021-04-01,104500,96144
2021-04-02,105000,97523
2021-04-05,103500,97982
2021-04-06,102000,96603
2021-04-07,102500,95224
2021-04-08,105500,95684
2021-04-09,109000,98442
2021-04-12,110000,101660
2021-04-13,114000,102579
2021-04-14,111500,106255
2021-04-15,112000,103957
2021-04-16,111500,104417
2021-04-19,113500,103957
2021-04-20,119000,105795
2021-04-21,120000,110847
2021-04-22,117500,111765
2021-04-23,118500,109470
2021-04-26,117500,110388
2021-04-27,114500,109470
2021-04-28,115000,106714
2021-04-29,111500,107173
2021-04-30,109000,103957
2021-05-03,105000,101660
2021-05-04,104500,97982
2021-05-06,106000,97523
2021-05-07,108000,98902
2021-05-10,109500,100740
2021-05-11,106500,102119
2021-05-12,107500,99361
2021-05-13,108000,100281
2021-05-14,110500,100740
2021-05-17,111000,103038
2021-05-18,113000,103498
2021-05-20,113000,105336
2021-05-21,112500,105336
2021-05-24,111000,104876
2021-05-25,112500,103498
2021-05-26,110500,104876
2021-05-27,114000,103038
2021-05-28,113000,106255
2021-05-31,113500,105336
2021-06-01,112000,105795
2021-06-02,112500,104417
2021-06-03,113000,104876
2021-06-04,113500,105336
2021-06-07,114000,105795
