Date,Actual Closing Price,Forecast Closing Price
2021-03-19,166500,146332
2021-03-22,144000,144260
2021-03-23,140500,125577
2021-03-24,136500,122667
2021-03-25,136000,119341
2021-03-26,132000,118925
2021-03-29,123500,115598
2021-03-30,126500,108525
2021-03-31,120500,111022
2021-04-01,119000,106029
2021-04-02,117500,104780
2021-04-05,118000,103532
2021-04-06,115500,103948
2021-04-07,114500,101867
2021-04-08,125500,101035
2021-04-09,130500,110190
2021-04-12,132000,114350
2021-04-13,137500,115598
2021-04-14,135500,120173
2021-04-15,130000,118509
2021-04-16,132000,113934
2021-04-19,140500,115598
2021-04-20,139500,122667
2021-04-21,149500,121836
2021-04-22,145000,130148
2021-04-23,150500,126408
2021-04-26,153000,130979
2021-04-27,156500,133056
2021-04-28,163500,135962
2021-04-29,150500,141772
2021-04-30,152000,130979
2021-05-03,149500,132225
2021-05-04,158500,130148
2021-05-06,160000,137622
2021-05-07,160500,138868
2021-05-10,161500,139282
2021-05-11,151500,140112
2021-05-12,144000,131810
2021-05-13,145500,125577
2021-05-14,146000,126824
2021-05-17,159500,127240
2021-05-18,159500,138453
2021-05-20,161500,138453
2021-05-21,161500,140112
2021-05-24,163000,140112
2021-05-25,160500,141357
2021-05-26,157500,139282
2021-05-27,154500,136792
2021-05-28,155000,134301
2021-05-31,152000,134717
2021-06-01,149000,132225
2021-06-02,148000,129733
2021-06-03,155500,128902
2021-06-04,156000,135132
2021-06-07,153500,135547
2021-06-08,155000,133471
2021-06-09,155500,134717
2021-06-10,156500,135132
2021-06-11,157000,135962
2021-06-14,159000,136377
2021-06-15,162000,138038
2021-06-16,162500,140527
2021-06-17,160000,140942
2021-06-18,152500,138868
2021-06-21,154000,132640
2021-06-22,152000,133886
2021-06-23,151500,132225
2021-06-24,151500,131810
2021-06-25,153000,131810
2021-06-28,159000,133056
2021-06-29,158000,138038
2021-06-30,158500,137207
2021-07-01,158500,137622
2021-07-02,164500,137622
2021-07-05,168000,142601
2021-07-06,164500,145504
2021-07-07,165000,142601
2021-07-08,157500,143016
2021-07-09,160500,136792
2021-07-12,155500,139282
2021-07-13,154500,135132
2021-07-14,155000,134301
2021-07-15,154500,134717
2021-07-16,158500,134301
2021-07-19,156500,137622
2021-07-20,160500,135962
2021-07-21,156000,139282
2021-07-22,156000,135547
2021-07-23,157500,135547
2021-07-26,157500,136792
2021-07-27,162500,136792
2021-07-28,166000,140942
2021-07-29,171000,143845
2021-07-30,170500,147990
2021-08-02,197000,147576
2021-08-03,204000,169486
2021-08-04,210500,175254
2021-08-05,208000,180601
2021-08-06,244500,178546
2021-08-09,232500,208409
2021-08-10,301500,198628
2021-08-11,300000,254247
2021-08-12,285500,253055
2021-08-13,288500,241496
2021-08-17,319000,243894
2021-08-18,321000,268076
2021-08-19,335500,269648
2021-08-20,330500,280995
2021-08-23,323500,277093
2021-08-24,304000,271611
2021-08-25,280000,256230
2021-08-26,286000,237090
2021-08-27,289500,241895
2021-08-30,299500,244692
