Date,Actual Closing Price,Forecast Closing Price
2021-11-30,68000,74063
2021-12-01,62700,67002
2021-12-02,68700,62221
2021-12-03,66000,67628
2021-12-06,66000,65207
2021-12-07,65600,65207
2021-12-08,64600,64846
2021-12-09,65100,63943
2021-12-10,63300,64395
2021-12-13,63000,62766
2021-12-14,60600,62493
2021-12-15,58200,60307
2021-12-16,56400,58108
2021-12-17,57000,56451
2021-12-20,58400,57004
2021-12-21,60900,58292
2021-12-22,65700,60581
2021-12-23,64900,64936
2021-12-24,65800,64214
2021-12-27,65200,65026
2021-12-28,64800,64485
2021-12-29,64500,64124
2021-12-30,66400,63853
2022-01-03,66500,65567
2022-01-04,70000,65656
2022-01-05,67600,68786
2022-01-06,61700,66644
2022-01-07,61000,61311
2022-01-10,57500,60672
2022-01-11,57200,57464
2022-01-12,59400,57188
2022-01-13,58000,59209
2022-01-14,59000,57924
2022-01-17,59300,58842
2022-01-18,62900,59117
2022-01-19,62300,62402
2022-01-20,62500,61857
2022-01-21,60800,62039
2022-01-24,59200,60490
2022-01-25,56700,59026
2022-01-26,57200,56728
2022-01-27,54800,57188
2022-01-28,55000,54974
2022-02-03,56200,55159
2022-02-04,56900,56267
2022-02-07,58200,56912
2022-02-08,58600,58108
2022-02-09,59800,58475
2022-02-10,57100,59575
2022-02-11,56800,57096
2022-02-14,54600,56820
2022-02-15,51700,54789
2022-02-16,54700,52101
2022-02-17,54200,54881
2022-02-18,54200,54419
2022-02-21,55800,54419
2022-02-22,55100,55898
2022-02-23,57700,55251
2022-02-24,55300,57648
2022-02-25,57300,55436
2022-02-28,55800,57280
2022-03-02,54100,55898
2022-03-03,55100,54326
2022-03-04,53000,55251
2022-03-07,50700,53307
2022-03-08,49250,51171
2022-03-10,51900,49821
2022-03-11,51400,52286
2022-03-14,52200,51822
2022-03-15,51300,52565
2022-03-16,51300,51729
2022-03-17,52600,51729
2022-03-18,53500,52936
2022-03-21,53500,53771
2022-03-22,53700,53771
2022-03-23,55700,53956
2022-03-24,55600,55805
2022-03-25,55100,55713
2022-03-28,56700,55251
2022-03-29,57500,56728
2022-03-30,56200,57464
2022-03-31,56800,56267
2022-04-01,56300,56820
2022-04-04,56200,56359
2022-04-05,56500,56267
2022-04-06,56700,56543
2022-04-07,55400,56728
2022-04-08,56200,55528
2022-04-11,56100,56267
2022-04-12,55400,56175
2022-04-13,57000,55528
2022-04-14,57500,57004
2022-04-15,57100,57464
2022-04-18,55700,57096
2022-04-19,56500,55805
2022-04-20,56700,56543
2022-04-21,56300,56728
2022-04-22,55400,56359
2022-04-25,54500,55528
2022-04-26,54400,54696
2022-04-27,52800,54604
2022-04-28,52600,53122
2022-04-29,52700,52936
2022-05-02,51400,53029
2022-05-03,51400,51822
2022-05-04,50500,51822
2022-05-06,48400,50985
2022-05-09,45850,49029
2022-05-10,46200,46649
2022-05-11,44700,46976
2022-05-12,43100,45575
2022-05-13,44400,44079
2022-05-16,44600,45295
2022-05-17,44650,45482
2022-05-18,45000,45528
2022-05-19,44700,45855
2022-05-20,46350,45575
2022-05-23,46950,47116
2022-05-24,45500,47676
2022-05-25,45950,46322
2022-05-26,45500,46743
2022-05-27,46000,46322
2022-05-30,47100,46789
2022-05-31,47300,47816
2022-06-02,46150,48003
2022-06-03,46950,46930
2022-06-07,45250,47676
2022-06-08,45850,46089
2022-06-09,46500,46649
2022-06-10,45600,47256
2022-06-13,43000,46416
2022-06-14,42900,43986
2022-06-15,41850,43892
2022-06-16,42300,42911
2022-06-17,43050,43331
2022-06-20,41800,44033
2022-06-21,41500,42864
2022-06-22,40600,42583
2022-06-23,39000,41742
2022-06-24,40950,40246
2022-06-27,41950,42069
2022-06-28,41400,43004
2022-06-29,40750,42490
2022-06-30,39050,41882
2022-07-01,38950,40293
2022-07-04,38200,40199
2022-07-05,39550,39498
2022-07-06,38100,40760
2022-07-07,39600,39405
2022-07-08,39800,40807
2022-07-11,39800,40994
2022-07-12,39500,40994
2022-07-13,40600,40713
2022-07-14,39800,41742
2022-07-15,40350,40994
2022-07-18,40950,41508
2022-07-19,40400,42069
2022-07-20,41500,41555
2022-07-21,41750,42583
2022-07-22,41150,42817
2022-07-25,41600,42256
2022-07-26,41600,42677
2022-07-27,42500,42677
2022-07-28,42700,43518
2022-07-29,42750,43705
2022-08-01,42450,43752
2022-08-02,41200,43472
2022-08-03,41800,42303
2022-08-04,42000,42864
2022-08-05,42650,43051
