Date,Actual Closing Price,Forecast Closing Price
2021-05-12,147500,185830
2021-05-13,144000,177275
2021-05-14,141000,172994
2021-05-17,138000,169322
2021-05-18,144000,165650
2021-05-20,142000,172994
2021-05-21,143500,170546
2021-05-24,142500,172382
2021-05-25,142000,171158
2021-05-26,141500,170546
2021-05-27,142000,169934
2021-05-28,145000,170546
2021-05-31,149000,174217
2021-06-01,150000,179109
2021-06-02,149500,180332
2021-06-03,149500,179721
2021-06-04,147500,179721
2021-06-07,143000,177275
2021-06-08,143000,171770
2021-06-09,142000,171770
2021-06-10,142500,170546
2021-06-11,157500,171158
2021-06-14,148000,189493
2021-06-15,149500,177887
2021-06-16,152000,179721
2021-06-17,156000,182776
2021-06-18,158000,187662
2021-06-21,158500,190103
2021-06-22,159000,190713
2021-06-23,166500,191323
2021-06-24,168500,200463
2021-06-25,172500,202897
2021-06-28,167000,207759
2021-06-29,173000,201072
2021-06-30,183000,208367
2021-07-01,186500,220487
2021-07-02,186000,224716
2021-07-05,185500,224112
2021-07-06,193000,223508
2021-07-07,199000,232551
2021-07-08,205000,239758
2021-07-09,209000,246940
2021-07-12,210000,251713
2021-07-13,211500,252904
2021-07-14,209000,254689
2021-07-15,204500,251713
2021-07-16,213000,246343
2021-07-19,211000,256473
2021-07-20,214000,254095
2021-07-21,216000,257661
2021-07-22,230500,260034
2021-07-23,235500,277134
2021-07-26,229500,282985
2021-07-27,228500,275961
2021-07-28,229500,274787
2021-07-29,225000,275961
2021-07-30,225500,270671
2021-08-02,228500,271260
2021-08-03,211000,274787
2021-08-04,217000,254095
2021-08-05,216500,261220
2021-08-06,212500,260627
2021-08-09,209500,255879
2021-08-10,210500,252309
2021-08-11,202500,253499
2021-08-12,217500,243951
2021-08-13,214500,261812
2021-08-17,208500,258254
2021-08-18,214500,251117
2021-08-19,214000,258254
2021-08-20,205000,257661
2021-08-23,206000,246940
2021-08-24,204000,248134
2021-08-25,208000,245745
2021-08-26,213500,250521
2021-08-27,215000,257067
2021-08-30,209000,258848
2021-08-31,207500,251713
2021-09-01,208500,249925
2021-09-02,209000,251117
2021-09-03,209000,251713
2021-09-06,208000,251713
2021-09-07,209500,250521
2021-09-08,206500,252309
2021-09-09,210000,248731
2021-09-10,225500,252904
2021-09-13,233000,271260
2021-09-14,227500,280063
2021-09-15,233000,273612
2021-09-16,223000,280063
2021-09-17,224500,268313
2021-09-23,220000,270082
2021-09-24,217000,264770
2021-09-27,208500,261220
2021-09-28,216500,251117
2021-09-29,217500,260627
2021-09-30,226000,261812
2021-10-01,227500,271848
2021-10-05,212000,273612
2021-10-06,200000,255284
2021-10-07,199000,240957
2021-10-08,202000,239758
2021-10-12,195500,243353
2021-10-13,201500,235557
2021-10-14,200500,242754
2021-10-15,193500,241556
2021-10-18,195000,233152
2021-10-19,193500,234956
2021-10-20,179000,233152
2021-10-21,178000,215645
2021-10-22,177000,214433
2021-10-25,176500,213221
2021-10-26,180500,212614
2021-10-27,178000,217462
2021-10-28,176000,214433
2021-10-29,166500,212008
2021-11-01,163000,200463
2021-11-02,162000,196200
2021-11-03,155000,194982
2021-11-04,152000,186441
2021-11-05,145500,182776
2021-11-08,158500,174829
2021-11-09,151000,190713
2021-11-10,161000,181554
2021-11-11,161000,193762
2021-11-12,176000,193762
2021-11-15,179000,212008
2021-11-16,169500,215645
2021-11-17,167500,204113
2021-11-18,164500,201680
2021-11-19,167500,198028
2021-11-22,165500,201680
2021-11-23,165500,199246
2021-11-24,159500,199246
2021-11-25,157000,191933
2021-11-26,162500,188883
2021-11-29,165500,195591
2021-11-30,155500,199246
2021-12-01,158000,187051
2021-12-02,160500,190103
2021-12-03,169500,193153
2021-12-06,167500,204113
2021-12-07,165500,201680
2021-12-08,168500,199246
2021-12-09,172500,202897
2021-12-10,176000,207759
2021-12-13,173000,212008
2021-12-14,170500,208367
2021-12-15,170500,205329
2021-12-16,173000,205329
2021-12-17,171500,208367
2021-12-20,165500,206544
2021-12-21,162000,199246
2021-12-22,156500,194982
2021-12-23,158500,188272
2021-12-24,162000,190713
2021-12-27,160000,194982
2021-12-28,166000,192543
2021-12-29,168500,199854
2021-12-30,168000,202897
2022-01-03,164500,202289
2022-01-04,158500,198028
2022-01-05,152500,190713
2022-01-06,150500,183387
2022-01-07,153500,180943
2022-01-10,147000,184609
2022-01-11,147000,176664
2022-01-12,151000,176664
2022-01-13,155500,181554
2022-01-14,150500,187051
2022-01-17,149000,180943
2022-01-18,150500,179109
2022-01-19,141500,180943
2022-01-20,143500,169934
2022-01-21,146500,172382
2022-01-24,147000,176052
2022-01-25,143000,176664
2022-01-26,137500,171770
2022-01-27,127000,165038
2022-01-28,115000,152179
2022-02-03,114000,137488
2022-02-04,117000,136265
2022-02-07,120000,139936
2022-02-08,124500,143608
2022-02-09,125500,149118
2022-02-10,129500,150342
2022-02-11,122000,155241
2022-02-14,117000,146057
2022-02-15,109000,139936
2022-02-16,117500,130150
2022-02-17,118000,140548
2022-02-18,122500,141160
2022-02-21,121000,146669
2022-02-22,121000,144832
2022-02-23,124000,144832
2022-02-24,120000,148506
2022-02-25,120500,143608
2022-02-28,123500,144220
2022-03-02,124000,147893
2022-03-03,125500,148506
2022-03-04,121000,150342
2022-03-07,118500,144832
2022-03-08,115500,141772
2022-03-10,114000,138100
2022-03-11,111500,136265
2022-03-14,108500,133207
2022-03-15,105500,129539
2022-03-16,110000,125873
2022-03-17,115000,131373
2022-03-18,116000,137488
2022-03-21,116000,138712
2022-03-22,117500,138712
2022-03-23,120000,140548
2022-03-24,120000,143608
2022-03-25,127500,143608
2022-03-28,122500,152792
2022-03-29,124500,146669
2022-03-30,125000,149118
2022-03-31,126500,149730
2022-04-01,124500,151567
2022-04-04,128000,149118
2022-04-05,126000,153404
2022-04-06,122500,150955
2022-04-07,120000,146669
2022-04-08,128500,143608
2022-04-11,123500,154016
2022-04-12,126000,147893
2022-04-13,124500,150955
2022-04-14,125000,149118
2022-04-15,122000,149730
2022-04-18,118000,146057
2022-04-19,121500,141160
2022-04-20,120000,145444
2022-04-21,125500,143608
2022-04-22,127500,150342
2022-04-25,126500,152792
2022-04-26,131000,151567
2022-04-27,129500,157078
2022-04-28,126000,155241
2022-04-29,127000,150955
2022-05-02,123500,152179
2022-05-03,125000,147893
2022-05-04,124500,149730
2022-05-06,121000,149118
2022-05-09,115500,144832
2022-05-10,114000,138100
2022-05-11,115000,136265
2022-05-12,112000,137488
2022-05-13,117000,133819
2022-05-16,114500,139936
2022-05-17,117500,136877
2022-05-18,120000,140548
2022-05-19,119500,143608
