Date,Actual Closing Price,Forecast Closing Price
1996-12-27,232871,202283
1997-01-03,232871,202283
1997-01-04,232871,202283
1997-01-06,232871,202283
1997-01-07,232871,202283
1997-01-08,232871,202283
1997-01-09,232871,202283
1997-01-10,232871,202283
1997-01-11,232871,202283
1997-01-13,232871,202283
1997-01-14,243350,202283
1997-01-15,243350,210459
1997-01-16,243350,210459
1997-01-17,239857,210459
1997-01-18,244515,207732
1997-01-20,263145,211368
1997-01-21,271295,225943
1997-01-22,265473,232333
1997-01-23,260816,227767
1997-01-24,260816,224119
1997-01-25,272459,224119
1997-01-27,266638,233246
1997-01-28,286432,228681
1997-01-29,286432,244219
1997-01-30,285267,244219
1997-01-31,284103,243304
1997-02-01,279446,242389
1997-02-03,279446,238730
1997-02-04,289925,238730
1997-02-05,287596,246965
1997-02-06,285267,245134
1997-02-10,293418,243304
1997-02-11,291089,249713
1997-02-12,302733,247881
1997-02-13,326020,257044
1997-02-14,351636,275399
1997-02-15,379580,295621
1997-02-17,379580,317693
1997-02-18,349307,317693
1997-02-19,377252,293781
1997-02-20,377252,315854
1997-02-21,349307,315854
1997-02-22,356293,293781
1997-02-24,367937,299299
1997-02-25,397046,308496
1997-02-26,422662,331485
1997-02-27,430812,351689
1997-02-28,419169,358109
1997-03-03,421497,348936
1997-03-04,406361,350771
1997-03-05,384238,338836
1997-03-06,386567,321372
1997-03-07,386567,323211
1997-03-08,378416,323211
1997-03-10,376087,316774
1997-03-11,372594,314934
1997-03-12,395881,312175
1997-03-13,376087,330565
1997-03-14,367937,314934
1997-03-15,372594,308496
1997-03-17,388895,312175
1997-03-18,384238,325049
1997-03-19,378416,321372
1997-03-20,378416,316774
1997-03-21,385402,316774
1997-03-22,380745,322291
1997-03-24,395881,318613
1997-03-25,427319,330565
1997-03-26,451771,355358
1997-03-27,440127,374593
1997-03-28,451771,365440
1997-03-29,454099,374593
1997-03-31,471565,376421
1997-04-01,454099,390118
1997-04-02,454099,376421
1997-04-03,448278,376421
1997-04-04,450606,371849
1997-04-07,464579,373678
1997-04-08,471565,384644
1997-04-09,487866,390118
1997-04-10,469236,402867
1997-04-11,470400,388294
1997-04-12,461086,389206
1997-04-14,477387,381905
1997-04-15,465743,394676
1997-04-16,447113,385557
1997-04-17,423826,370933
1997-04-18,423826,352606
1997-04-19,434305,352606
1997-04-21,431977,360859
1997-04-22,421497,359026
1997-04-23,416840,350771
1997-04-24,416840,347100
1997-04-25,413347,347100
1997-04-26,419169,344346
1997-04-28,402868,348936
1997-04-29,418004,336079
1997-04-30,414511,348018
1997-05-02,400539,345264
1997-05-03,408689,334241
1997-05-06,419169,340672
1997-05-07,416840,348936
1997-05-08,424990,347100
1997-05-09,431977,353523
1997-05-10,434305,359026
1997-05-12,454099,360859
1997-05-13,459921,376421
1997-05-15,492523,380991
1997-05-16,489030,406502
1997-05-17,480880,403775
1997-05-19,500674,397408
1997-05-20,501838,412856
1997-05-21,491359,413762
1997-05-22,466907,405593
1997-05-23,469236,386469
1997-05-24,468072,388294
1997-05-26,456428,387382
1997-05-27,465743,378250
1997-05-28,499509,385557
1997-05-29,500674,411948
1997-05-30,505331,412856
1997-05-31,505331,416481
1997-06-02,523961,416481
1997-06-03,516975,430946
1997-06-04,503002,425529
1997-06-05,508824,414668
1997-06-07,508824,419198
1997-06-09,506496,419198
1997-06-10,494852,417387
1997-06-11,479715,408318
1997-06-12,516975,396497
1997-06-13,553070,425529
1997-06-14,544919,453411
1997-06-16,530947,447139
1997-06-17,572864,436354
1997-06-18,564713,468579
1997-06-19,577521,462345
1997-06-20,551906,472134
1997-06-21,535605,452516
1997-06-23,518139,439954
1997-06-24,512317,426433
1997-06-25,518139,421913
1997-06-26,532111,426433
1997-06-27,533276,437254
1997-06-28,529783,438154
1997-06-30,529783,435453
1997-07-01,547248,435453
1997-07-02,568207,448932
1997-07-03,562385,465019
1997-07-04,562385,460561
1997-07-05,555399,460561
1997-07-07,542591,455201
1997-07-08,553070,445345
1997-07-09,569371,453411
1997-07-10,570535,465909
1997-07-11,567042,466800
1997-07-12,558892,464128
1997-07-14,564713,457882
1997-07-15,549577,462345
1997-07-16,533276,450725
1997-07-18,533276,438154
1997-07-19,534440,438154
1997-07-21,535605,439054
1997-07-22,536769,439954
1997-07-23,543755,440853
1997-07-24,555399,446242
1997-07-25,550741,455201
1997-07-26,564713,451620
1997-07-28,568207,462345
1997-07-29,565878,465019
1997-07-30,549577,463237
1997-07-31,536769,450725
1997-08-01,535605,440853
1997-08-02,535605,439954
1997-08-04,536769,439954
1997-08-05,547248,440853
1997-08-06,547248,448932
1997-08-07,532111,448932
1997-08-08,534440,437254
1997-08-09,546084,439054
1997-08-11,544919,448036
1997-08-12,529783,447139
1997-08-13,518139,435453
1997-08-14,489030,426433
1997-08-16,493688,403775
1997-08-18,496016,407410
1997-08-19,509989,409226
1997-08-20,497181,420104
1997-08-21,494852,410134
1997-08-22,489030,408318
1997-08-23,487866,403775
1997-08-25,485537,402867
1997-08-26,483208,401048
1997-08-27,483208,399228
1997-08-28,454099,399228
1997-08-29,418004,376421
1997-08-30,385402,348018
1997-09-01,391224,322291
1997-09-02,395881,326888
1997-09-03,419169,330565
1997-09-04,409854,348936
1997-09-05,419169,341591
1997-09-06,427319,348936
1997-09-08,429648,355358
1997-09-09,419169,357192
1997-09-10,424990,348936
1997-09-11,454099,353523
1997-09-12,431977,376421
1997-09-13,430812,359026
1997-09-18,424990,358109
1997-09-19,406361,353523
1997-09-20,401703,338836
1997-09-22,401703,335160
1997-09-23,395881,335160
1997-09-24,401703,330565
1997-09-25,378416,335160
1997-09-26,351636,316774
1997-09-27,324856,295621
1997-09-29,324856,274481
1997-09-30,350471,274481
1997-10-01,378416,294701
1997-10-02,360951,316774
1997-10-04,363279,302978
1997-10-06,362115,304817
1997-10-07,356293,303898
1997-10-08,337664,299299
1997-10-09,339992,284588
1997-10-10,349307,286426
1997-10-11,363279,293781
1997-10-13,351636,304817
1997-10-14,358622,295621
1997-10-15,358622,301138
1997-10-16,330677,301138
1997-10-17,309719,279074
1997-10-18,324856,262547
1997-10-20,322527,274481
1997-10-21,326020,272644
1997-10-22,335335,275399
1997-10-23,333006,282750
1997-10-24,314376,280912
1997-10-25,289925,266217
1997-10-27,267802,246965
1997-10-28,246844,229593
1997-10-29,242186,213188
1997-10-30,223556,209550
1997-10-31,232871,195031
