Date,Actual Closing Price,Forecast Closing Price
1990-07-31,20249,70875
1990-08-01,20249,70875
1990-08-02,20249,70875
1990-08-03,20249,70875
1990-08-04,20249,70875
1990-08-06,20249,70875
1990-08-07,20249,70875
1990-08-08,20249,70875
1990-08-09,20249,70875
1990-08-10,20249,70875
1990-08-11,20249,70875
1990-08-13,20249,70875
1990-08-14,20249,70875
1990-08-16,20249,70875
1990-08-17,20249,70875
1990-08-18,20249,70875
1990-08-20,20249,70875
1990-08-21,20249,70875
1990-08-22,20249,70875
1990-08-23,20249,70875
1990-08-24,20249,70875
1990-08-25,20249,70875
1990-08-27,20249,70875
1990-08-28,20249,70875
1990-08-29,20249,70875
1990-08-30,20249,70875
1990-08-31,20249,70875
1990-09-01,20249,70875
1990-09-03,20249,70875
1990-09-04,20249,70875
1990-09-05,20249,70875
1990-09-06,20249,70875
1990-09-07,20249,70875
1990-09-08,20249,70875
1990-09-10,20249,70875
1990-09-11,20249,70875
1990-09-12,20249,70875
1990-09-13,20249,70875
1990-09-14,20249,70875
1990-09-15,20249,70875
1990-09-17,20249,70875
1990-09-18,20249,70875
1990-09-19,20249,70875
1990-09-20,20249,70875
1990-09-21,20249,70875
1990-09-22,20249,70875
1990-09-24,20249,70875
1990-09-25,20249,70875
1990-09-26,20249,70875
1990-09-27,20249,70875
1990-09-28,20249,70875
1990-09-29,20249,70875
1990-10-05,20249,70875
1990-10-06,20249,70875
1990-10-08,20249,70875
1990-10-10,20249,70875
1990-10-11,20249,70875
1990-10-12,20249,70875
1990-10-13,20249,70875
1990-10-15,20249,70875
1990-10-16,20249,70875
1990-10-17,20249,70875
1990-10-18,20249,70875
1990-10-19,20249,70875
1990-10-20,20249,70875
1990-10-22,20249,70875
1990-10-23,20249,70875
1990-10-24,12974,70875
1990-10-25,12974,63487
1990-10-26,12974,63487
1990-10-27,12974,63487
1990-10-29,12974,63487
1990-10-30,12974,63487
1990-10-31,12974,63487
1990-11-01,12974,63487
1990-11-02,12974,63487
1990-11-03,12974,63487
1990-11-05,12974,63487
1990-11-06,12974,63487
1990-11-07,12974,63487
1990-11-08,12974,63487
1990-11-09,12974,63487
1990-11-10,12974,63487
1990-11-12,12974,63487
1990-11-13,12974,63487
1990-11-14,12974,63487
1990-11-15,12974,63487
1990-11-16,12974,63487
1990-11-17,12974,63487
1990-11-19,12974,63487
1990-11-20,12974,63487
1990-11-21,12974,63487
1990-11-22,12974,63487
1990-11-23,12974,63487
1990-11-24,12974,63487
1990-11-26,12974,63487
1990-11-27,12974,63487
1990-11-28,12974,63487
1990-11-29,12974,63487
1990-11-30,12974,63487
1990-12-01,12974,63487
1990-12-03,12974,63487
1990-12-04,12974,63487
1990-12-05,12974,63487
1990-12-06,12974,63487
1990-12-07,12974,63487
1990-12-08,12974,63487
1990-12-10,12974,63487
1990-12-11,12974,63487
1990-12-12,12974,63487
1990-12-13,12974,63487
1990-12-14,12974,63487
1990-12-15,12974,63487
1990-12-17,12974,63487
1990-12-18,12974,63487
1990-12-19,12974,63487
1990-12-20,12974,63487
1990-12-21,12974,63487
1990-12-22,12974,63487
1990-12-24,12974,63487
1990-12-26,12974,63487
1991-01-03,12974,63487
1991-01-04,9974,63487
1991-01-05,9974,60456
1991-01-07,9749,60456
1991-01-08,9749,60229
1991-01-09,9449,60229
1991-01-10,8999,59926
1991-01-11,8699,59472
1991-01-12,8924,59170
1991-01-14,8774,59397
1991-01-15,8324,59245
1991-01-16,8024,58792
1991-01-17,8399,58490
1991-01-18,8549,58867
1991-01-19,8399,59019
1991-01-21,7949,58867
1991-01-22,8099,58414
1991-01-23,7949,58565
1991-01-24,8099,58414
1991-01-25,8249,58565
1991-01-26,8249,58716
1991-01-28,8099,58716
1991-01-29,8099,58565
1991-01-30,8249,58565
1991-01-31,8099,58716
1991-02-01,8024,58565
1991-02-02,8024,58490
1991-02-04,8024,58490
1991-02-05,8024,58490
1991-02-06,8024,58490
1991-02-07,8099,58490
1991-02-08,8099,58565
1991-02-09,8174,58565
1991-02-11,8099,58641
1991-02-12,8174,58565
1991-02-13,8174,58641
1991-02-18,8474,58641
1991-02-19,8699,58943
1991-02-20,8699,59170
1991-02-21,8549,59170
1991-02-22,8774,59019
1991-02-23,9074,59245
1991-02-25,9374,59548
1991-02-26,9374,59850
1991-02-27,9374,59850
1991-02-28,9524,59850
1991-03-02,9524,60002
1991-03-04,9524,60002
1991-03-05,9374,60002
1991-03-06,9599,59850
1991-03-07,9374,60077
1991-03-08,9149,59850
1991-03-09,9524,59623
1991-03-11,9299,60002
1991-03-12,9374,59775
1991-03-13,9299,59850
1991-03-14,9524,59775
1991-03-15,9974,60002
1991-03-16,10124,60456
1991-03-18,10574,60607
1991-03-19,10199,61061
1991-03-20,10124,60683
1991-03-21,9749,60607
1991-03-22,9599,60229
1991-03-23,9899,60077
1991-03-25,10124,60380
1991-03-27,9974,60607
1991-03-28,10199,60456
1991-03-29,9899,60683
1991-03-30,9899,60380
1991-04-01,9749,60380
1991-04-02,9524,60229
1991-04-03,9599,60002
1991-04-04,9749,60077
1991-04-06,9599,60229
1991-04-08,9674,60077
1991-04-09,9674,60153
1991-04-10,9674,60153
1991-04-11,9749,60153
1991-04-12,9599,60229
1991-04-13,9674,60077
1991-04-15,9524,60153
1991-04-16,9524,60002
1991-04-17,9749,60002
1991-04-18,9599,60229
1991-04-19,9599,60077
1991-04-20,9374,60077
1991-04-22,9299,59850
1991-04-23,9524,59775
1991-04-24,9374,60002
1991-04-25,9149,59850
1991-04-26,9074,59623
1991-04-27,9224,59548
1991-04-29,9674,59699
1991-04-30,9824,60153
1991-05-01,9524,60304
1991-05-02,9749,60002
1991-05-03,9599,60229
1991-05-04,9374,60077
1991-05-06,9224,59850
1991-05-07,9224,59699
1991-05-08,9374,59699
1991-05-09,9299,59850
1991-05-10,9299,59775
1991-05-11,9224,59775
1991-05-13,9149,59699
1991-05-14,9449,59623
1991-05-15,9374,59926
1991-05-16,9224,59850
1991-05-17,9224,59699
1991-05-18,9374,59699
1991-05-20,9149,59850
1991-05-22,9299,59623
1991-05-23,8999,59775
1991-05-24,8999,59472
1991-05-25,8849,59472
1991-05-27,8924,59321
1991-05-28,8924,59397
1991-05-29,8699,59397
1991-05-30,8549,59170
1991-05-31,8399,59019
1991-06-01,8399,58867
1991-06-03,8399,58867
