Date,Actual Closing Price,Forecast Closing Price
1998-05-11,4947,2653
1998-05-12,4567,2122
1998-05-13,4224,1591
1998-05-14,3920,1108
1998-05-15,4224,679
1998-05-16,4529,1108
1998-05-18,4871,1537
1998-05-19,4947,2016
1998-05-20,5328,2122
1998-05-21,5518,2653
1998-05-22,5518,2916
1998-05-23,5328,2916
1998-05-25,5366,2653
1998-05-26,4757,2706
1998-05-27,4909,1857
1998-05-28,4871,2069
1998-05-29,5328,2016
1998-05-30,5138,2653
1998-06-01,4757,2389
1998-06-02,4909,1857
1998-06-03,5023,2069
1998-06-05,5138,2229
1998-06-08,5518,2389
1998-06-09,5290,2916
1998-06-10,5138,2600
1998-06-11,5138,2389
1998-06-12,4757,2389
1998-06-13,4452,1857
1998-06-15,4338,1429
1998-06-16,4833,1269
1998-06-17,4833,1963
1998-06-18,4681,1963
1998-06-19,4567,1750
1998-06-20,4719,1591
1998-06-22,4681,1804
1998-06-23,4681,1750
1998-06-24,4643,1750
1998-06-25,4643,1697
1998-06-26,4605,1697
1998-06-27,4643,1644
1998-06-29,4643,1697
1998-06-30,4491,1697
1998-07-01,4567,1484
1998-07-02,4376,1591
1998-07-03,4376,1322
1998-07-04,4757,1322
1998-07-06,4567,1857
1998-07-07,4681,1591
1998-07-08,4643,1750
1998-07-09,4681,1697
1998-07-10,4833,1750
1998-07-11,4795,1963
1998-07-13,4833,1910
1998-07-14,4833,1963
1998-07-15,4833,1963
1998-07-16,4795,1963
1998-07-18,4795,1910
1998-07-20,4795,1910
1998-07-21,4833,1910
1998-07-22,4833,1963
1998-07-23,4833,1963
1998-07-25,4947,1963
1998-07-27,5100,2122
1998-07-28,5100,2336
1998-07-29,5100,2336
1998-07-30,5100,2336
1998-07-31,5138,2336
1998-08-01,5100,2389
1998-08-03,5100,2336
1998-08-04,5100,2336
1998-08-05,5100,2336
1998-08-06,5100,2336
1998-08-07,5100,2336
1998-08-08,5100,2336
1998-08-10,5100,2336
1998-08-11,5100,2336
1998-08-12,5100,2336
1998-08-13,5100,2336
1998-08-14,5100,2336
1998-08-17,5100,2336
1998-08-18,5100,2336
1998-08-19,5100,2336
