Date,Actual Closing Price,Forecast Closing Price
1990-01-04,13604,14588
1990-01-05,13317,14680
1990-01-06,13113,14356
1990-01-08,13235,14125
1990-01-09,13276,14263
1990-01-10,13194,14310
1990-01-11,13113,14217
1990-01-12,13113,14125
1990-01-13,13113,14125
1990-01-15,12825,14125
1990-01-16,12867,13799
1990-01-17,12825,13847
1990-01-18,12825,13799
1990-01-19,12702,13799
1990-01-20,12620,13660
1990-01-22,13072,13567
1990-01-23,12989,14079
1990-01-24,13153,13985
1990-01-25,13235,14170
1990-01-29,13235,14263
1990-01-30,13113,14263
1990-01-31,13276,14125
1990-02-01,13235,14310
1990-02-02,13030,14263
1990-02-03,12948,14031
1990-02-05,12907,13938
1990-02-06,13113,13892
1990-02-07,13030,14125
1990-02-08,13072,14031
1990-02-09,13072,14079
1990-02-10,13072,14079
1990-02-12,12948,14079
1990-02-13,12784,13938
1990-02-14,12867,13753
1990-02-15,13030,13847
1990-02-16,12948,14031
1990-02-17,12948,13938
1990-02-19,12948,13938
1990-02-20,12948,13938
1990-02-21,12907,13938
1990-02-22,12907,13892
1990-02-23,12867,13892
1990-02-24,12825,13847
1990-02-26,12620,13799
1990-02-27,12867,13567
1990-02-28,12702,13847
1990-03-02,13072,13660
1990-03-03,13030,14079
1990-03-05,12907,14031
1990-03-06,12907,13892
1990-03-07,12948,13892
1990-03-08,12907,13938
1990-03-09,12867,13892
1990-03-12,12702,13847
1990-03-13,12580,13660
1990-03-14,12702,13522
1990-03-15,12702,13660
1990-03-16,12785,13660
1990-03-17,12744,13754
1990-03-19,12825,13707
1990-03-20,13194,13799
1990-03-21,13194,14217
1990-03-22,13276,14217
1990-03-23,13317,14310
1990-03-24,13194,14356
1990-03-26,13153,14217
1990-03-27,12989,14170
1990-03-28,12744,13985
1990-03-29,12948,13707
1990-03-30,13194,13938
1990-03-31,13235,14217
1990-04-02,13113,14263
1990-04-03,13113,14125
1990-04-04,12948,14125
1990-04-06,12907,13938
1990-04-07,12867,13892
1990-04-09,12867,13847
1990-04-10,12825,13847
1990-04-11,12785,13799
1990-04-12,12621,13754
1990-04-13,12580,13568
1990-04-14,12375,13522
1990-04-16,12088,13289
1990-04-17,12293,12964
1990-04-18,12005,13196
1990-04-19,11841,12870
1990-04-20,11637,12683
1990-04-21,11678,12452
1990-04-23,11637,12498
