Date,Actual Closing Price,Forecast Closing Price
2016-11-21,34500,35056
2016-11-22,36900,33684
2016-11-23,35350,36035
2016-11-24,35400,34517
2016-11-25,34900,34566
2016-11-28,35000,34076
2016-11-29,34850,34174
2016-11-30,33450,34027
2016-12-01,34100,32654
2016-12-02,33400,33291
2016-12-05,34800,32604
2016-12-06,34900,33978
2016-12-07,34800,34076
2016-12-08,35600,33978
2016-12-09,36400,34762
2016-12-12,37050,35545
2016-12-13,36000,36181
2016-12-14,35550,35154
2016-12-15,35550,34713
2016-12-16,35900,34713
2016-12-19,35000,35056
2016-12-20,34800,34174
2016-12-21,34050,33978
2016-12-22,35000,33242
2016-12-23,35300,34174
2016-12-26,35000,34468
2016-12-27,35050,34174
2016-12-28,35600,34223
2016-12-29,35850,34762
2017-01-02,35400,35007
2017-01-03,34950,34566
2017-01-04,35600,34125
2017-01-05,36000,34762
2017-01-06,36450,35154
2017-01-09,36850,35594
2017-01-10,37000,35986
2017-01-11,36900,36132
2017-01-12,36050,36035
2017-01-13,36200,35203
2017-01-16,36550,35350
2017-01-17,36100,35692
2017-01-18,35250,35252
2017-01-19,34900,34419
2017-01-20,35650,34076
2017-01-23,34650,34811
2017-01-24,34400,33831
2017-01-25,34700,33586
2017-01-26,37450,33880
2017-01-31,37000,36572
2017-02-01,36750,36132
2017-02-02,36200,35888
2017-02-03,37250,35350
2017-02-06,37650,36377
2017-02-07,37900,36768
2017-02-08,37500,37012
2017-02-09,35850,36621
2017-02-10,36100,35007
2017-02-13,35500,35252
2017-02-14,35900,34664
2017-02-15,36850,35056
2017-02-16,35400,35986
2017-02-17,35650,34566
2017-02-20,35200,34811
2017-02-21,35250,34370
2017-02-22,35850,34419
2017-02-23,35650,35007
2017-02-24,35300,34811
2017-02-27,35900,34468
2017-02-28,36900,35056
2017-03-02,36300,36035
2017-03-03,35950,35447
2017-03-06,36050,35105
2017-03-07,36900,35203
2017-03-08,36500,36035
2017-03-09,36250,35643
2017-03-10,36650,35399
2017-03-13,36900,35790
2017-03-14,37150,36035
2017-03-15,37500,36279
2017-03-16,38600,36621
2017-03-17,40200,37695
2017-03-20,39850,39253
2017-03-21,38600,38913
2017-03-22,38000,37695
2017-03-23,38050,37110
2017-03-24,37650,37158
2017-03-27,36200,36768
2017-03-28,36350,35350
2017-03-29,36850,35496
2017-03-30,37100,35986
2017-03-31,36700,36230
2017-04-03,36350,35839
2017-04-04,35800,35496
2017-04-05,36850,34958
2017-04-06,37250,35986
2017-04-07,37450,36377
2017-04-10,36850,36572
2017-04-11,37700,35986
2017-04-12,37350,36817
2017-04-13,37450,36475
2017-04-14,36400,36572
2017-04-17,36350,35545
2017-04-18,36950,35496
2017-04-19,36150,36083
2017-04-20,37000,35301
2017-04-21,37450,36132
2017-04-24,37500,36572
2017-04-25,38650,36621
2017-04-26,39800,37744
2017-04-27,38800,38864
2017-04-28,39150,37890
2017-05-02,38800,38231
2017-05-04,38300,37890
2017-05-08,38200,37402
2017-05-10,39000,37305
2017-05-11,38600,38085
2017-05-12,38700,37695
2017-05-15,38700,37793
2017-05-16,38450,37793
2017-05-17,38800,37549
2017-05-18,36900,37890
2017-05-19,36850,36035
2017-05-22,36500,35986
2017-05-23,37200,35643
2017-05-24,37200,36328
2017-05-25,37600,36328
2017-05-26,37400,36719
2017-05-29,37150,36523
2017-05-30,36850,36279
2017-05-31,37300,35986
2017-06-01,36650,36426
2017-06-02,36150,35790
2017-06-05,36550,35301
2017-06-07,36650,35692
2017-06-08,36250,35790
2017-06-09,35950,35399
2017-06-12,36100,35105
2017-06-13,36300,35252
2017-06-14,37250,35447
2017-06-15,36300,36377
2017-06-16,35850,35447
2017-06-19,34650,35007
2017-06-20,35000,33831
2017-06-21,34650,34174
2017-06-22,35750,33831
2017-06-23,35200,34909
2017-06-26,35200,34370
2017-06-27,35750,34370
2017-06-28,35400,34909
2017-06-29,35700,34566
2017-06-30,35600,34860
2017-07-03,36100,34762
2017-07-04,35900,35252
2017-07-05,35400,35056
2017-07-06,35300,34566
2017-07-07,34750,34468
2017-07-10,35200,33929
2017-07-11,35900,34370
2017-07-12,35350,35056
2017-07-13,35300,34517
2017-07-14,35350,34468
2017-07-17,34850,34517
2017-07-18,34750,34027
2017-07-19,34650,33929
2017-07-20,34150,33831
2017-07-21,34600,33340
2017-07-24,34550,33782
2017-07-25,34450,33733
