Date,Actual Closing Price,Forecast Closing Price
1990-01-04,26500,38498
1990-01-05,26500,38424
1990-01-06,26800,38424
1990-01-08,27000,38647
1990-01-09,27000,38796
1990-01-10,26700,38796
1990-01-11,26700,38573
1990-01-12,26600,38573
1990-01-13,26500,38498
1990-01-15,26500,38424
1990-01-16,26500,38424
1990-01-17,26500,38424
1990-01-18,26500,38424
1990-01-19,26500,38424
1990-01-20,26500,38424
1990-01-22,26500,38424
1990-01-23,26500,38424
1990-01-24,26700,38424
1990-01-25,26800,38573
1990-01-29,26500,38647
1990-01-30,26600,38424
1990-01-31,26600,38498
1990-02-01,26600,38498
1990-02-02,26500,38498
1990-02-03,26500,38424
1990-02-05,26500,38424
1990-02-06,27500,38424
1990-02-07,27300,39169
1990-02-08,27300,39020
1990-02-09,27400,39020
1990-02-10,27300,39095
1990-02-12,27000,39020
1990-02-13,27000,38796
1990-02-14,27000,38796
1990-02-15,27000,38796
1990-02-16,27000,38796
1990-02-17,27200,38796
1990-02-19,26500,38945
1990-02-20,27000,38424
1990-02-21,27500,38796
1990-02-22,27300,39169
1990-02-23,27300,39020
1990-02-24,27000,39020
1990-02-26,26900,38796
1990-02-27,26500,38721
1990-02-28,26700,38424
1990-03-02,989,38573
1990-03-03,1001,23005
1990-03-05,993,23010
1990-03-06,997,23006
1990-03-07,1001,23008
1990-03-08,989,23010
1990-03-09,989,23005
1990-03-12,982,23005
1990-03-13,993,23001
1990-03-14,982,23006
1990-03-15,982,23001
1990-03-16,993,23001
1990-03-17,1001,23006
1990-03-19,1001,23010
1990-03-20,1008,23010
1990-03-21,1019,23013
1990-03-22,1019,23018
1990-03-23,1019,23018
1990-03-24,1019,23018
1990-03-26,1019,23018
1990-03-27,1019,23018
1990-03-28,1023,23018
1990-03-29,1023,23020
1990-03-30,1023,23020
1990-03-31,1038,23020
1990-04-02,1038,23026
1990-04-03,1001,23026
1990-04-04,1008,23010
1990-04-06,1001,23013
1990-04-07,1001,23010
1990-04-09,997,23010
1990-04-10,1001,23008
1990-04-11,1001,23010
1990-04-12,1001,23010
1990-04-13,1001,23010
1990-04-14,986,23010
1990-04-16,986,23003
1990-04-17,986,23003
1990-04-18,986,23003
1990-04-19,986,23003
1990-04-20,986,23003
1990-04-21,986,23003
1990-04-23,986,23003
1990-04-24,986,23003
1990-04-25,986,23003
1990-04-26,986,23003
1990-04-27,986,23003
1990-04-28,986,23003
1990-04-30,949,23003
1990-05-01,949,22987
1990-05-03,986,22987
1990-05-04,1001,23003
1990-05-07,1001,23010
1990-05-08,1001,23010
1990-05-09,1001,23010
1990-05-10,1001,23010
1990-05-11,997,23010
1990-05-12,986,23008
1990-05-14,986,23003
1990-05-15,971,23003
1990-05-16,971,22997
1990-05-17,971,22997
1990-05-18,964,22997
1990-05-19,964,22993
1990-05-21,997,22993
1990-05-22,964,23008
1990-05-23,964,22993
1990-05-24,982,22993
1990-05-25,978,23001
1990-05-26,971,23000
1990-05-28,971,22997
1990-05-29,971,22997
1990-05-30,967,22997
1990-05-31,967,22995
1990-06-01,1001,22995
1990-06-02,1001,23010
1990-06-04,1001,23010
1990-06-05,1001,23010
1990-06-07,1001,23010
1990-06-08,1001,23010
1990-06-09,1001,23010
1990-06-11,993,23010
1990-06-12,993,23006
1990-06-13,993,23006
1990-06-14,993,23006
1990-06-15,993,23006
1990-06-16,993,23006
1990-06-18,964,23006
1990-06-19,956,22993
1990-06-20,952,22990
1990-06-21,952,22988
1990-06-22,952,22988
1990-06-23,952,22988
1990-06-25,952,22988
1990-06-26,952,22988
1990-06-27,952,22988
1990-06-28,952,22988
1990-06-29,952,22988
1990-06-30,952,22988
1990-07-02,952,22988
1990-07-03,986,22988
1990-07-04,956,23003
1990-07-05,956,22990
1990-07-06,956,22990
1990-07-07,956,22990
1990-07-09,926,22990
1990-07-10,952,22977
1990-07-11,941,22988
1990-07-12,952,22983
1990-07-13,952,22988
1990-07-14,952,22988
1990-07-16,952,22988
1990-07-18,934,22988
1990-07-19,938,22980
1990-07-20,938,22982
1990-07-21,900,22982
1990-07-23,863,22965
1990-07-24,863,22949
1990-07-25,863,22949
1990-07-26,863,22949
1990-07-27,863,22949
1990-07-28,871,22949
1990-07-30,871,22952
1990-07-31,871,22952
1990-08-01,871,22952
1990-08-02,871,22952
1990-08-03,871,22952
1990-08-04,871,22952
1990-08-06,871,22952
1990-08-07,871,22952
1990-08-08,871,22952
1990-08-09,871,22952
1990-08-10,882,22952
1990-08-11,886,22957
1990-08-13,889,22959
1990-08-14,889,22960
1990-08-16,893,22960
1990-08-17,889,22962
1990-08-18,897,22960
1990-08-20,897,22964
1990-08-21,900,22964
1990-08-22,912,22965
1990-08-23,908,22970
1990-08-24,912,22969
1990-08-25,912,22970
1990-08-27,912,22970
1990-08-28,926,22970
1990-08-29,923,22977
1990-08-30,900,22975
1990-08-31,900,22965
1990-09-01,900,22965
1990-09-03,900,22965
1990-09-04,900,22965
1990-09-05,900,22965
1990-09-06,904,22965
1990-09-07,904,22967
1990-09-08,904,22967
1990-09-10,904,22967
1990-09-11,904,22967
1990-09-12,904,22967
1990-09-13,900,22967
1990-09-14,904,22965
1990-09-15,904,22967
1990-09-17,904,22967
1990-09-18,904,22967
1990-09-19,908,22967
1990-09-20,908,22969
1990-09-21,908,22969
1990-09-22,908,22969
1990-09-24,908,22969
1990-09-25,908,22969
1990-09-26,908,22969
1990-09-27,908,22969
1990-09-28,908,22969
1990-09-29,908,22969
1990-10-05,912,22969
1990-10-06,912,22970
1990-10-08,912,22970
1990-10-10,912,22970
1990-10-11,912,22970
1990-10-12,926,22970
1990-10-13,926,22977
1990-10-15,926,22977
1990-10-16,934,22977
1990-10-17,934,22980
1990-10-18,934,22980
1990-10-19,964,22980
1990-10-20,964,22993
1990-10-22,945,22993
1990-10-23,982,22985
1990-10-24,982,23001
1990-10-25,964,23001
1990-10-26,926,22993
1990-10-27,897,22977
1990-10-29,897,22964
1990-10-30,897,22964
1990-10-31,897,22964
1990-11-01,897,22964
1990-11-02,897,22964
1990-11-03,897,22964
1990-11-05,860,22964
1990-11-06,871,22947
1990-11-07,886,22952
1990-11-08,886,22959
1990-11-09,889,22959
1990-11-10,893,22960
1990-11-12,893,22962
