Date,Actual Closing Price,Forecast Closing Price
1991-05-31,9180,20071
1991-06-01,9647,20481
1991-06-03,10114,20892
1991-06-04,10580,21304
1991-06-05,11048,21715
1991-06-07,11515,22128
1991-06-08,11982,22540
1991-06-10,12604,22953
1991-06-11,12604,23504
1991-06-12,12604,23504
1991-06-13,12604,23504
1991-06-14,12604,23504
1991-06-15,12604,23504
1991-06-17,12604,23504
1991-06-18,12604,23504
1991-06-19,12604,23504
1991-06-21,12604,23504
1991-06-22,12604,23504
1991-06-24,12604,23504
1991-06-25,12604,23504
1991-06-26,12604,23504
1991-06-27,12604,23504
1991-06-28,12604,23504
1991-06-29,12604,23504
1991-07-01,12604,23504
1991-07-02,12604,23504
1991-07-03,12604,23504
1991-07-04,12604,23504
1991-07-05,12604,23504
1991-07-06,13227,23504
1991-07-08,13227,24056
1991-07-09,13848,24056
1991-07-10,13848,24607
1991-07-11,14470,24607
1991-07-12,14470,25159
1991-07-13,14470,25159
1991-07-15,14470,25159
1991-07-16,14470,25159
1991-07-18,14470,25159
1991-07-19,14470,25159
1991-07-20,14470,25159
1991-07-22,14470,25159
1991-07-23,14470,25159
1991-07-24,14470,25159
1991-07-25,14470,25159
1991-07-26,14470,25159
1991-07-27,14470,25159
1991-07-29,14470,25159
1991-07-30,14470,25159
1991-07-31,14470,25159
1991-08-01,14470,25159
1991-08-02,14470,25159
1991-08-03,15093,25159
1991-08-05,15093,25713
1991-08-06,15093,25713
1991-08-07,15715,25713
1991-08-08,15715,26267
1991-08-09,15715,26267
1991-08-10,15715,26267
1991-08-12,15715,26267
1991-08-13,15715,26267
1991-08-14,15715,26267
1991-08-16,15715,26267
1991-08-17,15715,26267
1991-08-19,15715,26267
1991-08-20,15715,26267
1991-08-21,15715,26267
1991-08-22,15715,26267
1991-08-23,15715,26267
1991-08-24,15715,26267
1991-08-26,15715,26267
1991-08-27,15715,26267
1991-08-28,15715,26267
1991-08-29,15715,26267
1991-08-30,15715,26267
1991-08-31,15715,26267
1991-09-02,15715,26267
1991-09-03,15715,26267
1991-09-04,15715,26267
1991-09-05,15715,26267
1991-09-06,15715,26267
1991-09-07,15715,26267
1991-09-09,15715,26267
1991-09-10,15715,26267
1991-09-11,15715,26267
1991-09-12,15715,26267
1991-09-13,15715,26267
1991-09-14,15715,26267
1991-09-16,15715,26267
1991-09-17,15715,26267
1991-09-18,15715,26267
1991-09-19,15715,26267
1991-09-20,15715,26267
1991-09-24,15715,26267
1991-09-25,15715,26267
1991-09-26,15715,26267
1991-09-27,15715,26267
1991-09-28,15715,26267
1991-09-30,15715,26267
1991-10-01,15715,26267
1991-10-02,15715,26267
1991-10-04,15715,26267
1991-10-05,15715,26267
1991-10-07,15715,26267
1991-10-08,15715,26267
1991-10-09,15715,26267
1991-10-10,15715,26267
1991-10-11,15715,26267
1991-10-12,15715,26267
1991-10-14,15715,26267
1991-10-15,15715,26267
1991-10-16,15715,26267
1991-10-17,15715,26267
1991-10-18,15715,26267
1991-10-19,15715,26267
1991-10-21,15715,26267
1991-10-22,15715,26267
1991-10-23,15715,26267
1991-10-24,15715,26267
