Date,Actual Closing Price,Forecast Closing Price
2011-05-16,4465,5018
2011-05-17,3796,4220
2011-05-18,3730,3533
2011-05-19,3280,3465
2011-05-20,3265,3003
2011-05-23,3270,2988
2011-05-24,3156,2993
2011-05-25,2938,2876
2011-05-26,2796,2652
2011-05-27,2801,2507
2011-05-30,2749,2512
2011-05-31,2692,2459
2011-06-01,2834,2400
2011-06-02,2877,2546
2011-06-03,2801,2590
2011-06-07,3071,2512
2011-06-08,3033,2789
2011-06-09,2938,2750
2011-06-10,2777,2652
2011-06-13,2635,2487
2011-06-14,2664,2342
2011-06-15,2697,2372
2011-06-16,2673,2405
2011-06-17,2607,2381
2011-06-20,2616,2313
2011-06-21,2616,2322
2011-06-22,2616,2322
2011-06-23,2611,2322
2011-06-24,2626,2317
2011-06-27,2645,2333
2011-06-28,2659,2352
2011-06-29,2616,2367
2011-06-30,2616,2322
2011-07-01,2583,2322
2011-07-04,2592,2289
2011-07-05,2578,2298
2011-07-06,2621,2284
2011-07-07,2588,2328
2011-07-08,2592,2294
2011-07-11,2654,2298
2011-07-12,2649,2361
2011-07-13,2664,2356
2011-07-14,2654,2372
2011-07-15,2948,2361
2011-07-18,3014,2663
2011-07-19,3033,2730
2011-07-20,2943,2750
2011-07-21,2967,2658
2011-07-22,2962,2682
2011-07-25,2815,2677
2011-07-26,2896,2526
2011-07-27,2844,2609
2011-07-28,2853,2556
2011-07-29,2787,2565
2011-08-01,2938,2498
2011-08-02,2853,2652
2011-08-03,2754,2565
2011-08-04,2716,2464
2011-08-05,2659,2425
2011-08-08,2465,2367
2011-08-09,2265,2168
2011-08-10,2213,1963
2011-08-11,2119,1910
2011-08-12,2123,1814
2011-08-16,2251,1818
2011-08-17,2299,1949
2011-08-18,2185,1998
2011-08-19,1896,1881
2011-08-22,1820,1586
2011-08-23,1896,1508
2011-08-24,1877,1586
2011-08-25,1934,1566
2011-08-26,1953,1625
2011-08-29,1957,1644
2011-08-30,2019,1648
2011-08-31,2085,1711
2011-09-01,2109,1779
2011-09-02,2085,1804
2011-09-05,2010,1779
2011-09-06,2019,1702
2011-09-07,2033,1711
2011-09-08,2024,1726
2011-09-09,2000,1717
2011-09-14,1938,1692
2011-09-15,1896,1629
2011-09-16,2066,1586
2011-09-19,2156,1760
2011-09-20,2147,1852
2011-09-21,2152,1842
2011-09-22,2066,1847
2011-09-23,1938,1760
2011-09-26,1848,1629
2011-09-27,1953,1537
2011-09-28,1943,1644
2011-09-29,2024,1634
2011-09-30,2071,1717
2011-10-04,1986,1765
2011-10-05,1934,1678
2011-10-06,1972,1625
2011-10-07,1967,1663
2011-10-10,1962,1658
2011-10-11,2005,1653
2011-10-12,2066,1697
2011-10-13,2171,1760
2011-10-14,2275,1867
2011-10-17,2308,1973
2011-10-18,2303,2007
2011-10-19,2299,2002
2011-10-20,2114,1998
2011-10-21,2209,1809
2011-10-24,2199,1906
2011-10-25,2180,1896
2011-10-26,2175,1876
2011-10-27,2228,1871
2011-10-28,2218,1925
2011-10-31,2232,1915
2011-11-01,2175,1929
2011-11-02,2156,1871
2011-11-03,2090,1852
2011-11-04,2128,1784
2011-11-07,2128,1823
2011-11-08,2090,1823
2011-11-09,2095,1784
2011-11-10,2033,1789
2011-11-11,2033,1726
2011-11-14,2071,1726
2011-11-15,2052,1765
2011-11-16,2047,1745
2011-11-17,2038,1740
2011-11-18,2076,1731
2011-11-21,2076,1770
2011-11-22,2057,1770
2011-11-23,2057,1750
2011-11-24,2033,1750
2011-11-25,2024,1726
2011-11-28,2047,1717
2011-11-29,2047,1740
2011-11-30,2010,1740
2011-12-01,2028,1702
2011-12-02,2024,1721
2011-12-05,2024,1717
2011-12-06,2014,1717
2011-12-07,2028,1706
2011-12-08,2047,1721
2011-12-09,2010,1740
2011-12-12,2010,1702
2011-12-13,2010,1702
2011-12-14,2175,1702
2011-12-15,2133,1871
2011-12-16,2223,1828
2011-12-19,2228,1920
2011-12-20,2265,1925
2011-12-21,2303,1963
2011-12-22,2408,2002
2011-12-23,2559,2109
2011-12-26,2555,2264
2011-12-27,2540,2260
2011-12-28,2507,2245
2011-12-29,2531,2211
2012-01-02,2540,2235
2012-01-03,2559,2245
2012-01-04,2697,2264
2012-01-05,2725,2405
2012-01-06,2749,2434
2012-01-09,2720,2459
2012-01-10,2683,2429
2012-01-11,2645,2391
2012-01-12,2720,2352
2012-01-13,2739,2429
2012-01-16,2701,2448
2012-01-17,2706,2410
2012-01-18,2716,2415
2012-01-19,2701,2425
2012-01-20,2706,2410
2012-01-25,2654,2415
2012-01-26,2664,2361
2012-01-27,2692,2372
2012-01-30,2687,2400
2012-01-31,2697,2395
2012-02-01,2659,2405
2012-02-02,2739,2367
2012-02-03,2735,2448
2012-02-06,2844,2444
2012-02-07,2863,2556
2012-02-08,2806,2576
2012-02-09,2815,2517
2012-02-10,2829,2526
2012-02-13,2810,2541
2012-02-14,2815,2521
2012-02-15,2801,2526
2012-02-16,2720,2512
2012-02-17,2697,2429
2012-02-20,2730,2405
2012-02-21,2730,2439
2012-02-22,2711,2439
2012-02-23,2616,2420
2012-02-24,2673,2322
2012-02-27,2664,2381
2012-02-28,2735,2372
2012-02-29,2744,2444
2012-03-02,2744,2454
2012-03-05,2739,2454
2012-03-06,2763,2448
2012-03-07,2796,2473
2012-03-08,2806,2507
2012-03-09,2815,2517
2012-03-12,2796,2526
2012-03-13,2825,2507
2012-03-14,2844,2537
2012-03-15,2848,2556
2012-03-16,2787,2560
2012-03-19,2773,2498
2012-03-20,2834,2483
2012-03-21,2844,2546
2012-03-22,2839,2556
2012-03-23,2834,2551
2012-03-26,2825,2546
2012-03-27,2820,2537
2012-03-28,2820,2531
2012-03-29,2763,2531
2012-03-30,2725,2473
2012-04-02,2725,2434
2012-04-03,2692,2434
2012-04-04,2692,2400
2012-04-05,2706,2400
2012-04-06,2701,2415
2012-04-09,2588,2410
2012-04-10,2640,2294
2012-04-12,2640,2347
2012-04-13,2687,2347
2012-04-16,2683,2395
2012-04-17,2683,2391
2012-04-18,2673,2391
2012-04-19,2621,2381
2012-04-20,2621,2328
2012-04-23,2611,2328
2012-04-24,2588,2317
2012-04-25,2521,2294
2012-04-26,2583,2225
2012-04-27,2607,2289
2012-04-30,2569,2313
2012-05-02,2569,2274
2012-05-03,2559,2274
2012-05-04,2649,2264
2012-05-07,2611,2356
2012-05-08,2635,2317
2012-05-09,2526,2342
2012-05-10,2517,2230
2012-05-11,2441,2221
2012-05-14,2441,2143
2012-05-15,2384,2143
2012-05-16,2332,2085
2012-05-17,2332,2032
2012-05-18,2313,2032
2012-05-21,2327,2012
2012-05-22,2360,2027
2012-05-23,2346,2060
2012-05-24,2346,2046
2012-05-25,2351,2046
2012-05-29,2370,2051
2012-05-30,2370,2071
2012-05-31,2303,2071
2012-06-01,2337,2002
2012-06-04,2275,2037
2012-06-05,2294,1973
2012-06-07,2356,1993
2012-06-08,2313,2056
2012-06-11,2294,2012
2012-06-12,2265,1993
2012-06-13,2270,1963
2012-06-14,2289,1968
2012-06-15,2313,1988
2012-06-18,2289,2012
2012-06-19,2313,1988
2012-06-20,2318,2012
2012-06-21,2299,2017
2012-06-22,2275,1998
2012-06-25,2280,1973
2012-06-26,2284,1978
2012-06-27,2275,1983
2012-06-28,2275,1973
2012-06-29,2270,1973
2012-07-02,2261,1968
2012-07-03,2261,1959
2012-07-04,2256,1959
2012-07-05,2251,1954
2012-07-06,2247,1949
2012-07-09,2237,1945
2012-07-10,2237,1934
2012-07-11,2270,1934
2012-07-12,2337,1968
2012-07-13,2365,2037
2012-07-16,2384,2065
2012-07-17,2303,2085
2012-07-18,2256,2002
2012-07-19,2289,1954
2012-07-20,2318,1988
2012-07-23,2313,2017
2012-07-24,2294,2012
2012-07-25,2256,1993
2012-07-26,2275,1954
2012-07-27,2256,1973
2012-07-30,2303,1954
2012-07-31,2322,2002
2012-08-01,2322,2021
2012-08-02,2280,2021
2012-08-03,2194,1978
2012-08-06,2218,1890
2012-08-07,2218,1915
2012-08-08,2261,1915
2012-08-09,2270,1959
2012-08-10,2294,1968
2012-08-13,2360,1993
2012-08-14,2441,2060
2012-08-16,2465,2143
2012-08-17,2493,2168
2012-08-20,2531,2197
2012-08-21,2559,2235
2012-08-22,2526,2264
2012-08-23,2531,2230
2012-08-24,2592,2235
2012-08-27,2611,2298
2012-08-28,2640,2317
2012-08-29,2626,2347
