Date,Actual Closing Price,Forecast Closing Price
1990-01-04,31200,23667
1990-01-05,30600,24101
1990-01-06,30300,23729
1990-01-08,30400,23542
1990-01-09,30300,23604
1990-01-10,30000,23542
1990-01-11,30000,23353
1990-01-12,29700,23353
1990-01-13,29200,23164
1990-01-15,28900,22846
1990-01-16,28900,22653
1990-01-17,28500,22653
1990-01-18,28300,22395
1990-01-19,27900,22266
1990-01-20,28000,22005
1990-01-22,29000,22070
1990-01-23,28500,22717
1990-01-24,28800,22395
1990-01-25,28900,22589
1990-01-29,28500,22653
1990-01-30,28100,22395
1990-01-31,28400,22136
1990-02-01,28000,22331
1990-02-02,27800,22070
1990-02-03,27900,21940
1990-02-05,28000,22005
1990-02-06,28000,22070
1990-02-07,27700,22070
1990-02-08,27500,21874
1990-02-09,27300,21743
1990-02-10,27100,21611
1990-02-12,26600,21479
1990-02-13,26400,21146
1990-02-14,26800,21012
1990-02-15,26600,21280
1990-02-16,26300,21146
1990-02-17,26100,20945
1990-02-19,25500,20811
1990-02-20,25200,20406
1990-02-21,25000,20202
1990-02-22,24900,20065
1990-02-23,24900,19997
1990-02-24,24700,19997
1990-02-26,24500,19859
1990-02-27,25500,19722
1990-02-28,26500,20406
1990-03-02,16445,21079
1990-03-03,16923,13921
1990-03-05,16325,14276
1990-03-06,16027,13832
1990-03-07,15548,13610
1990-03-08,15667,13253
1990-03-09,15906,13342
1990-03-12,16027,13520
1990-03-13,15847,13610
1990-03-14,15667,13476
1990-03-15,15548,13342
1990-03-16,15607,13253
1990-03-17,15308,13297
1990-03-19,15308,13073
1990-03-20,15308,13073
1990-03-21,15548,13073
1990-03-22,15488,13253
1990-03-23,15308,13208
1990-03-24,15189,13073
1990-03-26,15189,12984
1990-03-27,14950,12984
1990-03-28,14830,12806
1990-03-29,15128,12716
1990-03-30,14471,12939
1990-03-31,14232,12447
1990-04-02,14351,12268
1990-04-03,14113,12357
1990-04-04,13754,12179
1990-04-06,14053,11909
1990-04-07,13574,12134
1990-04-09,13574,11774
1990-04-10,13455,11774
1990-04-11,13455,11685
1990-04-12,13335,11685
1990-04-13,13335,11595
1990-04-14,13156,11595
1990-04-16,12857,11461
1990-04-17,13455,11236
1990-04-18,13036,11685
1990-04-19,12977,11370
1990-04-20,13096,11326
