Date,Actual Closing Price,Forecast Closing Price
2014-11-17,338500,315381
2014-11-18,366000,325959
2014-11-19,371000,352149
2014-11-20,398000,356863
2014-11-21,400000,382011
2014-11-24,404000,383851
2014-11-25,428000,387521
2014-11-26,410500,409240
2014-11-27,378000,393455
2014-11-28,347000,363435
2014-12-01,343500,334097
2014-12-02,353000,330750
2014-12-03,357000,339820
2014-12-04,355500,343624
2014-12-05,349500,342198
2014-12-08,334000,336484
2014-12-09,321000,321637
2014-12-10,325500,309109
2014-12-11,320000,313453
2014-12-12,309000,308143
2014-12-15,299500,297498
2014-12-16,286500,288284
2014-12-17,290000,275657
2014-12-18,280500,279058
2014-12-19,287500,269827
2014-12-22,281500,276629
2014-12-23,283000,270799
2014-12-24,283000,272256
2014-12-26,283500,272256
2014-12-29,295000,272742
2014-12-30,293500,283915
2015-01-02,318000,282458
2015-01-05,310000,306210
2015-01-06,294000,298467
2015-01-07,290500,282944
2015-01-08,294000,279544
2015-01-09,300500,282944
2015-01-12,289000,289255
2015-01-13,264000,278086
2015-01-14,264000,253805
2015-01-15,267500,253805
2015-01-16,264000,257201
2015-01-19,257500,253805
2015-01-20,249000,247504
2015-01-21,229500,239278
2015-01-22,227500,220496
2015-01-23,238500,218578
2015-01-26,236500,229147
2015-01-27,242000,227222
2015-01-28,271000,232520
2015-01-29,268000,260599
2015-01-30,264500,257687
2015-02-02,254000,254290
2015-02-03,255500,244115
2015-02-04,261500,245567
2015-02-05,260000,251381
2015-02-06,255000,249927
2015-02-09,246000,245083
2015-02-10,238500,236380
2015-02-11,244500,229147
2015-02-12,237500,234932
2015-02-13,242000,228184
2015-02-16,256500,232520
2015-02-17,255000,246535
2015-02-23,257000,245083
2015-02-24,268000,247020
2015-02-25,276000,257687
2015-02-26,279500,265455
2015-02-27,289500,268856
2015-03-02,286000,278572
2015-03-03,285000,275171
2015-03-04,283500,274200
2015-03-05,287500,272742
2015-03-06,292500,276629
2015-03-09,297000,281487
2015-03-10,299500,285857
2015-03-11,277000,288284
2015-03-12,279500,266427
2015-03-13,270000,268856
2015-03-16,260000,259628
2015-03-17,279000,249927
2015-03-18,277500,268370
2015-03-19,281000,266912
2015-03-20,279000,270313
2015-03-23,270000,268370
2015-03-24,269000,259628
2015-03-25,268500,258657
2015-03-26,266000,258172
2015-03-27,271000,255746
2015-03-30,272000,260599
2015-03-31,267500,261570
2015-04-01,263500,257201
2015-04-02,260500,253320
2015-04-03,265000,250411
2015-04-06,261000,254775
2015-04-07,263500,250896
2015-04-08,258000,253320
2015-04-09,257500,247988
2015-04-10,260000,247504
2015-04-13,254500,249927
2015-04-14,256000,244599
2015-04-15,269500,246051
2015-04-16,274000,259143
2015-04-17,269000,263513
2015-04-20,273000,258657
2015-04-21,273000,262541
2015-04-22,267000,262541
2015-04-23,275500,256716
2015-04-24,267500,264970
2015-04-27,265500,257201
2015-04-28,266500,255261
2015-04-29,266000,256231
2015-04-30,256000,255746
2015-05-04,251000,246051
2015-05-06,241500,241212
2015-05-07,245000,232038
2015-05-08,252500,235415
2015-05-11,255500,242663
2015-05-12,254000,245567
2015-05-13,262000,244115
2015-05-14,266000,251866
2015-05-15,271500,255746
2015-05-18,270000,261085
2015-05-19,267500,259628
2015-05-20,268500,257201
2015-05-21,261000,258172
2015-05-22,265000,250896
2015-05-26,283500,254775
