Date,Actual Closing Price,Forecast Closing Price
2014-12-19,129500,107220
2014-12-22,134500,121758
2014-12-23,135000,126172
2014-12-24,133000,126614
2014-12-26,135500,124848
2014-12-29,149000,127055
2014-12-30,158000,138954
2015-01-02,171000,146846
2015-01-05,145500,158144
2015-01-06,138500,135875
2015-01-07,135500,129703
2015-01-08,135000,127055
2015-01-09,150000,126614
2015-01-12,147500,139833
2015-01-13,138000,137635
2015-01-14,137000,129262
2015-01-15,140500,128379
2015-01-16,136000,131468
2015-01-19,131000,127497
2015-01-20,131500,123082
2015-01-21,124000,123524
2015-01-22,124000,116904
2015-01-23,131000,116904
2015-01-26,129500,123082
2015-01-27,135000,121758
2015-01-28,140000,126614
2015-01-29,137500,131027
2015-01-30,136000,128821
2015-02-02,135000,127497
2015-02-03,138500,126614
2015-02-04,137500,129703
2015-02-05,136000,128821
2015-02-06,138500,127497
2015-02-09,138500,129703
2015-02-10,136500,129703
2015-02-11,140000,127938
2015-02-12,139000,131027
2015-02-13,147500,130144
2015-02-16,151500,137635
2015-02-17,147000,141151
2015-02-23,149000,137195
2015-02-24,155000,138954
2015-02-25,156000,144221
2015-02-26,158000,145096
2015-02-27,162000,146846
2015-03-02,159000,150337
2015-03-03,155000,147720
2015-03-04,155500,144221
2015-03-05,155000,144659
2015-03-06,159000,144221
2015-03-09,164500,147720
2015-03-10,165000,152513
2015-03-11,161000,152947
2015-03-12,156500,149465
2015-03-13,157500,145534
2015-03-16,153000,146409
2015-03-17,162000,142467
2015-03-18,152000,150337
2015-03-19,154500,141590
2015-03-20,155000,143783
2015-03-23,151000,144221
2015-03-24,150000,140712
2015-03-25,154500,139833
2015-03-26,149500,143783
2015-03-27,147500,139394
2015-03-30,151500,137635
2015-03-31,149500,141151
2015-04-01,146500,139394
2015-04-02,140500,136755
2015-04-03,141500,131468
2015-04-06,140000,132350
2015-04-07,141500,131027
2015-04-08,140000,132350
2015-04-09,138500,131027
2015-04-10,137500,129703
2015-04-13,138500,128821
2015-04-14,140500,129703
2015-04-15,154500,131468
2015-04-16,158000,143783
2015-04-17,154500,146846
2015-04-20,159500,143783
2015-04-21,162500,148157
2015-04-22,158500,150773
2015-04-23,179000,147283
2015-04-24,169500,165017
2015-04-27,166000,156848
2015-04-28,167000,153816
2015-04-29,166500,154683
2015-04-30,158500,154250
2015-05-04,161000,147283
2015-05-06,159500,149465
2015-05-07,142500,148157
2015-05-08,143500,133231
2015-05-11,141500,134113
2015-05-12,143000,132350
2015-05-13,150000,133672
2015-05-14,149000,139833
2015-05-15,156500,138954
2015-05-18,157000,145534
2015-05-19,157500,145972
2015-05-20,161000,146409
2015-05-21,161500,149465
2015-05-22,163500,149901
2015-05-26,188000,151643
2015-05-27,190500,172660
2015-05-28,186000,174764
2015-05-29,192000,170971
2015-06-01,188500,176023
2015-06-02,186000,173082
2015-06-03,182000,170971
2015-06-04,191000,167576
2015-06-05,197000,175184
2015-06-08,183500,180194
2015-06-09,182500,168851
2015-06-10,178500,168001
2015-06-11,180000,164590
2015-06-12,182000,165871
2015-06-15,169000,167576
2015-06-16,169000,156416
2015-06-17,174500,156416
2015-06-18,171500,161160
2015-06-19,174500,158576
2015-06-22,172000,161160
2015-06-23,181500,159007
2015-06-24,174500,167150
2015-06-25,173500,161160
2015-06-26,173500,160299
2015-06-29,174500,160299
2015-06-30,177500,161160
2015-07-01,181000,163734
2015-07-02,180000,166724
2015-07-03,183000,165871
2015-07-06,177000,168427
2015-07-07,177000,163306
2015-07-08,173000,163306
2015-07-09,174500,159869
2015-07-10,178000,161160
2015-07-13,182500,164162
2015-07-14,180000,168001
2015-07-15,183500,165871
2015-07-16,194000,168851
2015-07-17,179000,177695
2015-07-20,175000,165017
2015-07-21,171500,161589
2015-07-22,176000,158576
2015-07-23,172500,162448
2015-07-24,169500,159438
2015-07-27,169500,156848
2015-07-28,167000,156848
2015-07-29,169500,154683
2015-07-30,165000,156848
2015-07-31,167500,152947
2015-08-03,168000,155117
2015-08-04,171000,155550
2015-08-05,168000,158144
2015-08-06,161000,155550
2015-08-07,153500,149465
