Date,Actual Closing Price,Forecast Closing Price
2016-11-11,159610,152210
2016-11-14,173446,169016
2016-11-15,164057,182527
2016-11-16,168010,173353
2016-11-17,165540,177212
2016-11-18,166034,174800
2016-11-21,167022,175282
2016-11-22,168999,176247
2016-11-23,164057,178178
2016-11-24,153680,173353
2016-11-25,160104,163244
2016-11-28,159610,169498
2016-11-29,155163,169016
2016-11-30,152198,164686
2016-12-01,142809,161803
2016-12-02,140338,152689
2016-12-05,140338,150295
2016-12-06,144291,150295
2016-12-07,148739,154125
2016-12-08,148739,158442
2016-12-09,143303,158442
2016-12-12,141326,153167
2016-12-13,143797,151252
2016-12-14,141821,153646
2016-12-15,140832,151731
2016-12-16,142809,150773
2016-12-19,148244,152689
2016-12-20,149727,157961
2016-12-21,146268,159401
2016-12-22,142315,156043
2016-12-23,142315,152210
2016-12-26,142315,152210
2016-12-27,143797,152210
2016-12-28,150221,153646
2016-12-29,149233,159881
2017-01-02,154668,158921
2017-01-03,156151,164205
2017-01-04,152692,165648
2017-01-05,155657,162283
2017-01-06,155657,165167
2017-01-09,152692,165167
2017-01-10,149233,162283
2017-01-11,157139,158921
2017-01-12,155163,166610
2017-01-13,151209,164686
2017-01-16,149727,160841
2017-01-17,150221,159401
2017-01-18,151209,159881
2017-01-19,150715,160841
2017-01-20,153186,160361
2017-01-23,153680,162763
2017-01-24,153186,163244
2017-01-25,153186,162763
2017-01-26,159116,162763
2017-01-31,159116,168535
2017-02-01,161092,168535
2017-02-02,169493,170461
2017-02-03,170975,178661
2017-02-06,166528,180110
2017-02-07,169493,175764
2017-02-08,161092,178661
2017-02-09,159116,170461
2017-02-10,156151,168535
2017-02-13,156151,165648
2017-02-14,154668,165648
2017-02-15,158622,164205
2017-02-16,157139,168054
2017-02-17,158622,166610
2017-02-20,159116,168054
2017-02-21,163563,168535
2017-02-22,163069,172871
2017-02-23,166034,172389
2017-02-24,163563,175282
2017-02-27,164551,172871
2017-02-28,162575,173835
2017-03-02,159610,171907
2017-03-03,160104,169016
2017-03-06,162575,169498
2017-03-07,166034,171907
2017-03-08,168010,175282
2017-03-09,166034,177212
2017-03-10,168999,175282
2017-03-13,170975,178178
2017-03-14,168999,180110
2017-03-15,171469,178178
2017-03-16,174434,180593
2017-03-17,178388,183493
2017-03-20,185306,187366
2017-03-21,190741,194151
2017-03-22,185800,199492
2017-03-23,184811,194636
2017-03-24,185306,193665
2017-03-27,179870,194151
2017-03-28,182835,188818
2017-03-29,181352,191726
2017-03-30,174928,190271
2017-03-31,170975,183977
2017-04-03,173940,180110
2017-04-04,175423,183010
2017-04-05,179870,184462
2017-04-06,178882,188818
2017-04-07,175917,187850
2017-04-10,171469,184945
2017-04-11,174928,180593
2017-04-12,177893,183977
2017-04-13,177399,186881
2017-04-14,176905,186397
2017-04-17,178882,185913
2017-04-18,179870,187850
2017-04-19,181847,188818
2017-04-20,181352,190757
2017-04-21,184811,190271
2017-04-24,180858,193665
2017-04-25,181847,189787
2017-04-26,178882,190757
2017-04-27,179376,187850
2017-04-28,172952,188334
2017-05-02,176905,182043
2017-05-04,177893,185913
2017-05-08,181352,186881
2017-05-10,177893,190271
2017-05-11,182835,186881
2017-05-12,182835,191726
2017-05-15,184317,191726
2017-05-16,184811,193180
2017-05-17,186788,193665
2017-05-18,188765,195607
2017-05-19,190247,197549
2017-05-22,190741,199006
2017-05-23,193706,199492
2017-05-24,197659,202408
2017-05-25,201612,206301
2017-05-26,211001,210197
2017-05-29,210507,219468
2017-05-30,209025,218980
2017-05-31,217425,217515
2017-06-01,226320,225825
2017-06-02,228791,234643
2017-06-05,229779,237096
2017-06-07,242133,238077
2017-06-08,232744,250366
2017-06-09,221873,241023
2017-06-12,225826,230232
2017-06-13,242133,234153
2017-06-14,240650,250366
2017-06-15,237191,248889
2017-06-16,237191,245446
2017-06-19,237685,245446
2017-06-20,231261,245937
2017-06-21,230273,239549
2017-06-22,235215,238568
2017-06-23,246086,243480
2017-06-26,279194,254305
2017-06-27,280182,287427
2017-06-28,278205,288418
2017-06-29,293524,286434
2017-06-30,288583,301828
2017-07-03,277217,296858
2017-07-04,285618,285443
2017-07-05,285618,293878
2017-07-06,286112,293878
2017-07-07,287100,294374
2017-07-10,287594,295367
2017-07-11,286112,295864
2017-07-12,276723,294374
2017-07-13,271782,284947
2017-07-14,262887,279993
2017-07-17,263875,271085
2017-07-18,257451,272074
2017-07-19,259922,265649
2017-07-20,261404,268120
2017-07-21,266840,269602
2017-07-24,269805,275042
2017-07-25,283641,278012
2017-07-26,282159,291892
2017-07-27,274746,290403
2017-07-28,266840,282964
2017-07-31,268817,275042
2017-08-01,276723,277022
2017-08-02,275735,284947
2017-08-03,276229,283956
2017-08-04,274746,284452
2017-08-07,277217,282964
2017-08-08,273758,285443
2017-08-09,268323,281974
2017-08-10,265852,276527
2017-08-11,260910,274053
2017-08-14,267828,269108
2017-08-16,270299,276031
2017-08-17,268817,278506
2017-08-18,269805,277022
2017-08-21,271287,278012
2017-08-22,282653,279497
