Date,Actual Closing Price,Forecast Closing Price
2010-05-13,115500,106417
2010-05-14,114000,107700
2010-05-17,107500,106417
2010-05-18,110000,100798
2010-05-19,109500,102970
2010-05-20,107500,102536
2010-05-24,102500,100798
2010-05-25,98000,96421
2010-05-26,110000,92451
2010-05-27,109000,102970
2010-05-28,108000,102102
2010-05-31,109000,101233
2010-06-01,106000,102102
2010-06-03,104000,99489
2010-06-04,103000,97738
2010-06-07,102000,96861
2010-06-08,102500,95981
2010-06-09,102000,96421
2010-06-10,102500,95981
2010-06-11,103000,96421
2010-06-14,101000,96861
2010-06-15,100500,95101
2010-06-16,100500,94660
2010-06-17,100500,94660
2010-06-18,101500,94660
2010-06-21,100500,95541
2010-06-22,100500,94660
2010-06-23,100500,94660
2010-06-24,100500,94660
2010-06-25,106500,94660
2010-06-28,106500,99926
2010-06-29,105000,99926
2010-06-30,103500,98615
2010-07-01,104000,97300
2010-07-02,102500,97738
2010-07-05,104000,96421
2010-07-06,103000,97738
2010-07-07,105000,96861
2010-07-08,105000,98615
2010-07-09,106500,98615
2010-07-12,108500,99926
2010-07-13,107500,101668
2010-07-14,107000,100798
2010-07-15,105500,100362
2010-07-16,107500,99052
2010-07-19,106000,100798
2010-07-20,107000,99489
2010-07-21,106500,100362
2010-07-22,105000,99926
2010-07-23,105500,98615
2010-07-26,106000,99052
2010-07-27,106000,99489
2010-07-28,107500,99489
2010-07-29,109000,100798
2010-07-30,110000,102102
2010-08-02,114000,102970
2010-08-03,114500,106417
2010-08-04,112500,106845
2010-08-05,112500,105128
2010-08-06,113000,105128
2010-08-09,114500,105559
2010-08-10,112500,106845
2010-08-11,111500,105128
2010-08-12,109500,104267
2010-08-13,112500,102536
2010-08-16,110500,105128
2010-08-17,111500,103403
2010-08-18,110500,104267
2010-08-19,109000,103403
2010-08-20,109000,102102
2010-08-23,107500,102102
2010-08-24,108000,100798
2010-08-25,107500,101233
2010-08-26,108500,100798
2010-08-27,107500,101668
2010-08-30,110000,100798
2010-08-31,109000,102970
2010-09-01,110000,102102
2010-09-02,109000,102970
2010-09-03,111000,102102
2010-09-06,114000,103835
2010-09-07,113500,106417
2010-09-08,113500,105988
2010-09-09,111000,105988
2010-09-10,109500,103835
2010-09-13,108000,102536
2010-09-14,107500,101233
2010-09-15,108000,100798
2010-09-16,108000,101233
2010-09-17,110000,101233
2010-09-20,108500,102970
2010-09-24,107000,101668
2010-09-27,105000,100362
2010-09-28,104000,98615
2010-09-29,103500,97738
2010-09-30,104000,97300
2010-10-01,106000,97738
2010-10-04,106500,99489
2010-10-05,105500,99926
2010-10-06,106000,99052
2010-10-07,105000,99489
2010-10-08,106000,98615
2010-10-11,107000,99489
2010-10-12,106500,100362
2010-10-13,106500,99926
2010-10-14,104500,99926
2010-10-15,102500,98177
2010-10-18,102500,96421
2010-10-19,102500,96421
2010-10-20,103000,96421
2010-10-21,103000,96861
2010-10-22,103000,96861
2010-10-25,102500,96861
2010-10-26,103000,96421
2010-10-27,102000,96861
2010-10-28,101500,95981
2010-10-29,100500,95541
2010-11-01,101500,94660
2010-11-02,101000,95541
2010-11-03,102500,95101
2010-11-04,103000,96421
2010-11-05,104000,96861
2010-11-08,104000,97738
2010-11-09,103500,97738
2010-11-10,103000,97300
2010-11-11,101000,96861
2010-11-12,101500,95101
2010-11-15,102500,95541
2010-11-16,101000,96421
2010-11-17,100000,95101
2010-11-18,100500,94219
2010-11-19,100500,94660
2010-11-22,100500,94660
2010-11-23,100500,94660
2010-11-24,99600,94660
2010-11-25,99200,93866
2010-11-26,98400,93512
2010-11-29,97200,92805
2010-11-30,97700,91743
2010-12-01,98800,92186
2010-12-02,98600,93159
2010-12-03,99000,92982
2010-12-06,100000,93336
2010-12-07,100500,94219
2010-12-08,99700,94660
2010-12-09,100500,93954
2010-12-10,100000,94660
2010-12-13,100500,94219
2010-12-14,100500,94660
2010-12-15,100000,94660
2010-12-16,99900,94219
2010-12-17,99100,94130
2010-12-20,98500,93424
2010-12-21,100500,92894
2010-12-22,99300,94660
2010-12-23,99500,93601
2010-12-24,99200,93777
