Date,Actual Closing Price,Forecast Closing Price
1990-01-04,44500,42648
1990-01-05,42900,42648
1990-01-06,43000,41078
1990-01-08,42500,41177
1990-01-09,42900,40685
1990-01-10,42500,41078
1990-01-11,42000,40685
1990-01-12,41800,40194
1990-01-13,41200,39997
1990-01-15,40200,39407
1990-01-16,40500,38422
1990-01-17,40000,38717
1990-01-18,40100,38224
1990-01-19,39300,38323
1990-01-20,40300,37534
1990-01-22,41500,38520
1990-01-23,41500,39702
1990-01-24,41900,39702
1990-01-25,41700,40096
1990-01-29,40800,39899
1990-01-30,40500,39013
1990-01-31,41800,38717
1990-02-01,41000,39997
1990-02-02,40700,39210
1990-02-03,40300,38914
1990-02-05,40700,38520
1990-02-06,41800,38914
1990-02-07,41800,39997
1990-02-08,42500,39997
1990-02-09,42100,40685
1990-02-10,41800,40292
1990-02-12,41700,39997
1990-02-13,41500,39899
1990-02-14,41400,39702
1990-02-15,43000,39604
1990-02-16,43300,41177
1990-02-17,42800,41471
1990-02-19,43500,40980
1990-02-20,43600,41667
1990-02-21,43400,41765
1990-02-22,43400,41569
1990-02-23,43200,41569
1990-02-24,43000,41373
1990-02-26,42000,41177
1990-02-27,43200,40194
1990-02-28,42800,41373
1990-03-02,18518,40980
1990-03-03,18303,16821
1990-03-05,18174,16605
1990-03-06,18303,16476
1990-03-07,18174,16605
1990-03-08,18174,16476
1990-03-09,18087,16476
1990-03-12,17958,16389
1990-03-13,17829,16259
1990-03-14,17786,16130
1990-03-15,17743,16087
1990-03-16,18001,16044
1990-03-17,18001,16302
1990-03-19,18131,16302
1990-03-20,18690,16433
1990-03-21,18733,16993
1990-03-22,18820,17036
1990-03-23,18475,17124
1990-03-24,17657,16778
1990-03-26,17571,15957
1990-03-27,17528,15871
1990-03-28,17398,15828
1990-03-29,17485,15698
1990-03-30,18174,15785
1990-03-31,18389,16476
1990-04-02,18260,16691
1990-04-03,18260,16562
1990-04-04,18087,16562
1990-04-06,17872,16389
1990-04-07,17958,16173
1990-04-09,17786,16259
1990-04-10,17743,16087
1990-04-11,17915,16044
1990-04-12,17700,16216
1990-04-13,17571,16000
1990-04-14,17355,15871
1990-04-16,17054,15654
1990-04-17,17269,15352
1990-04-18,17097,15568
1990-04-19,16623,15396
1990-04-20,16063,14920
1990-04-21,16494,14358
1990-04-23,16365,14791
1990-04-24,16494,14661
1990-04-25,16193,14791
1990-04-26,15633,14489
1990-04-27,15891,13927
1990-04-28,15331,14186
1990-04-30,14771,13624
1990-05-01,15331,13062
1990-05-03,15891,13624
1990-05-04,16451,14186
1990-05-07,16623,14748
1990-05-08,16365,14920
1990-05-09,16451,14661
1990-05-10,15934,14748
1990-05-11,15719,14229
1990-05-12,15633,14013
1990-05-14,15460,13927
1990-05-15,15288,13753
1990-05-16,15848,13581
1990-05-17,15977,14143
1990-05-18,15934,14272
1990-05-19,15934,14229
1990-05-21,15934,14229
1990-05-22,16193,14229
1990-05-23,16193,14489
1990-05-24,16193,14489
1990-05-25,16322,14489
1990-05-26,16322,14618
1990-05-28,16193,14618
1990-05-29,16063,14489
1990-05-30,16193,14358
1990-05-31,16149,14489
1990-06-01,16709,14445
1990-06-02,17269,15006
1990-06-04,17097,15568
1990-06-05,16839,15396
1990-06-07,16795,15137
1990-06-08,16795,15093
1990-06-09,16709,15093
1990-06-11,16365,15006
1990-06-12,16020,14661
1990-06-13,16149,14315
1990-06-14,15805,14445
1990-06-15,15676,14099
1990-06-16,15676,13970
1990-06-18,15374,13970
1990-06-19,15288,13667
1990-06-20,15116,13581
1990-06-21,15245,13408
1990-06-22,15331,13538
1990-06-23,15547,13624
1990-06-25,15503,13841
1990-06-26,15503,13796
1990-06-27,15547,13796
1990-06-28,15590,13841
1990-06-29,15633,13884
1990-06-30,15073,13927
1990-07-02,15202,13365
1990-07-03,15762,13494
1990-07-04,15374,14056
1990-07-05,15417,13667
1990-07-06,15073,13710
1990-07-07,15030,13365
1990-07-09,15073,13322
1990-07-10,14901,13365
1990-07-11,14857,13192
1990-07-12,14901,13148
1990-07-13,14599,13192
1990-07-14,14599,12889
1990-07-16,14556,12889
1990-07-18,14857,12846
1990-07-19,14642,13148
1990-07-20,14642,12933
1990-07-21,14642,12933
1990-07-23,14599,12933
1990-07-24,14599,12889
1990-07-25,14599,12889
1990-07-26,14513,12889
1990-07-27,14470,12803
1990-07-28,14125,12760
1990-07-30,13910,12414
1990-07-31,13910,12198
1990-08-01,14125,12198
1990-08-02,14168,12414
1990-08-03,13824,12457
1990-08-04,13695,12112
1990-08-06,13221,11982
1990-08-07,13006,11507
1990-08-08,12618,11291
1990-08-09,12661,10901
1990-08-10,13049,10945
1990-08-11,12963,11334
1990-08-13,12704,11248
1990-08-14,12618,10988
1990-08-16,12489,10901
1990-08-17,12489,10772
1990-08-18,12489,10772
1990-08-20,12489,10772
1990-08-21,12058,10772
1990-08-22,11627,10339
1990-08-23,11412,9907
1990-08-24,10981,9691
1990-08-25,10680,9259
1990-08-27,11111,8957
1990-08-28,11541,9389
1990-08-29,11541,9821
1990-08-30,11111,9821
1990-08-31,10766,9389
1990-09-01,10551,9043
1990-09-03,10981,8827
1990-09-04,10766,9259
1990-09-05,10723,9043
1990-09-06,10508,9000
1990-09-07,10508,8784
1990-09-08,10551,8784
1990-09-10,10551,8827
1990-09-11,10723,8827
1990-09-12,10508,9000
1990-09-13,10508,8784
1990-09-14,10379,8784
1990-09-15,10292,8655
1990-09-17,9905,8567
1990-09-18,10335,8179
1990-09-19,10335,8611
1990-09-20,10292,8611
1990-09-21,10292,8567
1990-09-22,10292,8567
1990-09-24,10379,8567
1990-09-25,10465,8655
1990-09-26,10379,8741
1990-09-27,10120,8655
1990-09-28,10206,8395
1990-09-29,10292,8481
1990-10-05,10723,8567
1990-10-06,10594,9000
1990-10-08,10422,8870
1990-10-10,10680,8698
1990-10-11,11111,8957
1990-10-12,11541,9389
1990-10-13,11714,9821
1990-10-15,12101,9994
1990-10-16,11671,10383
1990-10-17,11800,9951
1990-10-18,11886,10081
1990-10-19,12317,10167
1990-10-20,12446,10599
1990-10-22,12876,10729
1990-10-23,13307,11160
1990-10-24,13867,11593
1990-10-25,13307,12155
1990-10-26,12747,11593
1990-10-27,12489,11031
1990-10-29,12833,10772
1990-10-30,12833,11117
1990-10-31,12403,11117
1990-11-01,12790,10686
1990-11-02,12360,11074
1990-11-03,12360,10643
1990-11-05,12058,10643
1990-11-06,12058,10339
1990-11-07,12058,10339
1990-11-08,12058,10339
1990-11-09,12144,10339
1990-11-10,12273,10426
1990-11-12,12446,10555
1990-11-13,12360,10729
1990-11-14,12187,10643
1990-11-15,11757,10469
1990-11-16,11627,10037
1990-11-17,11627,9907
1990-11-19,11627,9907
1990-11-20,11412,9907
1990-11-21,11412,9691
1990-11-22,11541,9691
1990-11-23,11541,9821
1990-11-24,11627,9821
1990-11-26,11584,9907
1990-11-27,11843,9864
1990-11-28,11714,10124
1990-11-29,11498,9994
1990-11-30,11498,9778
1990-12-01,11800,9778
1990-12-03,12058,10081
1990-12-04,11929,10339
1990-12-05,11972,10210
1990-12-06,12058,10253
1990-12-07,12187,10339
1990-12-08,11972,10469
1990-12-10,11757,10253
1990-12-11,12187,10037
1990-12-12,12058,10469
