Date,Actual Closing Price,Forecast Closing Price
1990-01-04,17700,18100
1990-01-05,18200,18865
1990-01-06,18400,19344
1990-01-08,18400,19536
1990-01-09,18100,19536
1990-01-10,17600,19248
1990-01-11,17800,18769
1990-01-12,17700,18961
1990-01-13,17600,18865
1990-01-15,17400,18769
1990-01-16,17600,18578
1990-01-17,17400,18769
1990-01-18,17400,18578
1990-01-19,17300,18578
1990-01-20,17500,18482
1990-01-22,18200,18674
1990-01-23,17700,19344
1990-01-24,17700,18865
1990-01-25,17500,18865
1990-01-29,17500,18674
1990-01-30,17400,18674
1990-01-31,18100,18578
1990-02-01,17900,19248
1990-02-02,17700,19057
1990-02-03,17600,18865
1990-02-05,17600,18769
1990-02-06,17600,18769
1990-02-07,17500,18769
1990-02-08,17600,18674
1990-02-09,17400,18769
1990-02-10,17400,18578
1990-02-12,17200,18578
1990-02-13,17500,18387
1990-02-14,17400,18674
1990-02-15,17300,18578
1990-02-16,17500,18482
1990-02-17,17400,18674
1990-02-19,17000,18578
1990-02-20,17000,18195
1990-02-21,16900,18195
1990-02-22,17100,18100
1990-02-23,17000,18291
1990-02-24,16700,18195
1990-02-26,16500,17909
1990-02-27,17300,17717
1990-02-28,17600,18482
1990-03-02,7913,18769
1990-03-03,7699,9600
1990-03-05,7440,9400
1990-03-06,7397,9158
1990-03-07,7311,9118
1990-03-08,7354,9037
1990-03-09,7440,9078
1990-03-12,7397,9158
1990-03-13,7311,9118
1990-03-14,7268,9037
1990-03-15,7182,8997
1990-03-16,7225,8917
1990-03-17,7182,8957
1990-03-19,7182,8917
1990-03-20,7225,8917
1990-03-21,7225,8957
1990-03-22,7225,8957
1990-03-23,7139,8957
1990-03-24,7139,8877
1990-03-26,7096,8877
1990-03-27,7053,8837
1990-03-28,6967,8797
1990-03-29,7096,8717
1990-03-30,7225,8837
1990-03-31,7139,8957
1990-04-02,7096,8877
1990-04-03,7053,8837
1990-04-04,7010,8797
1990-04-06,7354,8757
1990-04-07,7096,9078
1990-04-09,7096,8837
1990-04-10,7182,8837
1990-04-11,7311,8917
1990-04-12,7268,9037
1990-04-13,7225,8997
1990-04-14,7268,8957
1990-04-16,7397,8997
1990-04-17,7699,9118
1990-04-18,7526,9400
1990-04-19,7268,9238
1990-04-20,7268,8997
1990-04-21,7354,8997
1990-04-23,7311,9078
1990-04-24,7139,9037
1990-04-25,7010,8877
1990-04-26,6666,8757
1990-04-27,6924,8436
1990-04-28,6579,8677
1990-04-30,6236,8355
1990-05-01,6494,8036
1990-05-03,6837,8276
1990-05-04,7182,8596
1990-05-07,7096,8917
1990-05-08,6967,8837
1990-05-09,6924,8717
1990-05-10,6666,8677
1990-05-11,6579,8436
1990-05-12,6494,8355
1990-05-14,6280,8276
1990-05-15,6236,8077
1990-05-16,6494,8036
1990-05-17,6666,8276
1990-05-18,6451,8436
1990-05-19,6451,8236
1990-05-21,6537,8236
1990-05-22,6795,8316
1990-05-23,6837,8556
1990-05-24,6752,8596
1990-05-25,6666,8516
1990-05-26,6666,8436
1990-05-28,6708,8436
1990-05-29,6752,8475
1990-05-30,6752,8516
1990-05-31,6795,8516
1990-06-01,6795,8556
1990-06-02,6795,8556
1990-06-04,7010,8556
1990-06-05,7010,8757
1990-06-07,7010,8757
1990-06-08,6924,8757
1990-06-09,6837,8677
1990-06-11,6708,8596
1990-06-12,6752,8475
1990-06-13,6666,8516
1990-06-14,6579,8436
1990-06-15,6494,8355
1990-06-16,6537,8276
1990-06-18,6366,8316
1990-06-19,6366,8157
1990-06-20,6193,8157
1990-06-21,6193,7996
1990-06-22,6193,7996
1990-06-23,6193,7996
1990-06-25,6107,7996
1990-06-26,6022,7916
1990-06-27,6107,7837
1990-06-28,5935,7916
1990-06-29,5505,7756
1990-06-30,5247,7357
1990-07-02,5333,7118
1990-07-03,5591,7198
1990-07-04,5462,7437
1990-07-05,5333,7317
1990-07-06,5247,7198
1990-07-07,5204,7118
1990-07-09,5247,7078
1990-07-10,5290,7118
1990-07-11,5161,7158
1990-07-12,5032,7038
1990-07-13,4946,6919
1990-07-14,4946,6839
1990-07-16,4902,6839
1990-07-18,5075,6798
1990-07-19,4989,6958
1990-07-20,4989,6879
1990-07-21,4946,6879
1990-07-23,4860,6839
1990-07-24,4860,6759
1990-07-25,4946,6759
1990-07-26,4860,6839
1990-07-27,4902,6759
1990-07-28,4946,6798
1990-07-30,4946,6839
1990-07-31,4989,6839
1990-08-01,5118,6879
1990-08-02,4989,6998
1990-08-03,4860,6879
1990-08-04,4860,6759
1990-08-06,4817,6759
1990-08-07,4817,6719
1990-08-08,4773,6719
1990-08-09,4773,6679
1990-08-10,4860,6679
1990-08-11,4817,6759
1990-08-13,4773,6719
1990-08-14,4644,6679
1990-08-16,4515,6559
1990-08-17,4515,6440
1990-08-18,4473,6440
1990-08-20,4473,6401
1990-08-21,4301,6401
1990-08-22,4344,6242
1990-08-23,4386,6282
1990-08-24,4128,6321
1990-08-25,4042,6082
1990-08-27,4215,6003
1990-08-28,4386,6163
1990-08-29,4559,6321
1990-08-30,4344,6481
1990-08-31,4086,6282
1990-09-01,4128,6043
1990-09-03,4301,6082
1990-09-04,4344,6242
1990-09-05,4257,6282
1990-09-06,4257,6201
1990-09-07,4215,6201
1990-09-08,4215,6163
1990-09-10,4236,6163
1990-09-11,4280,6182
1990-09-12,4241,6223
1990-09-13,4171,6187
1990-09-14,4107,6122
1990-09-15,3957,6063
1990-09-17,3793,5924
1990-09-18,3965,5773
1990-09-19,4064,5932
1990-09-20,3892,6023
1990-09-21,3866,5864
1990-09-22,3806,5840
1990-09-24,3828,5785
1990-09-25,3999,5805
1990-09-26,3913,5963
1990-09-27,3785,5884
1990-09-28,3828,5766
1990-09-29,3871,5805
1990-10-05,4042,5845
1990-10-06,3957,6003
1990-10-08,3871,5924
1990-10-10,3957,5845
1990-10-11,4128,5924
1990-10-12,4301,6082
1990-10-13,4430,6242
1990-10-15,4688,6361
1990-10-16,4773,6600
1990-10-17,5032,6679
1990-10-18,5290,6919
1990-10-19,5548,7158
1990-10-20,5764,7397
1990-10-22,6022,7598
1990-10-23,6280,7837
1990-10-24,6537,8077
1990-10-25,6537,8316
1990-10-26,6579,8316
1990-10-27,6795,8355
1990-10-29,6451,8556
1990-10-30,6107,8236
1990-10-31,5849,7916
1990-11-01,6107,7676
1990-11-02,5978,7916
1990-11-03,6107,7796
1990-11-05,6151,7916
1990-11-06,5978,7957
1990-11-07,6236,7796
1990-11-08,6151,8036
1990-11-09,6064,7957
1990-11-10,5935,7876
1990-11-12,5935,7756
1990-11-13,6064,7756
1990-11-14,6064,7876
1990-11-15,5978,7876
1990-11-16,5893,7796
1990-11-17,5806,7717
1990-11-19,5978,7637
1990-11-20,6236,7796
1990-11-21,6107,8036
1990-11-22,6366,7916
1990-11-23,6579,8157
1990-11-24,6666,8355
1990-11-26,6708,8436
1990-11-27,6579,8475
1990-11-28,6924,8355
1990-11-29,7268,8677
1990-11-30,7612,8997
1990-12-01,7699,9318
1990-12-03,7655,9400
1990-12-04,7741,9359
1990-12-05,8042,9439
1990-12-06,7870,9720
1990-12-07,7957,9559
1990-12-08,7870,9641
1990-12-10,7741,9559
1990-12-11,7870,9439
1990-12-12,7870,9559
1990-12-13,7655,9559
1990-12-14,7526,9359
1990-12-15,7440,9238
1990-12-17,7784,9158
1990-12-18,7655,9479
1990-12-19,7699,9359
1990-12-20,7741,9400
1990-12-21,7655,9439
1990-12-22,7569,9359
1990-12-24,7526,9278
1990-12-26,7311,9238
1991-01-03,7440,9037
1991-01-04,7699,9158
1991-01-05,7569,9400
1991-01-07,7354,9278
1991-01-08,7139,9078
1991-01-09,7139,8877
1991-01-10,6795,8877
1991-01-11,6666,8556
1991-01-12,7010,8436
1991-01-14,7096,8757
1991-01-15,6752,8837
1991-01-16,6666,8516
1991-01-17,7010,8436
1991-01-18,7354,8757
1991-01-19,7311,9078
1991-01-21,7010,9037
1991-01-22,6924,8757
1991-01-23,6924,8677
1991-01-24,7096,8677
1991-01-25,6924,8837
1991-01-26,6924,8677
1991-01-28,7053,8677
1991-01-29,7139,8797
1991-01-30,7397,8877
1991-01-31,7225,9118
1991-02-01,7139,8957
1991-02-02,7096,8877
1991-02-04,7010,8837
1991-02-05,7053,8757
1991-02-06,7096,8797
1991-02-07,7053,8837
1991-02-08,6924,8797
1991-02-09,6924,8677
1991-02-11,6924,8677
1991-02-12,7139,8677
1991-02-13,7053,8877
1991-02-18,7354,8797
1991-02-19,7053,9078
1991-02-20,7053,8797
1991-02-21,7139,8797
1991-02-22,7096,8877
1991-02-23,7096,8837
1991-02-25,7225,8837
1991-02-26,7053,8957
1991-02-27,7096,8797
1991-02-28,7053,8837
1991-03-02,7010,8797
1991-03-04,6967,8757
1991-03-05,6924,8717
1991-03-06,6881,8677
1991-03-07,6795,8637
1991-03-08,6708,8556
1991-03-09,7010,8475
1991-03-11,6881,8757
1991-03-12,6881,8637
1991-03-13,6967,8637
1991-03-14,6837,8717
1991-03-15,6837,8596
1991-03-16,6837,8596
1991-03-18,6795,8596
1991-03-19,6708,8556
1991-03-20,6666,8475
1991-03-21,6666,8436
1991-03-22,6708,8436
1991-03-23,6666,8475
1991-03-25,6708,8436
1991-03-27,6451,8475
1991-03-28,6537,8236
1991-03-29,6494,8316
1991-03-30,6666,8276
1991-04-01,6537,8436
1991-04-02,6537,8316
1991-04-03,6666,8316
1991-04-04,6881,8436
1991-04-06,6795,8637
1991-04-08,6666,8556
1991-04-09,6708,8436
1991-04-10,6708,8475
1991-04-11,6579,8475
1991-04-12,6579,8355
1991-04-13,6579,8355
1991-04-15,6494,8355
1991-04-16,6451,8276
1991-04-17,6451,8236
1991-04-18,6322,8236
1991-04-19,6409,8116
1991-04-20,6322,8197
1991-04-22,6366,8116
1991-04-23,6623,8157
1991-04-24,6924,8396
1991-04-25,5806,8677
1991-04-26,6022,7637
1991-04-27,5935,7837
1991-04-29,5849,7756
1991-04-30,5849,7676
1991-05-01,5849,7676
1991-05-02,5935,7676
1991-05-03,5893,7756
1991-05-04,5849,7717
1991-05-06,5935,7676
1991-05-07,5806,7756
1991-05-08,5720,7637
1991-05-09,5764,7557
1991-05-10,5677,7598
1991-05-11,5677,7517
1991-05-13,5720,7517
1991-05-14,5764,7557
1991-05-15,5677,7598
1991-05-16,5720,7517
1991-05-17,5677,7557
1991-05-18,5677,7517
1991-05-20,5591,7517
1991-05-22,5548,7437
1991-05-23,5677,7397
1991-05-24,5591,7517
1991-05-25,5635,7437
1991-05-27,5677,7478
1991-05-28,5677,7517
1991-05-29,5635,7517
1991-05-30,5635,7478
1991-05-31,5591,7478
1991-06-01,5591,7437
1991-06-03,5505,7437
1991-06-04,5591,7357
1991-06-05,5764,7437
1991-06-07,5677,7598
1991-06-08,5677,7517
1991-06-10,5677,7517
1991-06-11,5720,7517
1991-06-12,5893,7557
1991-06-13,5849,7717
1991-06-14,5849,7676
1991-06-15,5764,7676
1991-06-17,5677,7598
1991-06-18,5677,7517
1991-06-19,5677,7517
1991-06-21,5505,7517
1991-06-22,5376,7357
1991-06-24,5462,7237
1991-06-25,5462,7317
1991-06-26,5505,7317
1991-06-27,5591,7357
1991-06-28,5462,7437
1991-06-29,5505,7317
1991-07-01,5677,7357
1991-07-02,5677,7517
1991-07-03,5548,7517
1991-07-04,5591,7397
1991-07-05,5806,7437
1991-07-06,5720,7637
1991-07-08,5849,7557
1991-07-09,5806,7676
1991-07-10,5893,7637
1991-07-11,5978,7717
1991-07-12,6236,7796
1991-07-13,6409,8036
1991-07-15,6451,8197
1991-07-16,6623,8236
1991-07-18,6967,8396
1991-07-19,7096,8717
1991-07-20,7139,8837
1991-07-22,7010,8877
1991-07-23,6924,8757
1991-07-24,7010,8677
1991-07-25,7010,8757
1991-07-26,7182,8757
1991-07-27,7483,8917
1991-07-29,7828,9198
1991-07-30,8128,9520
1991-07-31,7784,9801
1991-08-01,7655,9479
1991-08-02,7999,9359
1991-08-03,8344,9680
1991-08-05,8602,10003
1991-08-06,8386,10244
1991-08-07,8042,10042
1991-08-08,7828,9720
1991-08-09,7957,9520
1991-08-10,7612,9641
1991-08-12,7397,9318
1991-08-13,7741,9118
1991-08-14,7612,9439
1991-08-16,7957,9318
1991-08-17,8128,9641
1991-08-19,7784,9801
1991-08-20,8128,9479
1991-08-21,8171,9801
1991-08-22,8473,9841
1991-08-23,8171,10123
1991-08-24,8086,9841
1991-08-26,8086,9761
1991-08-27,7870,9761
1991-08-28,7999,9559
1991-08-29,7870,9680
1991-08-30,7913,9559
1991-08-31,7957,9600
1991-09-02,7784,9641
1991-09-03,7828,9479
1991-09-04,7957,9520
1991-09-05,7870,9641
1991-09-06,7870,9559
1991-09-07,7999,9559
1991-09-09,8086,9680
1991-09-10,8042,9761
1991-09-11,8042,9720
1991-09-12,8086,9720
1991-09-13,8171,9761
1991-09-14,8171,9841
1991-09-16,8042,9841
1991-09-17,7957,9720
1991-09-18,7999,9641
1991-09-19,7913,9680
1991-09-20,7999,9600
1991-09-24,7957,9680
1991-09-25,7913,9641
1991-09-26,7913,9600
1991-09-27,8042,9600
1991-09-28,8128,9720
1991-09-30,8257,9801
1991-10-01,8344,9921
1991-10-02,8301,10003
1991-10-04,8644,9962
1991-10-05,8902,10283
1991-10-07,9160,10525
1991-10-08,9203,10767
1991-10-09,9246,10807
1991-10-10,9676,10848
1991-10-11,9547,11251
1991-10-12,9590,11130
1991-10-14,9676,11171
1991-10-15,9719,11251
1991-10-16,9547,11292
1991-10-17,9634,11130
1991-10-18,9805,11212
1991-10-19,9719,11373
1991-10-21,10150,11292
1991-10-22,10236,11697
