Date,Actual Closing Price,Forecast Closing Price
2007-06-28,58000,61120
2007-06-29,56800,58054
2007-07-02,57000,56893
2007-07-03,59700,57087
2007-07-04,59500,59689
2007-07-05,58800,59497
2007-07-06,57700,58825
2007-07-09,58000,57765
2007-07-10,58100,58054
2007-07-11,58800,58151
2007-07-12,62000,58825
2007-07-13,65000,61879
2007-07-16,66400,64693
2007-07-18,66900,65989
2007-07-19,68000,66449
2007-07-20,67900,67456
2007-07-23,67700,67365
2007-07-24,66200,67182
2007-07-25,64700,65805
2007-07-26,63600,64414
2007-07-27,61700,63386
2007-07-30,61700,61595
2007-07-31,66900,61595
2007-08-01,63100,66449
2007-08-02,62300,62916
2007-08-03,61800,62162
2007-08-06,61700,61689
2007-08-07,61400,61595
2007-08-08,62800,61310
2007-08-09,61900,62634
2007-08-10,59700,61784
2007-08-13,58600,59689
2007-08-14,58400,58633
2007-08-16,54200,58440
2007-08-17,52000,54359
2007-08-20,55000,52197
2007-08-21,53900,55141
2007-08-22,55100,54065
2007-08-23,57200,55239
2007-08-24,57200,57281
2007-08-27,56000,57281
2007-08-28,55600,56116
2007-08-29,55000,55726
2007-08-30,57300,55141
2007-08-31,57600,57378
2007-09-03,58500,57668
2007-09-04,57200,58536
2007-09-05,57400,57281
2007-09-06,56400,57475
2007-09-07,56000,56505
2007-09-10,54500,56116
2007-09-11,53800,54652
2007-09-12,53700,53967
2007-09-13,54300,53869
2007-09-14,53300,54457
2007-09-17,55200,53476
2007-09-18,55500,55336
2007-09-19,57000,55629
2007-09-20,54400,57087
2007-09-21,56200,54554
2007-09-27,56700,56310
2007-09-28,56500,56796
2007-10-01,55500,56602
2007-10-02,57200,55629
2007-10-04,58700,57281
2007-10-05,60600,58729
2007-10-08,60400,60549
2007-10-09,60000,60358
2007-10-10,60800,59976
2007-10-11,61500,60739
2007-10-12,60100,61405
2007-10-15,64000,60072
2007-10-16,61000,63761
2007-10-17,61800,60930
2007-10-18,64900,61689
2007-10-19,63600,64600
