Date,Actual Closing Price,Forecast Closing Price
1990-01-04,5350,13402
1990-01-05,5160,13402
1990-01-06,5300,13199
1990-01-08,5300,13349
1990-01-09,5250,13349
1990-01-10,5190,13295
1990-01-11,5200,13231
1990-01-12,5160,13242
1990-01-13,5050,13199
1990-01-15,5050,13081
1990-01-16,5050,13081
1990-01-17,5000,13081
1990-01-18,5000,13028
1990-01-19,4950,13028
1990-01-20,4980,12974
1990-01-22,5130,13006
1990-01-23,5050,13167
1990-01-24,5070,13081
1990-01-25,5080,13103
1990-01-29,5000,13113
1990-01-30,4960,13028
1990-01-31,4960,12985
1990-02-01,4960,12985
1990-02-02,5000,12985
1990-02-03,4950,13028
1990-02-05,4860,12974
1990-02-06,4940,12878
1990-02-07,4950,12964
1990-02-08,4950,12974
1990-02-09,3880,12974
1990-02-10,3850,11834
1990-02-12,3750,11802
1990-02-13,3740,11696
1990-02-14,3750,11685
1990-02-15,3780,11696
1990-02-16,3760,11728
1990-02-17,3730,11706
1990-02-19,3690,11675
1990-02-20,3580,11632
1990-02-21,3520,11515
1990-02-22,3470,11451
1990-02-23,3500,11398
1990-02-24,3450,11430
1990-02-26,3390,11377
1990-02-27,3520,11313
1990-02-28,3550,11451
1990-03-02,2614,11483
1990-03-03,2643,10491
1990-03-05,2600,10522
1990-03-06,2522,10476
1990-03-07,2451,10393
1990-03-08,2465,10318
1990-03-09,2508,10333
1990-03-12,2515,10379
1990-03-13,2486,10386
1990-03-14,2486,10355
1990-03-15,2479,10355
1990-03-16,2529,10348
1990-03-17,2536,10401
1990-03-19,2557,10408
1990-03-20,2557,10431
1990-03-21,2564,10431
1990-03-22,2564,10438
1990-03-23,2593,10438
1990-03-24,2593,10469
1990-03-26,2579,10469
1990-03-27,2557,10454
1990-03-28,2529,10431
1990-03-29,2515,10401
1990-03-30,2273,10386
1990-03-31,2294,10130
1990-04-02,2309,10152
1990-04-03,2259,10168
1990-04-04,2230,10115
1990-04-06,2230,10085
1990-04-07,2181,10085
1990-04-09,2181,10033
1990-04-10,2181,10033
1990-04-11,2181,10033
1990-04-12,2131,10033
1990-04-13,2095,9980
1990-04-14,2095,9942
1990-04-16,2060,9942
1990-04-17,2131,9905
1990-04-18,2103,9980
1990-04-19,2081,9951
1990-04-20,2060,9927
1990-04-21,2131,9905
1990-04-23,2131,9980
1990-04-24,2110,9980
1990-04-25,2081,9958
1990-04-26,2010,9927
1990-04-27,2046,9852
1990-04-28,1975,9890
1990-04-30,1904,9815
1990-05-01,1975,9740
1990-05-03,2046,9815
1990-05-04,2117,9890
1990-05-07,2181,9965
1990-05-08,2131,10033
1990-05-09,2131,9980
1990-05-10,2060,9980
1990-05-11,2024,9905
1990-05-12,2010,9867
1990-05-14,2024,9852
1990-05-15,1975,9867
1990-05-16,2046,9815
1990-05-17,2060,9890
1990-05-18,1996,9905
1990-05-19,2010,9838
1990-05-21,2010,9852
1990-05-22,2074,9852
1990-05-23,2095,9920
1990-05-24,2095,9942
1990-05-25,2103,9942
1990-05-26,2103,9951
1990-05-28,2095,9951
1990-05-29,2081,9942
1990-05-30,2088,9927
1990-05-31,2095,9935
1990-06-01,2095,9942
1990-06-02,2088,9942
1990-06-04,2095,9935
1990-06-05,2095,9942
1990-06-07,2103,9942
1990-06-08,2110,9951
1990-06-09,2110,9958
1990-06-11,2081,9958
1990-06-12,2060,9927
1990-06-13,2017,9905
1990-06-14,1961,9860
1990-06-15,1932,9801
1990-06-16,1918,9770
1990-06-18,1904,9755
1990-06-19,1882,9740
1990-06-20,1847,9717
