Date,Actual Closing Price,Forecast Closing Price
2005-07-20,5475,9932
2005-07-21,4798,9083
2005-07-22,4664,8486
2005-07-25,4723,8368
2005-07-26,4647,8420
2005-07-27,4723,8353
2005-07-28,4556,8420
2005-07-29,4447,8273
2005-08-01,4496,8177
2005-08-02,4429,8220
2005-08-03,4203,8161
2005-08-04,4306,7962
2005-08-05,4179,8053
2005-08-08,4171,7941
2005-08-09,4117,7934
2005-08-10,4162,7886
2005-08-11,4179,7926
2005-08-12,4061,7941
2005-08-16,4012,7837
2005-08-17,3832,7794
2005-08-18,3714,7635
2005-08-19,3511,7531
2005-08-22,3594,7352
2005-08-23,3518,7426
2005-08-24,3534,7359
2005-08-25,3511,7373
2005-08-26,3496,7352
2005-08-29,3364,7339
2005-08-30,3384,7223
2005-08-31,3343,7240
2005-09-01,3493,7204
2005-09-02,3552,7336
2005-09-05,3514,7388
2005-09-06,3518,7355
2005-09-07,3648,7359
2005-09-08,3794,7473
2005-09-09,3677,7602
2005-09-12,3594,7499
2005-09-13,3585,7426
2005-09-14,4120,7418
2005-09-15,4347,7889
2005-09-16,4162,8089
2005-09-20,3991,7926
2005-09-21,4103,7775
2005-09-22,3998,7874
2005-09-23,3890,7782
2005-09-26,3903,7686
2005-09-27,4255,7698
2005-09-28,4221,8008
2005-09-29,4179,7978
2005-09-30,4429,7941
2005-10-04,4488,8161
2005-10-05,4588,8213
2005-10-06,4588,8301
2005-10-07,4681,8301
2005-10-10,4664,8383
2005-10-11,4580,8368
2005-10-12,4429,8294
2005-10-13,4573,8161
2005-10-14,4689,8288
2005-10-17,4765,8390
2005-10-18,4849,8457
2005-10-19,4664,8531
2005-10-20,4639,8368
2005-10-21,4849,8346
2005-10-24,5074,8531
2005-10-25,5142,8730
2005-10-26,5106,8790
2005-10-27,5066,8758
2005-10-28,5041,8723
2005-10-31,5049,8701
2005-11-01,5099,8708
2005-11-02,5307,8752
2005-11-03,5225,8935
2005-11-04,5316,8863
2005-11-07,5601,8943
2005-11-08,5601,9194
2005-11-09,5634,9194
2005-11-10,5727,9223
2005-11-11,5994,9305
2005-11-14,6027,9540
2005-11-15,6162,9569
2005-11-16,6053,9688
2005-11-17,6002,9592
2005-11-18,6186,9547
2005-11-21,6043,9709
2005-11-22,5935,9583
2005-11-23,5944,9488
2005-11-24,5951,9496
2005-11-25,5935,9502
2005-11-28,5969,9488
2005-11-29,5978,9518
2005-11-30,6103,9526
2005-12-01,5978,9636
2005-12-02,5978,9526
2005-12-05,5944,9526
2005-12-06,6152,9496
2005-12-07,6439,9679
2005-12-08,6270,9932
2005-12-09,6069,9783
2005-12-12,6228,9606
2005-12-13,6168,9746
2005-12-14,6069,9693
2005-12-15,5944,9606
2005-12-16,5684,9496
2005-12-19,5692,9267
2005-12-20,5483,9274
2005-12-21,5601,9090
2005-12-22,5350,9194
