Date,Actual Closing Price,Forecast Closing Price
2006-06-30,40961,40819
2006-07-03,41461,42537
2006-07-04,44011,42888
2006-07-05,44011,44685
2006-07-06,44411,44685
2006-07-07,45812,44968
2006-07-10,45762,45959
2006-07-11,45512,45924
2006-07-12,44511,45747
2006-07-13,43011,45038
2006-07-14,43061,43979
2006-07-18,40510,44014
2006-07-19,40510,42220
2006-07-20,40811,42220
2006-07-21,39410,42431
2006-07-24,40060,41449
2006-07-25,40010,41904
2006-07-26,39510,41869
2006-07-27,39960,41519
2006-07-28,40010,41834
2006-07-31,40110,41869
2006-08-01,40110,41939
2006-08-02,40210,41939
2006-08-03,40460,42009
2006-08-04,41111,42185
2006-08-07,40961,42642
2006-08-08,41511,42537
2006-08-09,41861,42923
2006-08-10,41911,43169
2006-08-11,41861,43204
2006-08-14,41811,43169
2006-08-16,41561,43134
2006-08-17,41461,42958
2006-08-18,40560,42888
2006-08-21,40410,42255
2006-08-22,40911,42150
2006-08-23,41461,42501
2006-08-24,41211,42888
2006-08-25,41561,42712
2006-08-28,41611,42958
2006-08-29,41411,42993
2006-08-30,41661,42853
2006-08-31,41811,43029
2006-09-01,41361,43134
2006-09-04,41111,42818
2006-09-05,40911,42642
2006-09-06,40510,42501
2006-09-07,40160,42220
2006-09-08,40260,41974
2006-09-11,39810,42044
2006-09-12,38960,41729
2006-09-13,39810,41134
2006-09-14,40010,41729
2006-09-15,41511,41869
2006-09-18,42011,42923
2006-09-19,43311,43275
2006-09-20,43011,44191
2006-09-21,42911,43979
2006-09-22,43761,43909
2006-09-25,43011,44508
2006-09-26,43161,43979
2006-09-27,43811,44085
2006-09-28,43311,44544
2006-09-29,44011,44191
2006-10-02,44962,44685
2006-10-04,45562,45357
2006-10-09,45562,45782
2006-10-10,46012,45782
2006-10-11,46012,46101
2006-10-12,46412,46101
2006-10-13,46612,46385
2006-10-16,46662,46527
2006-10-17,46662,46562
2006-10-18,46662,46562
2006-10-19,47012,46562
2006-10-20,46912,46811
2006-10-23,46812,46740
2006-10-24,47762,46669
2006-10-25,47362,47344
2006-10-26,47912,47059
2006-10-27,48112,47450
2006-10-30,48112,47593
2006-10-31,48813,47593
2006-11-01,49563,48092
2006-11-02,50013,48627
2006-11-03,50513,48948
2006-11-06,50513,49305
2006-11-07,51513,49305
2006-11-08,51013,50021
2006-11-09,51513,49663
2006-11-10,51513,50021
2006-11-13,51213,50021
2006-11-14,50913,49806
2006-11-15,50913,49592
2006-11-16,50613,49592
2006-11-17,49913,49377
2006-11-20,50013,48877
2006-11-21,50813,48948
2006-11-22,50413,49520
2006-11-23,50513,49234
2006-11-24,51713,49305
2006-11-27,51713,50164
2006-11-28,50813,50164
2006-11-29,50413,49520
2006-11-30,50513,49234
2006-12-01,50513,49305
2006-12-04,51513,49305
2006-12-05,54014,50021
2006-12-06,56915,51816
2006-12-07,54714,53909
2006-12-08,53814,52320
2006-12-11,55514,51673
2006-12-12,55314,52897
2006-12-13,55914,52753
2006-12-14,54714,53186
2006-12-15,53714,52320
2006-12-18,53714,51601
2006-12-19,53714,51601
2006-12-20,55314,51601
2006-12-21,55714,52753
2006-12-22,56515,53042
2006-12-26,56314,53620
2006-12-27,56314,53475
2006-12-28,58015,53475
2007-01-02,56314,54706
2007-01-03,53814,53475
2007-01-04,52514,51673
2007-01-05,52514,50739
2007-01-08,53414,50739
2007-01-09,53414,51385
2007-01-10,52914,51385
2007-01-11,54414,51026
2007-01-12,55014,52104
2007-01-15,55214,52537
2007-01-16,54814,52681
2007-01-17,55514,52392
2007-01-18,55514,52897
2007-01-19,55014,52897
2007-01-22,55014,52537
2007-01-23,55414,52537
2007-01-24,55914,52825
2007-01-25,56214,53186
2007-01-26,56214,53403
2007-01-29,56014,53403
2007-01-30,56014,53258
2007-01-31,56214,53258
2007-02-01,55514,53403
2007-02-02,55214,52897
2007-02-05,55214,52681
2007-02-06,53714,52681
2007-02-07,54314,51601
2007-02-08,55014,52032
2007-02-09,55814,52537
2007-02-12,55814,53114
2007-02-13,55614,53114
2007-02-14,56615,52969
2007-02-15,57715,53692
2007-02-16,57615,54489
2007-02-20,57815,54416
2007-02-21,56915,54561
2007-02-22,56915,53909
2007-02-23,55314,53909
2007-02-26,55414,52753
2007-02-27,55414,52825
2007-02-28,55414,52825
2007-03-02,55014,52825
2007-03-05,53214,52537
2007-03-06,53914,51241
2007-03-07,53914,51744
2007-03-08,54514,51744
2007-03-09,54814,52176
2007-03-12,54414,52392
2007-03-13,54014,52104
2007-03-14,52213,51816
2007-03-15,52714,50523
2007-03-16,52914,50882
2007-03-19,54314,51026
2007-03-20,53414,52032
2007-03-21,52213,51385
2007-03-22,52313,50523
2007-03-23,52313,50594
2007-03-26,52814,50594
2007-03-27,54014,50954
2007-03-28,51913,51816
2007-03-29,51813,50308
2007-03-30,51813,50236
2007-04-02,51713,50236
2007-04-03,51213,50164
2007-04-04,51513,49806
2007-04-05,51513,50021
2007-04-06,51513,50021
2007-04-09,51413,50021
2007-04-10,51913,49949
2007-04-11,52514,50308
2007-04-12,53114,50739
2007-04-13,53214,51169
2007-04-16,54014,51241
2007-04-17,55514,51816
2007-04-18,56915,52897
2007-04-19,56415,53909
2007-04-20,57915,53548
2007-04-23,58715,54634
2007-04-24,60316,55214
2007-04-25,59015,56377
2007-04-26,59115,55432
2007-04-27,59315,55504
2007-04-30,60216,55649
2007-05-02,60616,56305
2007-05-03,60716,56596
2007-05-04,62016,56669
2007-05-07,64917,57617
2007-05-08,65017,59741
2007-05-09,65417,59815
2007-05-10,65517,60108
2007-05-11,66217,60182
2007-05-14,66617,60697
2007-05-15,67317,60991
2007-05-16,68618,61507
2007-05-17,69018,62468
2007-05-18,69118,62763
2007-05-21,70018,62837
2007-05-22,67917,63504
2007-05-23,65217,61950
2007-05-25,66817,59961
2007-05-28,70718,61138
2007-05-29,75019,64023
2007-05-30,75019,67227
2007-05-31,78020,67227
2007-06-01,74319,69478
2007-06-04,71218,66704
2007-06-05,69518,64394
2007-06-07,70018,63133
2007-06-08,69518,63504
2007-06-11,70018,63133
2007-06-12,69518,63504
2007-06-13,68918,63133
2007-06-14,73719,62689
2007-06-15,72019,66256
2007-06-18,71118,64990
2007-06-19,71118,64320
2007-06-20,72219,64320
2007-06-21,72019,65138
2007-06-22,70018,64990
2007-06-25,72819,63504
2007-06-26,72519,65585
2007-06-27,71618,65362
2007-06-28,70718,64691
2007-06-29,73219,64023
2007-07-02,71518,65883
2007-07-03,70018,64617
2007-07-04,71318,63504
2007-07-05,69618,64468
2007-07-06,68518,63207
2007-07-09,67717,62394
2007-07-10,66417,61802
2007-07-11,68118,60844
2007-07-12,67317,62098
2007-07-13,67217,61507
2007-07-16,65617,61433
2007-07-18,63916,60255
2007-07-19,64617,59007
2007-07-20,65017,59521
2007-07-23,66817,59815
2007-07-24,67317,61138
2007-07-25,65417,61507
2007-07-26,66817,60108
2007-07-27,65017,61138
2007-07-30,66717,59815
2007-07-31,66217,61065
2007-08-01,64717,60697
2007-08-02,62516,59594
2007-08-03,65417,57982
2007-08-06,63416,60108
2007-08-07,61616,58641
2007-08-08,62516,57325
2007-08-09,61216,57982
2007-08-10,59515,57033
2007-08-13,59315,55795
2007-08-14,61516,55649
2007-08-16,55114,57252
2007-08-17,54814,52609
2007-08-20,57015,52392
2007-08-21,57515,53982
2007-08-22,58015,54344
2007-08-23,58515,54706
2007-08-24,59415,55069
2007-08-27,60816,55722
2007-08-28,61416,56742
2007-08-29,63016,57179
2007-08-30,63916,58348
2007-08-31,66517,59007
2007-09-03,65917,60918
2007-09-04,67317,60476
2007-09-05,67317,61507
2007-09-06,66717,61507
2007-09-07,67017,61065
2007-09-10,66117,61286
2007-09-11,66817,60623
2007-09-12,66017,61138
2007-09-13,67617,60550
2007-09-14,68318,61728
2007-09-17,68018,62246
2007-09-18,67517,62024
2007-09-19,69818,61655
2007-09-20,68618,63356
2007-09-21,67317,62468
2007-09-27,67517,61507
2007-09-28,68318,61655
2007-10-01,67217,62246
2007-10-02,66217,61433
2007-10-04,64016,60697
2007-10-05,63516,59080
2007-10-08,61716,58714
2007-10-09,64917,57398
2007-10-10,69418,59741
2007-10-11,69918,63059
2007-10-12,68318,63430
2007-10-15,69218,62246
2007-10-16,68918,62911
2007-10-17,67417,62689
2007-10-18,66017,61581
2007-10-19,68718,60550
2007-10-22,66717,62542
2007-10-23,67117,61065
2007-10-24,69618,61360
2007-10-25,75820,63207
2007-10-26,83922,67827
2007-10-29,84022,73941
2007-10-30,89223,74017
2007-10-31,85722,77991
2007-11-01,82221,75312
2007-11-02,83021,72650
2007-11-05,83722,73257
2007-11-06,83722,73789
2007-11-07,84722,73789
2007-11-08,83722,74550
2007-11-09,87923,73789
2007-11-12,88923,76994
2007-11-13,86722,77761
2007-11-14,82021,76076
2007-11-15,75619,72498
2007-11-16,75719,67676
2007-11-19,71018,67751
2007-11-20,71018,64246
2007-11-21,69518,64246
2007-11-22,73519,63133
2007-11-23,69018,66107
2007-11-26,72019,62763
2007-11-27,74019,64990
2007-11-28,76320,66480
2007-11-29,77020,68202
2007-11-30,76220,68727
