Date,Actual Closing Price,Forecast Closing Price
2023-11-20,74300,134225
2023-11-21,96500,141211
2023-11-22,91200,150305
2023-11-23,99100,148131
2023-11-24,99100,151371
2023-11-27,124600,151371
2023-11-28,133000,161842
2023-11-29,136500,165294
2023-11-30,137000,166733
2023-12-01,136400,166938
2023-12-04,137500,166692
2023-12-05,131800,167144
2023-12-06,121700,164801
2023-12-07,127000,160650
2023-12-08,134400,162828
2023-12-11,140200,165870
2023-12-12,140400,168254
2023-12-13,140500,168336
2023-12-14,140500,168377
2023-12-15,169000,168377
2023-12-18,213000,180092
2023-12-19,205500,198140
2023-12-20,205000,195069
2023-12-21,198900,194865
2023-12-22,188500,192365
2023-12-26,175800,188100
2023-12-27,171600,182886
2023-12-28,188500,181160
2024-01-02,199900,188100
2024-01-03,206000,192775
2024-01-04,213000,195274
2024-01-05,201000,198140
2024-01-08,216000,193226
2024-01-09,220500,199367
2024-01-10,240000,201207
2024-01-11,231000,209165
2024-01-12,230500,205495
2024-01-15,216500,205291
2024-01-16,223500,199572
2024-01-17,226500,202433
2024-01-18,215500,203659
2024-01-19,216500,199163
2024-01-22,192000,199572
2024-01-23,170000,189536
2024-01-24,173000,180503
2024-01-25,157100,181735
2024-01-26,159700,175201
2024-01-29,144300,176270
2024-01-30,145100,169939
2024-01-31,149400,170268
2024-02-01,173600,172036
2024-02-02,176000,181982
2024-02-05,165200,182968
2024-02-06,159200,178531
2024-02-07,165500,176065
2024-02-08,171900,178654
2024-02-13,209500,181284
2024-02-14,200000,196707
2024-02-15,200500,192816
2024-02-16,198600,193021
2024-02-19,187600,192242
2024-02-20,190400,187730
2024-02-21,188100,188879
2024-02-22,194900,187935
2024-02-23,202000,190725
2024-02-26,190600,193636
2024-02-27,191000,188961
2024-02-28,189400,189125
2024-02-29,193100,188469
2024-03-04,180700,189987
