Date,Actual Closing Price,Forecast Closing Price
2017-07-10,88000,78792
2017-07-11,82800,84637
2017-07-12,83500,79304
2017-07-13,81600,80020
2017-07-14,81000,78077
2017-07-17,82200,77465
2017-07-18,83300,78690
2017-07-19,84600,79815
2017-07-20,80500,81146
2017-07-21,81200,76954
2017-07-24,83000,77669
2017-07-25,83300,79508
2017-07-26,85100,79815
2017-07-27,84200,81659
2017-07-28,84800,80737
2017-07-31,82100,81351
2017-08-01,83500,78588
2017-08-02,82900,80020
2017-08-03,83700,79406
2017-08-04,85300,80225
2017-08-07,85600,81864
2017-08-08,85000,82172
2017-08-09,85600,81557
2017-08-10,85300,82172
2017-08-11,86500,81864
2017-08-14,89400,83096
2017-08-16,95300,86078
2017-08-17,92200,92166
2017-08-18,95400,88964
2017-08-21,92500,92270
2017-08-22,93600,89274
2017-08-23,94300,90409
2017-08-24,93900,91133
2017-08-25,92200,90719
2017-08-28,89600,88964
2017-08-29,90800,86284
2017-08-30,90300,87520
2017-08-31,87300,87005
2017-09-01,87400,83918
2017-09-04,86400,84020
2017-09-05,85200,82993
2017-09-06,86300,81762
2017-09-07,86900,82890
2017-09-08,87300,83507
2017-09-11,91700,83918
2017-09-12,92500,88448
2017-09-13,93300,89274
2017-09-14,96000,90100
2017-09-15,96600,92890
2017-09-18,97000,93511
2017-09-19,97100,93925
2017-09-20,97500,94028
2017-09-21,99100,94442
2017-09-22,99400,96099
2017-09-25,95900,96409
2017-09-26,99000,92787
2017-09-27,98000,95995
2017-09-28,95100,94960
2017-09-29,97000,91959
2017-10-10,95000,93925
2017-10-11,91000,91856
2017-10-12,94000,87726
2017-10-13,94300,90823
2017-10-16,94800,91133
2017-10-17,93800,91649
2017-10-18,93800,90616
2017-10-19,93000,90616
2017-10-20,94700,89790
2017-10-23,93100,91546
2017-10-24,95600,89893
2017-10-25,94600,92476
2017-10-26,100500,91443
2017-10-27,100500,97549
2017-10-30,105500,97549
2017-10-31,106000,102732
2017-11-01,105500,103250
2017-11-02,108000,102732
2017-11-03,113500,105324
2017-11-06,116500,111021
2017-11-07,116000,114123
2017-11-08,116500,113606
2017-11-09,116500,114123
2017-11-10,120500,114123
2017-11-13,123500,118250
2017-11-14,122000,121336
2017-11-15,125000,119794
2017-11-16,121000,122875
2017-11-17,121000,118765
2017-11-20,124000,118765
2017-11-21,122000,121849
2017-11-22,121500,119794
2017-11-23,119500,119280
2017-11-24,113000,117219
2017-11-27,118000,110503
2017-11-28,127000,115672
2017-11-29,125000,124924
2017-11-30,114500,122875
2017-12-01,120000,112056
2017-12-04,118500,117735
2017-12-05,116500,116188
2017-12-06,112000,114123
2017-12-07,115000,109468
2017-12-08,114000,112573
2017-12-11,118500,111538
2017-12-12,118500,116188
2017-12-13,117500,116188
2017-12-14,116500,115156
2017-12-15,117000,114123
2017-12-18,119500,114640
2017-12-19,117500,117219
2017-12-20,116000,115156
2017-12-21,111000,113606
2017-12-22,113500,108432
2017-12-26,108500,111021
2017-12-27,105000,105842
2017-12-28,104500,102213
