Date,Actual Closing Price,Forecast Closing Price
1990-01-04,1125,12585
1990-01-05,1125,12613
1990-01-06,1138,12613
1990-01-08,1161,12623
1990-01-09,1161,12639
1990-01-10,1165,12639
1990-01-11,1154,12642
1990-01-12,1145,12634
1990-01-13,1134,12628
1990-01-15,1114,12620
1990-01-16,1105,12606
1990-01-17,1092,12599
1990-01-18,1114,12590
1990-01-19,1105,12606
1990-01-20,1125,12599
1990-01-22,1138,12613
1990-01-23,1117,12623
1990-01-24,1134,12608
1990-01-25,1138,12620
1990-01-29,1134,12623
1990-01-30,1138,12620
1990-01-31,1145,12623
1990-02-01,1145,12628
1990-02-02,1145,12628
1990-02-03,1145,12628
1990-02-05,1161,12628
1990-02-06,1161,12639
1990-02-07,1161,12639
1990-02-08,1174,12639
1990-02-09,1179,12649
1990-02-10,1174,12652
1990-02-12,1174,12649
1990-02-13,1181,12649
1990-02-14,1174,12654
1990-02-15,1161,12649
1990-02-16,1159,12639
1990-02-17,1159,12638
1990-02-19,1145,12638
1990-02-20,1120,12628
1990-02-21,1138,12610
1990-02-22,1149,12623
1990-02-23,1140,12631
1990-02-24,1140,12624
1990-02-26,1134,12624
1990-02-27,1114,12620
1990-02-28,1105,12606
1990-03-02,1105,12599
1990-03-03,1113,12599
1990-03-05,1100,12605
1990-03-06,1088,12595
1990-03-07,1085,12587
1990-03-08,1076,12585
1990-03-09,1059,12578
1990-03-12,1059,12566
1990-03-13,1059,12566
1990-03-14,1044,12566
1990-03-15,1069,12555
1990-03-16,1064,12573
1990-03-17,1064,12570
1990-03-19,1039,12570
1990-03-20,1076,12552
1990-03-21,1064,12578
1990-03-22,1072,12570
1990-03-23,1069,12575
1990-03-24,1064,12573
1990-03-26,1080,12570
1990-03-27,1069,12581
1990-03-28,1059,12573
1990-03-29,1072,12566
1990-03-30,1072,12575
1990-03-31,1064,12575
1990-04-02,1076,12570
1990-04-03,1076,12578
1990-04-04,1088,12578
1990-04-06,1105,12587
1990-04-07,1092,12599
1990-04-09,1092,12590
1990-04-10,1072,12590
1990-04-11,1080,12575
