Date,Actual Closing Price,Forecast Closing Price
1999-11-12,1115,1087
1999-11-15,1249,1195
1999-11-16,1396,1320
1999-11-17,1561,1458
1999-11-18,1748,1612
1999-11-19,1958,1788
1999-11-22,2190,1986
1999-11-23,2449,2205
1999-11-24,2739,2451
1999-11-25,3065,2728
1999-11-26,3430,3041
1999-11-29,3841,3393
1999-11-30,4300,3791
1999-12-01,4809,4239
1999-12-02,5380,4740
1999-12-03,6023,5306
1999-12-06,6745,5949
1999-12-07,7548,6677
1999-12-08,8450,7495
1999-12-09,9458,8424
1999-12-10,10573,9474
1999-12-13,11823,10649
1999-12-14,13206,11982
1999-12-15,14767,13474
1999-12-16,16507,15178
1999-12-17,17310,17097
1999-12-20,19363,17988
1999-12-21,19630,20280
1999-12-22,21950,20579
1999-12-23,24583,23182
1999-12-24,27527,26135
1999-12-27,30829,29414
1999-12-28,34487,33034
2000-01-04,30383,36937
2000-01-05,26769,32550
2000-01-06,23556,28573
2000-01-07,20746,24985
2000-01-10,20969,21830
2000-01-11,23467,22081
2000-01-12,22040,24885
2000-01-13,19407,23283
2000-01-14,20835,20329
2000-01-17,23333,21930
2000-01-18,26100,24734
2000-01-19,23110,27829
2000-01-20,25073,24484
2000-01-21,24538,26683
2000-01-24,24360,26085
2000-01-25,21460,25886
2000-01-26,19630,22632
2000-01-27,17310,20579
2000-01-28,19363,17988
2000-01-31,21683,20280
2000-02-01,24270,22882
2000-02-02,24895,25785
2000-02-03,27840,26484
2000-02-07,31141,29760
2000-02-08,34800,33372
2000-02-09,38904,37265
2000-02-10,43544,41455
2000-02-11,48720,45926
2000-02-14,44080,50548
2000-02-15,38815,46423
2000-02-16,43455,41366
2000-02-17,43455,45843
2000-02-18,40689,45843
2000-02-21,36852,43210
2000-02-22,34978,39386
2000-02-23,32123,37451
2000-02-24,35960,34429
2000-02-25,35692,38470
2000-02-28,32837,38193
2000-02-29,32837,35193
2000-03-02,32034,35193
2000-03-03,28197,34334
2000-03-06,26233,30154
2000-03-07,27840,27977
2000-03-08,28553,29760
2000-03-09,31944,30547
2000-03-10,31587,34237
2000-03-13,28018,33853
2000-03-14,25966,29957
2000-03-15,25430,27680
2000-03-16,26233,27082
2000-03-17,23110,27977
2000-03-20,20344,24484
2000-03-21,19630,21379
2000-03-22,20433,20579
2000-03-23,19630,21479
2000-03-24,19452,20579
2000-03-27,20612,20380
2000-03-28,20612,21680
2000-03-29,18381,21680
2000-03-30,20523,19182
2000-03-31,18292,21580
2000-04-03,17221,19082
2000-04-04,15668,17889
2000-04-06,15918,16169
2000-04-07,17828,16445
2000-04-10,19898,18565
2000-04-11,17846,20879
2000-04-12,17310,18585
2000-04-14,15240,17988
2000-04-17,13420,15697
2000-04-18,12028,13706
2000-04-19,12135,12202
2000-04-20,11207,12317
2000-04-21,12545,11323
2000-04-24,11064,12759
2000-04-25,10921,11171
2000-04-26,10707,11018
2000-04-27,9422,10791
2000-04-28,9369,9436
2000-05-02,10493,9381
2000-05-03,11064,10564
2000-05-04,11332,11171
2000-05-08,11189,11456
2000-05-09,10457,11304
2000-05-10,10243,10526
2000-05-12,9279,10300
2000-05-15,8182,9287
2000-05-16,9155,8147
2000-05-17,8209,9157
2000-05-18,8423,8175
2000-05-19,9422,8396
2000-05-22,9119,9436
2000-05-23,10208,9120
2000-05-24,11421,10263
2000-05-25,12420,11551
2000-05-26,11778,12624
2000-05-29,11475,11934
2000-05-30,12849,11609
2000-05-31,14383,13087
2000-06-01,14027,14757
2000-06-02,13937,14368
2000-06-05,15597,14269
2000-06-07,17453,16091
2000-06-08,19541,18147
2000-06-09,17774,20479
2000-06-12,17025,18505
2000-06-13,16204,17671
2000-06-14,16222,16761
2000-06-15,14276,16781
2000-06-16,15990,14640
2000-06-19,14812,16525
2000-06-20,15026,15227
2000-06-21,15758,15462
2000-06-22,15508,16268
2000-06-23,15793,15993
2000-06-26,17685,16307
2000-06-27,17846,18406
2000-06-28,19987,18585
2000-06-29,18738,20979
2000-06-30,18916,19581
2000-07-03,18916,19780
2000-07-04,17471,19780
2000-07-05,15526,18167
2000-07-06,15883,16012
2000-07-07,15722,16406
2000-07-10,15151,16229
2000-07-11,14098,15599
2000-07-12,15776,14445
2000-07-13,15347,16288
2000-07-14,15597,15815
2000-07-18,14633,16091
2000-07-19,13009,15031
2000-07-20,12849,13260
2000-07-21,12385,13087
2000-07-24,12046,12586
2000-07-25,13491,12221
2000-07-26,12992,13784
2000-07-27,12581,13242
2000-07-28,11385,12798
2000-07-31,12742,11513
2000-08-01,12563,12971
2000-08-02,12670,12778
2000-08-03,12885,12894
2000-08-04,12438,13126
2000-08-07,11814,12643
2000-08-08,11939,11972
2000-08-09,12456,12106
2000-08-10,12028,12663
2000-08-11,11867,12202
2000-08-14,11689,12029
2000-08-16,11724,11838
2000-08-17,11171,11876
2000-08-18,10761,11285
2000-08-21,9797,10848
2000-08-22,10957,9830
2000-08-23,10422,11057
2000-08-24,10636,10489
2000-08-25,11189,10716
2000-08-28,12527,11304
2000-08-29,12563,12739
2000-08-30,12403,12778
2000-08-31,12349,12606
2000-09-01,12795,12547
2000-09-04,12492,13029
2000-09-05,12724,12701
2000-09-06,12385,12952
2000-09-07,12081,12586
2000-09-08,12527,12259
2000-09-14,12670,12739
2000-09-15,12171,12894
2000-09-18,10725,12356
2000-09-19,10761,10810
2000-09-20,10975,10848
2000-09-21,10600,11076
2000-09-22,9333,10678
2000-09-25,9869,9343
2000-09-26,9779,9906
2000-09-27,10689,9811
2000-09-28,10404,10772
2000-09-29,10386,10470
2000-10-02,10083,10451
2000-10-04,9851,10131
2000-10-05,10350,9887
2000-10-06,10350,10413
2000-10-09,9833,10413
2000-10-10,10261,9868
2000-10-11,9244,10319
2000-10-12,8744,9250
2000-10-13,7932,8729
2000-10-16,8726,7890
2000-10-17,7682,8711
2000-10-18,7299,7633
2000-10-19,7111,7241
2000-10-20,7209,7049
2000-10-23,6656,7149
2000-10-24,6478,6587
2000-10-25,6379,6407
2000-10-26,5791,6307
2000-10-27,5460,5716
2000-10-30,4836,5386
2000-10-31,5416,4767
2000-11-01,5211,5342
2000-11-02,5835,5138
2000-11-03,6067,5760
2000-11-06,5960,5993
2000-11-07,5862,5885
2000-11-08,5576,5787
2000-11-09,5550,5501
2000-11-10,5559,5475
2000-11-13,5112,5484
2000-11-14,5211,5040
2000-11-15,5675,5138
2000-11-16,5443,5600
